مدخل,هدف
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على الغصن خمسة طيور: سمَّان ، بومة ، غراب ، صقر ، وروبن. البومة في أقصى اليسار. روبن على يسار الغراب. السمان هو أقصى اليمين. الغراب هو الثالث من اليسار.
خيارات:
(أ) السمان هو أقصى اليمين
(ب) البومة هي أقصى اليمين
(ج) الغراب هو أقصى اليمين
(د) الصقر هو أقصى اليمين
(ه) روبن هو أقصى اليمين",(أ)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك خمس سيارات: هاتشباك ، وحافلة ، وعربة مكشوفة ، وجرار ، وميني فان. الجرار أقدم من الحافلة. الميني فان أحدث من الحافلة. هاتشباك هي ثاني أحدث. الميني فان أقدم من السيارة القابلة للتحويل.
خيارات:
(أ) هاتشباك هي ثاني أقدم
(ب) الحافلة هي الأقدم الثانية
(ج) السيارة القابلة للتحويل هي ثاني أقدمها
(د) الجرار هو ثاني أقدم الجرار
(ه) الميني فان هو ثاني أقدم",(ب)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف خمسة كتب: كتاب أصفر ، وكتاب أخضر ، وكتاب رمادي ، وكتاب أزرق ، وكتاب برتقالي. الكتاب الرمادي على يسار الكتاب الأخضر. الكتاب الرمادي هو الثاني من اليمين. الكتاب الأصفر على يمين الكتاب البرتقالي. الكتاب الأزرق هو الثاني من اليسار.
خيارات:
(أ) الكتاب الأصفر هو أقصى اليسار
(ب) الكتاب الأخضر هو أقصى اليسار
(ج) الكتاب الرمادي هو أقصى اليسار
(د) الكتاب الأزرق هو أقصى اليسار
(هـ) الكتاب البرتقالي هو أقصى اليسار",(و)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على فرع ، هناك خمسة طيور: غراب ، بومة ، كاردينال ، طائر طنان ، وروبن. الكاردينال هو أقصى اليمين. الغراب على يسار البومة. روبن على يمين الطائر الطنان. الطائر الطنان هو الثالث من اليسار.
خيارات:
(ا) الغراب هو الثاني من اليسار
(ب) البومة هي الثانية من اليسار
(ج) الكاردينال هو الثاني من اليسار
(د) الطائر الطنان هو الثاني من اليسار
(ه) روبن هو الثاني من اليسار",(ب)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف خمسة كتب: كتاب أخضر ، وكتاب برتقالي ، وكتاب رمادي ، وكتاب أصفر ، وكتاب بنفسجي. الكتاب الأخضر هو أقصى اليمين. الكتاب الرمادي على يمين الكتاب البرتقالي. الكتاب الأرجواني على يسار الكتاب الأصفر. الكتاب الأرجواني على يمين الكتاب الرمادي.
خيارات:
(أ) الكتاب الأخضر هو الثاني من اليمين
(ب) الكتاب البرتقالي هو الثاني من اليمين
(ج) الكتاب الرمادي هو الثاني من اليمين
(د) الكتاب الأصفر هو الثاني من اليمين
(هـ) الكتاب الأرجواني هو الثاني من اليمين",(د)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف خمسة كتب: كتاب أبيض ، وكتاب أخضر ، وكتاب بني ، وكتاب رمادي ، وكتاب برتقالي. الكتاب الرمادي على يمين الكتاب البرتقالي. الكتاب الأخضر هو الثاني من اليمين. الكتاب البني على يمين الكتاب الأبيض. الكتاب البني على يسار الكتاب البرتقالي.
خيارات:
(أ) الكتاب الأبيض هو الثالث من اليسار
(ب) الكتاب الأخضر هو الثالث من اليسار
(ج) والكتاب البني هو الثالث من اليسار
(د) الكتاب الرمادي هو الثالث من اليسار
(هـ) الكتاب البرتقالي هو الثالث من اليسار",(و)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك خمس سيارات: سيارة مكشوفة ، وحافلة ، وميني فان ، وشاحنة ، وسيارة سيدان. الشاحنة القابلة للتحويل أحدث من الشاحنة. الميني فان هو الأحدث. الحافلة هي ثالث الأحدث. الشاحنة أحدث من السيدان.
خيارات:
(أ) السيارة القابلة للتحويل هي الأحدث
(ب) الحافلة هي الأحدث
(C) الميني فان هو الأحدث
(د) الشاحنة هي الأحدث
(ه) السيارة هي الأحدث",(ج)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في بطولة الجولف ، كان هناك خمسة لاعبي غولف: روب وآدا ودان وجو وميل. انتهى Ada فوق ميل. انتهى ميل فوق دان. انتهى جو دون دان. احتلت آدا المركز الثاني.
خيارات:
(أ) أنهى روب أخيرًا
(ب) انتهى آدا في المركز الأخير
(ج) دان أنهى آخر مرة
(D) أنهى جو آخر مرة
(E) انتهى ميل في النهاية",(د)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف خمسة كتب: كتاب أبيض ، وكتاب أخضر ، وكتاب بني ، وكتاب رمادي ، وكتاب برتقالي. الكتاب الرمادي على يمين الكتاب البرتقالي. الكتاب الأخضر هو الثاني من اليمين. الكتاب البني على يمين الكتاب الأبيض. الكتاب البني على يسار الكتاب البرتقالي.
خيارات:
(أ) الكتاب الأبيض هو أقصى اليمين
(ب) الكتاب الأخضر هو أقصى اليمين
(ج) الكتاب البني هو أقصى اليمين
(د) الكتاب الرمادي هو أقصى اليمين
(هـ) الكتاب البرتقالي هو أقصى اليمين",(د)
"تصف كل من الفقرات التالية مجموعة من خمسة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك خمس سيارات: سيارة مكشوفة ، سيدان ، جرار ، ميني فان ، وليموزين. الجرار أحدث من الميني فان. الجرار أقدم من الليموزين. السيارة القابلة للتحويل أقدم من السيارة السيدان. السيارة القابلة للتحويل هي ثاني الأحدث.
خيارات:
(أ) السيارة القابلة للتحويل هي ثاني أقدمها
(ب) السيارة السيدان هي ثاني أقدم سيارة
(ج) الجرار هو ثاني أقدم الجرار
(د) الميني فان هو ثاني أقدم
(هـ) الليموزين هي ثاني أقدم سيارة",(ج)
