مدخل,هدف
"على الأرض ، توجد لعبة قطة بنفسجية ، ولعبتان أرجوانية للقطط ، وثلاثة ألعاب قطة رمادية ، وجهازي دفاتر بنفسجي ، وثلاثة دفاتر رمادية ، وثلاثة ألعاب قطة بورجوندي ، ودفتر أرجواني واحد. إذا قمت بإزالة جميع أجهزة الكمبيوتر المحمولة من الأرضية ، فكم عدد الأشياء الرمادية المتبقية عليها؟
خيارات:
(أ) صفر
(عظم
(ج) اثنان
(د) ثلاثة
(هـ) أربعة
(و) خمسة
(ز) ستة
(ح) سبعة
(أنا) ثمانية
(ي) تسعة
(ك) عشرة
(ل) أحد عشر
(م) اثنا عشر
(ن) ثلاثة عشر
(س) أربعة عشر
(ع) خمسة عشر
(س) ستة عشر",(د)
"على المكتب ، ترى مجموعة من الأشياء مرتبة على التوالي: كوب رمادي ، وكوب بنفسجي ، ودب أزرق. ما لون الشيء مباشرة على يمين الكأس؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(س)
"على المنضدة ، ترى مجموعة من العناصر مرتبة على التوالي: صفيحة ذهبية ، كرة ضغط فضية ، دفتر ملاحظات باللون الفوشيا ، سوار بنفسجي ، إبريق أخضر ، ودوران أصفر. ما لون العنصر الموجود على يسار الإبريق مباشرةً؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(أنا)
"على المنضدة ، ترى عدة عناصر مرتبة على التوالي: دمية دب فوشيا ، إبريق أحمر ، أحجية ذهبية ، سوار بورجوندي ، ودفتر ملاحظات أخضر. كم عدد العناصر غير الأرجواني التي تراها على يمين العنصر الأحمر؟
خيارات:
(أ) صفر
(عظم
(ج) اثنان
(د) ثلاثة
(هـ) أربعة
(و) خمسة
(ز) ستة",(د)
"على المكتب ، ترى مجموعة من الأشياء مرتبة في صف واحد: طبق بنفسجي ، وإبريق برتقالي ، وزوج من النظارات الشمسية بورجوندي ، وقلم أخضر ، وكرة ضغط أرجوانية. ما لون الشيء على يسار الشيء العنابي مباشرة؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(ب)
"على الأرض ، ترى سوارًا أخضر ، ولعبة قطة أرجوانية ، وزوجًا بنيًا من النظارات الشمسية ، وعجلة تململ سوداء ، ومقود كلب أحمر ، وقلم برتقالي. كم عدد الأشياء ليست سوداء ولا زرقاء؟
خيارات:
(أ) صفر
(عظم
(ج) اثنان
(د) ثلاثة
(هـ) أربعة
(و) خمسة
(ز) ستة",(F)
"على الأرض ، ترى عدة أشياء مرتبة على التوالي: قلم تلوين أزرق ، وكرة ضغط أرجوانية ، ومقود كلب بورجوندي. ما هو لون الشيء الأكثر صحة؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(ل)
"على الأرض ، أرى مظروفًا فيروزيًا ولوحة رمادية وقلم رصاص فضي وكوب أزرق مخضر. ما لون الظرف؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(ك)
"على المنضدة ، يوجد قلم تلوين أحمر ، دفتر ملاحظات وردي ، إبريق أصفر وكوب أرجواني. هل الكوب رمادي؟
خيارات:
(أ) نعم
(ب) لا",(ب)
"على الأرض ، ترى مجموعة من الأشياء مرتبة في صف واحد: مظروف أزرق وكوب برتقالي وقلم رمادي. ما لون الشيء الأبعد عن الشيب؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(و)
"على المكتب ، ترى مجموعة من الأشياء مرتبة في صف واحد: كرة ضغط زرقاء ، ولعبة قطة أرجوانية ، ولغز أحمر. ما لون الشيء الأبعد عن الجسم الأحمر؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(و)
"على المنضدة ، ترى عدة أشياء مرتبة في صف واحد: قلم ذهبي ، وكوب بنفسجي ، وظرف أزرق مخضر ، وسلسلة مفاتيح حمراء ، وأداة دوارة فيروزي. ما لون الكائن على يسار الكائن المخضر مباشرة؟
خيارات:
(أ) أحمر
(ب) برتقالي
(ج) أصفر
(د) أخضر
(هـ) أزرق
(F) بني
(ز) أرجواني
(ح) ضارب الى الحمرة
(أنا) بنفسجي
(ي) البط البري
(ك) الفيروز
(L) بورجوندي
(م) الفضة
(ن) ذهب
(س) أسود
(ع) الرمادي
(س) أرجواني
(ص) وردي",(أنا)
