aporte,objetivo
"Hoy es la víspera de Navidad de 1937. ¿Cuál es la fecha mañana en MM/DD/AAAA?
Opciones:
(A) 11/12/1937
(B) 25/12/1937
(C) 04/01/1938
(D) 04/12/1937
(E) 25/12/2006
(F) 25/07/1937",(B)
"En el Reino Unido, la gente suele poner el día antes del mes al formatear la fecha. Por lo tanto, hoy es el 01/02/1987 para ellos. ¿Cuál es la fecha de hace un mes en MM/DD/AAAA?
Opciones:
(A) 02/12/1986
(B) 01/12/1986
(C) 02/03/1986
(D) 02/12/2032
(E) 02/12/2062
(F) 06/02/1987",(A)
"Jane y John se casaron el 2 de enero de 1958. Hoy es su quinto aniversario. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 16/01/1961
(B) 09/01/1961
(C) 09/01/1963
(D) 09/03/1960
(E) 09/07/1960
(M) 28/02/1961",(B)
"Jane programó 3 citas con 5 personas para mañana (martes 9/7/1972). ¿Cuál es la fecha de hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 09/07/1972
(B) 01/12/1972
(C) 01/07/2008
(D) 13/05/1972
(E) 01/07/1972
(F) 12/08/1972",(Y)
"La reunión de hoy se reprograma para mañana, 16/10/1924, a las 11 a.m. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 22/10/1944
(B) 22/10/1924
(C) 07/10/1924
(D) 21/10/1924
(E) 22/08/1925
(F) 21/11/1924",(B)
"Jane visita la librería el día 16 de cada mes a partir de octubre de 2009. Hoy es su quinta visita a la librería. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 16/08/2009
(B) 16/02/2009
(C) 16/02/2004
(D) 13/03/2009
(E) 26/01/2009
(F) 15/02/2009",(B)
"El 9 de mayo de 2017, Jane compró 40 huevos. Ella comía uno por día. Hoy se le acabaron los óvulos. ¿Cuál es la fecha 24 horas después en MM/DD/AAAA?
Opciones:
(A) 19/06/2017
(B) 17/07/2017
(C) 20/06/2017
(D) 18/06/2017
(E) 15/06/2017
(F) 10/07/2017",(A)
"Mañana es 12/11/2019. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 10/11/2076
(B) 10/11/2019
(C) 10/09/2019
(D) 06/11/2019
(E) 11/11/2019
(F) 17/11/2019",(B)
"Jane cree que hoy es el 18/06/2019, pero John cree que hoy es el 19/06/2019. Jane tiene razón. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 17/06/2063
(B) 18/05/2019
(C) 20/05/2019
(D) 17/06/2019
(E) 13/05/2019
(F) 08/06/2019",(D)
"El primer día de 2019 es martes y hoy es el primer lunes de 2019. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 08/01/2018
(B) 07/01/2018
(C) 02/01/2018
(D) 12/01/2018
(E) 07/05/2017
(F) 29/10/2017",(B)
"Ayer fue el 31/12/1929. Hoy no podría ser el 32/12/1929 porque diciembre tiene solo 31 días. ¿Cuál es la fecha de hoy en MM/DD/AAAA?
Opciones:
(A) 08/01/1930
(B) 06/01/1930
(C) 01/01/1930
(D) 31/12/1929
(E) 01/10/1930
(M) 27/02/1930",(C)
"Hoy es 10 de abril de 1985. La cita de Jane será 3 días después. ¿Cuál es la fecha de hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 13/05/1985
(B) 03/04/1985
(C) 10/03/1986
(D) 01/04/1985
(E) 13/04/1985
(F) 12/04/1986",(B)
"Jane dejó su trabajo el 20 de marzo de 2020. Han pasado 176 días desde entonces. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 20/09/2019
(B) 01/10/2019
(C) 24/10/2019
(D) 12/09/1970
(E) 12/09/2019",(Y)
"Hoy es el día palíndromo de 2020, porque el formato MMDDAAAA de la fecha es el mismo hacia atrás que hacia adelante. ¿Cuál es la fecha de hace un mes en MM/DD/AAAA?
Opciones:
(A) 01/01/2020
(B) 02/01/2020
(C) 02/10/2019
(D) 05/11/2019
(E) 02/01/1931
(F) 03/01/2020",(B)
"Mañana es 12/11/2019. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 21/08/2019
(B) 18/11/2019
(C) 18/11/2025
(D) 18/11/2011
(E) 18/02/2020
(F) 04/11/2019",(B)
"Jane programó 3 citas con 5 personas para mañana (martes 9/7/1972). ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 09/07/1923
(B) 05/08/1972
(C) 01/09/1972
(D) 09/07/1972
(E) 09/07/2007
(F) 04/09/1972",(D)
"El 6 de mayo de 1992 es como ayer para Jane, pero en realidad fue hace diez años. ¿Cuál es la fecha de hoy en MM/DD/AAAA?
Opciones:
(A) 06/05/2095
(B) 06/05/1935
(C) 06/05/1912
(D) 06/08/2002
(E) 06/05/2002
(F) 06/05/1964",(Y)
"Jane dejó su trabajo el 20 de marzo de 2020. Han pasado 176 días desde entonces. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 13/09/2020
(B) 14/08/2020
(C) 13/09/2057
(D) 26/07/2020
(E) 04/10/2020
(F) 13/09/2084",(A)
"Hoy es 9 de septiembre de 1909. ¿Cuál es la fecha de hace 10 días en MM/DD/AAAA?
Opciones:
(A) 29/08/1909
(B) 30/08/1967
(C) 30/08/1909
(D) 30/08/1977
(E) 02/08/1909
(F) 16/08/1909",(C)
"La hora local actual son las 3:02 pm del 4/5/2004. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 14/06/2003
(B) 03/05/2003
(C) 04/12/2002
(D) 02/06/2003
(E) 04/05/2003",(Y)
"Ayer, 21 de enero de 2011, Jane comió 2 pizzas y 5 alitas. ¿Cuál es la fecha de hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 06/12/2010
(B) 15/01/2011
(C) 17/01/2011
(D) 15/03/2011
(E) 24/12/2010",(B)
"Ayer, 21 de enero de 2011, Jane comió 2 pizzas y 5 alitas. ¿Cuál es la fecha de hace 10 días en MM/DD/AAAA?
Opciones:
(A) 18/01/2011
(B) 12/01/2011
(C) 12/01/2069
(D) 13/01/2011
(E) 12/05/2010
(F) 12/08/2010",(B)
"Jane está celebrando el último día de enero de 2012. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 29/01/2012
(B) 30/09/2011
(C) 06/02/2012
(D) 30/01/2012
(E) 30/01/1925",(D)
"2015 llegará en 36 horas. ¿Cuál es la fecha de hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 22/12/2040
(B) 23/12/2014
(C) 22/12/2014
(D) 05/01/2015
(E) 22/12/2086
(F) 06/02/2015",(C)
"En el Reino Unido, la gente suele poner el día antes del mes al formatear la fecha. Por lo tanto, hoy es el 01/02/1987 para ellos. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 01/01/1987
(B) 19/10/1986
(C) 08/01/1987
(D) 01/01/2015
(E) 01/01/1934
(F) 29/12/1986",(A)
"Jane reservó un vuelo para mañana, 29 de julio de 2002. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 03/08/2002
(B) 22/10/2002
(C) 03/06/2002
(D) 04/08/2002
(E) 04/08/1930
(F) 04/07/2003",(D)
"La fecha límite es el 1 de junio de 2021, que es dentro de 2 días. ¿Cuál es la fecha de hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 23/05/2020
(B) 13/04/2021
(C) 24/05/2021
(D) 23/05/2054
(E) 23/05/1940
(M) 23/05/2021",(F)
"Jane dejó su trabajo el 20 de marzo de 2020. Han pasado 176 días desde entonces. ¿Cuál es la fecha de hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 05/02/2021
(B) 05/09/2020
(C) 15/08/2020
(D) 06/09/2020
(E) 04/09/2020",(B)
"Ayer fue 30 de abril de 2021. ¿Cuál es la fecha hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 15/05/2021
(B) 23/04/2021
(C) 15/04/2021
(D) 05/06/2021
(E) 19/04/2021
(M) 24/04/2021",(F)
"Jane visita la librería el día 16 de cada mes a partir de octubre de 2009. Hoy es su quinta visita a la librería. ¿Cuál es la fecha de hoy en MM/DD/AAAA?
Opciones:
(A) 06/02/2010
(B) 21/12/2009
(C) 16/02/1933
(D) 16/02/2010
(E) 30/11/2009
(F) 24/05/2010",(D)
"El 9 de mayo de 2017, Jane compró 40 huevos. Ella comía uno por día. Hoy se le acabaron los óvulos. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 25/06/1964
(B) 25/05/2018
(C) 24/06/2017
(D) 25/06/2063
(E) 25/06/2017
(M) 25/07/2017",(Y)
"Jane programó 3 citas con 5 personas para mañana (martes 9/7/1972). ¿Cuál es la fecha de hace 10 días en MM/DD/AAAA?
Opciones:
(A) 03/07/1972
(B) 28/10/1971
(C) 28/06/1972
(D) 14/06/1972
(E) 28/09/1972
(F) 23/06/1972",(C)
"En el Reino Unido, la gente suele poner el día antes del mes al formatear la fecha. Por lo tanto, hoy es el 01/02/1987 para ellos. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 06/12/1986
(B) 03/01/1987
(C) 04/01/1987
(D) 09/01/1987
(E) 03/01/2035
(F) 03/02/1986",(B)
"Hoy es el segundo día del tercer mes de 1966. ¿Cuál es la fecha hace una semana a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 26/02/1966
(B) 13/01/1966
(C) 02/02/1966
(D) 23/10/1966
(E) 23/02/1968
(F) 23/02/1966",(F)
"El primer día de 2019 es martes y hoy es el primer lunes de 2019. ¿Cuál es la fecha 24 horas después en MM/DD/AAAA?
Opciones:
(A) 08/01/1960
(B) 01/01/2019
(C) 08/02/2018
(D) 08/01/2019
(E) 22/10/2018
(F) 08/01/2043",(D)
"Este es el último día de 1899. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 07/02/1900
(B) 22/02/1900
(C) 13/01/1900
(D) 07/01/1900
(E) 07/10/1900
(F) 07/01/1828",(D)
"Jane dejó su trabajo el 20 de marzo de 2020. Han pasado 176 días desde entonces. ¿Cuál es la fecha 24 horas después en MM/DD/AAAA?
Opciones:
(A) 19/09/2020
(B) 13/09/2020
(C) 13/06/2021
(D) 05/10/2020
(E) 13/12/2020
(F) 13/09/1991",(B)
"En el Reino Unido, la gente suele poner el día antes del mes al formatear la fecha. Por lo tanto, hoy es el 01/02/1987 para ellos. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 09/01/1986
(B) 02/01/1986
(C) 05/12/1985
(D) 10/11/1985
(E) 20/12/1985
(F) 22/10/1985",(B)
"Ayer fue el 31/12/1929. Hoy no podría ser el 32/12/1929 porque diciembre tiene solo 31 días. ¿Cuál es la fecha de hace un mes en MM/DD/AAAA?
Opciones:
(A) 01/04/1930
(B) 01/12/1929
(C) 01/12/1973
(D) 02/12/1929
(E) 11/12/1929
(F) 04/12/1929",(B)
"Hoy es 19/04/1969. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 26/04/1969
(B) 05/04/1969
(C) 11/05/1969
(D) 27/04/1969
(E) 14/05/1969
(M) 25/04/1969",(A)
"Jane nació el último día de febrero de 2001. Hoy es su cumpleaños de 16 años. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 25/03/2017
(B) 01/03/2017
(C) 01/03/2116
(D) 20/02/2017
(E) 17/03/2017
(F) 01/03/2076",(B)
"Jane cree que hoy es el 18/06/2019, pero John cree que hoy es el 19/06/2019. Juan tiene razón. ¿Cuál es la fecha dentro de una semana en MM/DD/AAAA?
Opciones:
(A) 19/06/2019
(B) 24/06/2019
(C) 26/08/2019
(D) 25/06/2019
(E) 26/06/2019
(F) 03/07/2019",(Y)
"El 6 de mayo de 1992 es como ayer para Jane, pero en realidad fue hace diez años. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 16/04/2002
(B) 07/04/2003
(C) 07/05/2036
(D) 28/05/2002
(E) 07/05/2002",(Y)
"Jane renunció a su trabajo el 20 de marzo de 2020. Han pasado 176 días desde entonces. ¿Cuál es la fecha de hoy en MM/DD/AAAA?
Opciones:
(A) 12/09/2020
(B) 12/11/2020
(C) 12/12/2020
(D) 12/09/1961
(E) 17/09/2020",(A)
"Hoy, 3/8/1997, es un día que nunca olvidaremos. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 07/10/1996
(B) 03/08/2035
(C) 03/05/1997
(D) 03/08/1996
(E) 04/08/1996",(D)
"El concierto estaba previsto para el 01/06/1943, pero se retrasó un día hasta hoy. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 27/05/1943
(B) 04/06/1943
(C) 01/06/2005
(D) 20/03/1943
(E) 24/05/1943
(F) 01/06/1943",(F)
"Jane nació el último día de febrero de 2001. Hoy es su cumpleaños de 16 años. ¿Cuál es la fecha 24 horas después en MM/DD/AAAA?
Opciones:
(A) 04/05/2017
(B) 01/03/1919
(C) 01/03/2017
(D) 01/03/2005
(E) 15/02/2017
(M) 02/06/2017",(C)
"Jane y John se casaron el 2 de enero de 1958. Hoy es su aniversario de bodas de oro. ¿Cuál es la fecha de hace 10 días en MM/DD/AAAA?
Opciones:
(A) 29/03/2008
(B) 17/12/2007
(C) 23/08/2007
(D) 22/12/2007
(E) 23/12/2007",(Y)
"Hoy es el día palíndromo de 2020, porque el formato MMDDAAAA de la fecha es el mismo hacia atrás que hacia adelante. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 03/01/2020
(B) 04/02/2020
(C) 03/04/2020
(D) 03/11/2020
(E) 03/02/1964
(F) 03/02/2020",(F)
"Jane y John se casaron el 2 de enero de 1958. Hoy es su aniversario de bodas de oro. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 31/12/2007
(B) 01/01/2008
(C) 03/02/2008
(D) 02/01/2008
(E) 27/12/2007",(B)
"Jane programó 3 citas con 5 personas para mañana (martes 9/7/1972). ¿Cuál es la fecha de hace un mes en MM/DD/AAAA?
Opciones:
(A) 08/06/2059
(B) 22/06/1972
(C) 08/12/1971
(D) 08/06/2034
(E) 08/06/1972
(F) 07/06/1972",(Y)
"Hoy es 7/9. Jane está viendo NFL 2003. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 08/09/1916
(B) 13/09/2003
(C) 18/08/2003
(D) 08/09/2003
(E) 15/09/2003
(M) 01/09/2003",(D)
"Jane consiguió su trabajo en 2016. Hoy es su tercer aniversario laboral. Todavía recuerda que el 2 de diciembre, su segundo día de trabajo, derramó café en su computadora portátil. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 02/08/2020
(B) 02/12/1950
(C) 18/11/2019
(D) 02/12/2019
(E) 02/01/2020
(F) 01/12/2019",(D)
"Ayer fue 30 de abril de 2021. ¿Cuál es la fecha hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 15/05/2020
(B) 01/05/2020
(C) 08/05/2020
(D) 01/04/2020
(E) 01/05/1971",(B)
"Hoy es la víspera de Navidad de 1937. ¿Cuál es la fecha de hoy en MM/DD/AAAA?
Opciones:
(A) 24/12/1937
(B) 30/12/1937
(C) 27/12/1937
(D) 17/12/1937
(E) 31/12/1937
(M) 24/05/1938",(A)
"El primer día de 2019 es martes y hoy es el primer lunes de 2019. ¿Cuál es la fecha de ayer en MM/DD/AAAA?
Opciones:
(A) 06/01/1960
(B) 27/12/2018
(C) 06/01/2019
(D) 07/01/2019
(E) 06/01/2058
(F) 06/10/2019",(C)
"Este es el último día de 1899. ¿Cuál es la fecha de mañana en MM/DD/AAAA?
Opciones:
(A) 01/01/1900
(B) 22/01/1900
(C) 01/01/1899
(D) 06/02/1900
(E) 08/01/1900
(F) 01/01/1827",(A)
"Jane nació el último día de febrero de 2000. Hoy es su cumpleaños de 16 años. ¿Cuál es la fecha de hace un año a partir de hoy en MM/DD/AAAA?
Opciones:
(A) 28/02/2015
(B) 10/03/2015
(C) 08/03/2015
(D) 28/04/2015
(E) 21/02/2015
(M) 28/03/2015",(A)
