aporte,objetivo
Pregunta: Sherrie dice la verdad. Vernell dice que Sherrie dice la verdad. Alexis dice que Vernell miente. Michaela dice que Alexis dice la verdad. Elanor dice que Michaela dice la verdad. ¿Elanor dice la verdad?,No
Pregunta: Kristian miente. Sherrie dice que Kristian miente. Delbert dice que Sherrie miente. Jerry dice que Delbert dice la verdad. Shalonda dice que Jerry dice la verdad. ¿Shalonda dice la verdad?,No
Pregunta: Vina dice la verdad. Helene dice que Vina miente. Kandi dice que Helene dice la verdad. Jamey dice que Kandi miente. Ka dice que Jamey miente. ¿Ka dice la verdad?,No
Pregunta: Christie dice la verdad. Ka dice que Christie dice la verdad. Delbert dice que Ka miente. Leda dice que Delbert dice la verdad. Lorine dice que Leda dice la verdad. ¿Lorine dice la verdad?,No
Pregunta: Tamika miente. Raymond dice que Tamika dice la verdad. Willian dice que Raymond dice la verdad. Shaunda dice que Willian miente. Elanor dice que Shaunda dice la verdad. ¿Elanor dice la verdad?,Sí
Pregunta: Vernell dice la verdad. Kandi dice que Vernell dice la verdad. Alexis dice que Kandi dice la verdad. Sima dice que Alexis miente. Phoebe dice que Sima dice la verdad. ¿Phoebe dice la verdad?,No
Pregunta: Shalonda miente. Teressa dice que Shalonda dice la verdad. Tamika dice que Teressa miente. Lorine dice que Tamika dice la verdad. Jaymie dice que Lorine miente. ¿Jaymie dice la verdad?,No
Pregunta: Jim miente. Crista dice que Jim miente. Vernell dice que Crista dice la verdad. Bernita dice que Vernell dice la verdad. Millicent dice que Bernita dice la verdad. ¿Millicent dice la verdad?,Sí
Pregunta: Fletcher dice la verdad. Conception dice que Fletcher dice la verdad. Bernita dice que Concepción dice la verdad. Jamey dice que Bernita dice la verdad. Teresa dice que Jamey miente. ¿Teressa dice la verdad?,No
Pregunta: Rashida dice la verdad. Jim dice que Rashida miente. Alejandro dice que Jim miente. Tamika dice que Alejandro dice la verdad. Fidel dice que Tamika miente. ¿Fidel dice la verdad?,No
Pregunta: Jerry miente. Millicent dice que Jerry dice la verdad. Sal dice que Millicent dice la verdad. Amberly dice que Sal dice la verdad. Shenna dice que Amberly miente. ¿Shenna dice la verdad?,Sí
Pregunta: Audrie miente. Concepción dice que Audrie miente. Teresa dice que Concepción dice la verdad. Delfina dice que Teresa miente. Helene dice que Delfina dice la verdad. ¿Helene dice la verdad?,No
Pregunta: Millie dice la verdad. Millicent dice que Millie miente. Phoebe dice que Millicent dice la verdad. Sherrie dice que Phoebe miente. Raymond dice que Sherrie dice la verdad. ¿Raymond dice la verdad?,Sí
