Eingang,Ziel
Ist der folgende Satz plausibel? „Elias Lindholm hat den Summer geschlagen.“,no
Ist der folgende Satz plausibel? „John Carlson hat im dritten Drittel ein Tor erzielt.“,Ja
Ist der folgende Satz plausibel? „Marcelo hatte einen Steilpass am Ende.“,Ja
Ist der folgende Satz plausibel? „Deshaun Watson wurde für den Torwart im Finale der Eastern Conference nominiert.“,no
Ist der folgende Satz plausibel? „Mookie Betts lief hinter dem Netz.“,no
Ist der folgende Satz plausibel? „John Tavares hat sich im Stanley Cup einen Ausflug auf die Strafbank verdient.“,Ja
Ist der folgende Satz plausibel? „David Silva hat einen Einwurf gemacht.“,Ja
Ist der folgende Satz plausibel? „Bryce Harper hat den Back-Shoulder-Fade getroffen.“,no
Ist der folgende Satz plausibel? „Carles Puyol hat dem Verteidiger einen Maradona verpasst.“,Ja
Ist der folgende Satz plausibel? „Robin Lehner löste den Verzweiflungsstoß aus.“,no
Ist der folgende Satz plausibel? „Carson Wentz ging aufs Eis.“,no
Ist der folgende Satz plausibel? „Kwadwo Asamoah wurde im Stück gemeldet.“,no
Ist der folgende Satz plausibel? „Jack Flaherty erreichte die erste Base der National League Championship Series.“,Ja
Ist der folgende Satz plausibel? „Jayson Tatum hat den Verteidiger verärgert.“,no
Ist der folgende Satz plausibel? „Dougie Hamilton hat den Buzzer betätigt.“,no
Ist der folgende Satz plausibel? „Frederik Andersen hat im Stanley Cup die blaue Linie überschritten.“,Ja
"Ist der folgende Satz plausibel? „Freddie Freeman sah zu, wie das Spielfeld vorbeizog.“",Ja
Ist der folgende Satz plausibel? „Adam Thielen hat in der Nachspielzeit getroffen.“,no
Ist der folgende Satz plausibel? „Tom Brady verwandelte den First Down.“,Ja
Ist der folgende Satz plausibel? „Giorgio Chiellini hat im FA Cup ein Handspiel begangen.“,Ja
Ist der folgende Satz plausibel? „Tyreek Hill hat den Bildschirmpass erwischt.“,Ja
Ist der folgende Satz plausibel? „Frederik Andersen hat einen Dreier geholt.“,no
Ist der folgende Satz plausibel? „Adam Thielen ist auf der Basis angekommen.“,no
Ist der folgende Satz plausibel? „Gerard Pique hat einen Eckstoß erzielt.“,Ja
Ist der folgende Satz plausibel? „Kailer Yamamoto zeigte im Europapokal einen Slide Tackle.“,no
Ist der folgende Satz plausibel? „Corbin Burnes hat sich einen indirekten Kick verdient.“,no
Ist der folgende Satz plausibel? „LaMelo Ball warf im Finale der Western Conference den Half-Court-Wurf.“,Ja
Ist der folgende Satz plausibel? „Jonas Valanciunas hat den Summer geschlagen.“,Ja
Ist der folgende Satz plausibel? „Zach LaVine  hat den Puck geschossen.“,no
Ist der folgende Satz plausibel? „Nazem Kadri hat in der NBA-Meisterschaft eine Führungsrolle übernommen.“,no
Ist der folgende Satz plausibel? „Delon Wright hat es im vierten Down versucht.“,no
Ist der folgende Satz plausibel? „Malcolm Brogdon hat den Schuss platziert.“,Ja
Ist der folgende Satz plausibel? „Michael Conforto hat einen Verstoß von drei Sekunden begangen.“,no
Ist der folgende Satz plausibel? „Jakub Vrana hat einen Walkoff-Homerun geschossen.“,no
Ist der folgende Satz plausibel? „Tom Wilson hat einen Elfmeter geschossen.“,no
Ist der folgende Satz plausibel? „Aleksander Barkov hat den Puck zugespielt.“,Ja
Ist der folgende Satz plausibel? „Malik Beasley hat einen Verstoß von drei Sekunden begangen.“,Ja
Ist der folgende Satz plausibel? „Draymond Green warf einen Touchdown.“,no
Ist der folgende Satz plausibel? „T.Y. Hilton hat in der AFC-Divisionsrunde einen Touchdown geworfen.“,Ja
Ist der folgende Satz plausibel? „Robert Woods verwandelte den First Down.“,Ja
Ist der folgende Satz plausibel? „Julian Edelman hat den Ball gefummelt.“,Ja
Ist der folgende Satz plausibel? „Neymar hat im Stanley Cup einen Rückhandschuss gemacht.“,no
Ist der folgende Satz plausibel? „Jonathan Marchessault erzielte im Powerplay im Stanley Cup ein Tor.“,Ja
Ist der folgende Satz plausibel? „Fred VanVleet hat im Champions-League-Finale einen Freistoß erzielt.“,no
Ist der folgende Satz plausibel? „Santi Cazorla hat nach der Leinwand gerufen.“,no
Ist der folgende Satz plausibel? „Edinson Cavani hat den Bildschirmpass erwischt.“,no
Ist der folgende Satz plausibel? „DJ Chark hat in der NFC-Divisionsrunde den Back-Shoulder-Fade miterlebt.“,Ja
Ist der folgende Satz plausibel? „Petr Cech hat den Dreier geblockt.“,no
Ist der folgende Satz plausibel? „Michael Porter Jr. hat nach der Leinwand gerufen.“,Ja
Ist der folgende Satz plausibel? „Robert Lewandowski warf einen Touchdown.“,no
Ist der folgende Satz plausibel? „Philip Rivers hat ein Ave Maria gestartet.“,Ja
Ist der folgende Satz plausibel? „Drew Brees hat es im vierten Down geschafft.“,Ja
Ist der folgende Satz plausibel? „Kevin Durant hat einen Walkoff-Homerun geschossen.“,no
Ist der folgende Satz plausibel? „Santi Cazorla hat im Champions-League-Finale eine Rote Karte bekommen.“,Ja
Ist der folgende Satz plausibel? „Ryan Tannehill hat einen Triple geschlagen.“,no
Ist der folgende Satz plausibel? „Gleyber Torres hat einen Basehit bekommen.“,Ja
Ist der folgende Satz plausibel? „Kawhi Leonard hat einen Turnaround-Sprung gemacht.“,Ja
Ist der folgende Satz plausibel? „Brandin Cooks hat es im vierten Down geschafft.“,Ja
Ist der folgende Satz plausibel? „Clint Capela ist in der Endzone angekommen.“,no
"Ist der folgende Satz plausibel? „Javier Zanetti hat in der National League Championship Series zugeschaut, wie das Spielfeld vorbeizog.“",no
Ist der folgende Satz plausibel? „Wayne Rooney hat im Superbowl einen Touchdown geworfen.“,no
Ist der folgende Satz plausibel? „Tyler Boyd hat in der NFC-Divisionsrunde den Screen Pass erzielt.“,Ja
Ist der folgende Satz plausibel? „Marouane Fellaini erzielte in der Verlängerung ein Tor.“,Ja
Ist der folgende Satz plausibel? „Joao Moutinho war auf dem dritten Platz draußen.“,no
Ist der folgende Satz plausibel? „Vincent Kompany hat einen Verstoß von drei Sekunden begangen.“,no
