aporte,objetivo
"Alice, Bob, Claire, Dave y Eve son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Patrick, Bob baila con Sam, Claire baila con Jamie, Dave baila con Lola y Eve baila con Melissa.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Dave y Eve cambian de pareja. Luego, Dave y Alice cambian de pareja. Luego, Eve y Alice cambian de pareja. Luego, Claire y Bob cambian de pareja. Finalmente, Dave y Alice cambian de pareja. Al final del baile, Alice baila con
Opciones:
(A) Patricio
(B) Sam
(C) Jaime
(D)Lola
(E) Melisa",(A)
"Alice, Bob, Claire, Dave y Eve son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Ophelia, Bob baila con Jamie, Claire baila con Melissa, Dave baila con Rodrigo y Eve baila con Patrick.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Claire y Bob cambian de pareja. Luego, Claire y Eve cambian de pareja. Luego, Claire y Bob cambian de pareja. Luego, Eve y Dave cambian de pareja. Finalmente, Claire y Alice cambian de pareja. Al final del baile, Alice baila con
Opciones:
(A) Ofelia
(B) Jaime
(C) Melisa
(D)Rodrigo
(E) Patricio",(C)
"Alice, Bob, Claire, Dave y Eve son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Jamie, Bob baila con Lola, Claire baila con Izzi, Dave baila con Rodrigo y Eve baila con Ophelia.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Bob y Eve cambian de pareja. Luego, Alice y Bob cambian de pareja. Luego, Dave y Alice cambian de pareja. Luego, Dave y Claire cambian de pareja. Finalmente, Bob y Claire cambian de pareja. Al final del baile, Claire está bailando con
Opciones:
(A) Jaime
(B)Lola
(C) Izzi
(D)Rodrigo
(E) Ofelia",(A)
"Alice, Bob, Claire, Dave y Eve son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Catch-22, Bob obtiene El perro de los Baskerville, Claire obtiene Frankenstein, Dave obtiene La perla y Eve obtiene La comunidad del anillo.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Eve y Alice intercambian libros. Luego, Alice y Claire intercambian libros. Luego, Alice y Bob intercambian libros. Luego, Dave y Alice intercambian libros. Finalmente, Dave y Claire intercambian libros. Al final del semestre, Dave tiene
Opciones:
(A) Trampa 22
(B) Sabueso de los Baskerville
(C)Frankenstein
(D) La Perla
(E) La Comunidad del Anillo",(Y)
"Alice, Bob, Claire, Dave y Eve son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Moby Dick, Bob obtiene Ulises, Claire obtiene La comunidad del anillo, Dave obtiene Lolita y Eve recibe Catch-22.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Claire y Bob intercambian libros. Luego, Claire y Dave intercambian libros. Luego, Dave y Alice intercambian libros. Luego, Dave y Bob intercambian libros. Finalmente, Eve y Dave intercambian libros. Al final del semestre, Claire tiene
Opciones:
(A) Moby Dick
(B) Ulises
(C) La Comunidad del Anillo
(D)Lolita
(E) Trampa 22",(D)
"Alice, Bob, Claire, Dave y Eve están en el mismo equipo en un partido de fútbol. Al comienzo del partido, a cada uno se le asigna una posición: Alice juega de portera, Bob juega de mediocampista izquierdo, Claire juega de extremo derecho, Dave juega de delantero y Eve juega de mediocampista central.
A medida que avanza el juego, ocasionalmente las parejas de jugadores intercambian posiciones. Primero, Alice y Claire intercambian posiciones. Luego, Alice y Bob intercambian posiciones. Luego, Dave y Bob intercambian posiciones. Luego, Bob y Eve intercambian posiciones. Finalmente, Dave y Eve intercambian posiciones. Al final del partido, Eve está jugando.
Opciones:
(Un) portero
(B) mediocampista izquierdo
(C) extremo derecho
(D) delantero
(E) mediocampista central",(C)
"Alice, Bob, Claire, Dave y Eve son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Helga, Bob baila con Jamie, Claire baila con Ophelia, Dave baila con Karl y Eve baila con Rodrigo.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Eve y Bob cambian de pareja. Luego, Dave y Claire cambian de pareja. Luego, Claire y Bob cambian de pareja. Luego, Dave y Alice cambian de pareja. Finalmente, Claire y Eve cambian de pareja. Al final del baile, Claire está bailando con
Opciones:
(A) Helga
(B) Jaime
(C) Ofelia
(D) Carlos
(E)Rodrigo",(B)
"Alice, Bob, Claire, Dave y Eve están realizando un intercambio de regalos de elefante blanco. Al comienzo del evento, cada uno sostiene un regalo de un color diferente: Alice tiene un regalo verde, Bob tiene un regalo morado, Claire tiene un regalo azul, Dave tiene una pelota negra y Eve tiene un regalo blanco.
A medida que avanza el evento, parejas de personas intercambian regalos. Primero, Eve y Bob intercambian sus regalos. Luego, Claire y Alice intercambian sus regalos. Luego, Bob y Eve intercambian sus regalos. Luego, Dave y Claire intercambian sus regalos. Finalmente, Alice y Eve intercambian sus regalos. Al final del evento, Claire tiene la
Opciones:
(A) presente verde
(B) presente morado
(C) presente azul
(D) bola negra
(E) presente blanco",(D)
"Alice, Bob, Claire, Dave y Eve son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe La Comunidad del Anillo, Bob obtiene La Odisea, Claire obtiene Frankenstein, Dave obtiene El perro de los Baskerville y Eve recibe Ulises.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Alice y Claire intercambian libros. Luego, Alice y Eve intercambian libros. Luego, Dave y Claire intercambian libros. Luego, Dave y Bob intercambian libros. Finalmente, Dave y Alice intercambian libros. Al final del semestre, Alice tiene
Opciones:
(A) La Comunidad del Anillo
(B) La Odisea
(C)Frankenstein
(D) Sabueso de los Baskerville
(E) Ulises",(B)
"Alice, Bob, Claire, Dave y Eve están en el mismo equipo en un partido de fútbol. Al comienzo del partido, a cada uno se le asigna una posición: Alice juega como calienta bancas, Bob juega como mediocampista izquierdo, Claire juega como extremo izquierdo, Dave juega como mediocampista central y Eve juega como delantera.
A medida que avanza el juego, ocasionalmente las parejas de jugadores intercambian posiciones. Primero, Eve y Dave intercambian posiciones. Luego, Dave y Alice intercambian posiciones. Luego, Claire y Bob intercambian posiciones. Luego, Bob y Eve intercambian posiciones. Finalmente, Alice y Dave intercambian posiciones. Al final del partido, Eve está jugando.
Opciones:
(A) calentador de banco
(B) mediocampista izquierdo
(C) extremo izquierdo
(D) mediocampista central
(E) delantero",(C)
"Alice, Bob, Claire, Dave y Eve están jugando. Al comienzo del juego, cada uno sostiene una pelota: Alice tiene una pelota roja, Bob tiene una pelota negra, Claire tiene una pelota azul, Dave tiene una pelota amarilla y Eve tiene una pelota marrón.
A medida que avanza el juego, las parejas de jugadores intercambian bolas. Primero, Claire y Eve intercambian pelotas. Luego, Alice y Bob intercambian pelotas. Luego, Eve y Dave intercambian pelotas. Luego, Claire y Dave intercambian pelotas. Finalmente, Claire y Alice intercambian pelotas. Al final del juego, Claire tiene la
Opciones:
(A) bola roja
(B) bola negra
(C) bola azul
(D) bola amarilla
(E) bola marrón",(B)
"Alice, Bob, Claire, Dave y Eve están jugando. Al comienzo del juego, cada uno sostiene una pelota: Alice tiene una pelota marrón, Bob tiene una pelota negra, Claire tiene una pelota roja, Dave tiene una pelota rosa y Eve tiene una pelota azul.
A medida que avanza el juego, las parejas de jugadores intercambian bolas. Primero, Claire y Bob intercambian pelotas. Luego, Claire y Eve intercambian pelotas. Luego, Bob y Claire intercambian pelotas. Luego, Dave y Claire intercambian pelotas. Finalmente, Alice y Dave intercambian pelotas. Al final del juego, Claire tiene la
Opciones:
(A) bola marrón
(B) bola negra
(C) bola roja
(D) bola rosa
(E) bola azul",(D)
"Alice, Bob, Claire, Dave y Eve son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Karl, Bob baila con Jamie, Claire baila con Melissa, Dave baila con Lola y Eve baila con Ophelia.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Bob y Claire cambian de pareja. Luego, Alice y Dave cambian de pareja. Luego, Bob y Alice cambian de pareja. Luego, Claire y Eve cambian de pareja. Finalmente, Eve y Alice cambian de pareja. Al final del baile, Claire está bailando con
Opciones:
(A) Carlos
(B) Jaime
(C) Melisa
(D)Lola
(E) Ofelia",(Y)
"Alice, Bob, Claire, Dave y Eve están en el mismo equipo en un partido de fútbol. Al comienzo del partido, a cada uno se le asigna una posición: Alice juega de extremo derecho, Bob juega de calienta bancas, Claire juega de mediocampista derecho, Dave juega de portero y Eve juega de animadora.
A medida que avanza el juego, ocasionalmente las parejas de jugadores intercambian posiciones. Primero, Bob y Alice intercambian posiciones. Luego, Dave y Claire intercambian posiciones. Luego, Alice y Claire intercambian posiciones. Luego, Eve y Alice intercambian posiciones. Finalmente, Dave y Bob intercambian posiciones. Al final del partido, Claire está jugando.
Opciones:
(A) extremo derecho
(B) calienta bancas
(C) mediocampista derecho
(D) portero
(E) animadora",(B)
