input,target
Domanda: Sherrie dice la verità. Vernell dice che Sherrie dice la verità. Alexis dice che Vernell mente. Michaela dice che Alexis dice la verità. Elanor dice che Michaela dice la verità. Elanor dice la verità?,No
Domanda: Kristian mente. Sherrie dice che Kristian mente. Delbert dice che Sherrie mente. Jerry dice che Delbert dice la verità. Shalonda dice che Jerry dice la verità. Shalonda dice la verità?,No
Domanda: Vina dice la verità. Helene dice che Vina mente. Kandi dice che Helene dice la verità. Jamey dice che Kandi mente. Ka dice che Jamey mente. Ka dice la verità?,No
Domanda: Christie dice la verità. Ka dice che Christie dice la verità. Delbert dice che Ka mente. Leda dice che Delbert dice la verità. Lorine dice che Leda dice la verità. Lorine dice la verità?,No
Domanda: Tamika mente. Raymond dice che Tamika dice la verità. Willian dice che Raymond dice la verità. Shaunda dice che Willian mente. Elanor dice che Shaunda dice la verità. Elanor dice la verità?,Yes
Domanda: Vernell dice la verità. Kandi dice che Vernell dice la verità. Alexis dice che Kandi dice la verità. Sima dice che Alexis mente. Phoebe dice che Sima dice la verità. Phoebe dice la verità?,No
Domanda: Shalonda mente. Teressa dice che Shalonda dice la verità. Tamika dice che Teressa mente. Lorine dice che Tamika dice la verità. Jaymie dice che Lorine mente. Jaymie dice la verità?,No
Domanda: Jim mente. Crista dice che Jim mente. Vernell dice che Crista dice la verità. Bernita dice che Vernell dice la verità. Millicent dice che Bernita dice la verità. Millicent dice la verità?,Yes
Domanda: Fletcher dice la verità. Conception dice che Fletcher dice la verità. Bernita dice che Conception dice la verità. Jamey dice che Bernita dice la verità. Teressa dice che Jamey mente. Teressa dice la verità?,No
Domanda: Rashida dice la verità. Jim dice che Rashida mente. Alejandro dice che Jim mente. Tamika dice che Alejandro dice la verità. Fidel dice che Tamika mente. Fidel dice la verità?,No
Domanda: Jerry mente. Millicent dice che Jerry dice la verità. Sal dice che Millicent dice la verità. Amberly dice che Sal dice la verità. Shenna dice che Amberly mente. Shenna dice la verità?,Yes
Domanda: Audrie mente. Conception dice che Audrie mente. Teressa dice che Conception dice la verità. Delfina dice che Teressa mente. Helene dice che Delfina dice la verità. Helene dice la verità?,No
Domanda: Millie dice la verità. Millicent dice che Millie mente. Phoebe dice che Millicent dice la verità. Sherrie dice che Phoebe mente. Raymond dice che Sherrie dice la verità. Raimondo dice la verità?,Yes
Domanda: Inga dice la verità. Shenna dice che Inga mente. Rashida dice che Shenna dice la verità. Ka dice che Rashida dice la verità. Shalonda dice che Ka dice la verità. Shalonda dice la verità?,No
Domanda: Amberly mente. Shenna dice che Amberly dice la verità. Willian dice che Shenna dice la verità. Raymond dice che Willian mente. Sal dice che Raymond mente. Sal dice la verità?,No
Domanda: Willian mente. Inga dice che Willian dice la verità. Fidel dice che Inga mente. Gwenn dice che Fidel dice la verità. Crista dice che Gwenn dice la verità. Crista dice la verità?,Yes
Domanda: Ka mente. Christie dice che Ka dice la verità. Jerry dice che Christie mente. Crista dice che Jerry mente. Yoland dice che Crista dice la verità. Yoland dice la verità?,No
Domanda: Ka mente. Andree dice che Ka dice la verità. Audrie dice che Andree mente. Antwan dice che Audrie dice la verità. Millie dice che Antwan dice la verità. Millie dice la verità?,Yes
Domanda: Shalonda dice la verità. Alexis dice che Shalonda dice la verità. Christie dice che Alexis mente. Inga dice che Christie dice la verità. Crista dice che Inga dice la verità. Crista dice la verità?,No
Domanda: Fidel mente. Sal dice che Fidel dice la verità. Osvaldo dice che Sal mente. Alexis dice che Osvaldo mente. Millie dice che Alexis dice la verità. Millie dice la verità?,No
Domanda: Raymond dice la verità. Sal dice che Raymond mente. Alexis dice che Sal mente. Helene dice che Alexis mente. Elanor dice che Helene mente. Elanor dice la verità?,Yes
Domanda: Ryan dice la verità. Sal dice che Ryan dice la verità. Leda dice che Sal dice la verità. Rashida dice che Leda dice la verità. Alejandro dice che Rashida dice la verità. Alejandro dice la verità?,Yes
Domanda: Sima mente. Millie dice che Sima dice la verità. Jerry dice che Millie dice la verità. Vina dice che Jerry mente. Maybelle dice che Vina dice la verità. Maybelle dice la verità?,Yes
Domanda: Phoebe dice la verità. Christie dice che Phoebe dice la verità. Fletcher dice che Christie dice la verità. Amberly dice che Fletcher mente. Raymond dice che Amberly dice la verità. Raimondo dice la verità?,No
Domanda: Delfina dice la verità. Fletcher dice che Delfina mente. Amberly dice che Fletcher mente. Audrie dice che Amberly dice la verità. Lorine dice che Audrie dice la verità. Lorine dice la verità?,Yes
Domanda: Amberly dice la verità. Jamey dice che Amberly dice la verità. Shalonda dice che Jamey mente. Antwan dice che Shalonda dice la verità. Alejandro dice che Antwan mente. Alejandro dice la verità?,Yes
Domanda: Leda dice la verità. Alexis dice che Leda mente. Sal dice che Alexis mente. Phoebe dice che Sal dice la verità. Gwenn dice che Phoebe dice la verità. Gwenn dice la verità?,Yes
Domanda: Fletcher mente. Phoebe dice che Fletcher dice la verità. Vina dice che Phoebe dice la verità. Andree dice che Vina dice la verità. Willian dice che Andree dice la verità. Willian dice la verità?,No
Domanda: Ryan mente. Kristian dice che Ryan mente. Teressa dice che Kristian dice la verità. Amberly dice che Teressa dice la verità. Jamey dice che Amberly dice la verità. Jamey dice la verità?,Yes
Domanda: Shalonda mente. Jaymie dice che Shalonda dice la verità. Raymond dice che Jaymie mente. Audrie dice che Raymond mente. Sherrie dice che Audrie mente. Sherrie dice la verità?,Yes
Domanda: Kandi dice la verità. Michaela dice che Kandi mente. Vernell dice che Michaela mente. Antwan dice che Vernell dice la verità. Sal dice che Antwan mente. Sal dice la verità?,No
Domanda: Audrie mente. Sherrie dice che Audrie mente. Willian dice che Sherrie dice la verità. Conception dice che Willian dice la verità. Gwenn dice che Conception mente. Gwenn dice la verità?,No
Domanda: Delfina dice la verità. Willian dice che Delfina dice la verità. Crista dice che Willian mente. Shalonda dice che Crista mente. Shenna dice che Shalonda dice la verità. Shenna dice la verità?,Yes
