مدخل,هدف
ليس (صحيح) و (صحيح) هو,خطأ شنيع
صحيح وليس (ليس خطأ) هو,حقيقي
not true أو False or (False) is,خطأ شنيع
خطأ أم لا (صواب) والخطأ هو,خطأ شنيع
صواب أم لا خطأ وصحيح وخطأ هو,حقيقي
خطأ أم لا ليس خطأ وصحيح هو,حقيقي
ليس صحيحًا و (خطأ أو صحيح) هو,خطأ شنيع
صحيح وليس خطأ أو (صواب) هو,حقيقي
ليس صحيحًا أو (خطأ وصحيح),خطأ شنيع
ليس صحيحا أو (صواب أو خطأ) هو,حقيقي
خطأ أو (خطأ) وليس خطأ هو,خطأ شنيع
ليس خطأ أو صواب و خطأ و خطأ هو,حقيقي
ليس صحيحا أو خطأ أو ليس صحيحا,حقيقي
الصواب والصحيح والباطل وليس الصواب,خطأ شنيع
ليس صحيحًا وليس صحيحًا أو صحيحًا,حقيقي
ليس ليس (صواب وخطأ) هو,حقيقي
لا لا خطأ ولا ليس خطأ,خطأ شنيع
(صواب وليس صواب وخطأ) هو,خطأ شنيع
خطأ وخطأ وخطأ أو لا خطأ,حقيقي
خطأ أو (خطأ وليس خطأ) هو,خطأ شنيع
صواب وخطأ أو (غير صحيح) هو,خطأ شنيع
ليس (صواب) وليس خطأ,حقيقي
ليس خطأ أو (صواب) وصحيح هو,حقيقي
ليس (صواب) أو خطأ أو صواب,حقيقي
(صحيح وليس غير صحيح) هو,خطأ شنيع
(خطأ أو ليس خطأ أو خطأ) هو,حقيقي
خطأ وخطأ أو صواب وليس خطأ,حقيقي
ليس خطأ أو ليس خطأ أو صواب,حقيقي
صحيح وليس صحيحا أو خطأ أو صحيحا,حقيقي
ليس خطأ أو صواب و خطأ أو خطأ هو,حقيقي
خطأ و (ليس خطأ) أو خطأ هو,خطأ شنيع
ليس ليس ليس (ليس خطأ) هو,حقيقي
(صواب) وصحيح أم لا,حقيقي
ليس صواب أو خطأ وخطأ و خطأ هو,خطأ شنيع
لا لا لا لا لا لا خطأ,حقيقي
ليس صحيحا أو ليس خطأ وليس خطأ,حقيقي
خطأ أم صواب أم خطأ وليس خطأ,حقيقي
ليس (صواب أو صحيح) والخطأ هو,خطأ شنيع
ليس ليس ليس صحيحا وليس صحيحا,خطأ شنيع
(خطأ) أو خطأ وليس صحيحًا,خطأ شنيع
(خطأ وصحيح أم لا خطأ) هو,حقيقي
ليس ليس (خطأ وصحيح) هو,حقيقي
ليس صحيحا وليس خطأ أو صحيحا,حقيقي
ليس خطأ أو صواب وليس صحيحًا,حقيقي
صواب أم صواب أم لا خطأ أم خطأ هو,حقيقي
(ليس خطأ وخطأ وخطأ) هو,خطأ شنيع
((غير صحيح) أو صحيح) هو,حقيقي
ليس ليس (ليس خطأ أو صواب) هو,حقيقي
ليس صواب أو خطأ أو (صواب) هو,حقيقي
خطأ أو (ليس خطأ) وصحيح هو,حقيقي
not False or False or (False) is,حقيقي
ليس خطأ أو خطأ وليس صحيحا,خطأ شنيع
صحيح أو ((غير صحيح)) هو,حقيقي
ليس خطأ وليس خطأ وليس خطأ,حقيقي
(خطأ) وليس خطأ وصحيح هو,خطأ شنيع
(صواب) وخطأ أم لا خطأ,حقيقي
(ليس خطأ و (صواب)) هو,حقيقي
خطأ أم لا (خطأ) أو صواب,حقيقي
صحيح وليس خطأ وليس صحيحًا,حقيقي
ليس صحيحًا وصحيحًا وصحيحًا أو خطأ هو,خطأ شنيع
ليس (خطأ وليس صحيحًا),خطأ شنيع
صواب أم لا ((خطأ)) هو,حقيقي
خطأ أم لا صواب أم خطأ أم خطأ هو,خطأ شنيع
خطأ أم لا صواب أم ليس خطأ,حقيقي
ليس (صواب أو صواب أو خطأ) هو,خطأ شنيع
خطأ أم لا ليس ليس خطأ ليس خطأ,حقيقي
ليس (خطأ) أو ليس صحيحًا,حقيقي
صواب وليس خطأ أو خطأ وخطأ,حقيقي
صواب أو (ليس (صواب)) هو,حقيقي
(خطأ أو صواب وليس صحيح) هو,خطأ شنيع
خطأ أم لا صواب وصحيح أم صواب,حقيقي
لا لا لا لا ليس ليس صحيحا,خطأ شنيع
(ليس خطأ) وخطأ أو صواب,حقيقي
خطأ وخطأ أم لا (صواب),خطأ شنيع
(ليس خطأ أو صواب) والصحيح هو,حقيقي
ليس (خطأ) و (خطأ) هو,خطأ شنيع
خطأ أو صواب وليس خطأ,حقيقي
(صحيح) وصحيح وليس صحيحًا,خطأ شنيع
(غير صحيح) والصواب والخطأ هو,خطأ شنيع
(ليس صحيحا وليس خطأ) هو,حقيقي
صواب و (خطأ) أم لا خطأ,حقيقي
ليس ليس خطأ أو خطأ و خطأ هو,حقيقي
ليس ليس خطأ وصحيح أو خطأ هو,حقيقي
