Eingang,Ziel
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Wir fügen der Tabelle nun einen Pinguin hinzu:
Jakobus, 12, 90, 12
Und hier ist eine ähnliche Tabelle, jedoch mit Giraffen:
Name, Alter, Größe (cm), Gewicht (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Marian, 2, 310, 410
Donna, 9, 440, 650
Welcher ist der älteste Pinguin?
Optionen:
(A) Louis
(B) Bernhard
(C) Vincent
(D) Gwen
(E) James",(UND)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Wie heißt der letzte Pinguin in alphabetischer Reihenfolge?
Optionen:
(A) Louis
(B) Bernhard
(C) Vincent
(D) Gwen
(E) James",(C)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Wie viele Pinguine sind älter als 5 Jahre?
Optionen:
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",(C)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Und hier ist eine ähnliche Tabelle, jedoch mit Giraffen:
Name, Alter, Größe (cm), Gewicht (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Marian, 2, 310, 410
Donna, 9, 440, 650
Wie viele Tiere sind älter als 5 Jahre?
Optionen:
(A) 5
(B) 6
(C) 7
(D) 8
(E) 9",(A)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Welcher Pinguin ist älter als Gwen?
Optionen:
(A) Louis
(B) Bernhard
(C) Vincent
(D) Gwen
(E) James",(C)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Und hier ist eine ähnliche Tabelle, jedoch mit Giraffen:
Name, Alter, Größe (cm), Gewicht (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Marian, 2, 310, 410
Donna, 9, 440, 650
Wie alt sind die Giraffen kumuliert?
Optionen:
(A) 26
(B) 29
(C) 41
(D) 55
(E) 67",(A)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Wir fügen der Tabelle nun einen Pinguin hinzu:
Jakobus, 12, 90, 12
Und hier ist eine ähnliche Tabelle, jedoch mit Giraffen:
Name, Alter, Größe (cm), Gewicht (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Marian, 2, 310, 410
Donna, 9, 440, 650
Wie heißt der 70 cm große Pinguin?
Optionen:
(A) Louis
(B) Bernhard
(C) Vincent
(D) Gwen
(E) James",(D)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Und hier ist eine ähnliche Tabelle, jedoch mit Giraffen:
Name, Alter, Größe (cm), Gewicht (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Marian, 2, 310, 410
Donna, 9, 440, 650
Wie heißt die letzte Giraffe in alphabetischer Reihenfolge?
Optionen:
(A) Jody
(B) Gladys
(C) Marian
(D) Donna
(E) Louise",(C)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Wir fügen der Tabelle nun einen Pinguin hinzu:
Jakobus, 12, 90, 12
Wie viele Pinguine sind in der Tabelle?
Optionen:
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",(UND)
"Hier ist eine Tabelle, in der die erste Zeile eine Überschrift und jede folgende Zeile ein Pinguin ist: Name, Alter, Größe (cm), Gewicht (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Zum Beispiel: Louis ist 7 Jahre alt, Gwen wiegt 15 kg, Bernard ist 80 cm groß. Welcher Pinguin trägt den Vornamen eines berühmten Jazzmusikers?
Optionen:
(A) Louis
(B) Bernhard
(C) Vincent
(D) Gwen
(E) James",(A)
