input,target
"La seguente frase è plausibile? ""Elias Lindholm ha battuto il campanello.""",no
"La seguente frase è plausibile? ""John Carlson ha segnato nel terzo periodo"".",yes
"La seguente frase è plausibile? ""Marcelo è arrivato su un passaggio filtrante"".",yes
"La seguente frase è plausibile? ""Deshaun Watson è stato chiamato per il goal tend nelle finali della Eastern Conference"".",no
"La seguente frase è plausibile? ""Mookie Betts ha pattinato dietro la rete.""",no
"La seguente frase è plausibile? ""John Tavares si è guadagnato una trasferta in panca puniti nella Stanley Cup"".",yes
"La seguente frase è plausibile? ""David Silva ha fatto una rimessa in gioco"".",yes
"La seguente frase è plausibile? ""Bryce Harper ha colpito la dissolvenza della spalla posteriore.""",no
"La seguente frase è plausibile? ""Carles Puyol ha fatto un maradona sul difensore"".",yes
"La seguente frase è plausibile? ""Robin Lehner ha lanciato l'ondata di disperazione.""",no
"La seguente frase è plausibile? ""Carson Wentz è andato sul ghiaccio.""",no
"La seguente frase è plausibile? ""Kwadwo Asamoah è stato segnalato sul gioco.""",no
"La seguente frase è plausibile? ""Jack Flaherty è andato in prima base nella National League Championship Series"".",yes
"La seguente frase è plausibile? ""Jayson Tatum ha infastidito il difensore.""",no
"La seguente frase è plausibile? ""Dougie Hamilton ha colpito il cicalino.""",no
"La seguente frase è plausibile? ""Frederik Andersen ha superato la linea blu nella Stanley Cup.""",yes
"La seguente frase è plausibile? ""Freddie Freeman ha guardato passare il campo.""",yes
"La seguente frase è plausibile? ""Adam Thielen ha segnato nei minuti di recupero"".",no
"La seguente frase è plausibile? ""Tom Brady ha convertito il primo down.""",yes
"La seguente frase è plausibile? ""Giorgio Chiellini ha commesso un fallo di mano in FA Cup"".",yes
"La seguente frase è plausibile? ""Tyreek Hill ha ottenuto il pass per lo schermo.""",yes
"La seguente frase è plausibile? ""Frederik Andersen ha preso un tre.""",no
"La seguente frase è plausibile? ""Adam Thielen è arrivato alla base.""",no
"La seguente frase è plausibile? ""Gerard Piqué ha segnato un calcio d'angolo"".",yes
"La seguente frase è plausibile? ""Kailer Yamamoto ha eseguito un contrasto in scivolata in Coppa dei Campioni"".",no
