مدخل,هدف
سؤال: شيري تقول الحقيقة. يقول فيرنيل أن شيري تقول الحقيقة. يقول أليكسيس أن فيرنيل يكذب. تقول ميكايلا إن أليكسيس يقول الحقيقة. يقول إيلانور إن ميكايلا تقول الحقيقة. هل تقول إيلانور الحقيقة؟,No
سؤال: كريستيان أكاذيب. شيري تقول كريستيان أكاذيب. يقول دلبيرت أن شيري تكذب. يقول جيري أن ديلبرت يقول الحقيقة. يقول شالوندا أن جيري يقول الحقيقة. هل شالوندا يقول الحقيقة؟,No
سؤال: فينا تقول الحقيقة. هيلين تقول فينا تكذب. يقول كاندي إن هيلين تقول الحقيقة. جامي يقول كاندي يكذب. كا يقول جامع يكذب. هل يقول كا الحقيقة؟,No
سؤال: كريستي تقول الحقيقة. يقول كا أن كريستي تقول الحقيقة. يقول دلبرت كا الأكاذيب. تقول ليدا أن ديلبرت يقول الحقيقة. تقول لورين أن ليدا تقول الحقيقة. هل تقول لورين الحقيقة؟,No
سؤال: تاميكا أكاذيب. يقول ريموند إن تاميكا تقول الحقيقة. يقول ويليان أن ريموند يقول الحقيقة. يقول شاوندا أن ويليان يكذب. يقول إيلانور إن شاوندا تقول الحقيقة. هل تقول إيلانور الحقيقة؟,نعم
سؤال: فيرنيل يقول الحقيقة. يقول كاندي إن فيرنيل يقول الحقيقة. يقول أليكسيس أن كاندي تقول الحقيقة. سيما تقول الكسيس يكذب. تقول فيبي إن سيما تقول الحقيقة. هل فيبي تقول الحقيقة؟,No
سؤال: شالوندا تكذب. تقول تيريسا أن شالوندا يقول الحقيقة. تاميكا تقول أن تيريسا تكذب. تقول لورين تاميكا تقول الحقيقة. Jaymie يقول لورين تكذب. هل Jaymie يقول الحقيقة؟,No
سؤال: جيم يكذب. يقول كريستا أن جيم يكذب. يقول فيرنيل إن كريستا تقول الحقيقة. تقول بيرنيتا إن فيرنيل يقول الحقيقة. يقول ميليسنت أن بيرنيتا تقول الحقيقة. هل يقول ميليسنت الحقيقة؟,نعم
سؤال: فليتشر يقول الحقيقة. يقول الحمل إن فليتشر يقول الحقيقة. تقول بيرنيتا إن الحمل يقول الحقيقة. يقول جامي أن بيرنيتا تقول الحقيقة. تقول تيريسا أن جامع يكذب. هل تقول تيريسا الحقيقة؟,No
سؤال: رشيدة تقول الحقيقة. جيم يقول رشيدة تكذب. أليخاندرو يقول أن جيم يكذب. تقول Tamika أن أليخاندرو يقول الحقيقة. يقول فيدل إن تاميكا تكذب. هل يقول فيدل الحقيقة؟,No
