输入,目标
"今天，苏珊去了咖啡店。他们可能在什么时间之间离开？
我们知道：
苏珊早上7点就醒了。
琳达看到苏珊从早上 7 点到 11 点开车去水上公园。
约翰看到苏珊从上午 11 点到中午 12 点在商场买衣服。
中午 12 点到下午 1 点，杰西卡看到苏珊在埃菲尔铁塔附近拍照。
史蒂文看到苏珊从下午 1 点到 2 点在熟食店买午餐。
托马斯看到苏珊从下午 2 点到 6 点在图书馆读书。
咖啡厅晚上九点后就关门了。
苏珊什么时间可以去咖啡店？
选项：
(A) 下午 6 点至晚上 9 点
(B) 上午 7 点至上午 11 点
(C) 下午 1 点至 2 点
(D) 下午 2 点至 6 点",(A)
"今天，艾米丽去了足球场。他们可能在什么时间之间离开？
我们知道：
艾米丽早上10点就醒了。
琳达看到艾米丽从上午 10 点到中午 12 点在火车站等候。
阿什利看到艾米丽从中午 12 点到下午 1 点在电子商店修理电脑。
下午 1 点到 2 点，约翰看到艾米丽走向自由女神像。
晚上八点后足球场关闭。
艾米丽什么时候可以去足球场？
选项：
(A) 中午 12 点至下午 1 点
(B) 上午 10 点至中午 12 点
(C) 下午 2 点至晚上 8 点
(D) 下午 1 点至 2 点",(C)
"今天，苏珊去了餐厅。他们可能在什么时间之间离开？
我们知道：
上午11点，苏珊醒了。
上午 11 点到下午 1 点，丽莎看到苏珊在比萨斜塔附近拍照。
下午 1 点到 3 点，威廉看到苏珊在一家面包店买饼干。
詹妮弗看到苏珊从下午 3 点到 6 点在办公室工作。
下午 6 点到 7 点，杰森看到苏珊走向自由女神像。
阿什利看到苏珊从晚上七点到九点在机场等候。
餐厅晚上 10 点后就关门了。
苏珊什么时候可以去餐厅？
选项：
(A) 下午 6 点至晚上 7 点
(B) 晚上 9 点至晚上 10 点
(C) 上午 11 点至下午 1 点
(D) 晚上 7 点至晚上 9 点",(B)
"今天，詹姆斯去了海滩。他们可能在什么时间之间离开？
我们知道：
詹姆斯早上 5 点就醒了。
早上 5 点到 6 点，肖恩看到詹姆斯走向自由女神像。
早上 6 点到 7 点，迈克尔看到詹姆斯开车去水上公园。
安东尼看到詹姆斯从早上 7 点到下午 3 点在图书馆读书。
下午 4 点到 9 点，威廉看到詹姆斯在咖啡馆喝咖啡。
晚上 9 点后海滩关闭。
詹姆斯什么时间可以去海滩？
选项：
(A) 上午 7 点至下午 3 点
(B) 早上 5 点至早上 6 点
(C) 下午 4 点至晚上 9 点
(D) 下午 3 点至 4 点",(D)
"今天，杰森去看电影了。他们可能在什么时间之间离开？
我们知道：
杰森早上 10 点就醒了。
琳达看到杰森从上午 10 点到下午 3 点在咖啡馆喝咖啡。
下午 6 点到 7 点，詹妮弗看到杰森走向自由女神像。
肖恩看到杰森从晚上 7 点到 10 点在电子商店买手机。
晚上10点以后电影院就关门了。
杰森什么时候可以去看电影？
选项：
（一）下午 3 点至 6 点
(B) 上午 10 点至下午 3 点
(C) 晚上 7 点至晚上 10 点
(D) 下午 6 点至晚上 7 点",(A)
"今天，伊丽莎白去了游乐园。他们可能在什么时间之间离开？
我们知道：
伊丽莎白早上六点就醒了。
早上 8 点到 9 点，莎拉看到伊丽莎白在比萨斜塔附近拍照。
杰西卡看到伊丽莎白从上午 9 点到下午 3 点在健身房锻炼。
下午 3 点到 7 点，贝蒂看到伊丽莎白在剧院看电影。
晚上 7 点到 8 点，詹姆斯看到伊丽莎白在瑜伽馆里做伸展运动。
游乐园晚上八点后就关门了。
伊丽莎白什么时候可以去游乐园？
选项：
(A) 上午 8 点至上午 9 点
(B) 早上 6 点至早上 8 点
(C) 下午 3 点至晚上 7 点
(D) 晚上 7 点至晚上 8 点",(B)
"今天，阿什利去了书店。他们可能在什么时间之间离开？
我们知道：
阿什利早上 7 点醒来。
Leslie 看到 Ashley 从上午 11 点到中午 12 点在自行车店买了一辆自行车。
苏珊看到阿什利从中午 12 点到下午 4 点在健身房锻炼。
伊丽莎白看到阿什利从下午 4 点到 7 点在火车站等候。
晚上 7 点到 9 点，Emily 看到 Ashley 在比萨斜塔附近拍照。
晚上九点后书店就关门了。
阿什利什么时候可以去书店？
选项：
(A) 晚上 7 点至晚上 9 点
(B) 上午 11 点至中午 12 点
(C) 中午 12 点至下午 4 点
(D) 上午 7 点至上午 11 点",(D)
"今天，莎拉去了建筑工地。他们可能在什么时间之间离开？
我们知道：
莎拉早上六点就醒了。
南希看到莎拉从早上 8 点到下午 2 点在电子商店修理电脑。
贝蒂看到莎拉从下午 2 点到 3 点开车去水上公园。
金伯利看到莎拉从下午 3 点到 4 点在商场买衣服。
下午 4 点到 6 点，艾米丽看到莎拉在一家面包店买饼干。
大卫看到莎拉从下午 6 点到 8 点在学校上课。
晚上8点后，施工现场关闭。
莎拉可能在什么时间去建筑工地？
选项：
(A) 下午 3 点至 4 点
(B) 下午 2 点至 3 点
(C) 早上 6 点至早上 8 点
(D) 上午 8 点至下午 2 点",(C)
"今天，莱斯利去了管弦乐厅。他们可能在什么时间之间离开？
我们知道：
莱斯利早上七点就醒了。
理查德看到莱斯利从早上七点到八点在花园里散步。
早上 8 点到 9 点，莱斯利看到莱斯利在一家面包店买饼干。
早上 9 点到 10 点，杰森看到莱斯利在自行车店买自行车。
上午 10 点到下午 3 点，萨曼莎看到莱斯利在埃菲尔铁塔附近拍照。
下午六点到八点，琳达看到莱斯利在比萨斜塔附近拍照。
交响乐厅晚上八点后关闭。
莱斯利什么时候可以去管弦乐队大厅？
选项：
（一）下午 3 点至 6 点
(B) 上午 9 点至上午 10 点
(C) 上午 7 点至上午 8 点
(D) 上午 10 点至下午 3 点",(A)
"今天，莎拉去了艺术工作室。他们可能在什么时间之间离开？
我们知道：
莎拉早上九点就醒了。
理查德看到莎拉从早上 9 点到中午 12 点在自行车店买了一辆自行车。
中午 12 点到下午 1 点，贝蒂看到莎拉在火车站等候。
迈克尔看到莎拉从下午 1 点到 3 点在商场买衣服。
詹妮弗看到莎拉从下午 3 点到 6 点在健身房锻炼。
下午 6 点到 8 点，汉娜看到莎拉在电子商店购买手机。
艺术工作室晚上10点后就关门了。
莎拉什么时候可以去艺术工作室？
选项：
(A) 上午 9 点至中午 12 点
(B) 下午 3 点至 6 点
(C) 中午 12 点至下午 1 点
(D) 晚上 8 点至晚上 10 点",(D)
