Eingang,Ziel
"Heute war Susan im Café. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Susan wachte um 7 Uhr morgens auf.
Linda sah Susan von 7 bis 11 Uhr zum Wasserpark fahren.
John sah, wie Susan von 11 bis 12 Uhr im Einkaufszentrum Kleidung kaufte.
Jessica sah, wie Susan von 12 bis 13 Uhr in der Nähe des Eiffelturms Fotos machte.
Steven sah, wie Susan von 13.00 bis 14.00 Uhr im Feinkostladen das Mittagessen kaufte.
Thomas sah Susan von 14 bis 18 Uhr in der Bibliothek lesen.
Das Café war nach 21 Uhr geschlossen.
Zwischen welchen Zeiten könnte Susan ins Café gegangen sein?
Optionen:
(A) 18:00 bis 21:00 Uhr
(B) 7.00 bis 11.00 Uhr
(C) 13 bis 14 Uhr
(D) 14:00 bis 18:00 Uhr",(A)
"Heute war Emily auf dem Fußballplatz. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Emily wachte um 10 Uhr auf.
Linda sah Emily von 10 bis 12 Uhr am Bahnhof warten.
Ashley sah, wie Emily von 12 bis 13 Uhr im Elektronikladen ihren Computer reparierte.
John sah Emily zwischen 13 und 14 Uhr auf die Freiheitsstatue zulaufen.
Der Fußballplatz wurde nach 20 Uhr geschlossen.
Zwischen welchen Zeiten könnte Emily auf den Fußballplatz gegangen sein?
Optionen:
(A) 12 bis 13 Uhr
(B) 10 bis 12 Uhr
(C) 14:00 bis 20:00 Uhr
(D) 13:00 bis 14:00 Uhr",(C)
"Heute war Susan im Restaurant. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Susan wachte um 11 Uhr auf.
Lisa sah, wie Susan von 11 bis 13 Uhr in der Nähe des Schiefen Turms von Pisa Fotos machte.
William sah, wie Susan von 13.00 bis 15.00 Uhr Kekse in einer Bäckerei kaufte.
Jennifer sah Susan von 15 bis 18 Uhr im Büro arbeiten.
Jason sah Susan von 18 bis 19 Uhr auf die Freiheitsstatue zulaufen.
Ashley sah Susan von 19 bis 21 Uhr am Flughafen warten.
Das Restaurant war nach 22 Uhr geschlossen.
Zwischen welchen Zeiten könnte Susan ins Restaurant gegangen sein?
Optionen:
(A) 18:00 bis 19:00 Uhr
(B) 21:00 bis 22:00 Uhr
(C) 11 bis 13 Uhr
(D) 19:00 bis 21:00 Uhr",(B)
"Heute ging James an den Strand. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
James wachte um 5 Uhr morgens auf.
Sean sah, wie James von 5 bis 6 Uhr morgens auf die Freiheitsstatue zuging.
Michael sah, wie James von 6 bis 7 Uhr morgens zum Wasserpark fuhr.
Anthony sah James von 7 bis 15 Uhr in der Bibliothek lesen.
William sah James von 16 bis 21 Uhr im Café einen Kaffee trinken.
Der Strand war nach 21 Uhr geschlossen.
Zwischen welchen Zeiten könnte James an den Strand gegangen sein?
Optionen:
(A) 7 bis 15 Uhr
(F) 5 bis 6 Uhr
(C) 16:00 bis 21:00 Uhr
(D) 15:00 bis 16:00 Uhr",(D)
"Heute ging Jason ins Kino. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Jason wachte um 10 Uhr auf.
Linda sah, wie Jason von 10 bis 15 Uhr im Café einen Kaffee trank.
Jennifer sah Jason von 18 bis 19 Uhr auf die Freiheitsstatue zulaufen.
Sean sah, wie Jason von 19 bis 22 Uhr im Elektronikladen ein Telefon kaufte.
Das Kino war nach 22 Uhr geschlossen.
Zwischen welchen Zeiten könnte Jason ins Kino gegangen sein?
Optionen:
(A) 15:00 bis 18:00 Uhr
(B) 10 bis 15 Uhr
(C) 19:00 bis 22:00 Uhr
(D) 18:00 bis 19:00 Uhr",(A)
"Heute war Elizabeth im Vergnügungspark. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Elizabeth wachte um 6 Uhr morgens auf.
Sarah sah, wie Elizabeth von 8 bis 9 Uhr morgens in der Nähe des Schiefen Turms von Pisa Fotos machte.
Jessica sah Elizabeth von 9 bis 15 Uhr im Fitnessstudio trainieren.
Betty sah, wie Elizabeth von 15 bis 19 Uhr einen Film im Kino sah.
James sah, wie Elizabeth von 19 bis 20 Uhr in einem Yoga-Studio Dehnübungen machte.
Der Vergnügungspark war nach 20 Uhr geschlossen.
Zwischen welchen Zeiten könnte Elizabeth in den Vergnügungspark gegangen sein?
Optionen:
(A) 8 bis 9 Uhr
(B) 6 bis 8 Uhr
(C) 15:00 bis 19:00 Uhr
(D) 19:00 bis 20:00 Uhr",(B)
"Heute ist Ashley in die Buchhandlung gegangen. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Ashley wachte um 7 Uhr morgens auf.
Leslie sah, wie Ashley von 11 bis 12 Uhr im Fahrradladen ein Fahrrad kaufte.
Susan sah, wie Ashley von 12 bis 16 Uhr im Fitnessstudio trainierte.
Elizabeth sah Ashley von 16 bis 19 Uhr am Bahnhof warten.
Emily sah, wie Ashley von 19 bis 21 Uhr in der Nähe des Schiefen Turms von Pisa Fotos machte.
Der Buchladen war nach 21 Uhr geschlossen.
Zwischen welchen Zeiten könnte Ashley in die Buchhandlung gegangen sein?
Optionen:
(A) 19:00 bis 21:00 Uhr
(F) 11 bis 12 Uhr
(C) 12 bis 16 Uhr
(D) 7.00 bis 11.00 Uhr",(D)
"Heute war Sarah auf der Baustelle. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Sarah wachte um 6 Uhr morgens auf.
Nancy sah, wie Sarah von 8 bis 14 Uhr im Elektronikladen ihren Computer reparierte.
Betty sah Sarah von 14 bis 15 Uhr zum Wasserpark fahren.
Kimberly sah, wie Sarah von 15 bis 16 Uhr im Einkaufszentrum Kleidung kaufte.
Emily sah, wie Sarah von 16 bis 18 Uhr Kekse in einer Bäckerei kaufte.
David sah, wie Sarah von 18 bis 20 Uhr den Unterricht in der Schule besuchte.
Die Baustelle wurde nach 20 Uhr geschlossen.
Zwischen welchen Zeiten könnte Sarah auf die Baustelle gegangen sein?
Optionen:
(A) 15:00 bis 16:00 Uhr
(F) 14:00 bis 15:00 Uhr
(C) 6 bis 8 Uhr
(D) 8:00 bis 14:00 Uhr",(C)
"Heute ging Leslie in den Orchestersaal. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Leslie wachte um 7 Uhr morgens auf.
Richard sah Leslie von 7 bis 8 Uhr morgens im Garten spazieren gehen.
Leslie sah, wie Leslie von 8 bis 9 Uhr morgens Kekse in einer Bäckerei kaufte.
Jason sah, wie Leslie von 9 bis 10 Uhr ein Fahrrad im Fahrradladen kaufte.
Samantha sah, wie Leslie von 10 bis 15 Uhr in der Nähe des Eiffelturms Fotos machte.
Linda sah, wie Leslie von 18 bis 20 Uhr in der Nähe des Schiefen Turms von Pisa Fotos machte.
Der Orchestersaal wurde nach 20 Uhr geschlossen.
Zwischen welchen Zeiten könnte Leslie in den Orchestersaal gegangen sein?
Optionen:
(A) 15:00 bis 18:00 Uhr
(B) 9.00 bis 10.00 Uhr
(C) 7 bis 8 Uhr
(D) 10 bis 15 Uhr",(A)
"Heute war Sarah im Kunstatelier. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Sarah wachte um 9 Uhr auf.
Richard sah, wie Sarah von 9 bis 12 Uhr im Fahrradladen ein Fahrrad kaufte.
Betty sah Sarah von 12 bis 13 Uhr am Bahnhof warten.
Michael sah, wie Sarah von 13 bis 15 Uhr im Einkaufszentrum Kleidung kaufte.
Jennifer sah Sarah von 15 bis 18 Uhr im Fitnessstudio trainieren.
Hannah sah, wie Sarah von 18 bis 20 Uhr im Elektronikladen ein Telefon kaufte.
Das Kunstatelier war nach 22 Uhr geschlossen.
Zwischen welchen Zeiten könnte Sarah ins Kunstatelier gegangen sein?
Optionen:
(A) 9.00 bis 12.00 Uhr
(F) 15:00 bis 18:00 Uhr
(C) 12 bis 13 Uhr
(D) 20:00 bis 22:00 Uhr",(D)
"Heute war Sarah im Bekleidungsgeschäft. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Sarah wachte um 9 Uhr auf.
William sah, wie Sarah von 9 bis 12 Uhr im Fahrradladen ein Fahrrad kaufte.
Emily sah Sarah von 12 bis 13 Uhr am Flughafen warten.
Jennifer sah, wie Sarah von 14 bis 17 Uhr in der Nähe des Eiffelturms Fotos machte.
Jason sah Sarah von 17 bis 18 Uhr zum Wasserpark fahren.
Das Bekleidungsgeschäft war nach 18 Uhr geschlossen.
Zwischen welchen Zeiten könnte Sarah zum Bekleidungsgeschäft gegangen sein?
Optionen:
(A) 13:00 bis 14:00 Uhr
(B) 17:00 bis 18:00 Uhr
(C) 9.00 bis 12.00 Uhr
(D) 12 bis 13 Uhr",(A)
"Heute ging Richard in den Physikunterricht. Zwischen welchen Zeiten könnten sie gewesen sein?
Wir wissen das:
Richard wachte um 7 Uhr auf.
David sah Richard von 10 bis 11 Uhr in der Bibliothek lesen.
Samantha sah Richard von 11 bis 14 Uhr auf einem Dach sitzen.
Ashley sah Richard von 14 bis 16 Uhr im Büro arbeiten.
Hannah sah, wie Richard von 16:00 bis 20:00 Uhr im Elektronikladen ihren Computer reparierte.
Der Physikunterricht war nach 20 Uhr geschlossen.
Zwischen welchen Zeiten könnte Richard in den Physikunterricht gegangen sein?
Optionen:
(A) 7.00 bis 10.00 Uhr
(F) 14:00 bis 16:00 Uhr
(C) 11 bis 14 Uhr
(D) 16:00 bis 20:00 Uhr",(A)
