input,target
"Which sentence has the correct adjective order:
Options:
(A) midsize old grey Brazilian sweater
(B) midsize grey Brazilian old sweater",(A)
"Which sentence has the correct adjective order:
Options:
(A) rubber gray walking Mexican midsize cat
(B) midsize gray Mexican rubber walking cat",(B)
"Which sentence has the correct adjective order:
Options:
(A) mysterious big Indian iron smoking motorcycle
(B) big smoking mysterious Indian iron motorcycle",(A)
"Which sentence has the correct adjective order:
Options:
(A) cloth smoking rectangular motorcycle
(B) rectangular cloth smoking motorcycle",(B)
"Which sentence has the correct adjective order:
Options:
(A) pyramidal American glass exercise surfboard
(B) glass exercise American pyramidal surfboard",(A)
"Which sentence has the correct adjective order:
Options:
(A) midsize ancient spherical knife
(B) spherical ancient midsize knife",(A)
"Which sentence has the correct adjective order:
Options:
(A) tan silly old-fashioned dog
(B) silly old-fashioned tan dog",(B)
"Which sentence has the correct adjective order:
Options:
(A) wool repulsive prismlike American chair
(B) repulsive prismlike American wool chair",(B)
"Which sentence has the correct adjective order:
Options:
(A) medium-size archaic prismlike purple American car
(B) archaic purple prismlike American medium-size car",(A)
"Which sentence has the correct adjective order:
Options:
(A) enormous rectangular blue dog
(B) enormous blue rectangular dog",(A)
"Which sentence has the correct adjective order:
Options:
(A) good pyramidal grey Indian cloth computer
(B) good pyramidal cloth Indian grey computer",(A)
"Which sentence has the correct adjective order:
Options:
(A) terrible tiny new square Egyptian typing sock
(B) new typing square Egyptian tiny terrible sock",(A)
"Which sentence has the correct adjective order:
Options:
(A) Pakistani normal-size white paper good snorkeling monkey
(B) good normal-size white Pakistani paper snorkeling monkey",(B)
"Which sentence has the correct adjective order:
Options:
(A) silver square red chair
(B) square red silver chair",(B)
"Which sentence has the correct adjective order:
Options:
(A) nice American computer
(B) American nice computer",(A)
"Which sentence has the correct adjective order:
Options:
(A) enormous yellow Egyptian driving computer
(B) driving yellow enormous Egyptian computer",(A)
"Which sentence has the correct adjective order:
Options:
(A) enormous yellow Egyptian monkey
(B) enormous Egyptian yellow monkey",(A)
"Which sentence has the correct adjective order:
Options:
(A) lovely midsize green Filipino sock
(B) Filipino midsize lovely green sock",(A)
"Which sentence has the correct adjective order:
Options:
(A) leather wonderful Pakistani white medium-size monkey
(B) wonderful medium-size white Pakistani leather monkey",(B)
"Which sentence has the correct adjective order:
Options:
(A) repulsive big rectangular pink steel exercise shoe
(B) pink big exercise repulsive steel rectangular shoe",(A)
"Which sentence has the correct adjective order:
Options:
(A) wonderful big circular orange Pakistani smoking car
(B) circular wonderful smoking Pakistani big orange car",(A)
"Which sentence has the correct adjective order:
Options:
(A) medium-size prismlike grey cardboard cat
(B) prismlike cardboard grey medium-size cat",(A)
"Which sentence has the correct adjective order:
Options:
(A) new white lead walking surfboard
(B) walking lead new white surfboard",(A)
"Which sentence has the correct adjective order:
Options:
(A) ancient mysterious yellow walking cat
(B) mysterious ancient yellow walking cat",(B)
"Which sentence has the correct adjective order:
Options:
(A) new leather big triangular American chair
(B) big new triangular American leather chair",(B)
"Which sentence has the correct adjective order:
Options:
(A) rectangular silver ancient green ridiculous big knife
(B) ridiculous big ancient rectangular green silver knife",(B)
"Which sentence has the correct adjective order:
Options:
(A) silly midsize tan computer
(B) midsize silly tan computer",(A)
"Which sentence has the correct adjective order:
Options:
(A) ridiculous grey cardboard whittling motorcycle
(B) cardboard ridiculous whittling grey motorcycle",(A)
"Which sentence has the correct adjective order:
Options:
(A) enormous brand-new German drinking motorcycle
(B) brand-new drinking German enormous motorcycle",(A)
"Which sentence has the correct adjective order:
Options:
(A) square Congolese driving old-fashioned dog
(B) old-fashioned square Congolese driving dog",(B)
"Which sentence has the correct adjective order:
Options:
(A) small grey square cloth Japanese shoe
(B) small square grey Japanese cloth shoe",(B)
"Which sentence has the correct adjective order:
Options:
(A) Russian huge repulsive archaic triangular ship
(B) repulsive huge archaic triangular Russian ship",(B)
"Which sentence has the correct adjective order:
Options:
(A) American triangular computer
(B) triangular American computer",(B)
"Which sentence has the correct adjective order:
Options:
(A) hiking Japanese black medium-size cloth knife
(B) medium-size black Japanese cloth hiking knife",(B)
"Which sentence has the correct adjective order:
Options:
(A) snorkeling iron prismlike orange midsize knife
(B) midsize prismlike orange iron snorkeling knife",(B)
"Which sentence has the correct adjective order:
Options:
(A) silver new repulsive exercise green Pakistani computer
(B) repulsive new green Pakistani silver exercise computer",(B)
"Which sentence has the correct adjective order:
Options:
(A) Indonesian triangular obnoxious gold red shoe
(B) obnoxious triangular red Indonesian gold shoe",(B)
"Which sentence has the correct adjective order:
Options:
(A) repulsive ancient white cloth car
(B) cloth white ancient repulsive car",(A)
"Which sentence has the correct adjective order:
Options:
(A) midsize whittling gray nice baby
(B) nice midsize gray whittling baby",(B)
"Which sentence has the correct adjective order:
Options:
(A) green new chair
(B) new green chair",(B)
"Which sentence has the correct adjective order:
Options:
(A) midsize old pyramidal American monkey
(B) American old midsize pyramidal monkey",(A)
"Which sentence has the correct adjective order:
Options:
(A) archaic pink wood Vietnamese cat
(B) archaic pink Vietnamese wood cat",(B)
"Which sentence has the correct adjective order:
Options:
(A) Russian steel awful chair
(B) awful Russian steel chair",(B)
"Which sentence has the correct adjective order:
Options:
(A) archaic gold orange awful surfboard
(B) awful archaic orange gold surfboard",(B)
"Which sentence has the correct adjective order:
Options:
(A) walking black medium-size rectangular wonderful car
(B) wonderful medium-size rectangular black walking car",(B)
"Which sentence has the correct adjective order:
Options:
(A) wonderful tiny old tan iron driving motorcycle
(B) driving tiny wonderful iron old tan motorcycle",(A)
"Which sentence has the correct adjective order:
Options:
(A) triangular yellow old awful motorcycle
(B) awful old triangular yellow motorcycle",(B)
"Which sentence has the correct adjective order:
Options:
(A) tiny whittling grey brand-new Indian triangular dog
(B) tiny brand-new triangular grey Indian whittling dog",(B)
"Which sentence has the correct adjective order:
Options:
(A) terrible midsize snorkeling baby
(B) terrible snorkeling midsize baby",(A)
"Which sentence has the correct adjective order:
Options:
(A) enormous new triangular Nigerian lead cat
(B) enormous Nigerian triangular new lead cat",(A)
"Which sentence has the correct adjective order:
Options:
(A) drinking Brazilian lovely triangular monkey
(B) lovely triangular Brazilian drinking monkey",(B)
"Which sentence has the correct adjective order:
Options:
(A) green wool sweater
(B) wool green sweater",(A)
"Which sentence has the correct adjective order:
Options:
(A) enormous spherical Indian drinking sock
(B) drinking enormous spherical Indian sock",(A)
"Which sentence has the correct adjective order:
Options:
(A) repulsive large new rectangular red rubber whittling sweater
(B) red rubber repulsive new rectangular whittling large sweater",(A)
"Which sentence has the correct adjective order:
Options:
(A) terrible old-fashioned Turkish baby
(B) old-fashioned terrible Turkish baby",(A)
