مدخل,هدف
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سترة برازيلية رمادية متوسطة الحجم
(ب) سترة برازيلية قديمة رمادية متوسطة الحجم",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) المطاط الرمادي المشي القط متوسط ​​الحجم المكسيكي
(ب) القط المشي المطاطي المكسيكي الرمادي متوسط ​​الحجم",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) دراجة نارية كبيرة غامضة تدخين الحديد الهندية
(ب) كبيرة التدخين دراجة نارية الحديد الهندية غامضة",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) القماش التدخين دراجة نارية مستطيلة
(ب) قطعة قماش مستطيلة التدخين دراجة نارية",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) لوح التزلج الزجاجي الأمريكي الهرمي
(ب) ممارسة الزجاج الهرمي الأمريكي للتزلج على الماء",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سكين كروي قديم متوسط ​​الحجم
(ب) سكين كروي متوسط ​​الحجم القديم",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) تان سخيفة كلب قديم الطراز
(ب) كلب تان قديم الطراز",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كرسي أمريكي من الصوف شبيه بالمنشور
(ب) موشور مثير للاشمئزاز كرسي من الصوف الأمريكي",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سيارة أمريكية أرجوانية متوسطة الحجم قديمة تشبه المنشور
(ب) سيارة أمريكية متوسطة الحجم تشبه المنشور الأرجواني العتيق",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كلب أزرق ضخم مستطيل الشكل
(ب) كلب مستطيل أزرق ضخم",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) قماش كمبيوتر هندي هرمي جيد رمادي
(ب) قماش هرمي جيد هندي رمادي كمبيوتر",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) رهيبة مربع الكتابة المصرية الجديدة جورب الكتابة
(ب) مربع الكتابة المصري الجديد رهيبة جورب صغير",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) ورقة بيضاء باكستانية الحجم العادي جيدة الغطس القرد
(ب) قرد غطس بورق أبيض باكستاني جيد الحجم عادي",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كرسي فضي مربع أحمر
(ب) كرسي فضي مربع أحمر",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كمبيوتر أمريكي جميل
(ب) الكمبيوتر الأمريكي الجميل",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كمبيوتر قيادة مصري ضخم أصفر
(ب) يقود كمبيوتر مصري ضخم أصفر",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) القرد المصري الأصفر الضخم
(ب) القرد الأصفر المصري الضخم",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) جورب فلبيني أخضر متوسط ​​الحجم
(ب) جورب أخضر متوسط ​​الحجم فلبيني جميل",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) القرد الباكستاني الأبيض المتوسط ​​الحجم الرائع
(ب) قرد رائع متوسط ​​الحجم أبيض من الجلد الباكستاني",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) حذاء تمرين فولاذي وردي مستطيل كبير مثير للاشمئزاز
(ب) الوردي ممارسة كبيرة حذاء مستطيل الصلب طاردة",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سيارة التدخين الباكستانية برتقالية كبيرة دائرية رائعة
(ب) دائرية رائعة تدخين سيارة برتقالية كبيرة باكستانية",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) متوسط ​​الحجم مثل المنشور الرمادي القط الكرتون
(ب) قطط متوسطة الحجم من الورق المقوى الرمادي تشبه المنشور",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) لوح سير أبيض جديد للمشي من الرصاص
(ب) المشي يؤدي إلى لوح التزلج الأبيض الجديد",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) قطة مشي قديمة غامضة صفراء
(ب) القط المشي الأصفر الغامض القديم",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كرسي أمريكي كبير من الجلد الجديد
(ب) كرسي جلدي أمريكي مثلث جديد كبير",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) مستطيلة الفضة القديمة الخضراء السخيفة سكين كبير
(ب) سكين فضية كبيرة مستطيلة قديمة كبيرة سخيفة",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كمبيوتر تان سخيفة متوسطة الحجم
(ب) كمبيوتر متوسط ​​الحجم سخيف تان",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) دراجة نارية توت من الورق المقوى الرمادي سخيفة
(ب) دراجة نارية من الورق المقوى السخيفة الرمادية",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) دراجة نارية ضخمة جديدة للشرب ألمانية
(ب) دراجة نارية ضخمة جديدة للشرب المانية",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) مربع كونغولي يقود كلبًا قديم الطراز
(ب) كلب قيادة كونغولي قديم الطراز",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) حذاء ياباني قماش مربع رمادي صغير
(ب) حذاء قماش ياباني رمادي مربع صغير",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سفينة روسية ضخمة مثلثة قديمة مثيرة للاشمئزاز
(ب) سفينة روسية ضخمة مثلثة قديمة مثيرة للاشمئزاز",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) الكمبيوتر الأمريكي الثلاثي
(ب) الكمبيوتر الأمريكي الثلاثي",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سكين قماش متوسط ​​الحجم أسود ياباني للمشي لمسافات طويلة
(ب) سكين التنزه القماش الأسود الياباني متوسط ​​الحجم",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سكين برتقالي متوسط ​​الحجم غوص من الحديد المنشور
(ب) سكين الغطس بالحديد البرتقالي المنشور متوسط ​​الحجم",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) فضية جديدة مثيرة للاشمئزاز بالكمبيوتر الأخضر الباكستاني
(ب) البغيض الجديد باللون الأخضر الباكستاني بممارسة الكمبيوتر",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) حذاء إندونيسي مثلثي ذهبي أحمر كريه
(ب) حذاء ذهبي إندونيسي أحمر مثلثي كريه",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سيارة قماش بيضاء قديمة مثيرة للاشمئزاز
(ب) قماش أبيض قديم بغيض السيارة",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) طفل لطيف متوسط ​​الحجم الباهت الرمادي
(ب) طفل لطيف متوسط ​​الحجم رمادي اللون الأبيض",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كرسي أخضر جديد
(ب) كرسي أخضر جديد",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) قرد أمريكي هرمي متوسط ​​الحجم
(ب) القرد الهرمي متوسط ​​الحجم الأمريكي",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) قطة فيتنامية قديمة من الخشب الوردي
(ب) قطة خشبية فيتنامية وردية قديمة",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كرسي فظيع من الصلب الروسي
(ب) كرسي الصلب الروسي الفظيعة",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) لوح تزلج على الماء برتقالي قديم قديم
(ب) لوح تزلج فظيع من الذهب البرتقالي القديم",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) يمشي أسود متوسط ​​الحجم بسيارة مستطيلة رائعة
(ب) عربة سير سوداء مستطيلة متوسطة الحجم رائعة",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) دراجة نارية صغيرة رائعة قديمة من الحديد تان
(ب) يقود دراجة نارية صغيرة رائعة من الحديد القديم",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) دراجة نارية صفراء مثلثة قديمة فظيعة
(ب) دراجة نارية قديمة مروعة مثلثة اللون",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) كلب صغير مثلثي هندي رمادي اللون جديد
(ب) كلب صغير هندي رمادي مثلث صغير جديد تمامًا",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) طفل رهيبة متوسطة الحجم الغوص
(ب) طفل رهيبة الغوص متوسطة الحجم",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) القط الرصاص النيجيري الثلاثي الجديد الهائل
(ب) قطة نيجيرية جديدة مثلثة ضخمة",(أ)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) شرب القرد البرازيلي المثلث الجميل
(ب) قرد الشرب البرازيلي الثلاثي الجميل",(ب)
"أي جملة لها ترتيب الصفة الصحيح:
خيارات:
(أ) سترة من الصوف الأخضر
(ب) كنزة صوف خضراء",(أ)
