input,target
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) maglione brasiliano grigio antico di taglia media
(B) vecchio maglione brasiliano grigio di taglia media",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) gatto messicano di taglia media che cammina grigio gomma
(B) gatto da passeggio in gomma messicana grigia di taglia media",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) misteriosa grande motocicletta indiana fumante di ferro
(B) grande e misteriosa motocicletta di ferro indiana fumante",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) motocicletta rettangolare fumante di stoffa
(B) motocicletta fumante di stoffa rettangolare",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) Tavola da surf piramidale americana in vetro
(B) Tavola da surf piramidale americana in vetro",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) coltello sferico antico di medie dimensioni
(B) antico coltello sferico di medie dimensioni",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) sciocco cane all'antica
(B) stupido cane marrone chiaro vecchio stile",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) sedia americana simile a un prisma di lana ripugnante
(B) repellente sedia di lana americana simile a un prisma",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) macchina americana viola di medie dimensioni simile a un prisma arcaico
(B) un'auto americana di medie dimensioni simile a un prisma viola arcaico",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) enorme cane blu rettangolare
(B) enorme cane rettangolare blu",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) buon computer di stoffa indiana grigio piramidale
(B) buon computer grigio indiano panno piramidale",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) terribile calzino dattilografico egiziano minuscolo e quadrato
(B) nuovo calzino terribile minuscolo egiziano quadrato di battitura",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) Carta bianca pakistana di dimensioni normali buona scimmia per lo snorkeling
(B) buona scimmia da snorkeling di carta pakistana bianca di dimensioni normali",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) sedia rossa quadrata argento
(B) sedia quadrata rosso argento",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) bel computer americano
(B) Bel computer americano",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) enorme computer di guida egiziano giallo
(B) alla guida di un enorme computer egiziano giallo",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) enorme scimmia egiziana gialla
(B) enorme scimmia gialla egiziana",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) bel calzino filippino verde di medie dimensioni
(B) Bel calzino verde filippino di medie dimensioni",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) pelle meravigliosa scimmia bianca pakistana di taglia media
(B) meravigliosa scimmia in pelle pachistana bianca di taglia media",(B)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) grande scarpa da ginnastica in acciaio rosa rettangolare ripugnante
(B) scarpa rettangolare in acciaio repellente per grandi esercizi rosa",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) meravigliosa grande macchina fumante pakistana circolare arancione
(B) circolare meravigliosa grande macchina arancione pakistana fumante",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) cartone grigio di medie dimensioni simile a un prisma cat
(B) cartoncino prismatico grigio misura media cat",(A)
"Quale frase ha l'ordine corretto degli aggettivi:
Opzioni:
(A) nuova tavola da surf da passeggio in biacca
(B) nuova tavola da surf bianca da passeggio",(A)
