input,target
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. In un torneo di golf c'erano sette golfisti: Ana, Eve, Ada, Dan, Rob, Amy e Joe. Dan è arrivato terzo. Ana ha finito sopra Ada. Amy è arrivata ultima. Dan è finito sotto Rob. Eve finì sotto Ada. Rob è finito sotto Joe.
Opzioni:
(A) Ana è arrivata terza
(B) Eva è arrivata terza
(C) Ada è arrivata terza
(D) Dan è arrivato terzo
(E) Rob è arrivato terzo
(F) Amy è arrivata terza
(G) Joe è arrivato terzo",(D)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. In una mostra di auto d'epoca ci sono sette veicoli: un autobus, una motocicletta, un'autovettura a tre oa cinque porte, una station wagon, un minivan, un camion e una limousine. La station wagon è la quarta più recente. La motocicletta è più nuova del camion. La station wagon è più vecchia della berlina. Il minivan è più nuovo della berlina. L'autobus è più recente del minivan. Il camion è più nuovo della limousine.
Opzioni:
(A) L'autobus è il terzo più vecchio
(B) La motocicletta è la terza più vecchia
(C) La berlina è la terza più antica
(D) La station wagon è la terza più antica
(E) Il minivan è il terzo più vecchio
(F) Il camion è il terzo più vecchio
(G) La limousine è la terza più antica",(B)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su un ramo ci sono sette uccelli: un colibrì, un cardinale, una ghiandaia blu, un gufo, un corvo, una quaglia e un pettirosso. Il colibrì è a sinistra della quaglia. Il pettirosso è alla sinistra del cardinale. La ghiandaia blu è quella più a sinistra. Il cardinale è il quarto da sinistra. Il corvo è il terzo da destra. Il gufo è il terzo da sinistra.
Opzioni:
(A) Il colibrì è il secondo da destra
(B) Il cardinale è il secondo da destra
(C) La ghiandaia blu è la seconda da destra
(D) Il gufo è il secondo da destra
(E) Il corvo è il secondo da destra
(F) La quaglia è la seconda da destra
(G) Il pettirosso è il secondo da destra",(A)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su un ramo ci sono sette uccelli: un pettirosso, un gufo, una quaglia, un falco, un colibrì, un cardinale e un corvo. Il colibrì è a sinistra del falco. Il corvo è alla destra del cardinale. Il cardinale è il secondo da destra. La quaglia è la terza da destra. Il falco è a sinistra del pettirosso. Il gufo è il secondo da sinistra.
Opzioni:
(A) Il pettirosso è il quarto da sinistra
(B) Il gufo è il quarto da sinistra
(C) La quaglia è la quarta da sinistra
(D) Il falco è il quarto da sinistra
(E) Il colibrì è il quarto da sinistra
(F) Il cardinale è il quarto da sinistra
(G) Il corvo è il quarto da sinistra",(A)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Un banco di frutta vende sette frutti: kiwi, prugne, mango, angurie, pere, pesche e arance. Le pere sono le terze più economiche. I kiwi sono i secondi più costosi. Le pere sono più costose delle prugne. Le arance costano meno dei kiwi. I mango sono i terzi più costosi. Le pesche sono le seconde più economiche.
Opzioni:
(A) I kiwi sono i secondi più economici
(B) Le prugne sono le seconde più economiche
(C) I manghi sono i secondi più economici
(D) Le angurie sono le seconde più economiche
(E) Le pere sono le seconde più economiche
(F) Le pesche sono le seconde più economiche
(G) Le arance sono le seconde più economiche",(F)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. In un torneo di golf c'erano sette golfisti: Eli, Eve, Mel, Joe, Mya, Rob e Ada. Ada finì sopra Mya. Eli è finito sotto Joe. Eli finì sopra Eva. Ada è arrivata penultima. Mel è arrivato terzo. Rob è arrivato quarto.
Opzioni:
(A) Eli è arrivato terzultimo
(B) Eve è arrivata terzultima
(C) Mel è arrivato terzultimo
(D) Joe è arrivato terzultimo
(E) Mya è arrivata terzultima
(F) Rob è arrivato terzultimo
(G) Ada è arrivata terzultima",(B)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. In un torneo di golf c'erano sette golfisti: Amy, Eve, Ada, Rob, Dan, Mel e Joe. Joe è arrivato terzo. Dan è arrivato ultimo. Eva è arrivata prima. Mel è finito sotto Rob. Ada finì sopra Joe. Rob è arrivato terzultimo.
Opzioni:
(A) Amy è arrivata ultima
(B) Eva è arrivata ultima
(C) Ada è arrivata ultima
(D) Rob è arrivato ultimo
(E) Dan è arrivato ultimo
(F) Mel è arrivato ultimo
(G) Joe è arrivato ultimo",(E)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Un banco di frutta vende sette frutti: arance, nespole, mele, kiwi, mango, prugne e pesche. Le mele sono le seconde più economiche. Le pesche sono le più economiche. Le prugne sono le quarte più costose. Le nespole sono le terze più economiche. I kiwi sono più costosi dei mango. Le arance sono meno costose dei mango.
Opzioni:
(A) Le arance sono le terze più economiche
(B) Le nespole sono le terze più economiche
(C) Le mele sono le terze più economiche
(D) I kiwi sono i terzi più economici
(E) I mango sono i terzi più economici
(F) Le prugne sono le terze più economiche
(G) Le pesche sono le terze più economiche",(B)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. In una mostra di auto d'epoca ci sono sette veicoli: una limousine, un camion, un minivan, un trattore, un'autovettura a tre oa cinque porte, un autobus e una decappottabile. La decappottabile è la seconda più antica. Il trattore è il quarto più recente. Il minivan è più vecchio del camion. Il camion è più vecchio della limousine. La berlina è la terza più antica. L'autobus è più nuovo della limousine.
Opzioni:
(A) La limousine è la più vecchia
(B) Il camion è il più vecchio
(C) Il minivan è il più vecchio
(D) Il trattore è il più vecchio
(E) La berlina è la più antica
(F) L'autobus è il più vecchio
(G) La decappottabile è la più vecchia",(C)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su uno scaffale ci sono sette libri: un libro marrone, un libro giallo, un libro nero, un libro bianco, un libro verde, un libro arancione e un libro viola. Il libro viola è quello più a destra. Il libro giallo è quello più a sinistra. Il libro arancione è il secondo da destra. Il libro marrone è a sinistra del libro verde. Il libro marrone è a destra del libro nero. Il libro bianco è il quarto da sinistra.
Opzioni:
(A) Il libro marrone è quello più a sinistra
(B) Il libro giallo è quello più a sinistra
(C) Il libro nero è quello più a sinistra
(D) Il libro bianco è quello più a sinistra
(E) Il libro verde è quello più a sinistra
(F) Il libro arancione è quello più a sinistra
(G) Il libro viola è quello più a sinistra",(B)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Una bancarella di frutta vende sette frutti: mango, angurie, pesche, kiwi, arance, meloni e prugne. Le angurie sono le più economiche. Le pesche sono più costose dei manghi. I meloni sono i secondi più costosi. Le arance sono più costose dei meloni. Le pesche sono meno costose delle prugne. I kiwi sono i terzi più economici.
Opzioni:
(A) I mango sono i terzi più costosi
(B) Le angurie sono le terze più costose
(C) Le pesche sono le terze più costose
(D) I kiwi sono i terzi più costosi
(E) Le arance sono le terze più costose
(F) I meloni sono i terzi più costosi
(G) Le prugne sono le terze più costose",(G)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su uno scaffale ci sono sette libri: un libro marrone, un libro bianco, un libro nero, un libro giallo, un libro arancione, un libro blu e un libro verde. Il libro giallo è quello più a destra. Il libro blu è a sinistra del libro arancione. Il libro verde è a destra del libro bianco. Il libro blu è a destra del libro verde. Il libro nero è il quarto da sinistra. Il libro marrone è il terzo da destra.
Opzioni:
(A) Il libro marrone è il quarto da sinistra
(B) Il libro bianco è il quarto da sinistra
(C) Il libro nero è il quarto da sinistra
(D) Il libro giallo è il quarto da sinistra
(E) Il libro arancione è il quarto da sinistra
(F) Il libro blu è il quarto da sinistra
(G) Il libro verde è il quarto da sinistra",(C)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. In un torneo di golf c'erano sette golfisti: Joe, Dan, Ana, Mel, Ada, Eve e Amy. Eve ha finito sopra Amy. Dan è arrivato secondo. Ada finì sotto Ana. Ana è arrivata terzultima. Mel è arrivato ultimo. Amy è arrivata terza.
Opzioni:
(A) Joe è arrivato ultimo
(B) Dan è arrivato ultimo
(C) Ana è arrivata ultima
(D) Mel è arrivato ultimo
(E) Ada è arrivata ultima
(F) Eva è arrivata ultima
(G) Amy è arrivata ultima",(D)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su un ramo ci sono sette uccelli: un corvo imperiale, un colibrì, un pettirosso, un corvo, una quaglia, una ghiandaia azzurra e un cardinale. Il colibrì è a sinistra del corvo. La quaglia è alla destra del corvo. Il corvo è a sinistra del pettirosso. La ghiandaia blu è la terza da destra. Il cardinale è il più a sinistra. Il colibrì è il quarto da sinistra.
Opzioni:
(A) Il corvo è il terzo da destra
(B) Il colibrì è il terzo da destra
(C) Il pettirosso è il terzo da destra
(D) Il corvo è il terzo da destra
(E) La quaglia è la terza da destra
(F) La ghiandaia blu è la terza da destra
(G) Il cardinale è il terzo da destra",(F)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su un ramo ci sono sette uccelli: un corvo imperiale, un cardinale, un falco, un gufo, una ghiandaia azzurra, una quaglia e un pettirosso. Il gufo è il secondo da destra. Il cardinale è il quarto da sinistra. Il falco è a sinistra della ghiandaia blu. La quaglia è a sinistra del falco. Il corvo è il secondo da sinistra. Il pettirosso è a sinistra della quaglia.
Opzioni:
(A) Il corvo è il secondo da sinistra
(B) Il cardinale è il secondo da sinistra
(C) Il falco è il secondo da sinistra
(D) Il gufo è il secondo da sinistra
(E) La ghiandaia blu è la seconda da sinistra
(F) La quaglia è la seconda da sinistra
(G) Il pettirosso è il secondo da sinistra",(A)
"I paragrafi seguenti descrivono ciascuno un insieme di sette oggetti disposti in un ordine fisso. Le affermazioni sono logicamente coerenti all'interno di ogni paragrafo. Su uno scaffale ci sono sette libri: un libro nero, un libro giallo, un libro bianco, un libro grigio, un libro viola, un libro arancione e un libro verde. Il libro verde è a sinistra del libro grigio. Il libro grigio è il terzo da destra. Il libro bianco è quello più a destra. Il libro arancione è il secondo da sinistra. Il libro nero è a destra del libro giallo. Il libro nero è il terzo da sinistra.
Opzioni:
(A) Il libro nero è il secondo da destra
(B) Il libro giallo è il secondo da destra
(C) Il libro bianco è il secondo da destra
(D) Il libro grigio è il secondo da destra
(E) Il libro viola è il secondo da destra
(F) Il libro arancione è il secondo da destra
(G) Il libro verde è il secondo da destra",(E)
