مدخل,هدف
"أليس وبوب وكلير وديف وحواء راقصون في رقصة مربعة. في بداية الأغنية ، يكون لكل منهما شريك: أليس ترقص مع باتريك ، وبوب يرقص مع سام ، وكلير ترقص مع جيمي ، وديف يرقص مع لولا ، وحواء ترقص مع ميليسا.
طوال الأغنية ، غالبًا ما يتاجر الراقصون. أولاً ، تبديل الشركاء ديف وحواء. ثم يتبادل ديف وأليس الشركاء. بعد ذلك ، تتبادل حواء وأليس الشريكتين. ثم ، كلير وبوب تبديل الشركاء. أخيرًا ، يتبادل ديف وأليس الشركاء. في نهاية الرقصة ، ترقص أليس مع
خيارات:
(أ) باتريك
(ب) سام
(ج) جيمي
(د) لولا
(هـ) ميليسا",(أ)
"أليس وبوب وكلير وديف وحواء راقصون في رقصة مربعة. في بداية الأغنية ، يكون لكل منهما شريك: أليس ترقص مع أوفيليا ، وبوب يرقص مع جيمي ، وكلير ترقص مع ميليسا ، وديف يرقص مع رودريجو ، وحواء ترقص مع باتريك.
طوال الأغنية ، غالبًا ما يتاجر الراقصون. أولا ، كلير وبوب تبديل الشركاء. بعد ذلك ، تتبادل كلير وإيف شركائها. ثم ، كلير وبوب تبديل الشركاء. ثم ، تبديل الشركاء Eve و Dave. أخيرًا ، تقوم كلير وأليس بتبديل الشركاء. في نهاية الرقصة ، ترقص أليس مع
خيارات:
(أ) أوفيليا
(ب) جيمي
(ج) ميليسا
(د) رودريغو
(ه) باتريك",(ج)
"أليس وبوب وكلير وديف وحواء راقصون في رقصة مربعة. في بداية الأغنية ، يكون لكل منهما شريك: أليس ترقص مع جيمي ، وبوب يرقص مع لولا ، وكلير ترقص مع إيزي ، وديف يرقص مع رودريجو ، وحواء ترقص مع أوفيليا.
طوال الأغنية ، غالبًا ما يتاجر الراقصون. أولاً ، يتبادل بوب وإيف الشركاء. بعد ذلك ، تقوم أليس وبوب بتبديل الشركاء. ثم يتبادل ديف وأليس الشركاء. بعد ذلك ، قام ديف وكلير بتبديل الشركاء. أخيرًا ، قام بوب وكلير بتبديل الشركاء. في نهاية الرقصة ، ترقص كلير معها
خيارات:
(أ) جيمي
(ب) لولا
(ج) عزي
(د) رودريغو
(هـ) أوفيليا",(أ)
"أليس وبوب وكلير وديف وحواء أصدقاء وقراء متعطشون يتاجرون بالكتب أحيانًا. في بداية الفصل الدراسي ، يشتري كل منهم كتابًا جديدًا: أليس تحصل على Catch-22 ، ويحصل بوب على Hound of the Baskervilles ، وتحصل كلير على Frankenstein ، و Dave تحصل على The Pearl ، و Eve تحصل على The Fellowship of the Ring.
مع استمرار الفصل الدراسي ، يبدأون في التداول حول الكتب الجديدة. أولاً ، تبادل حواء وأليس الكتب. ثم تبادلت أليس وكلير الكتب. ثم تبادل أليس وبوب الكتب. ثم تبادل ديف وأليس الكتب. أخيرًا ، تبادل ديف وكلير الكتب. في نهاية الفصل الدراسي ، ديف لديه
خيارات:
(أ) كاتش 22
(ب) كلب باسكرفيل
(ج) فرانكشتاين
(د) اللؤلؤة
(هـ) زمالة الخاتم",(و)
"أليس وبوب وكلير وديف وحواء أصدقاء وقراء متعطشون يتاجرون بالكتب أحيانًا. في بداية الفصل الدراسي ، يشتري كل منهم كتابًا جديدًا: أليس تحصل على موبي ديك ، وبوب يحصل على يوليسيس ، وكلير تحصل على زمالة الخاتم ، وديف تحصل على لوليتا ، وحواء تحصل على الحلقة 22.
مع استمرار الفصل الدراسي ، يبدأون في التداول حول الكتب الجديدة. أولاً ، تبادل كلير وبوب الكتب. ثم تبادلت كلير وديف الكتب. ثم تبادل ديف وأليس الكتب. ثم تبادل ديف وبوب الكتب. أخيرًا ، تبادل حواء وديف الكتب. في نهاية الفصل الدراسي ، كلير لديها
خيارات:
(أ) موبي ديك
(ب) أوليسيس
(ج) زمالة الخاتم
(د) لوليتا
(ه) كاتش 22",(د)
"أليس وبوب وكلير وديف وحواء في نفس الفريق في مباراة كرة قدم. في بداية المباراة ، يتم تعيين كل منهم في موقع: أليس تلعب دور حارس المرمى ، ويلعب بوب دور لاعب الوسط الأيسر ، وكلير تلعب دور الجناح الأيمن ، وديف تلعب كمهاجم ، وحواء تلعب وسط وسط الوسط.
مع تقدم اللعبة ، يتبادل أزواج من اللاعبين المراكز من حين لآخر. أولا ، المواقف التجارية أليس وكلير. ثم ، صفقات التجارة أليس وبوب. ثم ، المراكز التجارية ديف وبوب. ثم ، المراكز التجارية بوب وحواء. أخيرًا ، المراكز التجارية لـ Dave و Eve. في نهاية المباراة ، تلعب حواء
خيارات:
(حارس مرمى
(ب) لاعب الوسط الأيسر
(ج) الجناح الأيمن
(د) مهاجم
(هـ) لاعب وسط",(ج)
"أليس وبوب وكلير وديف وحواء راقصون في رقصة مربعة. في بداية الأغنية ، يكون لكل منهما شريك: أليس ترقص مع هيلجا ، وبوب يرقص مع جيمي ، وكلير ترقص مع أوفيليا ، وديف يرقص مع كارل ، وحواء ترقص مع رودريجو.
طوال الأغنية ، غالبًا ما يتاجر الراقصون. أولا ، حواء وبوب تبديل الشركاء. بعد ذلك ، قام ديف وكلير بتبديل الشركاء. ثم ، كلير وبوب تبديل الشركاء. ثم يتبادل ديف وأليس الشركاء. أخيرًا ، تقوم كلير وإيف بتبديل الشركاء. في نهاية الرقصة ، ترقص كلير معها
خيارات:
(أ) هيلجا
(ب) جيمي
(ج) أوفيليا
(د) كارل
(ه) رودريغو",(ب)
"أليس وبوب وكلير وديف وحواء يتبادلون هدايا الفيل الأبيض. في بداية الحدث ، كان كل منهم يحمل هدية بلون مختلف: أليس لديها هدية خضراء ، وبوب لديها هدية أرجوانية ، وكلير لديها هدية زرقاء ، وديف لديها كرة سوداء ، وحواء لديها هدية بيضاء.
مع تقدم الحدث ، يتبادل أزواج من الأشخاص الهدايا. أولاً ، تبادلت إيف وبوب هداياهما. ثم تتبادل كلير وأليس هداياهما. ثم يتبادل بوب وحواء هداياهما. ثم تبادل ديف وكلير هداياهما. أخيرًا ، تتبادل أليس وحواء هداياهما. في نهاية الحدث ، كلير لديها
خيارات:
(أ) الحاضر الأخضر
(ب) الحاضر الأرجواني
(ج) الأزرق الحاضر
(د) الكرة السوداء
(ه) أبيض الحاضر",(د)
"أليس وبوب وكلير وديف وحواء أصدقاء وقراء متعطشون يتاجرون بالكتب أحيانًا. في بداية الفصل الدراسي ، يشتري كل منهم كتابًا جديدًا: أليس تحصل على زمالة الحلبة ، وبوب يحصل على الأوديسة ، وكلير تحصل على فرانكشتاين ، وديف يحصل على Hound of the Baskervilles ، وحواء تحصل على يوليسيس.
مع استمرار الفصل الدراسي ، يبدأون في التداول حول الكتب الجديدة. أولاً ، تبادل أليس وكلير الكتب. ثم تبادلت أليس وحواء الكتب. ثم تبادل ديف وكلير الكتب. ثم تبادل ديف وبوب الكتب. أخيرًا ، يتبادل ديف وأليس الكتب. في نهاية الفصل الدراسي ، أليس لديها
خيارات:
(أ) زمالة الخاتم
(ب) الأوديسة
(ج) فرانكشتاين
(د) كلب باسكرفيل
(هـ) أوليسيس",(ب)
"أليس وبوب وكلير وديف وحواء في نفس الفريق في مباراة كرة قدم. في بداية المباراة ، يتم تعيين كل منهم في موقع: أليس تلعب على مقاعد البدلاء ، وبوب يلعب لاعب الوسط الأيسر ، وكلير يلعب الجناح الأيسر ، وديف يلعب في وسط الوسط ، وحواء تلعب المهاجم.
مع تقدم اللعبة ، يتبادل أزواج من اللاعبين المراكز من حين لآخر. أولا ، المراكز التجارية حواء وديف. ثم ، المراكز التجارية ديف وأليس. ثم ، مواقف كلير وبوب التجارية. ثم ، المراكز التجارية بوب وحواء. أخيرًا ، مواقف Alice و Dave التجارية. في نهاية المباراة ، تلعب حواء
خيارات:
(أ) مقاعد البدلاء
(ب) لاعب الوسط الأيسر
(ج) الجناح الأيسر
(د) وسط وسط
(هـ) مهاجم",(ج)
