aporte,objetivo
"Tengo una flauta, un piano, un trombón, cuatro estufas, un violín, un acordeón, un clarinete, un tambor, dos lámparas y una trompeta. ¿Cuántos instrumentos musicales tengo?",8
"Tengo una manzana, tres plátanos, una fresa, un durazno, tres naranjas, una ciruela, una frambuesa, dos uvas, una nectarina y una mora. ¿Cuántas frutas tengo?",15
"Tengo una nevera, una silla y un microondas. ¿Cuantos objetos tengo?",3
"Tengo tres moras, dos fresas, una manzana, tres naranjas, una nectarina, una uva, un durazno, un plátano y una ciruela. ¿Cuántas frutas tengo?",14
"Tengo un sofá, un horno, dos microondas y una nevera. ¿Cuantos objetos tengo?",5
"Tengo un pez, un oso y una rana. ¿Cuantos animales tengo?",3
Tengo un coche y una tostadora. ¿Cuantos objetos tengo?,2
"Tengo una mora, un melocotón, una nectarina, una ciruela, una frambuesa, una naranja, una fresa, un plátano, dos manzanas y cuatro uvas. ¿Cuántas frutas tengo?",14
"Tengo un ñame, una coliflor, un ajo, dos cabezas de lechuga, una cabeza de brócoli, una patata, un tallo de apio y una cebolla. ¿Cuántas verduras tengo?",9
"Tengo una estufa, una silla, dos mesas, una tostadora, una nevera, tres camas y un sofá. ¿Cuantos objetos tengo?",10
"Tengo una silla, una estufa, una mesa, dos lámparas, una cama, un sofá, una tostadora, un microondas y un auto. ¿Cuantos objetos tengo?",10
"Tengo tres ñames, una lechuga, una cebolla, una papa, un repollo, una zanahoria, dos cabezas de brócoli y dos tallos de apio. ¿Cuántas verduras tengo?",12
"Tengo un piano, una flauta y cuatro trombones. ¿Cuántos instrumentos musicales tengo?",6
"Tengo una gallina, una rana, un ratón, un gato, dos cerdos y dos conejos. ¿Cuantos animales tengo?",8
"Tengo una trompeta, un clarinete, dos trombones, una flauta, cinco violines y un piano. ¿Cuántos instrumentos musicales tengo?",11
"Tengo un pato, un melocotón, una fresa, un pescado, dos gallinas, un oso y un plátano. ¿Cuantos animales tengo?",5
"Tengo un microondas, una mesa, una nevera, una estufa, un horno, una tostadora, un sofá y cuatro autos. ¿Cuantos objetos tengo?",11
"Tengo tres frigoríficos, una cama y cinco cocinas. ¿Cuantos objetos tengo?",9
"Tengo una mora, una ciruela y un plátano. ¿Cuántas frutas tengo?",3
"Tengo piano, trombón, clarinete, cabra, acordeón y trompeta. ¿Cuántos instrumentos musicales tengo?",5
"Tengo una nevera, una silla, una cama, un horno, un microondas y un coche. ¿Cuantos objetos tengo?",6
"Tengo una estufa, una cama, una lámpara, tres microondas, una silla, una tostadora, una mesa, dos autos, una heladera y un horno. ¿Cuantos objetos tengo?",13
"Tengo una flauta, dos clarinetes, un piano, un violín y tres acordeones. ¿Cuántos instrumentos musicales tengo?",8
