input,target
"Alice, Bob, Claire, Dave ed Eve sono ballerini in un ballo quadrato. All'inizio di una canzone, ognuno di loro ha un partner: Alice sta ballando con Patrick, Bob sta ballando con Sam, Claire sta ballando con Jamie, Dave sta ballando con Lola ed Eve sta ballando con Melissa.
Durante la canzone, i ballerini spesso scambiano partner. Per prima cosa, Dave ed Eve cambiano partner. Quindi, Dave e Alice cambiano partner. Quindi, Eve e Alice cambiano partner. Quindi, Claire e Bob cambiano partner. Alla fine, Dave e Alice cambiano partner. Alla fine del ballo, balla con Alice
Opzioni:
(A) Patrizio
(B) Sam
(C) Jaime
(D) Lolla
(E) Melissa",(A)
"Alice, Bob, Claire, Dave ed Eve sono ballerini in un ballo quadrato. All'inizio di una canzone, ognuno di loro ha un partner: Alice sta ballando con Ophelia, Bob sta ballando con Jamie, Claire sta ballando con Melissa, Dave sta ballando con Rodrigo ed Eve sta ballando con Patrick.
Durante la canzone, i ballerini spesso scambiano partner. Per prima cosa, Claire e Bob cambiano partner. Quindi, Claire ed Eve cambiano partner. Quindi, Claire e Bob cambiano partner. Quindi, Eve e Dave cambiano partner. Alla fine, Claire e Alice cambiano partner. Alla fine del ballo, balla con Alice
Opzioni:
(A) Ofelia
(B) Jamie
(C) Melissa
(D) Rodrigo
(E) Patrizio",(C)
"Alice, Bob, Claire, Dave ed Eve sono ballerini in un ballo quadrato. All'inizio di una canzone, ognuno di loro ha un partner: Alice sta ballando con Jamie, Bob sta ballando con Lola, Claire sta ballando con Izzi, Dave sta ballando con Rodrigo ed Eve sta ballando con Ofelia.
Durante la canzone, i ballerini spesso scambiano partner. Per prima cosa, Bob ed Eve cambiano partner. Quindi, Alice e Bob cambiano partner. Quindi, Dave e Alice cambiano partner. Quindi, Dave e Claire cambiano partner. Alla fine, Bob e Claire cambiano partner. Alla fine del ballo, Claire sta ballando
Opzioni:
(A) Jaime
(B) Lolla
(C) Izi
(D) Rodrigo
(E) Ofelia",(A)
"Alice, Bob, Claire, Dave ed Eve sono amici e avidi lettori che occasionalmente si scambiano libri. All'inizio del semestre, ognuno di loro acquista un nuovo libro: Alice ottiene Catch-22, Bob ottiene Hound of the Baskervilles, Claire ottiene Frankenstein, Dave ottiene The Pearl ed Eve ottiene The Fellowship of the Ring.
Con il procedere del semestre, iniziano a fare trading sui nuovi libri. Per prima cosa, Eve e Alice si scambiano i libri. Quindi, Alice e Claire si scambiano i libri. Quindi, Alice e Bob si scambiano i libri. Quindi, Dave e Alice si scambiano i libri. Alla fine, Dave e Claire si scambiano i libri. Alla fine del semestre, Dave ha
Opzioni:
(A) Comma 22
(B) Segugio dei Baskerville
(C)Frankenstein
(D) La Perla
(E) La Compagnia dell'Anello",(E)
"Alice, Bob, Claire, Dave ed Eve sono amici e avidi lettori che occasionalmente si scambiano libri. All'inizio del semestre, ognuno di loro compra un nuovo libro: Alice ottiene Moby Dick, Bob ottiene Ulisse, Claire ottiene La compagnia dell'anello, Dave ottiene Lolita ed Eve ottiene Catch-22.
Con il procedere del semestre, iniziano a fare trading sui nuovi libri. Per prima cosa, Claire e Bob si scambiano i libri. Quindi, Claire e Dave si scambiano i libri. Quindi, Dave e Alice si scambiano i libri. Quindi, Dave e Bob si scambiano i libri. Alla fine, Eve e Dave si scambiano i libri. Alla fine del semestre, Claire ha
Opzioni:
(A) Moby Dick
(B) Ulisse
(C) La Compagnia dell'Anello
(D) Lolita
(E) Comma 22",(D)
"Alice, Bob, Claire, Dave ed Eve sono nella stessa squadra in una partita di calcio. All'inizio della partita, ognuno di loro viene assegnato a una posizione: Alice gioca come portiere, Bob come centrocampista sinistro, Claire come ala destra, Dave come attaccante ed Eve come centrocampista centrale.
Man mano che il gioco procede, le coppie di giocatori si scambiano di tanto in tanto le posizioni. Per prima cosa, Alice e Claire si scambiano le posizioni. Quindi, Alice e Bob si scambiano le posizioni. Quindi, Dave e Bob si scambiano le posizioni. Quindi, Bob ed Eve si scambiano le posizioni. Infine, Dave ed Eve si scambiano le posizioni. Alla fine della partita, Eve sta giocando
Opzioni:
(A) portiere
(B) centrocampista sinistro
(C) ala destra
(D) attaccante
(E) centrocampista centrale",(C)
"Alice, Bob, Claire, Dave ed Eve sono ballerini in un ballo quadrato. All'inizio di una canzone, ognuno di loro ha un partner: Alice sta ballando con Helga, Bob sta ballando con Jamie, Claire sta ballando con Ophelia, Dave sta ballando con Karl ed Eve sta ballando con Rodrigo.
Durante la canzone, i ballerini spesso scambiano partner. Per prima cosa, Eve e Bob cambiano partner. Quindi, Dave e Claire cambiano partner. Quindi, Claire e Bob cambiano partner. Quindi, Dave e Alice cambiano partner. Alla fine, Claire ed Eve cambiano partner. Alla fine del ballo, Claire sta ballando
Opzioni:
(A) Helga
(B) Jamie
(C) Ofelia
(D) Carlo
(E) Rodrigo",(B)
"Alice, Bob, Claire, Dave ed Eve stanno organizzando uno scambio di regali con elefanti bianchi. All'inizio dell'evento, ognuno di loro tiene un regalo di un colore diverso: Alice ha un regalo verde, Bob ha un regalo viola, Claire ha un regalo blu, Dave ha una palla nera ed Eve ha un regalo bianco.
Man mano che l'evento procede, coppie di persone si scambiano regali. Per prima cosa, Eve e Bob si scambiano i regali. Quindi, Claire e Alice si scambiano i loro doni. Quindi, Bob ed Eve si scambiano i regali. Quindi, Dave e Claire si scambiano i regali. Alla fine, Alice ed Eve si scambiano i loro doni. Alla fine dell'evento, Claire ha il
Opzioni:
(A) verde presente
(B) viola presente
(C) blu presente
(D) palla nera
(E) bianco presente",(D)
"Alice, Bob, Claire, Dave ed Eve sono amici e avidi lettori che occasionalmente si scambiano libri. All'inizio del semestre, ognuno di loro compra un nuovo libro: Alice riceve La compagnia dell'anello, Bob ottiene L'Odissea, Claire ottiene Frankenstein, Dave ottiene Il mastino dei Baskerville ed Eve ottiene Ulisse.
Con il procedere del semestre, iniziano a fare trading sui nuovi libri. Per prima cosa, Alice e Claire si scambiano i libri. Quindi, Alice ed Eve si scambiano i libri. Quindi, Dave e Claire si scambiano i libri. Quindi, Dave e Bob si scambiano i libri. Alla fine, Dave e Alice si scambiano i libri. Alla fine del semestre, Alice ha
Opzioni:
(A) La Compagnia dell'Anello
(B) L'Odissea
(C)Frankenstein
(D) Segugio dei Baskerville
(E) Ulisse",(B)
"Alice, Bob, Claire, Dave ed Eve sono nella stessa squadra in una partita di calcio. All'inizio della partita, a ciascuno di loro viene assegnata una posizione: Alice gioca come panchina, Bob come centrocampista sinistro, Claire come ala sinistra, Dave come centrocampista centrale ed Eve come attaccante.
Man mano che il gioco procede, le coppie di giocatori si scambiano di tanto in tanto le posizioni. Per prima cosa, Eve e Dave si scambiano le posizioni. Quindi, Dave e Alice si scambiano le posizioni. Quindi, Claire e Bob si scambiano le posizioni. Quindi, Bob ed Eve si scambiano le posizioni. Infine, Alice e Dave si scambiano le posizioni. Alla fine della partita, Eve sta giocando
Opzioni:
(A) scaldapanca
(B) centrocampista sinistro
(C) ala sinistra
(D) centrocampista centrale
(E) attaccante",(C)
"Alice, Bob, Claire, Dave ed Eve stanno giocando. All'inizio del gioco, ognuno di loro tiene una palla: Alice ha una palla rossa, Bob ha una palla nera, Claire ha una palla blu, Dave ha una palla gialla ed Eve ha una palla marrone.
Man mano che il gioco procede, le coppie di giocatori si scambiano le palle. Per prima cosa, Claire ed Eve si scambiano le palle. Quindi, Alice e Bob si scambiano le palle. Quindi, Eve e Dave si scambiano le palle. Quindi, Claire e Dave si scambiano le palle. Alla fine, Claire e Alice si scambiano le palle. Alla fine del gioco, Claire ha il
Opzioni:
(A) palla rossa
(B) palla nera
(C) palla blu
(D) palla gialla
(E) palla marrone",(B)
"Alice, Bob, Claire, Dave ed Eve stanno giocando. All'inizio del gioco, ognuno di loro tiene una palla: Alice ha una palla marrone, Bob ha una palla nera, Claire ha una palla rossa, Dave ha una palla rosa ed Eve ha una palla blu.
Man mano che il gioco procede, le coppie di giocatori si scambiano le palle. Per prima cosa, Claire e Bob si scambiano le palle. Quindi, Claire ed Eve si scambiano le palle. Quindi, Bob e Claire si scambiano le palle. Quindi, Dave e Claire si scambiano le palle. Alla fine, Alice e Dave si scambiano le palle. Alla fine del gioco, Claire ha il
Opzioni:
(A) palla marrone
(B) palla nera
(C) palla rossa
(D) palla rosa
(E) palla blu",(D)
"Alice, Bob, Claire, Dave ed Eve sono ballerini in un ballo quadrato. All'inizio di una canzone, ognuno di loro ha un partner: Alice sta ballando con Karl, Bob sta ballando con Jamie, Claire sta ballando con Melissa, Dave sta ballando con Lola ed Eve sta ballando con Ofelia.
Durante la canzone, i ballerini spesso scambiano partner. Per prima cosa, Bob e Claire cambiano partner. Quindi, Alice e Dave cambiano partner. Quindi, Bob e Alice cambiano partner. Quindi, Claire ed Eve cambiano partner. Alla fine, Eve e Alice cambiano partner. Alla fine del ballo, Claire sta ballando
Opzioni:
(A) Carlo
(B) Jamie
(C) Melissa
(D) Lolla
(E) Ofelia",(E)
"Alice, Bob, Claire, Dave ed Eve sono nella stessa squadra in una partita di calcio. All'inizio della partita, ognuno di loro viene assegnato a una posizione: Alice gioca come ala destra, Bob gioca come scaldapanca, Claire gioca come centrocampista destro, Dave gioca come portiere ed Eve gioca come cheerleader.
Man mano che il gioco procede, le coppie di giocatori si scambiano di tanto in tanto le posizioni. Innanzitutto, Bob e Alice si scambiano le posizioni. Quindi, Dave e Claire si scambiano le posizioni. Quindi, Alice e Claire si scambiano le posizioni. Quindi, Eve e Alice si scambiano di posizione. Alla fine, Dave e Bob si scambiano le posizioni. Alla fine della partita, Claire sta giocando
Opzioni:
(A) ala destra
(B) scaldapanca
(C) centrocampista destro
(D) portiere
(E) cheerleader",(B)
"Alice, Bob, Claire, Dave ed Eve sono ballerini in un ballo quadrato. All'inizio di una canzone, ognuno di loro ha un partner: Alice sta ballando con Ofelia, Bob sta ballando con Izzi, Claire sta ballando con Lola, Dave sta ballando con Sam ed Eve sta ballando con Melissa.
Durante la canzone, i ballerini spesso scambiano partner. Per prima cosa, Claire e Bob cambiano partner. Quindi, Claire ed Eve cambiano partner. Quindi, Bob e Dave cambiano partner. Quindi, Claire ed Eve cambiano partner. Alla fine, Alice ed Eve cambiano partner. Alla fine del ballo, Dave sta ballando
Opzioni:
(A) Ofelia
(B) Izi
(C) Lolla
(D) Sam
(E) Melissa",(C)
"Alice, Bob, Claire, Dave ed Eve stanno giocando. All'inizio del gioco, ognuno di loro tiene una palla: Alice ha una palla rosa, Bob ha una palla marrone, Claire ha una palla nera, Dave ha una palla arancione ed Eve ha una palla gialla.
Man mano che il gioco procede, le coppie di giocatori si scambiano le palle. Per prima cosa, Claire e Alice si scambiano le palle. Quindi, Dave e Bob si scambiano le palle. Quindi, Eve e Bob si scambiano le palle. Quindi, Bob e Alice si scambiano le palle. Alla fine, Eve e Claire si scambiano le palle. Alla fine del gioco, Alice ha il
Opzioni:
(A) palla rosa
(B) palla marrone
(C) palla nera
(D) palla arancione
(E) palla gialla",(E)
