Eingang,Ziel
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Golfturnier nahmen sieben Golfer teil: Ana, Eve, Ada, Dan, Rob, Amy und Joe. Dan wurde Dritter. Ana landete vor Ada. Amy war als letzte fertig. Dan landete vor Rob. Eve endete unter Ada. Rob landete hinter Joe.
Optionen:
(A) Ana wurde Dritte
(B) Eve wurde Dritte
(C) Ada wurde Dritte
(D) Dan wurde Dritter
(E) Rob wurde Dritter
(F) Amy wurde Dritte
(G) Joe wurde Dritter",(D)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es sieben Fahrzeuge: einen Bus, ein Motorrad, ein Fließheck, einen Kombi, einen Minivan, einen Lastwagen und eine Limousine. Der Kombi ist der viertneueste. Das Motorrad ist neuer als der LKW. Der Kombi ist älter als das Fließheck. Der Minivan ist neuer als das Fließheck. Der Bus ist neuer als der Minivan. Der LKW ist neuer als die Limousine.
Optionen:
(A) Der Bus ist der drittälteste
(B) Das Motorrad ist das drittälteste
(C) Das Fließheck ist das drittälteste
(D) Der Kombi ist der drittälteste
(E) Der Minivan ist der drittälteste
(F) Der LKW ist der drittälteste
(G) Die Limousine ist die drittälteste",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen sieben Vögel: ein Kolibri, ein Kardinal, ein Blauhäher, eine Eule, ein Rabe, eine Wachtel und ein Rotkehlchen. Der Kolibri befindet sich links von der Wachtel. Das Rotkehlchen steht links vom Kardinal. Der Blauhäher ist ganz links. Der Kardinal ist der vierte von links. Der Rabe ist der Dritte von rechts. Die Eule ist die Dritte von links.
Optionen:
(A) Der Kolibri ist der zweite von rechts
(B) Der Kardinal ist der Zweite von rechts
(C) Der Blauhäher ist der zweite von rechts
(D) Die Eule ist die zweite von rechts
(E) Der Rabe ist der zweite von rechts
(F) Die Wachtel ist die zweite von rechts
(G) Das Rotkehlchen ist das zweite von rechts",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen sieben Vögel: ein Rotkehlchen, eine Eule, eine Wachtel, ein Falke, ein Kolibri, ein Kardinal und eine Krähe. Der Kolibri befindet sich links vom Falken. Die Krähe steht rechts vom Kardinal. Der Kardinal ist der zweite von rechts. Die Wachtel ist die dritte von rechts. Der Falke steht links vom Rotkehlchen. Die Eule ist die zweite von links.
Optionen:
(A) Das Rotkehlchen ist das vierte von links
(B) Die Eule ist die vierte von links
(C) Die Wachtel ist die vierte von links
(D) Der Falke ist der vierte von links
(E) Der Kolibri ist der vierte von links
(F) Der Kardinal ist der vierte von links
(G) Die Krähe ist die vierte von links",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Obststand werden sieben Früchte verkauft: Kiwis, Pflaumen, Mangos, Wassermelonen, Birnen, Pfirsiche und Orangen. Die Birnen sind die drittbilligsten. Die Kiwis sind die zweitteuersten. Die Birnen sind teurer als die Pflaumen. Die Orangen sind günstiger als die Kiwis. Die Mangos sind die drittteuersten. Die Pfirsiche sind die zweitbilligsten.
Optionen:
(A) Die Kiwis sind die zweitbilligsten
(B) Die Pflaumen sind die zweitbilligsten
(C) Die Mangos sind die zweitbilligsten
(D) Die Wassermelonen sind die zweitbilligsten
(E) Die Birnen sind die zweitbilligsten
(F) Die Pfirsiche sind die zweitbilligsten
(G) Die Orangen sind die zweitbilligsten",(F)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Golfturnier nahmen sieben Golfer teil: Eli, Eve, Mel, Joe, Mya, Rob und Ada. Ada landete vor Mya. Eli landete hinter Joe. Eli war vor Eva fertig. Ada wurde Vorletzte. Mel wurde Dritter. Rob wurde Vierter.
Optionen:
(A) Eli wurde Drittletzter
(B) Eve wurde Drittletzte
(C) Mel wurde Drittletzter
(D) Joe wurde Drittletzter
(E) Mya wurde Drittletzte
(F) Rob wurde Drittletzter
(G) Ada wurde Drittletzte",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Golfturnier nahmen sieben Golfer teil: Amy, Eve, Ada, Rob, Dan, Mel und Joe. Joe wurde Dritter. Dan wurde Letzter. Eve war als Erste fertig. Mel landete vor Rob. Ada landete vor Joe. Rob wurde Drittletzter.
Optionen:
(A) Amy war als letzte fertig
(B) Eve war zuletzt fertig
(C) Ada ist als Letzte fertig geworden
(D) Rob wurde Letzter
(E) Dan wurde Letzter
(F) Mel war Letzter
(G) Joe war Letzter",(UND)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Obststand werden sieben Früchte verkauft: Orangen, Wollmispeln, Äpfel, Kiwis, Mangos, Pflaumen und Pfirsiche. Die Äpfel sind die zweitbilligsten. Am günstigsten sind die Pfirsiche. Die Pflaumen sind die viertteuersten. Die Wollmispeln sind die drittbilligsten. Die Kiwis sind teurer als die Mangos. Die Orangen sind günstiger als die Mangos.
Optionen:
(A) Die Orangen sind die drittbilligsten
(B) Die Wollmispeln sind die drittbilligsten
(C) Die Äpfel sind die drittbilligsten
(D) Die Kiwis sind die drittbilligsten
(E) Die Mangos sind die drittbilligsten
(F) Die Pflaumen sind die drittbilligsten
(G) Die Pfirsiche sind die drittbilligsten",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es sieben Fahrzeuge: eine Limousine, einen Lastwagen, einen Minivan, einen Traktor, ein Fließheck, einen Bus und ein Cabrio. Das Cabriolet ist das zweitälteste. Der Traktor ist der viertneueste. Der Minivan ist älter als der LKW. Der Truck ist älter als die Limousine. Das Fließheck ist das drittälteste. Der Bus ist neuer als die Limousine.
Optionen:
(A) Die Limousine ist die älteste
(B) Der LKW ist der älteste
(C) Der Minivan ist der älteste
(D) Der Traktor ist der älteste
(E) Das Fließheck ist das älteste
(F) Der Bus ist der älteste
(G) Das Cabrio ist das älteste",(C)
"Die folgenden Absätze beschreiben jeweils einen Satz von sieben Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen sieben Bücher: ein braunes Buch, ein gelbes Buch, ein schwarzes Buch, ein weißes Buch, ein grünes Buch, ein orangefarbenes Buch und ein lila Buch. Das violette Buch befindet sich ganz rechts. Das gelbe Buch befindet sich ganz links. Das orangefarbene Buch ist das zweite von rechts. Das braune Buch befindet sich links vom grünen Buch. Das braune Buch befindet sich rechts vom schwarzen Buch. Das Weißbuch ist das vierte von links.
Optionen:
(A) Das braune Buch befindet sich ganz links
(B) Das gelbe Buch befindet sich ganz links
(C) Das schwarze Buch befindet sich ganz links
(D) Das weiße Buch befindet sich ganz links
(E) Das grüne Buch befindet sich ganz links
(F) Das orangefarbene Buch befindet sich ganz links
(G) Das lila Buch ist ganz links",(B)
