aporte,objetivo
"Encuentra una película similar a Batman, La Máscara, El Fugitivo, Pretty Woman:
Opciones:
(A) La portada
(B) Vorágine
(C) El Rey León
(D) Laamérica",(C)
"Encuentra una película similar a El sexto sentido, Matrix, Forrest Gump, The Shawshank Redemption:
Opciones:
(A) Street Fighter II La película animada
(B) El cielo protector
(C) El niño que podía volar
(D) Terminator 2 El día del juicio final",(D)
"Encuentre una película similar a La lista de Schindler, Corazón Valiente, El silencio de los corderos, Tombstone:
Opciones:
(A)Orlando
(B) Culpable de romance
(C)Forrest Gump
(D) Todas las chicas reales",(C)
"Encuentre una película similar a Terminator 2 El día del juicio final, El fugitivo, La redención Shawshank, Dead Man Walking:
Opciones:
(Un paseo
(B) No corras
(C) Película la oveja Shaun
(D)Rocoso IV
(E) Corazón valiente",(Y)
"Encuentra una película similar a Corazón Valiente, La Máscara, El Fugitivo, Batman:
Opciones:
(A) Club del pavor
(B) George Washington
(C) La lista de Schindler
(D) Érase una vez en América",(C)
"Encuentra una película similar a Heat, El fugitivo, Forrest Gump, El silencio de los inocentes:
Opciones:
(A) Carrera de la muerte 2
(B) Carrera de bala de cañón II
(C) Día de la Independencia
(D) Masacre de la fiesta de pijamas II",(C)
"Encuentre una película similar a En busca del arca perdida, The Shawshank Redemption, Inception, Pulp Fiction:
Opciones:
(A) Más allá de la aventura de Poseidón
(B) El coro
(C)Forrest Gump
(D) Guía de exploradores del Apocalipsis zombi",(C)
"Encuentre una película similar a La lista de Schindler, Pulp Fiction, Braveheart, The Usual Suspects:
Opciones:
(A) 12 hombres enojados
(B) Más mejor blues
(C) Cazadores de mentes
(D) La redención de Shawshank",(D)
"Encuentra una película similar a Jurassic Park, El silencio de los inocentes, La lista de Schindler, Braveheart:
Opciones:
(A) La noche de un día duro
(B) Hora del espectáculo
(C)Forrest Gump
(D) Eddie el Águila",(C)
"Encuentre una película similar a El Señor de los Anillos Las Dos Torres, El Señor de los Anillos La Comunidad del Anillo, Star Wars Episodio IV - Una Nueva Esperanza, Matrix:
Opciones:
(A) El regreso
(B) La fortaleza escondida
(C) La lista de Schindler
(D) El fin del asunto",(C)
"Encuentra una película similar a Forrest Gump, Pulp Fiction, El fugitivo, Danza con lobos:
Opciones:
(A) Dragonheart 3 La maldición del hechicero
(B) Chi-Raq
(C) Puerta estelar
(D) Tae Guk Gi La hermandad de la guerra",(C)
"Encuentra una película similar a Forrest Gump, El fugitivo, La redención de Shawshank, Pulp Fiction:
Opciones:
(A) Levan anclas
(B) Looney Tunes de nuevo en acción
(C) La venganza de Porky
(D) Danzas con lobos",(D)
"Encuentra una película similar a Forrest Gump, El silencio de los corderos, Misión imposible, Parque Jurásico:
Opciones:
(A) Joe alguien
(B) Pelea de perros
(C) Día de la Independencia
(D) Fuego de Twin Peaks Camina conmigo",(C)
"Encuentre una película similar a The Shawshank Redemption, The Usual Suspects, Pulp Fiction, Fargo:
Opciones:
(A) Daño
(B) Pastel en el cielo
(C) El fugitivo
(D) Un cuervo de plastilina",(C)
"Encuentra una película similar a El fugitivo, Pulp Fiction, Los sospechosos habituales, Terminator 2 El juicio final:
Opciones:
(A) La asombrosa aventura del panda
(B) Sweeney Todd
(C) Bienvenidos a Sarajevo
(D) Siete",(D)
"Encuentra una película similar a Forrest Gump, El silencio de los inocentes, Seven, Fargo:
Opciones:
(A) Gandhi
(B) La lista de Schindler
(C) Pelea de perros
(D) Hombre de repositorio",(B)
"Encuentre una película similar a Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:
Opciones:
(A) Matón, el último de los ejecutores
(B) Una Navidad en 3D muy Harold & Kumar
(C) El fugitivo
(D) Una separación",(C)
"Encuentre una película similar a El Rey León, El fugitivo, La lista de Schindler, La redención Shawshank:
Opciones:
(A) El arte de robar
(B) Ficción pulp
(C) Battlestar Galactica El Plan
(D) Rompiendo todas las reglas",(B)
"Encuentre una película similar a Pulp Fiction, The Shawshank Redemption, La lista de Schindler, Danza con lobos:
Opciones:
(A) Desfile de Pascua
(B) Capitán América El primer vengador
(C) Corazón valiente
(D) maníaco",(C)
"Encuentra una película similar a La Bella y la Bestia, Día de la Independencia, Forrest Gump, Parque Jurásico:
Opciones:
(A) El hombre de la bolsa
(B) El silencio de los corderos
(C) Medidas extremas
(D) Inicio",(B)
"Encuentre una película similar a The Shawshank Redemption, Forrest Gump, Dances with Wolves, Mr Holland's Opus:
Opciones:
(A) PK
(B) El gran Gatsby
(C) Filadelfia
(D) Casper conoce a Wendy",(C)
"Encuentra una película similar a Inception, Pulp Fiction, Forrest Gump, En busca del arca perdida:
Opciones:
(A) ¿Quién teme a Virginia Woolf?
(B) Fantástico Sr. Fox
(C) Choque de titanes
(D) Día de la Independencia",(D)
"Encuentre una película similar a Star Wars Episodio VII: El despertar de la fuerza, De adentro hacia afuera, Pulp Fiction, En busca del arca perdida:
Opciones:
(A) Ernest cabalga de nuevo
(B)Forrest Gump
(C) La propuesta
(D) Todo lo que siempre quisiste saber sobre sexo pero temías preguntar",(B)
"Encuentra una película similar a Spider-Man, Spider-Man 2, Matrix, Día de la Independencia:
Opciones:
(A) Reino Caído de Jurassic World
(B) El quinto elemento
(C) A través del universo
(D) Insomnio",(B)
"Encuentre una película similar a Star Wars Episodio V - El Imperio Contraataca, El Día de la Marmota, Misión Imposible, Star Wars Episodio IV - Una Nueva Esperanza:
Opciones:
(A) Vista desde arriba
(B) Las puertas
(C) En busca del arca perdida
(D) Cambio rápido",(C)
"Encuentra una película similar a El ejército de las tinieblas, Go, El sexto sentido, Alien:
Opciones:
(A) Mano fría Luke
(B) Hijos del Maíz III
(C) Guardianes del hielo
(D) Cine Paradiso",(A)
"Encuentre una película similar a Apolo 13, Parque Jurásico, Duro de matar con venganza, Forrest Gump:
Opciones:
(A) Película asesina
(B) Sigilo
(C) El último hombre en la Tierra
(D) Mentiras verdaderas",(D)
"Encuentre una película similar a Pulp Fiction, Sospechosos habituales, La lista de Schindler, Fargo:
Opciones:
(A) Avivó el ascenso y la caída de Gator
(B) Sobrevivir al juego
(C) Mira quién habla
(D) La redención de Shawshank",(D)
"Encuentra una película similar a Toy Story, La Máscara, Batman, El Rey León:
Opciones:
(A) Heridas de salida
(B) Amor borracho
(C) Buscando justicia
(D) Mujer bonita",(D)
"Encuentre una película similar a The Shawshank Redemption, Pulp Fiction, La lista de Schindler, Braveheart:
Opciones:
(A) El trabajo del banco
(B) Carnaval de robots
(C) Danzas con lobos
(D) La piedra familiar",(C)
"Encuentre una película similar a Día de la Independencia, El silencio de los corderos, Indiana Jones y el templo maldito, Fargo:
Opciones:
(A) La película Care Bears II Una nueva generación
(B) Ruidos desactivados
(C) El fugitivo
(D) Luces apagadas",(C)
"Encuentre una película similar a Batman, Pulp Fiction, Apolo 13, La lista de Schindler:
Opciones:
(A) El último beso
(B)Europa
(C) Corazón valiente
(D) El surgimiento del planeta de los simios",(C)
"Encuentra una película similar a El fugitivo, Corazón Valiente, La lista de Schindler, El Rey León:
Opciones:
(A) Ciudad loca
(B) El Rey Escorpión
(C) La redención de Shawshank
(D) Ciudad de los Hombres",(C)
"Encuentra una película similar a Corazón Valiente, Danza con lobos, Pulp Fiction, La lista de Schindler:
Opciones:
(A) Gigantes de cosquillas
(B) La sombra del vampiro
(C) Los sospechosos habituales
(D) En la ciudad",(C)
"Encuentra una película similar a El sexto sentido, El señor de los anillos Las dos torres, Los sospechosos habituales, Forrest Gump:
Opciones:
(A) Nada que declarar
(B) Fuego cruzado
(C) Fin de los días
(D) Star Wars Episodio IV - Una nueva esperanza",(D)
"Encuentre una película similar a Uno de los nuestros, En busca del arca perdida, Star Wars Episodio IV - Una nueva esperanza, El silencio de los inocentes:
Opciones:
(A) Monty Python y el Santo Grial
(B) Fin de semana en casa de Bernie
(C) Americano en París
(D) Un
(E) Déjalo nevar",(A)
"Encuentra una película similar a Pulp Fiction, El fugitivo, La redención Shawshank, Danza con lobos:
Opciones:
(A) Por todo el chico
(B)Forrest Gump
(C) Elizabethtown
(D) La novia de Frankenstein",(B)
"Encuentra una película similar a La lista de Schindler, Parque Jurásico, El silencio de los inocentes, Forrest Gump:
Opciones:
(A) Batman
(B) Resurrección alienígena
(C) Una historia de dos ciudades
(D) El americano tranquilo",(A)
"Encuentra una película similar a Pulp Fiction, The Shawshank Redemption, Aladdin, El Rey León:
Opciones:
(A) Terminator 2 El día del juicio final
(B) Los próximos tres días
(C) Desapego
(D) Chispas de rubí",(A)
"Encuentra una película similar a Aladdin, Terminator 2 El juicio final, Batman, La máscara:
Opciones:
(A) Juegos de guerra
(B)King Kong
(C) Corresponsal extranjero
(D) Mujer bonita",(D)
"Encuentre una película similar a Braveheart, Pulp Fiction, Saving Private Ryan, Gattaca:
Opciones:
(Un valiente
(B) Dredd
(C) Cuando los mundos chocan
(D) Ir",(D)
"Encuentre una película similar a Terminator 2: El juicio final, Dead Man Walking, Braveheart, The Shawshank Redemption:
Opciones:
(A) El fugitivo
(B) Música y letras
(C) Deuce Bigalow Gigoló masculino
(D) Louis CK Oh Dios mío",(A)
"Encuentra una película similar a Bailando con lobos, El rey león, El fugitivo, La redención de Shawshank:
Opciones:
(A) La lista de Schindler
(B) Día por noche
(C) Hombre de la casa
(D) El demonio de neón",(A)
"Encuentra una película similar a Los sospechosos habituales, Entrevista con el vampiro Las crónicas vampíricas, The Shawshank Redemption, Pulp Fiction:
Opciones:
(A) Soldados de juguete
(B) El fugitivo
(C) La mujer avispa
(D) Baxter",(B)
"Encuentra una película similar a Stargate, El fugitivo, Pulp Fiction, Danza con lobos:
Opciones:
(A)Forrest Gump
(B) Kevin Smith demasiado gordo para tener 40
(C) chamuscado
(D) Estar de pie y cumplir",(A)
"Encuentre una película similar a El fugitivo, La redención de Shawshank, La bella y la bestia, La lista de Schindler:
Opciones:
(A) El Rey León
(B) Vaquero urbano
(C) Camioneros espaciales
(D) Día del Juicio Universal del Soldado",(A)
"Encuentra una película similar a Blancanieves y los siete enanitos, El jardín secreto, La Bella y la Bestia, El Rey León:
Opciones:
(A) La cosa
(B) Pinocho
(C) Ninfómana Volumen I
(D) Luces en el anochecer",(B)
"Encuentra una película similar a En busca del arca perdida, Matrix, Gattaca, Gladiator:
Opciones:
(Una piscina
(B) El plan de Maggie
(C) El quinto elemento
(D) Para los chicos",(C)
"Encuentra una película similar a Batman, La Máscara, El Rey León, Pretty Woman:
Opciones:
(A) Los Ángeles se juega a sí misma
(B) Gintama El Capítulo Final - Be Forever Yorozuya
(C) Doctor Who la Navidad pasada
(D) El fugitivo",(D)
"Encuentra una película similar a El Rey León, Danza con lobos, Corazón Valiente, La lista de Schindler:
Opciones:
(A) Recogida en South Street
(B) Duende III
(C) aplastar
(D) La redención de Shawshank",(D)
"Encuentre una película similar a American Beauty, Austin Powers International Man of Mystery, Star Wars Episodio V - El Imperio Contraataca, Misión Imposible:
Opciones:
(A) Dragon Ball La maldición de los rubíes de sangre
(B) Milla de la luz de la luna
(C) Homicidio en Hollywood
(D) Star Wars Episodio IV - Una nueva esperanza",(D)
"Encuentra una película similar a Rocky, Star Wars Episodio IV - Una nueva esperanza, Toy Story, Terminator:
Opciones:
(A) Drácula muerto y amándolo
(B) Día de la Independencia
(C) Las extraordinarias aventuras de Adèle Blanc-Sec
(D) El presidente estadounidense",(B)
"Encuentre una película similar a Braveheart, The Usual Suspects, Crimson Tide, The Fugitive:
Opciones:
(A) Ponte corto
(B) La empresa
(C) Charla de almohada
(D) laca para el cabello",(A)
"Encuentre una película similar a Interstellar, Monsters, Inc, Regreso al futuro, Inception:
Opciones:
(A) Mis compatriotas americanos
(B) La sombra del vampiro
(C) Star Wars Episodio VII - El despertar de la fuerza
(D) Psico II",(C)
"Encuentra una película similar a Batman, Día de la Independencia, Parque Jurásico, Forrest Gump:
Opciones:
(A) Villa Pleasant
(B) La máscara
(C) Atrapar a un ladrón
(D) Masacre en microondas",(B)
