مدخل,هدف
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في بطولة الجولف ، كان هناك سبعة لاعبي غولف: آنا ، وحواء ، وآدا ، ودان ، وروب ، وآمي ، وجو. احتل دان المركز الثالث. انتهى أنا فوق Ada. أنهت ايمي آخر مرة. انتهى دان أسفل روب. انتهت Eve أسفل Ada. انتهى روب أسفل جو.
خيارات:
(أ) احتلت أنا المركز الثالث
(ب) احتلت حواء المركز الثالث
(ج) احتلت آدا المركز الثالث
(د) حل دان في المركز الثالث
(ه) حصل روب على المركز الثالث
(F) احتلت ايمي المركز الثالث
(G) حل جو في المركز الثالث",(د)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك سبع سيارات: حافلة ، ودراجة نارية ، وهاتشباك ، وعربة ستيشن ، وعربة صغيرة ، وشاحنة ، وسيارة ليموزين. عربة المحطة هي رابع أحدث. الدراجة النارية أحدث من الشاحنة. عربة المحطة أقدم من هاتشباك. الميني فان أحدث من هاتشباك. الحافلة أحدث من الميني فان. الشاحنة أحدث من الليموزين.
خيارات:
(أ) الحافلة هي ثالث أقدم
(ب) الدراجة النارية هي الأقدم
(ج) هاتشباك هي ثالث أقدم
(د) عربة المحطة هي ثالث أقدم عربة
(ه) الميني فان هو ثالث أقدم
(F) الشاحنة هي الأقدم
(ز) الليموزين هي ثالث أقدم",(ب)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على فرع ، هناك سبعة طيور: طائر طنان ، كاردينال ، قيق أزرق ، بومة ، غراب ، سمان ، وروبن. الطائر الطنان على يسار السمان. روبن على يسار الكاردينال. القيق الأزرق هو أقصى اليسار. الكاردينال هو الرابع من اليسار. الغراب هو الثالث من اليمين. البومة هي الثالثة من اليسار.
خيارات:
(أ) الطائر الطنان هو الثاني من اليمين
(ب) الكاردينال هو الثاني من اليمين
(ج) القيق الأزرق هو الثاني من اليمين
(د) البومة هي الثانية من اليمين
(هـ) الغراب هو الثاني من جهة اليمين
(F) السمان هو الثاني من اليمين
(ز) روبن هو الثاني من اليمين",(أ)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على فرع ، هناك سبعة طيور: روبن ، بومة ، سمّان ، صقر ، طائر طنان ، كاردينال ، وغراب. الطائر الطنان على يسار الصقر. الغراب على يمين الكاردينال. الكاردينال هو الثاني من اليمين. السمان هو الثالث من اليمين. الصقر على يسار أبو الحناء. البومة هي الثانية من اليسار.
خيارات:
(أ) روبن هو الرابع من اليسار
(ب) البومة هي الرابعة من اليسار
(ج) السمان هو الرابع من اليسار
(د) الصقر هو الرابع من اليسار
(هـ) الطائر الطنان هو الرابع من اليسار
(F) الكاردينال هو الرابع من اليسار
(G) الغراب هو الرابع من اليسار",(أ)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يبيع كشك الفاكهة سبع فواكه: الكيوي والخوخ والمانجو والبطيخ والكمثرى والخوخ والبرتقال. الكمثرى هي ثالث أرخص. الكيوي هو ثاني أغلى ثمناً. الكمثرى أغلى من البرقوق. البرتقال أرخص من الكيوي. المانجو هي ثالث أغلى. الخوخ هو الثاني أرخص.
خيارات:
(أ) الكيوي هو ثاني أرخص
(ب) البرقوق هو ثاني أرخص
(ج) المانجو هي ثاني أرخص
(د) البطيخ هو ثاني أرخص
(هـ) الكمثرى هي ثاني أرخص
(F) الخوخ هو ثاني أرخص
(ز) البرتقال هو ثاني أرخص",(F)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في بطولة الجولف ، كان هناك سبعة لاعبي غولف: Eli و Eve و Mel و Joe و Mya و Rob و Ada. انتهى Ada فوق ميا. انتهى إيلي تحت جو. انتهى إيلي فوق حواء. احتلت آدا المركز الثاني قبل الأخير. احتل ميل المركز الثالث. احتل روب المركز الرابع.
خيارات:
(أ) إيلي حصل على المركز الثالث قبل الأخير
(ب) أنهت Eve المركز الثالث إلى الأخير
(C) أنهى ميل المركز الثالث إلى الأخير
(د) حل جو في المركز الثالث قبل الأخير
(E) حصل Mya على المركز الثالث إلى الأخير
(F) حصل روب على المركز الثالث قبل الأخير
(G) آدا أنهت المركز الثالث إلى الأخير",(ب)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في بطولة الجولف ، كان هناك سبعة لاعبي غولف: إيمي ، إيف ، آدا ، روب ، دان ، ميل ، وجو. احتل جو المركز الثالث. انتهى دان أخيرًا. أنهت Eve المركز الأول. انتهى ميل أسفل روب. انتهى Ada فوق جو. أنهى روب المركز الثالث إلى الأخير.
خيارات:
(أ) أنهت ايمي آخر مرة
(ب) أنهت حواء آخر مرة
(ج) انتهى آدا في المركز الأخير
(د) أنهى روب آخر مرة
(هـ) أنهى دان آخر مرة
(F) انتهى ميل أخيرًا
(ز) أنهى جو آخر مرة",(و)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يبيع كشك فواكه سبع فواكه: برتقال ، إسكدن ، تفاح ، كيوي ، مانجو ، خوخ ، وخوخ. التفاح هو ثاني أرخص. الخوخ أرخص. الخوخ هو رابع أغلى. الكوات هي ثالث أرخص. الكيوي أغلى من المانجو. البرتقال أرخص من المانجو.
خيارات:
(أ) البرتقال هو ثالث أرخص
(ب) و lquats هي ثالث أرخص
(ج) التفاح هو ثالث أرخص
(د) الكيوي هو ثالث أرخص
(هـ) المانجو هي ثالث أرخص
(F) البرقوق هو ثالث أرخص
(ز) الخوخ هو ثالث أرخص",(ب)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك سبع سيارات: سيارة ليموزين ، وشاحنة ، وميني فان ، وجرار ، وهاتشباك ، وحافلة ، وسيارة مكشوفة. السيارة القابلة للتحويل هي ثاني أقدمها. الجرار هو رابع أحدث. الميني فان أقدم من الشاحنة. الشاحنة أقدم من الليموزين. هاتشباك هي ثالث أقدم سيارة. الحافلة أحدث من الليموزين.
خيارات:
(أ) الليموزين هي الأقدم
(ب) الشاحنة هي الأقدم
(C) الشاحنة الصغيرة هي الأقدم
(د) الجرار هو الاقدم
(ه) هاتشباك هي الأقدم
(و) الحافلة هي الأقدم
(ز) السيارة القابلة للتحويل هي الأقدم",(ج)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف سبعة كتب: كتاب بني ، وكتاب أصفر ، وكتاب أسود ، وكتاب أبيض ، وكتاب أخضر ، وكتاب برتقالي ، وكتاب بنفسجي. الكتاب الأرجواني هو أقصى اليمين. الكتاب الأصفر هو أقصى اليسار. الكتاب البرتقالي هو الثاني من اليمين. الكتاب البني على يسار الكتاب الأخضر. الكتاب البني على يمين الكتاب الأسود. الكتاب الأبيض هو الرابع من اليسار.
خيارات:
(أ) الكتاب البني هو أقصى اليسار
(ب) الكتاب الأصفر هو أقصى اليسار
(ج) الكتاب الأسود هو أقصى اليسار
(د) الكتاب الأبيض هو أقصى اليسار
(هـ) الكتاب الأخضر هو أقصى اليسار
(و) الكتاب البرتقالي هو أقصى اليسار
(ز) الكتاب الأرجواني هو أقصى اليسار",(ب)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يبيع كشك الفاكهة سبع فواكه: المانجو والبطيخ والخوخ والكيوي والبرتقال والشمام والخوخ. البطيخ أرخص. الخوخ أغلى من المانجو. الكنتالوب هو ثاني أغلى ثمناً. البرتقال أغلى من الكنتالوب. الخوخ أرخص من البرقوق. الكيوي هو ثالث أرخص.
خيارات:
(أ) المانجو هي ثالث أغلى
(ب) البطيخ هو ثالث أغلى
(ج) الخوخ هو ثالث أغلى
(د) الكيوي هو ثالث أغلى ثمناً
(هـ) البرتقال هو ثالث أغلى
(F) الكنتالوب هو ثالث أغلى
(ز) الخوخ هو ثالث أغلى",(ز)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف سبعة كتب: كتاب بني وكتاب أبيض وكتاب أسود وكتاب أصفر وكتاب برتقالي وكتاب أزرق وكتاب أخضر. الكتاب الأصفر هو أقصى اليمين. الكتاب الأزرق على يسار الكتاب البرتقالي. الكتاب الأخضر على يمين الكتاب الأبيض. الكتاب الأزرق على يمين الكتاب الأخضر. الكتاب الأسود هو الرابع من اليسار. الكتاب البني هو الثالث من اليمين.
خيارات:
(أ) الكتاب البني هو الرابع من اليسار
(ب) الكتاب الأبيض هو الرابع من اليسار
(ج) الكتاب الأسود هو الرابع من اليسار
(د) الكتاب الأصفر هو الرابع من اليسار
(هـ) الكتاب البرتقالي هو الرابع من اليسار
(F) الكتاب الأزرق هو الرابع من اليسار
(ز) الكتاب الأخضر هو الرابع من اليسار",(ج)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في بطولة الجولف ، كان هناك سبعة لاعبي غولف: جو ، دان ، آنا ، ميل ، آدا ، إيف ، وإيمي. انتهت Eve فوق Amy. احتل دان المركز الثاني. انتهى Ada أسفل Ana. أنهت آنا المركز الثالث إلى الأخير. انتهى ميل الماضي. احتلت ايمي المركز الثالث.
خيارات:
(أ) أنهى جو آخر مرة
(ب) أنهى دان آخر مرة
(ج) أنهت أنا آخر مرة
(D) انتهى ميل أخيرًا
(هـ) أنهى آدا في المركز الأخير
(F) أنهت حواء آخر مرة
(G) ايمي أنهت في الماضي",(د)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على فرع ، هناك سبعة طيور: غراب ، طائر طنان ، روبن ، غراب ، سمان ، قيق أزرق ، وكاردينال. الطائر الطنان على يسار الغراب. السمان على يمين الغراب. الغراب على يسار روبن. القيق الأزرق هو الثالث من اليمين. الكاردينال هو أقصى اليسار. الطائر الطنان هو الرابع من اليسار.
خيارات:
(ا) الغراب هو الثالث من اليمين
(ب) الطائر الطنان هو الثالث من اليمين
(ج) روبن هو الثالث من اليمين
(د) الغراب هو الثالث من اليمين
(هـ) السمان هو الثالث من اليمين
(F) القيق الأزرق هو الثالث من اليمين
(ز) الكاردينال هو الثالث من اليمين",(F)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على فرع ، هناك سبعة طيور: غراب ، كاردينال ، صقر ، بومة ، قيق أزرق ، سمان ، وروبن. البومة هي الثانية من اليمين. الكاردينال هو الرابع من اليسار. الصقر على يسار القيق الأزرق. السمان على يسار الصقر. الغراب هو الثاني من اليسار. روبن على يسار السمان.
خيارات:
(ا) الغراب هو الثاني من اليسار
(ب) الكاردينال هو الثاني من اليسار
(ج) الصقر هو الثاني من اليسار
(د) البومة هي الثانية من اليسار
(هـ) القيق الأزرق هو الثاني من اليسار
(F) السمان هو الثاني من اليسار
(G) روبن هو الثاني من اليسار",(أ)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف سبعة كتب: كتاب أسود ، وكتاب أصفر ، وكتاب أبيض ، وكتاب رمادي ، وكتاب بنفسجي ، وكتاب برتقالي ، وكتاب أخضر. الكتاب الأخضر على يسار الكتاب الرمادي. الكتاب الرمادي هو الثالث من اليمين. الكتاب الأبيض هو أقصى اليمين. الكتاب البرتقالي هو الثاني من اليسار. الكتاب الأسود على يمين الكتاب الأصفر. الكتاب الأسود هو الثالث من اليسار.
خيارات:
(أ) الكتاب الأسود هو الثاني من اليمين
(ب) الكتاب الأصفر هو الثاني من اليمين
(ج) الكتاب الأبيض هو الثاني من اليمين
(د) الكتاب الرمادي هو الثاني من اليمين
(هـ) الكتاب الأرجواني هو الثاني من اليمين
(و) الكتاب البرتقالي هو الثاني من اليمين
(ز) الكتاب الأخضر هو الثاني من اليمين",(و)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يبيع كشك فواكه سبع فواكه: الخوخ والكيوي والشمام والكمثرى والبطيخ والتفاح والعقم. البطيخ أغلى من الكنتالوب. التفاح أرخص من الكنتالوب. البطيخ هو ثاني أغلى ثمناً. الكوات أقل تكلفة من الكيوي. التفاح أغلى من إسكدنيا. الكوات هي ثالث أرخص. الخوخ أرخص.
خيارات:
(أ) الخوخ هو الأغلى
(ب) الكيوي أغلى ثمناً
(ج) الكنتالوب هو الأغلى
(د) الكمثرى هي الأغلى
(هـ) البطيخ هو الأغلى
(و) التفاح هو الأغلى
(ز) اسكدنيا هي الأغلى",(ب)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف سبعة كتب: كتاب أخضر ، وكتاب بني ، وكتاب أبيض ، وكتاب أسود ، وكتاب برتقالي ، وكتاب بنفسجي ، وكتاب أصفر. الكتاب الأرجواني على يسار الكتاب الأصفر. الكتاب الأخضر على يسار الكتاب الأبيض. الكتاب البني على يمين الكتاب الأصفر. الكتاب الأبيض هو الرابع من اليسار. الكتاب الأخضر على يمين الكتاب البرتقالي. الكتاب الأسود هو الثاني من اليسار.
خيارات:
(أ) الكتاب الأخضر هو أقصى اليسار
(ب) الكتاب البني هو أقصى اليسار
(ج) الكتاب الأبيض هو أقصى اليسار
(د) الكتاب الأسود هو أقصى اليسار
(هـ) الكتاب البرتقالي هو أقصى اليسار
(F) الكتاب الأرجواني هو أقصى اليسار
(ز) الكتاب الأصفر هو أقصى اليسار",(و)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك سبع سيارات: شاحنة ، هاتشباك ، حافلة صغيرة ، حافلة ، جرار ، عربة ستيشن ، وسيارة قابلة للتحويل. عربة المحطة هي رابع أحدث. الميني فان هو ثالث أحدث. الجرار هو ثاني أقدم الجرار. السيارة القابلة للتحويل أقدم من عربة المحطة. الشاحنة أحدث من الحافلة. هاتشباك أقدم من السيارة المكشوفة.
خيارات:
(أ) الشاحنة هي الأقدم
(ب) هاتشباك هي ثالث أقدم
(ج) الميني فان هو ثالث أقدم
(د) الحافلة هي ثالث أقدم
(هـ) الجرار هو ثالث أقدم
(F) عربة المحطة هي ثالث أقدم عربة
(ز) السيارة القابلة للتحويل هي ثالث أقدمها",(ز)
"تصف كل من الفقرات التالية مجموعة من سبعة أشياء مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف سبعة كتب: كتاب أسود ، وكتاب أصفر ، وكتاب أبيض ، وكتاب رمادي ، وكتاب بنفسجي ، وكتاب برتقالي ، وكتاب أخضر. الكتاب الأخضر على يسار الكتاب الرمادي. الكتاب الرمادي هو الثالث من اليمين. الكتاب الأبيض هو أقصى اليمين. الكتاب البرتقالي هو الثاني من اليسار. الكتاب الأسود على يمين الكتاب الأصفر. الكتاب الأسود هو الثالث من اليسار.
خيارات:
(أ) الكتاب الأسود هو الثالث من اليسار
(ب) الكتاب الأصفر هو الثالث من اليسار
(ج) الكتاب الأبيض هو الثالث من اليسار
(د) الكتاب الرمادي هو الثالث من اليسار
(هـ) الكتاب الأرجواني هو الثالث من اليسار
(و) الكتاب البرتقالي هو الثالث من اليسار
(ز) الكتاب الأخضر هو الثالث من اليسار",(أ)
