Eingang,Ziel
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen fünf Vögel: eine Wachtel, eine Eule, ein Rabe, ein Falke und ein Rotkehlchen. Die Eule ist ganz links. Das Rotkehlchen steht links vom Raben. Die Wachtel ist ganz rechts. Der Rabe ist der Dritte von links.
Optionen:
(A) Die Wachtel ist ganz rechts
(B) Die Eule ist ganz rechts
(C) Der Rabe ist ganz rechts
(D) Der Falke ist ganz rechts
(E) Das Rotkehlchen steht ganz rechts",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es fünf Fahrzeuge: ein Fließheck, einen Bus, ein Cabrio, einen Traktor und einen Minivan. Der Traktor ist älter als der Bus. Der Minivan ist neuer als der Bus. Das Fließheck ist das zweitneueste. Der Minivan ist älter als das Cabrio.
Optionen:
(A) Das Fließheck ist das zweitälteste
(B) Der Bus ist der zweitälteste
(C) Das Cabriolet ist das zweitälteste
(D) Der Traktor ist der zweitälteste
(E) Der Minivan ist der zweitälteste",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen fünf Bücher: ein gelbes Buch, ein grünes Buch, ein graues Buch, ein blaues Buch und ein orangefarbenes Buch. Das graue Buch befindet sich links vom grünen Buch. Das graue Buch ist das zweite von rechts. Das gelbe Buch befindet sich rechts vom orangefarbenen Buch. Das blaue Buch ist das zweite von links.
Optionen:
(A) Das gelbe Buch befindet sich ganz links
(B) Das grüne Buch befindet sich ganz links
(C) Das graue Buch befindet sich ganz links
(D) Das blaue Buch befindet sich ganz links
(E) Das orangefarbene Buch befindet sich ganz links",(UND)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen fünf Vögel: ein Rabe, eine Eule, ein Kardinal, ein Kolibri und ein Rotkehlchen. Der Kardinal steht ganz rechts. Der Rabe steht links von der Eule. Das Rotkehlchen steht rechts vom Kolibri. Der Kolibri ist der dritte von links.
Optionen:
(A) Der Rabe ist der zweite von links
(B) Die Eule ist die zweite von links
(C) Der Kardinal ist der Zweite von links
(D) Der Kolibri ist der zweite von links
(E) Das Rotkehlchen ist das zweite von links",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen fünf Bücher: ein grünes Buch, ein orangefarbenes Buch, ein graues Buch, ein gelbes Buch und ein lila Buch. Das grüne Buch befindet sich ganz rechts. Das graue Buch befindet sich rechts vom orangefarbenen Buch. Das violette Buch befindet sich links vom gelben Buch. Das violette Buch befindet sich rechts vom grauen Buch.
Optionen:
(A) Das Grünbuch ist das zweite von rechts
(B) Das orangefarbene Buch ist das zweite von rechts
(C) Das graue Buch ist das zweite von rechts
(D) Das gelbe Buch ist das zweite von rechts
(E) Das lila Buch ist das zweite von rechts",(D)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen fünf Bücher: ein weißes Buch, ein grünes Buch, ein braunes Buch, ein graues Buch und ein orangefarbenes Buch. Das graue Buch befindet sich rechts vom orangefarbenen Buch. Das Grünbuch ist das zweite von rechts. Das braune Buch befindet sich rechts vom weißen Buch. Das braune Buch befindet sich links vom orangefarbenen Buch.
Optionen:
(A) Das Weißbuch ist das dritte von links
(B) Das Grünbuch ist das dritte von links
(C) Das braune Buch ist das dritte von links
(D) Das graue Buch ist das dritte von links
(E) Das orangefarbene Buch ist das dritte von links",(UND)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es fünf Fahrzeuge: ein Cabrio, einen Bus, einen Minivan, einen Lastwagen und eine Limousine. Das Cabrio ist neuer als der LKW. Der Minivan ist der neueste. Der Bus ist der drittneueste. Der LKW ist neuer als die Limousine.
Optionen:
(A) Das Cabrio ist das neueste
(B) Der Bus ist der neueste
(C) Der Minivan ist der neueste
(D) Der LKW ist der neueste
(E) Die Limousine ist die neueste",(C)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Golfturnier nahmen fünf Golfer teil: Rob, Ada, Dan, Joe und Mel. Ada landete vor Mel. Mel landete vor Dan. Joe landete hinter Dan. Ada wurde Zweite.
Optionen:
(A) Rob war Letzter
(B) Ada ist als Letzte fertig geworden
(C) Dan wurde Letzter
(D) Joe wurde Letzter
(E) Mel war Letzter",(D)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen fünf Bücher: ein weißes Buch, ein grünes Buch, ein braunes Buch, ein graues Buch und ein orangefarbenes Buch. Das graue Buch befindet sich rechts vom orangefarbenen Buch. Das Grünbuch ist das zweite von rechts. Das braune Buch befindet sich rechts vom weißen Buch. Das braune Buch befindet sich links vom orangefarbenen Buch.
Optionen:
(A) Das weiße Buch befindet sich ganz rechts
(B) Das grüne Buch befindet sich ganz rechts
(C) Das braune Buch befindet sich ganz rechts
(D) Das graue Buch befindet sich ganz rechts
(E) Das orangefarbene Buch befindet sich ganz rechts",(D)
"Die folgenden Absätze beschreiben jeweils einen Satz von fünf Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es fünf Fahrzeuge: ein Cabrio, eine Limousine, einen Traktor, einen Minivan und eine Limousine. Der Traktor ist neuer als der Minivan. Der Traktor ist älter als die Limousine. Das Cabrio ist älter als die Limousine. Das Cabrio ist das zweitneueste.
Optionen:
(A) Das Cabriolet ist das zweitälteste
(B) Die Limousine ist die zweitälteste
(C) Der Traktor ist der zweitälteste
(D) Der Minivan ist der zweitälteste
(E) Die Limousine ist die zweitälteste",(C)
