input,target
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Ora aggiungiamo un pinguino alla tabella:
Giacomo, 12, 90, 12
Ed ecco una tabella simile, ma che elenca le giraffe:
nome, età, altezza (cm), peso (kg)
Giody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Donna, 9, 440, 650
Qual è il pinguino più vecchio?
Opzioni:
(A) Luigi
(B) Bernardo
(C) Vincenzo
(D) Gwen
(E) Giacomo",(E)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Qual è il nome dell'ultimo pinguino in ordine alfabetico?
Opzioni:
(A) Luigi
(B) Bernardo
(C) Vincenzo
(D) Gwen
(E) Giacomo",(C)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Quanti pinguini hanno più di 5 anni?
Opzioni:
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",(C)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Ed ecco una tabella simile, ma che elenca le giraffe:
nome, età, altezza (cm), peso (kg)
Giody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Donna, 9, 440, 650
Quanti animali hanno più di 5 anni?
Opzioni:
(A) 5
(B) 6
(C) 7
(D) 8
(E) 9",(A)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Quale pinguino è più vecchio di Gwen?
Opzioni:
(A) Luigi
(B) Bernardo
(C) Vincenzo
(D) Gwen
(E) Giacomo",(C)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Ed ecco una tabella simile, ma che elenca le giraffe:
nome, età, altezza (cm), peso (kg)
Giody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Donna, 9, 440, 650
Qual è l'età cumulata delle giraffe?
Opzioni:
(A) 26
(B) 29
(C) 41
(D) 55
(I) 67",(A)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Ora aggiungiamo un pinguino alla tabella:
Giacomo, 12, 90, 12
Ed ecco una tabella simile, ma che elenca le giraffe:
nome, età, altezza (cm), peso (kg)
Giody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Donna, 9, 440, 650
Come si chiama il pinguino alto 70 cm?
Opzioni:
(A) Luigi
(B) Bernardo
(C) Vincenzo
(D) Gwen
(E) Giacomo",(D)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Ed ecco una tabella simile, ma che elenca le giraffe:
nome, età, altezza (cm), peso (kg)
Giody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Donna, 9, 440, 650
Qual è il nome dell'ultima giraffa in ordine alfabetico?
Opzioni:
(A) Giody
(B) Gladys
(C) Mariano
(D) Donna
(E) Luisa",(C)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Ora aggiungiamo un pinguino alla tabella:
Giacomo, 12, 90, 12
Quanti pinguini ci sono nel tavolo?
Opzioni:
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",(E)
"Ecco una tabella in cui la prima riga è un'intestazione e ogni riga successiva è un pinguino: nome, età, altezza (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Ad esempio: l'età di Louis è 7, il peso di Gwen è 15 kg, l'altezza di Bernard è 80 cm. Quale pinguino ha il nome di un famoso jazzista?
Opzioni:
(A) Luigi
(B) Bernardo
(C) Vincenzo
(D) Gwen
(E) Giacomo",(A)
