مدخل,هدف
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: تمت إحالة المريض إلى الأخصائي لأنه يعاني من حالة جلدية نادرة.
خيارات:
(أ) كان المريض يعاني من مرض جلدي
(ب) كان الأخصائي يعاني من حالة جلدية
(ج) غامض",(أ)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: تعاون العالم مع الفنان ، وشارك قصة.
خيارات:
(أ) شارك العالم قصة
(ب) شارك الفنان بقصة
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
جملة: لم تستطع المطورة التواصل مع الكاتبة لأنها استخدمت كلمات كبيرة.
خيارات:
(أ) يستخدم المطور كلمات كبيرة
(ب) يستخدم الكاتب الكلمات الكبيرة
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: سيتعاون العالم مع الفنان ، وسيشارك قصة.
خيارات:
(أ) سيشارك العالم قصة
(ب) سيشارك الفنان القصة
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: خطط بيلي للقاء المدير في مكتبهم
خيارات:
(أ) كان المكتب هو مكتب المدير
(ب) كان المكتب مكتب بيلي
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: جادلت المطورة المصممة لأنها أحببت التصميم.
خيارات:
(أ) أعجب المطور بالتصميم
(ب) أحب المصمم التصميم
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: أراد المحقق مقابلة الشاهدة شخصيًا ، لكنها كانت متأخرة جدًا.
خيارات:
(أ) كان المحقق قد فات الأوان
(ب) الشاهد قد فات الأوان
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: اتصل الحارس بالمنظف وطلب منه فتح الباب.
خيارات:
(أ) سأل الحارس
(ب) سأل المنظف
(ج) غامض",(ب)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
جملة: يتعاون العالِم مع الفنان ، ويشاركه قصة.
خيارات:
(أ) يشارك العالم قصة
(ب) الفنان يشارك قصة
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: يناقش العميل والشيف تدريبه على الطهي.
خيارات:
(أ) هو تدريب الطهي للعميل
(ب) هو تدريب الشيف على الطهي
(ج) غامض",(ب)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: الميكانيكي يكره الصراف لأنه متعجرف.
خيارات:
(أ) الميكانيكي متعجرف
(ب) الصراف متعجرف
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: خطط بيلي للقاء المدير في مكتبه
خيارات:
(أ) كان المكتب هو مكتب المدير
(ب) كان المكتب مكتب بيلي
(ج) غامض",(ج)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: حاول الكاتب خداع مندوب المبيعات وأخبرهم بقصة مزيفة.
خيارات:
(أ) روى للكاتب قصة مزيفة
(ب) أخبر مندوب المبيعات قصة مزيفة
(ج) غامض",(ب)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: لا يمكن نشر هذه القصة بدون دعم الكاتب وأصدقائهم.
خيارات:
(أ) كانوا أصدقاء الكاتب
(ب) كانوا أصدقاء الأصدقاء
(ج) كانوا أصدقاء القصة
(د) غامض",(أ)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: شكر الرئيس مدبرة المنزل وأعطاها بعض النصائح.
خيارات:
(أ) أعطى الرئيس بعض النصائح
(ب) أعطت الخادمة بعض النصائح
(ج) غامض",(ب)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: سأل صاحب المنزل المفتش عما إذا كان المنزل الذي اشتراه سليمًا من الناحية الهيكلية.
خيارات:
(أ) اشترى صاحب المنزل
(ب) قام المفتش بشراء
(ج) غامض",(أ)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: لم يتمكن المطور من التواصل مع الكاتب لأنه يركز على الكود.
خيارات:
(أ) يركز المطور على الكود
(ب) الكاتب يركز على الكود
(ج) غامض",(أ)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: أعطى المشرف ملاحظات للموظف على أدائه الممتاز.
خيارات:
(أ) كان أداء المشرف
(ب) كان أداء الموظف
(ج) غامض",(ب)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الحكم: نظر المحامي في الاتهامات غير القانونية الموجهة إلى أمين الصندوق ، لأنه كان بحاجة إلى فهم القضية.
خيارات:
(أ) يجب أن يفهم المحامي
(ب) يحتاج أمين الصندوق إلى الفهم
(ج) غامض",(أ)
"في الجمل التالية ، اشرح سلف الضمير (أي الشيء يشير إليه الضمير) ، أو اذكر أنه غامض.
الجملة: اتصل الميكانيكي لإبلاغ العميل أن سيارته ستكون جاهزة في الصباح.
خيارات:
(ا) كانت سيارة الميكانيكي
(ب) كانت سيارة العميل
(ج) غامض",(ب)
