input,target
"Oggi è la vigilia di Natale del 1937. Qual è la data di domani in MM/GG/AAAA?
Opzioni:
(A) 11/12/1937
(B) 25/12/1937
(C) 01/04/1938
(D) 04/12/1937
(E) 25/12/2006
(F) 25/07/1937",(B)
"Nel Regno Unito, le persone di solito mettono il giorno prima del mese quando si formatta la data. Pertanto, oggi è il 02/01/1987 per loro. Qual è la data di un mese fa in MM/GG/AAAA?
Opzioni:
(A) 12/02/1986
(B) 12/01/1986
(C) 03/02/1986
(D) 12/02/2032
(E) 12/02/2062
(F) 02/06/1987",(A)
"Jane e John si sono sposati il ​​2 gennaio 1958. Oggi è il loro quinto anniversario. Qual è la data tra una settimana da oggi in MM/GG/AAAA?
Opzioni:
(A) 16/01/1961
(B) 01/09/1961
(C) 01/09/1963
(D) 03/09/1960
(E) 07/09/1960
(F) 28/02/1961",(B)
"Jane ha programmato 3 appuntamenti con 5 persone per domani (martedì, 7/9/1972). Qual è la data di una settimana fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 07/09/1972
(B) 01/12/1972
(C) 07/01/2008
(D) 13/05/1972
(E) 07/01/1972
(F) 08/12/1972",(E)
"La riunione di oggi è spostata alle 11 di domani, 16/10/1924. Qual è la data tra una settimana da oggi in MM/GG/AAAA?
Opzioni:
(A) 22/10/1944
(B) 22/10/1924
(C) 10/07/1924
(D) 21/10/1924
(E) 22/08/1925
(F) 21/11/1924",(B)
"Jane visita la libreria il 16 di ogni mese a partire da ottobre 2009. Oggi è la sua quinta visita in libreria. Qual è la data di un anno fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 16/08/2009
(B) 16/02/2009
(C) 16/02/2004
(D) 13/03/2009
(E) 26/01/2009
(F) 15/02/2009",(B)
"Il 9 maggio 2017 Jane ha acquistato 40 uova. Ne mangiava uno al giorno. Oggi ha finito le uova. Qual è la data 24 ore dopo in MM/GG/AAAA?
Opzioni:
(A) 19/06/2017
(B) 17/07/2017
(C) 20/06/2017
(D) 18/06/2017
(E) 15/06/2017
(F) 07/10/2017",(A)
"Domani è il 12/11/2019. Qual è la data di ieri in MM/GG/AAAA?
Opzioni:
(A) 11/10/2076
(B) 11/10/2019
(C) 09/10/2019
(D) 11/06/2019
(E) 11/11/2019
(F) 17/11/2019",(B)
"Jane pensa che oggi sia il 18/06/2019, ma John pensa che oggi sia il 19/06/2019. Jane ha ragione. Qual è la data di ieri in MM/GG/AAAA?
Opzioni:
(A) 17/06/2063
(B) 18/05/2019
(C) 20/05/2019
(D) 17/06/2019
(E) 13/05/2019
(F) 06/08/2019",(D)
"Il primo giorno del 2019 è un martedì e oggi è il primo lunedì del 2019. Qual è la data di un anno fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 01/08/2018
(B) 01/07/2018
(C) 01/02/2018
(D) 01/12/2018
(E) 05/07/2017
(F) 29/10/2017",(B)
"Ieri era il 31/12/1929. Oggi non potrebbe essere il 32/12/1929 perché dicembre ha solo 31 giorni. Qual è la data di oggi in MM/GG/AAAA?
Opzioni:
(A) 01/08/1930
(B) 01/06/1930
(C) 01/01/1930
(D) 31/12/1929
(E) 10/01/1930
(F) 27/02/1930",(C)
"Oggi è il 10 aprile 1985. L'appuntamento di Jane sarà 3 giorni dopo. Qual è la data di una settimana fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 13/05/1985
(B) 04/03/1985
(C) 03/10/1986
(D) 04/01/1985
(E) 13/04/1985
(F) 04/12/1986",(B)
"Jane ha licenziato il suo lavoro il 20 marzo 2020. Da allora sono trascorsi 176 giorni. Qual è la data di un anno fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 20/09/2019
(B) 10/01/2019
(C) 24/10/2019
(D) 09/12/1970
(I) 09/12/2019",(E)
"Oggi è il giorno palindromo del 2020, perché il formato MMGGAAAA della data è lo stesso all'indietro e in avanti. Qual è la data di un mese fa in MM/GG/AAAA?
Opzioni:
(A) 01/01/2020
(B) 01/02/2020
(C) 10/02/2019
(D) 11/05/2019
(E) 01/02/1931
(F) 01/03/2020",(B)
"Domani è il 12/11/2019. Qual è la data tra una settimana da oggi in MM/GG/AAAA?
Opzioni:
(A) 21/08/2019
(B) 18/11/2019
(C) 18/11/2025
(D) 18/11/2011
(E) 18/02/2020
(F) 11/04/2019",(B)
"Jane ha programmato 3 appuntamenti con 5 persone per domani (martedì, 7/9/1972). Qual è la data di domani in MM/GG/AAAA?
Opzioni:
(A) 07/09/1923
(B) 08/05/1972
(C) 09/01/1972
(D) 07/09/1972
(E) 07/09/2007
(F) 09/04/1972",(D)
"Il 6 maggio 1992 è come ieri per Jane, ma in realtà sono dieci anni fa. Qual è la data di oggi in MM/GG/AAAA?
Opzioni:
(A) 05/06/2095
(B) 05/06/1935
(C) 05/06/1912
(D) 08/06/2002
(E) 05/06/2002
(F) 05/06/1964",(E)
"Jane ha licenziato il suo lavoro il 20 marzo 2020. Da allora sono trascorsi 176 giorni. Qual è la data di domani in MM/GG/AAAA?
Opzioni:
(A) 13/09/2020
(B) 14/08/2020
(C) 13/09/2057
(D) 26/07/2020
(I) 10/04/2020
(F) 13/09/2084",(A)
"Oggi è il 9 settembre 1909. Qual è la data di 10 giorni fa in MM/GG/AAAA?
Opzioni:
(A) 29/08/1909
(B) 30/08/1967
(C) 30/08/1909
(D) 30/08/1977
(E) 08/02/1909
(F) 16/08/1909",(C)
"L'ora locale attuale è 15:02 del 5/4/2004. Qual è la data di un anno fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 14/06/2003
(B) 05/03/2003
(C) 12/04/2002
(D) 06/02/2003
(E) 05/04/2003",(E)
"Ieri, 21 gennaio 2011, Jane ha mangiato 2 pizze e 5 ali. Qual è la data di una settimana fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 12/06/2010
(B) 15/01/2011
(C) 17/01/2011
(D) 15/03/2011
(E) 24/12/2010",(B)
"Ieri, 21 gennaio 2011, Jane ha mangiato 2 pizze e 5 ali. Qual è la data di 10 giorni fa in MM/GG/AAAA?
Opzioni:
(A) 18/01/2011
(B) 01/12/2011
(C) 01/12/2069
(D) 13/01/2011
(E) 05/12/2010
(F) 08/12/2010",(B)
"Jane sta festeggiando l'ultimo giorno di gennaio 2012. Qual è la data di ieri in MM/GG/AAAA?
Opzioni:
(A) 29/01/2012
(B) 30/09/2011
(C) 02/06/2012
(D) 30/01/2012
(E) 30/01/1925",(D)
"Il 2015 arriverà tra 36 ore. Qual è la data di una settimana fa da oggi in MM/GG/AAAA?
Opzioni:
(A) 22/12/2040
(B) 23/12/2014
(C) 22/12/2014
(D) 01/05/2015
(E) 22/12/2086
(F) 02/06/2015",(C)
"Nel Regno Unito, le persone di solito mettono il giorno prima del mese quando si formatta la data. Pertanto, oggi è il 02/01/1987 per loro. Qual è la data di ieri in MM/GG/AAAA?
Opzioni:
(A) 01/01/1987
(B) 19/10/1986
(C) 01/08/1987
(D) 01/01/2015
(E) 01/01/1934
(F) 29/12/1986",(A)
"Jane ha prenotato un volo per domani, 29 luglio 2002. Qual è la data tra una settimana da oggi in MM/GG/AAAA?
Opzioni:
(A) 08/03/2002
(B) 22/10/2002
(C) 06/03/2002
(D) 08/04/2002
(E) 08/04/1930
(F) 07/04/2003",(D)
