输入,目标
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了尤利西斯，鲍勃买了弗兰肯斯坦，克莱尔买了洛丽塔。
随着学期的进行，他们开始围绕新书进行交易。首先，克莱尔和鲍勃交换书籍。然后，鲍勃和爱丽丝交换书籍。最后，克莱尔和鲍勃交换了书籍。学期结束时，鲍勃
选项：
(A) 尤利西斯
(B) 弗兰肯斯坦
(C) 洛丽塔",(B)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《巴斯克维尔猎犬》，鲍勃买了《奥德赛》，克莱尔买了《第二十二条军规》。
随着学期的进行，他们开始围绕新书进行交易。首先，克莱尔和爱丽丝交换书籍。然后，鲍勃和克莱尔交换书籍。最后，爱丽丝和鲍勃交换了书。学期结束时，爱丽丝
选项：
(A) 巴斯克维尔猎犬
(B) 奥德赛
(C) 第 22 条军规",(A)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《第二十二条军规》，克莱尔买了《尤利西斯》。
随着学期的进行，他们开始围绕新书进行交易。首先，鲍勃和爱丽丝交换书籍。然后，爱丽丝和克莱尔交换书籍。最后，克莱尔和鲍勃交换了书籍。学期结束时，爱丽丝
选项：
(A) 弗兰肯斯坦
(B) 第 22 条军规
(C) 尤利西斯",(C)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：爱丽丝与赫尔加跳舞，鲍勃与洛拉跳舞，克莱尔与奥菲莉亚跳舞。
在整首歌中，舞者经常交换舞伴。首先，爱丽丝和鲍勃交换伙伴。然后，鲍勃和克莱尔交换了伙伴。最后，爱丽丝和鲍勃交换了伙伴。舞蹈结束时，爱丽丝与
选项：
(A) 赫尔加
(B) 萝拉
(C) 奥菲莉亚",(C)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《弗兰肯斯坦》，鲍勃买了《奥德赛》，克莱尔买了《洛丽塔》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和克莱尔交换书籍。然后，鲍勃和爱丽丝交换书籍。最后，克莱尔和鲍勃交换了书籍。学期结束时，鲍勃
选项：
(A) 弗兰肯斯坦
(B) 奥德赛
(C) 洛丽塔",(A)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《第二十二条军规》，鲍勃买了《白鲸》，克莱尔买了《了不起的盖茨比》。
随着学期的进行，他们开始围绕新书进行交易。首先，克莱尔和鲍勃交换书籍。然后，克莱尔和爱丽丝交换书籍。最后，鲍勃和克莱尔交换了书籍。学期结束时，爱丽丝
选项：
(A) 第 22 条军规
(B)莫比迪克
(C) 了不起的盖茨比",(B)
"爱丽丝、鲍勃和克莱尔是广场舞的舞者。在歌曲开始时，他们每个人都有一个舞伴：Alice 与 Izzi 跳舞，Bob 与 Melissa 跳舞，Claire 与 Lola 跳舞。
在整首歌中，舞者经常交换舞伴。首先，克莱尔和爱丽丝交换了伙伴。然后，鲍勃和克莱尔交换了伙伴。最后，爱丽丝和鲍勃交换了伙伴。舞蹈结束时，爱丽丝与
选项：
(A) 伊兹
(B) 梅丽莎
(C) 萝拉",(A)
"爱丽丝、鲍勃和克莱尔是朋友，也是狂热的读者，偶尔会交换书籍。学期开始时，他们每人买一本新书：爱丽丝买了《了不起的盖茨比》，鲍勃买了《奥德赛》，克莱尔买了《洛丽塔》。
随着学期的进行，他们开始围绕新书进行交易。首先，爱丽丝和鲍勃交换书籍。然后，爱丽丝和克莱尔交换书籍。最后，鲍勃和克莱尔交换了书籍。学期结束时，克莱尔
选项：
（一）了不起的盖茨比
(B) 奥德赛
(C) 洛丽塔",(A)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个棕色的球，鲍勃有一个红色的球，克莱尔有一个白色的球。
随着比赛的进行，两对球员交换球。首先，克莱尔和鲍勃交换球。然后，鲍勃和爱丽丝交换球。最后，克莱尔和爱丽丝交换了球。游戏结束时，鲍勃得到了
选项：
(A) 棕色球
(B) 红球
（三）白球",(A)
"爱丽丝、鲍勃和克莱尔正在玩游戏。游戏开始时，他们每人拿着一个球：爱丽丝有一个黄色的球，鲍勃有一个棕色的球，克莱尔有一个绿色的球。
随着比赛的进行，两对球员交换球。首先，鲍勃和克莱尔交换球。然后，鲍勃和爱丽丝交换球。最后，鲍勃和克莱尔交换了球。游戏结束时，爱丽丝得到了
选项：
（一）黄球
(B) 棕色球
(C) 绿球",(C)
