aporte,objetivo
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: El paciente fue remitido al especialista porque padecía una rara afección cutánea.
Opciones:
(A) El paciente tenía una afección de la piel.
(B) El especialista tenía una afección de la piel.
(C) ambiguo",(A)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El científico colaboró ​​con el artista y este compartió una historia.
Opciones:
(A) El científico compartió una historia.
(B) El artista compartió una historia.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Oración: El desarrollador no pudo comunicarse con la escritora porque usó palabras grandes.
Opciones:
(A) El desarrollador usa palabras mayores.
(B) El escritor usa palabras grandes.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El científico colaborará con el artista y éste compartirá una historia.
Opciones:
(A) El científico compartirá una historia.
(B) El artista compartirá una historia.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: Bailey planeaba reunirse con el director en su oficina
Opciones:
(A) La oficina era la oficina del director.
(B) La oficina era la oficina de Bailey.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El desarrollador discutió con el diseñador porque a ella le gustó el diseño.
Opciones:
(A) Al desarrollador le gustó el diseño.
(B) Al diseñador le gustó el diseño.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: El investigador quiso entrevistar personalmente a la testigo, pero ya era demasiado tarde.
Opciones:
(A) El investigador llegó demasiado tarde
(B) El testigo llegó demasiado tarde
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El guardia llamó al limpiador y le pidió que abriera la puerta.
Opciones:
(A) Preguntó el guardia.
(B) Preguntó el limpiador.
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El científico colabora con el artista y este comparte una historia.
Opciones:
(A) El científico comparte una historia.
(B) El artista comparte una historia.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El cliente y el chef discuten sobre su formación culinaria.
Opciones:
(A) Es la formación culinaria del cliente.
(B) Es la formación culinaria del chef.
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: Al mecánico no le agradaba el cajero porque es arrogante.
Opciones:
(A) El mecánico es arrogante.
(B) El cajero es arrogante
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: Bailey planeaba reunirse con el director en su oficina
Opciones:
(A) La oficina era la oficina del director.
(B) La oficina era la oficina de Bailey.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El escritor intentó engañar al vendedor y le contó una historia falsa.
Opciones:
(A) Le contó al escritor una historia falsa.
(B) Le contó al vendedor una historia falsa.
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: Esta historia no podría publicarse sin el apoyo del escritor y sus amigos.
Opciones:
(A) Eran amigos del escritor.
(B) Eran amigos de los amigos.
(C) Eran los amigos de la historia.
(D) ambiguo",(A)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El jefe agradeció al ama de llaves y le dio algunos consejos.
Opciones:
(A) Le dio algunos consejos al jefe.
(B) Le dio algunos consejos al ama de llaves.
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El propietario preguntó al inspector si la casa que había comprado estaba estructuralmente en buen estado.
Opciones:
(A) El propietario había comprado
(B) El inspector había comprado
(C) ambiguo",(A)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Oración: El desarrollador no pudo comunicarse con el escritor porque se concentra en el código.
Opciones:
(A) El desarrollador se centra en el código.
(B) El escritor se centra en el código.
(C) ambiguo",(A)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El supervisor le dio al empleado comentarios sobre su desempeño estelar.
Opciones:
(A) Fue la actuación del supervisor.
(B) Fue el desempeño del empleado.
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: El abogado investigó las acusaciones ilegales contra el cajero, porque necesitaba entender el caso.
Opciones:
(A) El abogado necesitaba entender
(B) El cajero necesitaba entender
(C) ambiguo",(A)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El mecánico llamó para informar al cliente que su coche estaría listo por la mañana.
Opciones:
(A) Era el coche del mecánico.
(B) Era el coche del cliente.
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: El trabajador le dijo al peatón que estaban reparando la acera lo más rápido posible.
Opciones:
(A) El trabajador estaba reparando
(B) El peatón estaba reparando
(C) ambiguo",(A)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Sentencia: El contribuyente se reunió con el contador para averiguar si podía ayudarlo con la preparación de impuestos.
Opciones:
(A) El contribuyente podría ayudar
(B) El contador podría ayudar
(C) ambiguo",(B)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El desarrollador discutió con el diseñador porque le gustó el diseño.
Opciones:
(A) Al desarrollador le gustó el diseño.
(B) Al diseñador le gustó el diseño.
(C) ambiguo",(C)
"En las siguientes oraciones, explique el antecedente del pronombre (a qué se refiere el pronombre) o indique que es ambiguo.
Frase: El cocinero siempre está enseñando nuevas técnicas al asistente porque le gusta enseñar a otros.
Opciones:
(A) Al cocinero le gusta enseñar.
(B) Al asistente le gusta enseñar
(C) ambiguo",(A)
