Eingang,Ziel
"Finden Sie einen ähnlichen Film wie Batman, The Mask, The Fugitive, Pretty Woman:
Optionen:
(A) Die Titelseite
(B) Mahlstrom
(C) Der König der Löwen
(D) Lamerica",(C)
"Finden Sie einen Film, der The Sixth Sense, The Matrix, Forrest Gump, The Shawshank Redemption ähnelt:
Optionen:
(A) Street Fighter II Der Animationsfilm
(B) Der schützende Himmel
(C) Der Junge, der fliegen konnte
(D) Tag des Jüngsten Gerichts in Terminator 2",(D)
"Finden Sie einen Film, der Schindlers Liste, Braveheart, Das Schweigen der Lämmer und Tombstone ähnelt:
Optionen:
(A) Orlando
(B) Der Romantik schuldig
(C) Forrest Gump
(D) Alle echten Mädchen",(C)
"Finden Sie einen ähnlichen Film wie „Terminator 2 – Judgement Day“, „The Fugitive“, „The Shawshank Redemption“, „Dead Man Walking“:
Optionen:
(Ein Spaziergang
(B) Laufen Sie nicht
(C) Shaun das Schaf-Film
(D) Rocky IV
(E) Tapferes Herz",(UND)
"Finden Sie einen Film, der Braveheart, The Mask, The Fugitive, Batman ähnelt:
Optionen:
(A) Club-Dread
(B) George Washington
(C) Schindlers Liste
(D) Es war einmal in Amerika",(C)
"Finden Sie einen ähnlichen Film wie „Heat“, „Auf der Flucht“, „Forrest Gump“ oder „Das Schweigen der Lämmer“:
Optionen:
(A) Todesrennen 2
(B) Kanonenkugellauf II
(C) Unabhängigkeitstag
(D) Pyjamaparty-Massaker II",(C)
"Finden Sie einen Film, der Raiders of the Lost Ark, The Shawshank Redemption, Inception oder Pulp Fiction ähnelt:
Optionen:
(A) Jenseits des Poseidon-Abenteuers
(B) Der Chor
(C) Forrest Gump
(D) Pfadfinderführer zur Zombie-Apokalypse",(C)
"Finden Sie einen Film, der „Schindlers Liste“, „Pulp Fiction“, „Braveheart“ oder „Die üblichen Verdächtigen“ ähnelt:
Optionen:
(A) 12 wütende Männer
(B) Mo' Better Blues
(C) Gedankenjäger
(D) Die Shawshank-Erlösung",(D)
"Finden Sie einen Film, der Jurassic Park, Das Schweigen der Lämmer, Schindlers Liste und Braveheart ähnelt:
Optionen:
(A) Die Nacht eines harten Tages
(B) Showtime
(C) Forrest Gump
(D) Eddie der Adler",(C)
"Finden Sie einen ähnlichen Film wie „Der Herr der Ringe – Die zwei Türme“, „Der Herr der Ringe“, „Die Gefährten“, „Star Wars: Episode IV – Eine neue Hoffnung“, „Matrix“:
Optionen:
(A) Die Rückkehr
(B) Die verborgene Festung
(C) Schindlers Liste
(D) Das Ende der Affäre",(C)
"Finden Sie einen Film, der Forrest Gump, Pulp Fiction, The Fugitive oder Der mit dem Wolf tanzt ähnelt:
Optionen:
(A) Dragonheart 3 Der Fluch des Zauberers
(B) Chi-Raq
(C) Sternentor
(D) Tae Guk Gi Die Bruderschaft des Krieges",(C)
"Finden Sie einen Film, der Forrest Gump, The Fugitive, The Shawshank Redemption, Pulp Fiction ähnelt:
Optionen:
(A) Anker wiegen
(B) Looney Tunes wieder in Aktion
(C) Porky's Revenge
(D) Tanzt mit Wölfen",(D)
"Finden Sie einen Film, der Forrest Gump, Das Schweigen der Lämmer, Mission Impossible, Jurassic Park ähnelt:
Optionen:
(A) Joe Jemand
(B) Luftkampf
(C) Unabhängigkeitstag
(D) Twin Peaks Fire Walk mit mir",(C)
"Finden Sie einen Film, der „The Shawshank Redemption“, „The Usual Suspects“, „Pulp Fiction“ und „Fargo“ ähnelt:
Optionen:
(A) Schaden
(B) Kuchen im Himmel
(C) Der Flüchtling
(D) Eine Plastilin-Krähe",(C)
"Finden Sie einen Film, der „The Fugitive“, „Pulp Fiction“, „The Usual Suspects“ oder „Terminator 2 Judgement Day“ ähnelt:
Optionen:
(A) Das erstaunliche Panda-Abenteuer
(B) Sweeney Todd
(C) Willkommen in Sarajevo
(D) Sieben",(D)
"Finden Sie einen Film, der Forrest Gump, Das Schweigen der Lämmer, Seven, Fargo ähnelt:
Optionen:
(A) Gandhi
(B) Schindlers Liste
(C) Luftkampf
(D) Repo-Mann",(B)
"Finden Sie einen ähnlichen Film wie Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:
Optionen:
(A) Goon Letzter der Vollstrecker
(B) Ein ganz besonderes 3D-Weihnachtsfest von Harold & Kumar
(C) Der Flüchtling
(D) Eine Trennung",(C)
"Finden Sie einen ähnlichen Film wie „Der König der Löwen“, „Der Flüchtling“, „Schindlers Liste“ oder „The Shawshank Redemption“:
Optionen:
(A) Die Kunst des Stehlens
(B) Pulp Fiction
(C) Battlestar Galactica Der Plan
(D) Alle Regeln brechen",(B)
"Finden Sie einen Film, der Pulp Fiction, The Shawshank Redemption, Schindlers Liste oder Der mit dem Wolf tanzt ähnelt:
Optionen:
(A) Osterparade
(B) Captain America, der erste Rächer
(C) Tapferes Herz
(D) Manisch",(C)
"Finden Sie einen Film, der „Die Schöne und das Biest“, „Independence Day“, „Forrest Gump“ oder „Jurassic Park“ ähnelt:
Optionen:
(A) Der Taschenmann
(B) Das Schweigen der Lämmer
(C) Extreme Maßnahmen
(D) Anstoß",(B)
"Finden Sie einen Film, der „The Shawshank Redemption“, „Forrest Gump“, „Der mit dem Wolf tanzt“ oder „Mr. Hollands Opus“ ähnelt:
Optionen:
(A) PK
(B) Der große Gatsby
(C) Philadelphia
(D) Casper trifft Wendy",(C)
"Finden Sie einen Film, der Inception, Pulp Fiction, Forrest Gump oder Raiders of the Lost Ark ähnelt:
Optionen:
(A) Wer hat Angst vor Virginia Woolf?
(B) Fantastischer Mr. Fox
(C) Kampf der Titanen
(D) Unabhängigkeitstag",(D)
"Finden Sie einen Film, der Star Wars Episode VII – Das Erwachen der Macht, Inside Out, Pulp Fiction oder Raiders of the Lost Ark ähnelt:
Optionen:
(A) Ernest reitet wieder
(B) Forrest Gump
(C) Der Vorschlag
(D) Alles, was Sie schon immer über Sex wissen wollten, aber nie zu fragen wagten",(B)
"Finden Sie einen Film, der Spider-Man, Spider-Man 2, The Matrix, Independence Day ähnelt:
Optionen:
(A) Jurassic World: Gefallenes Königreich
(B) Das fünfte Element
(C) Im ganzen Universum
(D) Schlaflosigkeit",(B)
"Finden Sie einen Film, der Star Wars Episode V – Das Imperium schlägt zurück, Groundhog Day, Mission Impossible, Star Wars Episode IV – Eine neue Hoffnung ähnelt:
Optionen:
(A) Ansicht von oben
(B) Die Türen
(C) Jäger des verlorenen Schatzes
(D) Schnellwechsel",(C)
"Finden Sie einen ähnlichen Film wie Army of Darkness, Go, The Sixth Sense, Alien:
Optionen:
(A) Coole Hand Luke
(B) Kinder des Mais III
(C) Eiswächter
(D) Cinema Paradiso",(A)
"Finden Sie einen ähnlichen Film wie Apollo 13, Jurassic Park, Stirb langsam mit aller Macht, Forrest Gump:
Optionen:
(A) Killerfilm
(B) Heimlichkeit
(C) Der letzte Mann auf Erden
(D) Wahre Lügen",(D)
"Finden Sie einen ähnlichen Film wie Pulp Fiction, Die üblichen Verdächtigen, Schindlers Liste, Fargo:
Optionen:
(A) Stoked The Rise and Fall of Gator
(B) Das Spiel überleben
(C) Schauen Sie, wer da spricht
(D) Die Shawshank-Erlösung",(D)
"Finden Sie einen Film, der „Toy Story“, „The Mask“, „Batman“ und „Der König der Löwen“ ähnelt:
Optionen:
(A) Austrittswunden
(B) Punch-Drunk Love
(C) Suche nach Gerechtigkeit
(D) Hübsche Frau",(D)
"Finden Sie einen Film, der The Shawshank Redemption, Pulp Fiction, Schindler's List oder Braveheart ähnelt:
Optionen:
(A) Der Bankjob
(B) Roboterkarneval
(C) Tanzt mit Wölfen
(D) Der Familienstein",(C)
"Finden Sie einen Film ähnlich wie Independence Day, Das Schweigen der Lämmer, Indiana Jones und der Tempel des Todes, Fargo:
Optionen:
(A) Care Bears Film II Eine neue Generation
(B) Geräusche aus
(C) Der Flüchtling
(D) Licht aus",(C)
"Finden Sie einen Film, der Batman, Pulp Fiction, Apollo 13 oder Schindlers Liste ähnelt:
Optionen:
(A) Der letzte Kuss
(B) Europa
(C) Tapferes Herz
(D) Aufstieg des Planet der Affen",(C)
