输入,目标
"哪个句子的形容词顺序正确：
选项：
(A) 中号老灰色巴西毛衣
(B)中号灰色巴西老毛衣",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 橡胶灰行走的墨西哥中型猫
(B) 中型灰色墨西哥橡胶行走猫",(B)
"哪个句子的形容词顺序正确：
选项：
（一）神秘大印铁冒烟摩托车
(B)大烟熏神秘印度铁摩托车",(A)
"哪个句子的形容词顺序正确：
选项：
（一）布烟长方形摩托车
(B)长方形布吸烟摩托车",(B)
"哪个句子的形容词顺序正确：
选项：
(A) 金字塔美式玻璃运动冲浪板
(B) 玻璃练习美式金字塔冲浪板",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 中型古代球形刀
(B) 球形古代中型刀",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 晒黑的傻老式狗
(B) 愚蠢的老式晒黑狗",(B)
"哪个句子的形容词顺序正确：
选项：
(A) 羊毛排斥棱镜美式椅子
(B) 排斥棱镜状美国羊毛椅",(B)
"哪个句子的形容词顺序正确：
选项：
(A) 中型仿古棱柱形紫色美国车
(B) 仿古紫棱镜美国中型车",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 巨大的长方形蓝狗
(B) 巨大的蓝色长方形狗",(A)
"哪个句子的形容词顺序正确：
选项：
（一）好金字塔灰印布电脑
(B) 好的金字塔布印度灰电脑",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 可怕的小新方形埃及打字袜
(B) 新打字方形埃及小可怕的袜子",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 巴基斯坦正常尺寸白纸好浮潜猴
(B) 正常尺寸的白色巴基斯坦纸浮潜猴",(B)
"哪个句子的形容词顺序正确：
选项：
(A)银色方形红色椅子
(B)方形红银椅",(B)
"哪个句子的形容词顺序正确：
选项：
(A) 不错的美国电脑
(B) 美国好电脑",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 巨大的黄色埃及行车电脑
(B) 驾驶黄色巨型埃及电脑",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 巨大的黄色埃及猴
(B) 巨大的埃及黄猴",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 可爱的中号绿色菲律宾袜子
(B)菲律宾中号可爱绿袜子",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 皮革精彩巴基斯坦白色中型猴子
(B) 精彩中型白色巴基斯坦皮猴",(B)
"哪个句子的形容词顺序正确：
选项：
(A) 排斥大长方形粉钢运动鞋
(B)粉色大运动斥钢长方鞋",(A)
"哪个句子的形容词顺序正确：
选项：
（一）精彩大圆橙色巴基斯坦吸烟车
(B)圆形精彩吸烟巴基斯坦大橙车",(A)
"哪个句子的形容词顺序正确：
选项：
(A) 中型棱柱状灰色纸板猫
(B) 棱镜状纸板灰色中型猫",(A)
"哪个句子的形容词顺序正确：
选项：
(A)新型白铅步行冲浪板
(B) 步行铅新白色冲浪板",(A)
