Eingang,Ziel
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Mittelgroßer alter grauer brasilianischer Pullover
(B) mittelgroßer grauer brasilianischer alter Pullover",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) gummigraue mexikanische mittelgroße Katze
(B) mittelgroße graue mexikanische Gummilaufkatze",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) geheimnisvolles großes indisches rauchendes Eisenmotorrad
(B) großes, rauchendes, geheimnisvolles indisches Eisenmotorrad",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Tuch rauchendes rechteckiges Motorrad
(B) rechteckiges, rauchendes Stoffmotorrad",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Pyramidenförmiges amerikanisches Übungssurfbrett aus Glas
(B) Glasübung Amerikanisches Pyramiden-Surfbrett",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) mittelgroßes antikes Kugelmesser
(B) kugelförmiges antikes mittelgroßes Messer",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) brauner dummer, altmodischer Hund
(B) dummer, altmodischer hellbrauner Hund",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Wolle abstoßender prismenartiger amerikanischer Stuhl
(B) abstoßender prismenartiger Stuhl aus amerikanischer Wolle",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) mittelgroßes, archaisches, prismenartiges, violettes amerikanisches Auto
(B) archaisches, violettes, prismenartiges amerikanisches Mittelklasseauto",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) riesiger rechteckiger blauer Hund
(B) riesiger blauer rechteckiger Hund",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) guter Pyramidencomputer aus grauem indischen Stoff
(B) guter Pyramidenstoff indischgrauer Computer",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) schreckliche winzige neue quadratische ägyptische Schreibsocke
(B) neue quadratische ägyptische winzige schreckliche Socke",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Pakistanischer, normalgroßer, gut schnorchelnder Affe aus weißem Papier
(B) guter normalgroßer weißer pakistanischer Papierschnorchelaffe",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) silberner quadratischer roter Stuhl
(B) quadratischer rot-silberner Stuhl",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) schöner amerikanischer Computer
(B) Amerikanischer schöner Computer",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) riesiger gelber ägyptischer Fahrcomputer
(B) fahrender gelber riesiger ägyptischer Computer",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) riesiger gelber ägyptischer Affe
(B) riesiger ägyptischer Gelbaffe",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) schöne mittelgroße grüne philippinische Socke
(B) Philippinische mittelgroße schöne grüne Socke",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Lederwundervoller pakistanischer weißer mittelgroßer Affe
(B) wundervoller mittelgroßer weißer pakistanischer Lederaffe",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) abstoßender großer rechteckiger Trainingsschuh aus rosafarbenem Stahl
(B) rosa großer Übungsabstoßender rechteckiger Stahlschuh",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) wunderschönes großes rundes orangefarbenes pakistanisches Raucherauto
(B) rundes, wundervolles, rauchendes, großes orangefarbenes pakistanisches Auto",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) mittelgroße prismenartige Katze aus grauem Karton
(B) prismenartiger Karton, graue mittelgroße Katze",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) neues weißes Lauf-Surfbrett aus Blei
(B) Laufleine neues weißes Surfbrett",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) alte, geheimnisvolle gelbe Wanderkatze
(B) geheimnisvolle alte gelbe Wanderkatze",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) neuer großer dreieckiger amerikanischer Lederstuhl
(B) großer neuer dreieckiger amerikanischer Ledersessel",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) rechteckiges, silbernes, altgrünes, lächerlich großes Messer
(B) lächerlich großes altes rechteckiges grünes Silbermesser",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) alberner mittelgroßer hellbrauner Computer
(B) Mittelgroßer alberner hellbrauner Computer",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) lächerliches Schnitz-Motorrad aus grauer Pappe
(B) lächerliches, schnitzendes graues Motorrad aus Pappe",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) riesiges brandneues deutsches Trinkmotorrad
(B) brandneues trinkendes deutsches Riesenmotorrad",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) quadratischer kongolesischer fahrender altmodischer Hund
(B) altmodischer quadratischer kongolesischer Fahrhund",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) kleiner japanischer Schuh aus grauem, quadratischem Stoff
(B) kleiner quadratischer grauer japanischer Stoffschuh",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Russisches riesiges, abstoßendes, archaisches dreieckiges Schiff
(B) abstoßendes riesiges archaisches dreieckiges russisches Schiff",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Amerikanischer Dreieckscomputer
(B) dreieckiger amerikanischer Computer",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Wanderndes japanisches schwarzes mittelgroßes Stoffmesser
(B) mittelgroßes schwarzes japanisches Stoffwandermesser",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Schnorcheleisen, prismenartiges orangefarbenes mittelgroßes Messer
(B) mittelgroßes prismenartiges Schnorchelmesser aus orangefarbenem Eisen",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) silberner neuer abstoßender Übungsgrüner pakistanischer Computer
(B) abstoßender neuer grüner pakistanischer silberner Trainingscomputer",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Indonesischer dreieckiger, widerwärtiger goldroter Schuh
(B) widerlicher dreieckiger roter indonesischer Goldschuh",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) abstoßendes altes weißes Stoffauto
(B) Stoff weiß altes abstoßendes Auto",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) mittelgroßes, hübsches, graues Baby
(B) schönes mittelgroßes graues Schnitzelbaby",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) grüner neuer Stuhl
(B) neuer grüner Stuhl",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Mittelgroßer alter Pyramidenaffe aus Amerika
(B) Amerikanischer alter mittelgroßer Pyramidenaffe",(A)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) archaische vietnamesische Katze aus rosa Holz
(B) archaische rosa vietnamesische Holzkatze",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) Russischer schrecklicher Stahlstuhl
(B) schrecklicher russischer Stahlstuhl",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) archaisches, goldorangefarbenes, schreckliches Surfbrett
(B) schreckliches archaisches orange-goldenes Surfbrett",(B)
"Welcher Satz hat die richtige Adjektivreihenfolge:
Optionen:
(A) wandelndes, schwarzes, mittelgroßes, rechteckiges, wunderschönes Auto
(B) wundervoller mittelgroßer rechteckiger schwarzer Laufwagen",(B)
