aporte,objetivo
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un torneo de golf había siete golfistas: Ana, Eve, Ada, Dan, Rob, Amy y Joe. Dan terminó tercero. Ana terminó por encima de Ada. Amy terminó última. Dan terminó debajo de Rob. Eve terminó debajo de Ada. Rob terminó debajo de Joe.
Opciones:
(A) Ana terminó tercera
(B) Eve terminó tercera
(C) Ada terminó tercera
(D) Dan terminó tercero
(E) Rob terminó tercero
(F) Amy terminó tercera
(G) Joe terminó tercero",(D)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una exposición de coches antiguos hay siete vehículos: un autobús, una motocicleta, un hatchback, una camioneta, una minivan, un camión y una limusina. La camioneta es la cuarta más nueva. La motocicleta es más nueva que el camión. La camioneta es más antigua que el hatchback. La minivan es más nueva que el hatchback. El autobús es más nuevo que la minivan. La camioneta es más nueva que la limusina.
Opciones:
(A) El autobús es el tercero más antiguo.
(B) La motocicleta es la tercera más antigua.
(C) El hatchback es el tercero más antiguo.
(D) La camioneta es la tercera más antigua.
(E) La minivan es la tercera más antigua.
(F) El camión es el tercero más antiguo.
(G) La limusina es la tercera más antigua.",(B)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una rama hay siete pájaros: un colibrí, un cardenal, un arrendajo azul, un búho, un cuervo, una codorniz y un petirrojo. El colibrí está a la izquierda de la codorniz. El petirrojo está a la izquierda del cardenal. El arrendajo azul es el más a la izquierda. El cardenal es el cuarto desde la izquierda. El cuervo es el tercero desde la derecha. El búho es el tercero desde la izquierda.
Opciones:
(A) El colibrí es el segundo desde la derecha.
(B) El cardenal es el segundo por la derecha.
(C) El arrendajo azul es el segundo desde la derecha.
(D) El búho es el segundo desde la derecha.
(E) El cuervo es el segundo desde la derecha.
(F) La codorniz es la segunda desde la derecha.
(G) El petirrojo es el segundo desde la derecha.",(A)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una rama hay siete pájaros: un petirrojo, un búho, una codorniz, un halcón, un colibrí, un cardenal y un cuervo. El colibrí está a la izquierda del halcón. El cuervo está a la derecha del cardenal. El cardenal es el segundo por la derecha. La codorniz es la tercera desde la derecha. El halcón está a la izquierda del petirrojo. El búho es el segundo desde la izquierda.
Opciones:
(A) El petirrojo es el cuarto desde la izquierda.
(B) El búho es el cuarto desde la izquierda.
(C) La codorniz es la cuarta desde la izquierda.
(D) El halcón es el cuarto desde la izquierda.
(E) El colibrí es el cuarto desde la izquierda.
(F) El cardenal es el cuarto desde la izquierda
(G) El cuervo es el cuarto desde la izquierda.",(A)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. Un puesto de frutas vende siete frutas: kiwis, ciruelas, mangos, sandías, peras, melocotones y naranjas. Las peras son las terceras más baratas. Los kiwis son los segundos más caros. Las peras son más caras que las ciruelas. Las naranjas son menos caras que los kiwis. Los mangos son los terceros más caros. Los melocotones son los segundos más baratos.
Opciones:
(A) Los kiwis son los segundos más baratos
(B) Las ciruelas son las segundas más baratas.
(C) Los mangos son los segundos más baratos.
(D) Las sandías son las segundas más baratas.
(E) Las peras son las segundas más baratas
(F) Los melocotones son los segundos más baratos.
(G) Las naranjas son las segundas más baratas.",(F)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un torneo de golf había siete golfistas: Eli, Eve, Mel, Joe, Mya, Rob y Ada. Ada terminó por encima de Mya. Eli terminó debajo de Joe. Eli terminó por encima de Eve. Ada terminó penúltima. Mel terminó tercero. Rob terminó cuarto.
Opciones:
(A) Eli terminó penúltimo
(B) Eve terminó antepenúltima
(C) Mel terminó penúltimo
(D) Joe terminó penúltimo
(E) Mya terminó penúltima
(F) Rob terminó penúltimo
(G) Ada terminó penúltima",(B)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un torneo de golf había siete golfistas: Amy, Eve, Ada, Rob, Dan, Mel y Joe. Joe terminó tercero. Dan terminó último. Eve terminó primero. Mel terminó debajo de Rob. Ada terminó por encima de Joe. Rob terminó penúltimo.
Opciones:
(A) Amy terminó última
(B) Eva terminó última
(C) Ada terminó última
(D) Rob terminó último
(E) Dan terminó último
(F) Mel terminó último
(G) Joe terminó último",(Y)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. Un puesto de frutas vende siete frutas: naranjas, nísperos, manzanas, kiwis, mangos, ciruelas y melocotones. Las manzanas son las segundas más baratas. Los melocotones son los más baratos. Las ciruelas son las cuartas más caras. Los nísperos son los terceros más baratos. Los kiwis son más caros que los mangos. Las naranjas son menos caras que los mangos.
Opciones:
(A) Las naranjas son las terceras más baratas
(B) Los nísperos son los terceros más baratos
(C) Las manzanas son las terceras más baratas.
(D) Los kiwis son los terceros más baratos
(E) Los mangos son los terceros más baratos
(F) Las ciruelas son las terceras más baratas
(G) Los melocotones son los terceros más baratos",(B)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una exposición de autos antiguos hay siete vehículos: una limusina, un camión, una minivan, un tractor, un hatchback, un autobús y un descapotable. El descapotable es el segundo más antiguo. El tractor es el cuarto más nuevo. La minivan es más antigua que la camioneta. El camión es más antiguo que la limusina. El hatchback es el tercero más antiguo. El autobús es más nuevo que la limusina.
Opciones:
(A) La limusina es la más antigua.
(B) El camión es el más antiguo.
(C) La minivan es la más antigua.
(D) El tractor es el más antiguo.
(E) El hatchback es el más antiguo.
(F) El autobús es el más antiguo.
(G) El convertible es el más antiguo.",(C)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un estante hay siete libros: un libro marrón, un libro amarillo, un libro negro, un libro blanco, un libro verde, un libro naranja y un libro morado. El libro morado es el que está más a la derecha. El libro amarillo es el más a la izquierda. El libro naranja es el segundo desde la derecha. El libro marrón está a la izquierda del libro verde. El libro marrón está a la derecha del libro negro. El libro blanco es el cuarto desde la izquierda.
Opciones:
(A) El libro marrón es el que está más a la izquierda.
(B) El libro amarillo es el que está más a la izquierda.
(C) El libro negro es el que está más a la izquierda.
(D) El libro blanco es el más a la izquierda.
(E) El libro verde es el que está más a la izquierda.
(F) El libro naranja es el más a la izquierda.
(G) El libro morado es el que está más a la izquierda.",(B)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. Un puesto de frutas vende siete frutas: mangos, sandías, melocotones, kiwis, naranjas, melones y ciruelas. Las sandías son las más baratas. Los melocotones son más caros que los mangos. Los melones son los segundos más caros. Las naranjas son más caras que los melones. Los melocotones son menos caros que las ciruelas. Los kiwis son los terceros más baratos.
Opciones:
(A) Los mangos son los terceros más caros
(B) Las sandías son las terceras más caras
(C) Los melocotones son los terceros más caros
(D) Los kiwis son los terceros más caros
(E) Las naranjas son las terceras más caras
(F) Los melones son los terceros más caros
(G) Las ciruelas son las terceras más caras",(GRAMO)
"Cada uno de los siguientes párrafos describe un conjunto de siete objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un estante hay siete libros: un libro marrón, un libro blanco, un libro negro, un libro amarillo, un libro naranja, un libro azul y un libro verde. El libro amarillo es el que está más a la derecha. El libro azul está a la izquierda del libro naranja. El libro verde está a la derecha del libro blanco. El libro azul está a la derecha del libro verde. El libro negro es el cuarto desde la izquierda. El libro marrón es el tercero desde la derecha.
Opciones:
(A) El libro marrón es el cuarto desde la izquierda.
(B) El libro blanco es el cuarto desde la izquierda.
(C) El libro negro es el cuarto desde la izquierda.
(D) El libro amarillo es el cuarto desde la izquierda.
(E) El libro naranja es el cuarto desde la izquierda.
(F) El libro azul es el cuarto desde la izquierda.
(G) El libro verde es el cuarto desde la izquierda.",(C)
