Eingang,Ziel
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen drei Vögel: ein Blauhäher, eine Wachtel und ein Falke. Der Falke steht rechts vom Blauhäher. Der Blauhäher befindet sich rechts von der Wachtel.
Optionen:
(A) Der Blauhäher ist der zweite von links
(B) Die Wachtel ist die zweite von links
(C) Der Falke ist der zweite von links",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Bei einer Oldtimer-Show gibt es drei Fahrzeuge: ein Motorrad, eine Limousine und ein Cabrio. Das Motorrad ist neuer als die Limousine. Das Cabrio ist neuer als das Motorrad.
Optionen:
(A) Das Motorrad ist das älteste
(B) Die Limousine ist die älteste
(C) Das Cabrio ist das älteste",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen drei Bücher: ein blaues Buch, ein orangefarbenes Buch und ein rotes Buch. Das blaue Buch befindet sich ganz rechts. Das orangefarbene Buch befindet sich ganz links.
Optionen:
(A) Das blaue Buch ist das zweite von links
(B) Das orangefarbene Buch ist das zweite von links
(C) Das rote Buch ist das zweite von links",(C)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen drei Vögel: ein Rotkehlchen, ein Blauhäher und eine Krähe. Das Rotkehlchen steht rechts von der Krähe. Das Rotkehlchen befindet sich links vom Blauhäher.
Optionen:
(A) Das Rotkehlchen ist ganz rechts
(B) Der Blauhäher ist ganz rechts
(C) Die Krähe ist ganz rechts",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen drei Bücher: ein grünes Buch, ein rotes Buch und ein blaues Buch. Das rote Buch befindet sich ganz rechts. Das blaue Buch befindet sich rechts vom grünen Buch.
Optionen:
(A) Das grüne Buch befindet sich ganz rechts
(B) Das rote Buch befindet sich ganz rechts
(C) Das blaue Buch befindet sich ganz rechts",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Ein Obststand verkauft drei Früchte: Äpfel, Pfirsiche und Mangos. Die Mangos sind günstiger als die Pfirsiche. Die Äpfel sind günstiger als die Mangos.
Optionen:
(A) Die Äpfel sind die zweitteuersten
(B) Die Pfirsiche sind die zweitteuersten
(C) Die Mangos sind die zweitteuersten",(C)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es drei Fahrzeuge: einen Traktor, einen Lastwagen und einen Minivan. Der Minivan ist neuer als der LKW. Der Traktor ist älter als der LKW.
Optionen:
(A) Der Traktor ist der neueste
(B) Der LKW ist der neueste
(C) Der Minivan ist der neueste",(C)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. An einem Golfturnier nahmen drei Golfer teil: Eve, Rob und Mel. Rob kam unter Mel ins Ziel. Mel war unterhalb von Eve fertig.
Optionen:
(A) Eve war als Erste fertig
(B) Rob war Erster
(C) Mel war als Erster fertig",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal liegen drei Bücher: ein orangefarbenes Buch, ein gelbes Buch und ein blaues Buch. Das blaue Buch befindet sich rechts vom gelben Buch. Das orangefarbene Buch ist das zweite von links.
Optionen:
(A) Das orangefarbene Buch ist das zweite von links
(B) Das gelbe Buch ist das zweite von links
(C) Das blaue Buch ist das zweite von links",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einer Oldtimer-Show gibt es drei Fahrzeuge: einen Kombi, einen Minivan und einen Lastwagen. Der Minivan ist neuer als der LKW. Der Kombi ist neuer als der Minivan.
Optionen:
(A) Der Kombi ist der neueste
(B) Der Minivan ist der neueste
(C) Der LKW ist der neueste",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Regal stehen drei Bücher: ein graues Buch, ein lila Buch und ein rotes Buch. Das violette Buch befindet sich links vom roten Buch. Das graue Buch befindet sich links vom violetten Buch.
Optionen:
(A) Das graue Buch befindet sich ganz links
(B) Das violette Buch befindet sich ganz links
(C) Das rote Buch befindet sich ganz links",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Ein Obststand verkauft drei Früchte: Pfirsiche, Mangos und Äpfel. Die Pfirsiche sind teurer als die Äpfel. Die Mangos sind am günstigsten.
Optionen:
(A) Die Pfirsiche sind die zweitteuersten
(B) Die Mangos sind die zweitteuersten
(C) Die Äpfel sind die zweitteuersten",(C)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einem Ast sitzen drei Vögel: ein Blauhäher, ein Falke und ein Kolibri. Der Blauhäher befindet sich rechts vom Falken. Der Kolibri befindet sich links vom Falken.
Optionen:
(A) Der Blauhäher ist der zweite von links
(B) Der Falke ist der zweite von links
(C) Der Kolibri ist der zweite von links",(B)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. Auf einer Oldtimer-Show gibt es drei Fahrzeuge: einen Minivan, einen Bus und eine Limousine. Der Minivan ist neuer als die Limousine. Der Minivan ist älter als der Bus.
Optionen:
(A) Der Minivan ist der zweitneueste
(B) Der Bus ist der zweitneueste
(C) Die Limousine ist die zweitneueste",(A)
"Die folgenden Absätze beschreiben jeweils einen Satz von drei Objekten, die in einer festen Reihenfolge angeordnet sind. Die Aussagen sind innerhalb jedes Absatzes logisch konsistent. In einer Oldtimer-Show gibt es drei Fahrzeuge: ein Fließheck, ein Cabrio und einen Traktor. Das Cabrio ist älter als der Traktor. Das Fließheck ist das zweitneueste.
Optionen:
(A) Das Fließheck ist das zweitneueste
(B) Das Cabrio ist das zweitneueste
(C) Der Traktor ist der zweitneueste",(A)
