input,target
"Trova un film simile a Batman, The Mask, The Fugitive, Pretty Woman:
Opzioni:
(A) La prima pagina
(B) Vortice
(C) Il Re Leone
(D) America",(C)
"Trova un film simile a Il sesto senso, Matrix, Forrest Gump, The Shawshank Redemption:
Opzioni:
(A) Street Fighter II Il film d'animazione
(B) Il cielo riparatore
(C) Il ragazzo che sapeva volare
(D) Il giorno del giudizio di Terminator 2",(D)
"Trova un film simile a Schindler's List, Braveheart, Il silenzio degli innocenti, Tombstone:
Opzioni:
(A) Orlando
(B) Colpevole di romanticismo
(C) Forrest Gump
(D) Tutte le vere ragazze",(C)
"Trova un film simile a Terminator 2 Judgment Day, The Fugitive, The Shawshank Redemption, Dead Man Walking:
Opzioni:
(Una passeggiata
(B) Non correre
(C) Il film Shaun Vita da Pecora
(D) Roccioso IV
(E) Cuore coraggioso",(E)
"Trova un film simile a Braveheart, The Mask, The Fugitive, Batman:
Opzioni:
(A) Club Terrore
(B) Giorgio Washington
(C) La lista di Schindler
(D) C'era una volta in America",(C)
"Trova un film simile a Heat, The Fugitive, Forrest Gump, The Silence of the Lambs:
Opzioni:
(A) Corsa alla morte 2
(B) Corsa della palla di cannone II
(C) Giorno dell'Indipendenza
(D) Massacro del pigiama party II",(C)
"Trova un film simile a I predatori dell'arca perduta, The Shawshank Redemption, Inception, Pulp Fiction:
Opzioni:
(A) Oltre l'avventura di Poseidon
(B) Il Coro
(C) Forrest Gump
(D) Guida degli scout all'apocalisse zombi",(C)
"Trova un film simile a Schindler's List, Pulp Fiction, Braveheart, I soliti sospetti:
Opzioni:
(A) 12 uomini arrabbiati
(B) Mo'Better Blues
(C) Cacciatori di menti
(D) La redenzione di Shawshank",(D)
"Trova un film simile a Jurassic Park, Il silenzio degli innocenti, Schindler's List, Braveheart:
Opzioni:
(A) Una dura giornata di notte
(B) Spettacolo
(C) Forrest Gump
(D) Eddie l'Aquila",(C)
"Trova un film simile a Il Signore degli Anelli Le Due Torri, Il Signore degli Anelli La Compagnia dell'Anello, Star Wars Episodio IV - Una nuova speranza, Matrix:
Opzioni:
(A) Il ritorno
(B) La fortezza nascosta
(C) La lista di Schindler
(D) La fine della relazione",(C)
"Trova un film simile a Forrest Gump, Pulp Fiction, Il fuggitivo, Balla coi lupi:
Opzioni:
(A) Dragonheart 3 La maledizione dello stregone
(B) Chi-Raq
(C) Stargate
(D) Tae Guk Gi La Confraternita della Guerra",(C)
"Trova un film simile a Forrest Gump, The Fugitive, The Shawshank Redemption, Pulp Fiction:
Opzioni:
(A) Le ancore pesano
(B) Looney Tunes di nuovo in azione
(C) La vendetta di Porky
(D) Balla coi lupi",(D)
"Trova un film simile a Forrest Gump, Il silenzio degli innocenti, Mission Impossible, Jurassic Park:
Opzioni:
(A) Joe Qualcuno
(B) Combattimento aereo
(C) Giorno dell'Indipendenza
(D) Fuoco di Twin Peaks Cammina con me",(C)
"Trova un film simile a The Shawshank Redemption, The Usual Suspects, Pulp Fiction, Fargo:
Opzioni:
(A) Danni
(B) Torta nel cielo
(C) Il fuggitivo
(D) Un corvo di plastilina",(C)
"Trova un film simile a Il fuggitivo, Pulp Fiction, I soliti sospetti, Terminator 2 Il giorno del giudizio:
Opzioni:
(A) L'incredibile avventura del panda
(B) Sweeney Todd
(C) Benvenuti a Sarajevo
(D) Sette",(D)
"Trova un film simile a Forrest Gump, Il silenzio degli innocenti, Seven, Fargo:
Opzioni:
(A) Gandhi
(B) La lista di Schindler
(C) Combattimento aereo
(D) Repo Man",(B)
"Trova un film simile a Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:
Opzioni:
(A) Goon Last of the Enforcers
(B) Un Natale in 3D molto Harold & Kumar
(C) Il fuggitivo
(D) Una separazione",(C)
"Trova un film simile a Il re leone, Il fuggitivo, Schindler's List, The Shawshank Redemption:
Opzioni:
(A) L'arte del furto
(B) Pulp Fiction
(C) Battlestar Galactica Il piano
(D) Infrangere tutte le regole",(B)
"Trova un film simile a Pulp Fiction, The Shawshank Redemption, Schindler's List, Balla coi lupi:
Opzioni:
(A) Parata di Pasqua
(B) Capitan America Il primo vendicatore
(C) Cuore coraggioso
(D) Maniaco",(C)
"Trova un film simile a La bella e la bestia, Independence Day, Forrest Gump, Jurassic Park:
Opzioni:
(A) L'uomo della borsa
(B) Il silenzio degli innocenti
(C) Misure estreme
(D) Calcio d'inizio",(B)
"Trova un film simile a The Shawshank Redemption, Forrest Gump, Balla coi lupi, L'opera di Mr Holland:
Opzioni:
(A) PK
(B) Il grande Gatsby
(C) Filadelfia
(D) Casper incontra Wendy",(C)
"Trova un film simile a Inception, Pulp Fiction, Forrest Gump, I predatori dell'arca perduta:
Opzioni:
(A) Chi ha paura di Virginia Woolf
(B) Fantastico signor Fox
(C) Scontro tra titani
(D) Giorno dell'Indipendenza",(D)
"Trova un film simile a Star Wars Episodio VII - Il risveglio della forza, Inside Out, Pulp Fiction, I predatori dell'arca perduta:
Opzioni:
(A) Ernest cavalca di nuovo
(B) Forrest Gump
(C) La Proposta
(D) Tutto quello che avresti sempre voluto sapere sul sesso ma che avevi paura di chiedere",(B)
"Trova un film simile a Spider-Man, Spider-Man 2, The Matrix, Independence Day:
Opzioni:
(A) Il regno caduto di Jurassic World
(B) Il quinto elemento
(C) Attraverso l'Universo
(D) Insonnia",(B)
"Trova un film simile a Star Wars Episodio V - L'Impero colpisce ancora, Ricomincio da capo, Missione impossibile, Star Wars Episodio IV - Una nuova speranza:
Opzioni:
(A) Vista dall'alto
(B) Le porte
(C) I predatori dell'arca perduta
(D) Cambio rapido",(C)
"Trova un film simile a Army of Darkness, Go, The Sixth Sense, Alien:
Opzioni:
(A) Mano fredda Luke
(B) Figli del grano III
(C) Guardiani del ghiaccio
(D) Cinema Paradiso",(A)
"Trova un film simile ad Apollo 13, Jurassic Park, Die Hard With a Vengeance, Forrest Gump:
Opzioni:
(A) Film assassino
(B) Furtività
(C) L'ultimo uomo sulla terra
(D) Bugie vere",(D)
"Trova un film simile a Pulp Fiction, I soliti sospetti, Schindler's List, Fargo:
Opzioni:
(A) Stoked L'ascesa e la caduta di Gator
(B) Sopravvivere al gioco
(C) Guarda chi parla
(D) La redenzione di Shawshank",(D)
"Trova un film simile a Toy Story, The Mask, Batman, The Lion King:
Opzioni:
(A) Ferite d'uscita
(B) Amore ubriaco
(C) Cercare giustizia
(D) Bella donna",(D)
"Trova un film simile a The Shawshank Redemption, Pulp Fiction, Schindler's List, Braveheart:
Opzioni:
(A) Il lavoro in banca
(B) Carnevale robotico
(C) Balla coi lupi
(D) La pietra della famiglia",(C)
"Trova un film simile a Independence Day, Il silenzio degli innocenti, Indiana Jones e il tempio maledetto, Fargo:
Opzioni:
(A) Care Bears Movie II Una nuova generazione
(B) Rumori disattivati
(C) Il fuggitivo
(D) Luci spente",(C)
"Trova un film simile a Batman, Pulp Fiction, Apollo 13, Schindler's List:
Opzioni:
(A) L'ultimo bacio
(B) Europa
(C) Cuore coraggioso
(D) Nascita del pianeta delle scimmie",(C)
"Trova un film simile a Il fuggitivo, Braveheart, Schindler's List, Il re leone:
Opzioni:
(A) Città pazza
(B) Il Re Scorpione
(C) La redenzione di Shawshank
(D) La città degli uomini",(C)
"Trova un film simile a Braveheart, Balla coi lupi, Pulp Fiction, Schindler's List:
Opzioni:
(A) Giganti che fanno il solletico
(B) L'ombra del vampiro
(C) I soliti sospetti
(D) In ​​città",(C)
"Trova un film simile a Il sesto senso, Il signore degli anelli, Le due torri, I soliti sospetti, Forrest Gump:
Opzioni:
(A) Niente da dichiarare
(B) Fuoco incrociato
(C) Fine dei giorni
(D) Star Wars Episodio IV - Una nuova speranza",(D)
"Trova un film simile a Quei bravi ragazzi, I predatori dell'arca perduta, Star Wars Episodio IV - Una nuova speranza, Il silenzio degli innocenti:
Opzioni:
(A) Monty Python e il Santo Graal
(B) Fine settimana da Bernie
(C) Americano a Parigi
(D) An
(E) Lascia che nevichi",(A)
"Trova un film simile a Pulp Fiction, The Fugitive, The Shawshank Redemption, Balla coi lupi:
Opzioni:
(A) In tutto il ragazzo
(B) Forrest Gump
(C) Elizabethtown
(D) La sposa di Frankenstein",(B)
