aporte,objetivo
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una rama hay tres pájaros: un arrendajo azul, una codorniz y un halcón. El halcón está a la derecha del arrendajo azul. El arrendajo azul está a la derecha de la codorniz.
Opciones:
(A) El arrendajo azul es el segundo desde la izquierda.
(B) La codorniz es la segunda desde la izquierda.
(C) El halcón es el segundo desde la izquierda.",(A)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una exposición de coches antiguos hay tres vehículos: una motocicleta, una limusina y un descapotable. La motocicleta es más nueva que la limusina. El descapotable es más nuevo que la motocicleta.
Opciones:
(A) La motocicleta es la más antigua.
(B) La limusina es la más antigua.
(C) El convertible es el más antiguo.",(B)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un estante hay tres libros: un libro azul, un libro naranja y un libro rojo. El libro azul es el que está más a la derecha. El libro naranja es el más a la izquierda.
Opciones:
(A) El libro azul es el segundo desde la izquierda.
(B) El libro naranja es el segundo desde la izquierda.
(C) El libro rojo es el segundo desde la izquierda.",(C)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una rama hay tres pájaros: un petirrojo, un arrendajo azul y un cuervo. El petirrojo está a la derecha del cuervo. El petirrojo está a la izquierda del arrendajo azul.
Opciones:
(A) El petirrojo es el que está más a la derecha.
(B) El arrendajo azul es el que está más a la derecha.
(C) El cuervo es el más a la derecha.",(B)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un estante hay tres libros: un libro verde, un libro rojo y un libro azul. El libro rojo es el de más derecha. El libro azul está a la derecha del libro verde.
Opciones:
(A) El libro verde es el que está más a la derecha.
(B) El libro rojo es el que está más a la derecha.
(C) El libro azul es el que está más a la derecha.",(B)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. Un puesto de frutas vende tres frutas: manzanas, melocotones y mangos. Los mangos son menos caros que los melocotones. Las manzanas son menos caras que los mangos.
Opciones:
(A) Las manzanas son las segundas más caras
(B) Los melocotones son los segundos más caros
(C) Los mangos son los segundos más caros",(C)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una exhibición de autos antiguos hay tres vehículos: un tractor, un camión y una minivan. La minivan es más nueva que la camioneta. El tractor es más viejo que el camión.
Opciones:
(A) El tractor es el más nuevo.
(B) El camión es el más nuevo.
(C) La minivan es la más nueva.",(C)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un torneo de golf había tres golfistas: Eve, Rob y Mel. Rob terminó debajo de Mel. Mel terminó debajo de Eve.
Opciones:
(A) Eva terminó primero
(B) Rob terminó primero
(C) Mel terminó primero",(A)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En un estante hay tres libros: un libro naranja, un libro amarillo y un libro azul. El libro azul está a la derecha del libro amarillo. El libro naranja es el segundo desde la izquierda.
Opciones:
(A) El libro naranja es el segundo desde la izquierda.
(B) El libro amarillo es el segundo desde la izquierda.
(C) El libro azul es el segundo desde la izquierda.",(A)
"Cada uno de los siguientes párrafos describe un conjunto de tres objetos dispuestos en un orden fijo. Las declaraciones son lógicamente consistentes dentro de cada párrafo. En una exhibición de autos antiguos, hay tres vehículos: una camioneta, una minivan y un camión. La minivan es más nueva que la camioneta. La camioneta es más nueva que la minivan.
Opciones:
(A) La camioneta es la más nueva.
(B) La minivan es la más nueva.
(C) El camión es el más nuevo.",(A)
