Eingang,Ziel
"Ich habe eine Flöte, ein Klavier, eine Posaune, vier Öfen, eine Geige, ein Akkordeon, eine Klarinette, eine Trommel, zwei Lampen und eine Trompete. Wie viele Musikinstrumente habe ich?",8
"Ich habe einen Apfel, drei Bananen, eine Erdbeere, einen Pfirsich, drei Orangen, eine Pflaume, eine Himbeere, zwei Weintrauben, eine Nektarine und eine Brombeere. Wie viele Früchte habe ich?",15
"Ich habe einen Kühlschrank, einen Stuhl und eine Mikrowelle. Wie viele Objekte habe ich?",3
"Ich habe drei Brombeeren, zwei Erdbeeren, einen Apfel, drei Orangen, eine Nektarine, eine Traube, einen Pfirsich, eine Banane und eine Pflaume. Wie viele Früchte habe ich?",14
"Ich habe eine Couch, einen Ofen, zwei Mikrowellen und einen Kühlschrank. Wie viele Objekte habe ich?",5
"Ich habe einen Fisch, einen Bären und einen Frosch. Wie viele Tiere habe ich?",3
Ich habe ein Auto und einen Toaster. Wie viele Objekte habe ich?,2
"Ich habe eine Brombeere, einen Pfirsich, eine Nektarine, eine Pflaume, eine Himbeere, eine Orange, eine Erdbeere, eine Banane, zwei Äpfel und vier Weintrauben. Wie viele Früchte habe ich?",14
"Ich habe eine Yamswurzel, einen Blumenkohl, einen Knoblauch, zwei Salatköpfe, einen Brokkolikopf, eine Kartoffel, eine Stange Sellerie und eine Zwiebel. Wie viel Gemüse habe ich?",9
"Ich habe einen Herd, einen Stuhl, zwei Tische, einen Toaster, einen Kühlschrank, drei Betten und eine Couch. Wie viele Objekte habe ich?",10
"Ich habe einen Stuhl, einen Herd, einen Tisch, zwei Lampen, ein Bett, eine Couch, einen Toaster, eine Mikrowelle und ein Auto. Wie viele Objekte habe ich?",10
"Ich habe drei Yamswurzeln, einen Salatkopf, eine Zwiebel, eine Kartoffel, einen Kohl, eine Karotte, zwei Brokkoliköpfe und zwei Stangen Sellerie. Wie viel Gemüse habe ich?",12
"Ich habe ein Klavier, eine Flöte und vier Posaunen. Wie viele Musikinstrumente habe ich?",6
"Ich habe ein Huhn, einen Frosch, eine Maus, eine Katze, zwei Schweine und zwei Kaninchen. Wie viele Tiere habe ich?",8
"Ich habe eine Trompete, eine Klarinette, zwei Posaunen, eine Flöte, fünf Geigen und ein Klavier. Wie viele Musikinstrumente habe ich?",11
"Ich habe eine Ente, einen Pfirsich, eine Erdbeere, einen Fisch, zwei Hühner, einen Bären und eine Banane. Wie viele Tiere habe ich?",5
"Ich habe eine Mikrowelle, einen Tisch, einen Kühlschrank, einen Herd, einen Backofen, einen Toaster, eine Couch und vier Autos. Wie viele Objekte habe ich?",11
"Ich habe drei Kühlschränke, ein Bett und fünf Herde. Wie viele Objekte habe ich?",9
"Ich habe eine Brombeere, eine Pflaume und eine Banane. Wie viele Früchte habe ich?",3
"Ich habe ein Klavier, eine Posaune, eine Klarinette, eine Ziege, ein Akkordeon und eine Trompete. Wie viele Musikinstrumente habe ich?",5
"Ich habe einen Kühlschrank, einen Stuhl, ein Bett, einen Ofen, eine Mikrowelle und ein Auto. Wie viele Objekte habe ich?",6
"Ich habe einen Herd, ein Bett, eine Lampe, drei Mikrowellen, einen Stuhl, einen Toaster, einen Tisch, zwei Autos, einen Kühlschrank und einen Ofen. Wie viele Objekte habe ich?",13
"Ich habe eine Flöte, zwei Klarinetten, ein Klavier, eine Geige und drei Akkordeons. Wie viele Musikinstrumente habe ich?",8
"Ich habe eine Yamswurzel, einen Blumenkohl, ein Bett, zwei Kohlköpfe, einen Knoblauch, einen Ofen, eine Karotte, einen Brokkolikopf, eine Kartoffel, eine Stange Sellerie, einen Salatkopf und einen Toaster. Wie viel Gemüse habe ich?",10
"Ich habe eine Kartoffel, eine Yamswurzel, zwei Brokkoliköpfe und einen Blumenkohl. Wie viel Gemüse habe ich?",5
"Ich habe zwei Brokkoliköpfe, einen Apfel, einen Salatkopf und zwei Zwiebeln. Wie viel Gemüse habe ich?",5
"Ich habe eine Trommel, ein Akkordeon und eine Geige. Wie viele Musikinstrumente habe ich?",3
"Ich habe einen Brokkolikopf, einen Kohlkopf, einen Salatkopf, eine Zwiebel, eine Karotte, einen Knoblauch und eine Yamswurzel. Wie viel Gemüse habe ich?",7
"Ich habe einen Blumenkohl, eine Selleriestange, einen Kohl und einen Knoblauch. Wie viel Gemüse habe ich?",4
"Ich habe ein Klavier, ein Akkordeon, drei Posaunen, fünf Klarinetten, eine Geige, eine Trommel, eine Trompete und drei Flöten. Wie viele Musikinstrumente habe ich?",16
"Ich habe eine Orange, drei Erdbeeren, einen Apfel, drei Bananen, drei Himbeeren, einen Pfirsich, eine Brombeere, eine Traube, eine Pflaume und zwei Nektarinen. Wie viele Früchte habe ich?",17
"Ich habe eine Mikrowelle, eine Lampe, vier Autos, einen Herd, einen Toaster und ein Bett. Wie viele Objekte habe ich?",9
"Ich habe zwei Sofas, einen Toaster, zwei Stühle, vier Mikrowellen, einen Tisch und eine Lampe. Wie viele Objekte habe ich?",11
"Ich habe eine Orange, einen Apfel und eine Brombeere. Wie viele Früchte habe ich?",3
Ich habe eine Flöte und ein Akkordeon. Wie viele Musikinstrumente habe ich?,2
"Ich habe eine Maus, ein Kaninchen, einen Hund, eine Ente und zwei Ziegen. Wie viele Tiere habe ich?",6
"Ich habe ein Bett, einen Kühlschrank, eine Lampe, einen Toaster, vier Stühle und einen Tisch. Wie viele Objekte habe ich?",9
"Ich habe eine Trompete, ein Akkordeon, drei Klarinetten und eine Geige. Wie viele Musikinstrumente habe ich?",6
"Ich habe eine Himbeere, eine Traube und eine Orange. Wie viele Früchte habe ich?",3
