مدخل,هدف
"اليوم هي ليلة عيد الميلاد عام 1937. ما هو تاريخ الغد في الشهر / اليوم / السنة؟
خيارات:
(أ) 12/11/1937
(ب) 25/12/1937
(ج) 01/04/1938
(د) 12/04/1937
(هـ) 12/25/2006
(F) 25/07/1937",(ب)
"في المملكة المتحدة ، يضع الأشخاص عادةً اليوم السابق للشهر عند تنسيق التاريخ. لذلك ، اليوم هو 02/01/1987 لهم. ما هو تاريخ الشهر الماضي في MM / DD / YYYY؟
خيارات:
(أ) 12/02/1986 م
(ب) 12/1/1986
(ج) 03/02/1986
(د) 12/02/2032
(هـ) 12/02/2062
(و) 02/06/1987",(أ)
"تزوجت جين وجون في 2 كانون الثاني (يناير) 1958. اليوم ، يصادف الذكرى السنوية الخامسة لهما. ما هو تاريخ أسبوع واحد من اليوم في MM / DD / YYYY؟
خيارات:
(أ) 16/01/1961
(ب) 1/9/1961
(ج) 01/09/1963
(د) 03/09/1960
(هـ) 07/09/1960
(و) 28/02/1961",(ب)
"حددت جين 3 مواعيد مع 5 أشخاص ليوم غد (الثلاثاء 7/9/1972). ما هو التاريخ قبل أسبوع واحد من اليوم في MM / DD / YYYY؟
خيارات:
(أ) 07/09/1972
(ب) 12/01/1972
(ج) 07/01/2008
(د) 13/05/1972
(هـ) 07/01/1972
(ف) 8/12/1972",(و)
"تأجل موعد اجتماع اليوم الى الساعة 11 صباحا غدا 16/10/1924. ما هو تاريخ أسبوع واحد من اليوم في MM / DD / YYYY؟
خيارات:
(أ) 22/10/1944
(ب) 22/10/1924
(ج) 10/07/1924
(د) 21/10/1924
(هـ) 22/8/1925
(ف) 11/21/1924",(ب)
"تزور جين المكتبة في السادس عشر من كل شهر بدءًا من أكتوبر 2009. وهذه هي الزيارة الخامسة لها إلى المكتبة اليوم. ما هو التاريخ قبل عام واحد من اليوم في MM / DD / YYYY؟
خيارات:
(أ) 16/8/2009
(ب) 02/16/2009
(ج) 02/16/2004
(د) 13/03/2009
(هـ) 01/26/2009
(و) 15/02/2009",(ب)
"في 9 مايو 2017 ، اشترت جين 40 بيضة. أكلت واحدة في اليوم. اليوم نفد بيضها. ما هو التاريخ بعد 24 ساعة في MM / DD / YYYY؟
خيارات:
(أ) 19/06/2017
(ب) 17/07/2017
(ج) 06/20/2017
(د) 06/18/2017
(هـ) 06/15/2017
(F) 07/10/2017",(أ)
"غدا هو 11/12/2019. ما هو تاريخ الأمس في MM / DD / YYYY؟
خيارات:
(أ) 11/10/2076
(ب) 11/10/2019
(ج) 09/10/2019
(د) 11/06/2019
(هـ) 11/11/2019
(ف) 11/17/2019",(ب)
"تعتقد جين أن اليوم هو 18/6/2019 ، لكن يعتقد جون أن اليوم هو 19/6/2019. جين على حق. ما هو تاريخ الأمس في MM / DD / YYYY؟
خيارات:
(أ) 17/06/2063
(ب) 18/05/2019
(ج) 05/20/2019
(د) 17/06/2019
(هـ) 13/05/2019
(ف) 06/08/2019",(د)
"اليوم الأول من عام 2019 هو يوم الثلاثاء ، واليوم هو أول يوم اثنين من عام 2019. ما هو التاريخ قبل عام واحد من اليوم في الشهر / اليوم / السنة؟
خيارات:
(أ) 01/08/2018
(ب) 01/07/2018
(ج) 01/02/2018
(د) 01/12/2018
(هـ) 05/07/2017
(ف) 10/29/2017",(ب)
"كان يوم أمس 31/12/1929. اليوم لا يمكن أن يكون 12/32/1929 لأن ديسمبر به 31 يومًا فقط. ما هو التاريخ اليوم في MM / DD / YYYY؟
خيارات:
(أ) 1/8/1930
(ب) 1/6/1930
(ج) 01/01/1930
(د) 31/12/1929
(هـ) 10/1/1930
(و) 27/2/1930",(ج)
"اليوم هو 10 أبريل 1985. سيكون تعيين جين بعد 3 أيام. ما هو التاريخ قبل أسبوع واحد من اليوم في MM / DD / YYYY؟
خيارات:
(أ) 13/05/1985
(ب) 04/03/1985
(ج) 03/10/1986
(د) 4/1/1985
(هـ) 13/04/1985
(و) 1986/12/04",(ب)
"تركت جين وظيفتها في 20 مارس 2020. مرت 176 يومًا منذ ذلك الحين. ما هو التاريخ قبل عام واحد من اليوم في MM / DD / YYYY؟
خيارات:
(أ) 09/20/2019
(ب) 10/01/2019
(ج) 24/10/2019
(د) 09/12/1970
(هـ) 09/12/2019",(و)
"اليوم هو اليوم المتناظر لعام 2020 ، لأن تنسيق MMDDYYYY للتاريخ هو نفسه للأمام. ما هو تاريخ الشهر الماضي في MM / DD / YYYY؟
خيارات:
(أ) 01/01/2020
(ب) 01/02/2020
(ج) 10/02/2019
(د) 11/05/2019
(هـ) 01/02/1931
(و) 01/03/2020",(ب)
