مدخل,هدف
"اليوم ، ذهبت سوزان إلى المقهى. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت سوزان في السابعة صباحا.
رأت ليندا سوزان تقود سيارتها إلى الحديقة المائية من الساعة 7 صباحًا حتى 11 صباحًا.
رأى جون سوزان تشتري الملابس في المركز التجاري من الساعة 11 صباحًا حتى 12 ظهرًا.
رأت جيسيكا سوزان تلتقط صورًا بالقرب من برج إيفل من الساعة 12 ظهرًا حتى 1 ظهرًا.
رأى ستيفن سوزان تشتري الغداء في مطعم ديلي من الساعة 1 ظهرًا حتى 2 ظهرًا.
رأى توماس سوزان تقرأ في المكتبة من الساعة 2 مساءً حتى 6 مساءً.
تم إغلاق المقهى بعد الساعة 9 مساءً.
بين أي وقت كان يمكن أن تذهب سوزان إلى المقهى؟
خيارات:
(أ) من 6 مساءً إلى 9 مساءً
(ب) من 7 صباحًا إلى 11 صباحًا
(ج) من 1 مساءً إلى 2 مساءً
(د) من 2 مساءً إلى 6 مساءً",(أ)
"اليوم ، ذهبت إميلي إلى ملعب كرة القدم. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت إميلي في الساعة 10 صباحًا.
رأت ليندا إميلي تنتظر في محطة القطار من الساعة 10 صباحًا حتى الساعة 12 ظهرًا.
شاهدت آشلي إميلي وهي تصلح جهاز الكمبيوتر الخاص بها في المتجر الإلكتروني من الساعة 12 ظهرًا حتى 1 ظهرًا.
رأى جون إميلي تسير نحو تمثال الحرية من الساعة الواحدة ظهرًا حتى الثانية ظهرًا.
تم إغلاق ملعب كرة القدم بعد الساعة 8 مساءً.
بين أي وقت يمكن أن تذهب إميلي إلى ملعب كرة القدم؟
خيارات:
(أ) من 12 ظهرًا إلى 1 مساءً
(ب) من 10 صباحًا إلى 12 مساءً
(ج) من 2 مساءً إلى 8 مساءً
(د) من 1 مساءً إلى 2 مساءً",(ج)
"اليوم ، ذهبت سوزان إلى المطعم. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت سوزان في الساعة 11 صباحًا.
رأت ليزا سوزان تلتقط صورًا بالقرب من برج بيزا المائل من الساعة 11 صباحًا إلى 1 مساءً.
رأى ويليام سوزان تشتري ملفات تعريف الارتباط في أحد المخابز من الساعة 1 مساءً إلى 3 مساءً.
رأت جينيفر سوزان تعمل في المكتب من الساعة 3 مساءً حتى 6 مساءً.
رأى جيسون سوزان تسير نحو تمثال الحرية من الساعة 6 مساءً حتى 7 مساءً.
رأت آشلي سوزان تنتظر في المطار من الساعة 7 مساءً حتى 9 مساءً.
تم إغلاق المطعم بعد الساعة 10 مساءً.
بين أي وقت يمكن أن تذهب سوزان إلى المطعم؟
خيارات:
(أ) من 6 مساءً إلى 7 مساءً
(ب) من 9 مساءً إلى 10 مساءً
(ج) من 11 صباحًا إلى 1 مساءً
(د) من 7 مساءً إلى 9 مساءً",(ب)
"اليوم ، ذهب جيمس إلى الشاطئ. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظ جيمس في الخامسة صباحًا.
رأى شون جيمس يسير باتجاه تمثال الحرية من الساعة 5 صباحًا حتى 6 صباحًا.
رأى مايكل جيمس يقود سيارته إلى الحديقة المائية من الساعة 6 صباحًا حتى 7 صباحًا.
رأى أنتوني جيمس يقرأ في المكتبة من الساعة 7 صباحًا حتى 3 مساءً.
رأى ويليام جيمس وهو يتناول القهوة في المقهى من الساعة 4 مساءً حتى 9 مساءً.
تم إغلاق الشاطئ بعد الساعة 9 مساءً.
ما بين الأوقات التي كان يمكن أن يذهب جيمس فيها إلى الشاطئ؟
خيارات:
(أ) من 7 صباحًا إلى 3 مساءً
(ب) من 5 صباحًا إلى 6 صباحًا
(ج) من 4 مساءً إلى 9 مساءً
(د) من 3 مساءً إلى 4 مساءً",(د)
"اليوم ، ذهب جايسون إلى السينما. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظ جيسون في الساعة 10 صباحًا.
رأت ليندا جايسون وهو يتناول القهوة في المقهى من الساعة 10 صباحًا حتى 3 مساءً.
رأت جينيفر جيسون يسير باتجاه تمثال الحرية من الساعة 6 مساءً حتى 7 مساءً.
رأى شون جيسون يشتري هاتفًا من متجر الإلكترونيات من الساعة 7 مساءً حتى 10 مساءً.
تم إغلاق الأفلام بعد الساعة 10 مساءً.
بين أي وقت كان يمكن أن يذهب جايسون إلى السينما؟
خيارات:
(أ) من 3 مساءً إلى 6 مساءً
(ب) من 10 صباحًا إلى 3 مساءً
(ج) من 7 مساءً إلى 10 مساءً
(د) من 6 مساءً إلى 7 مساءً",(أ)
"اليوم ، ذهبت إليزابيث إلى مدينة الملاهي. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت إليزابيث الساعة 6 صباحًا.
شاهدت سارة إليزابيث تلتقط صورًا بالقرب من برج بيزا المائل من الساعة 8 صباحًا حتى 9 صباحًا.
رأت جيسيكا إليزابيث وهي تعمل في صالة الألعاب الرياضية من الساعة 9 صباحًا حتى 3 مساءً.
شاهدت بيتي إليزابيث وهي تشاهد فيلمًا في المسرح من الساعة 3 مساءً حتى 7 مساءً.
رأى جيمس إليزابيث وهي تتمدد في استوديو لليوغا من الساعة 7 مساءً حتى 8 مساءً.
تم إغلاق مدينة الملاهي بعد الساعة 8 مساءً.
ما بين الأوقات التي كان من الممكن أن تذهب إليزابيث إلى مدينة الملاهي؟
خيارات:
(أ) من 8 صباحًا إلى 9 صباحًا
(ب) من 6 صباحًا إلى 8 صباحًا
(ج) من 3 مساءً إلى 7 مساءً
(د) من 7 مساءً إلى 8 مساءً",(ب)
"اليوم ، ذهبت أشلي إلى المكتبة. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت أشلي في السابعة صباحًا.
رأت ليزلي آشلي وهي تشتري دراجة من متجر الدراجات من الساعة 11 صباحًا حتى 12 ظهرًا.
رأت سوزان آشلي وهي تعمل في صالة الألعاب الرياضية من الساعة 12 ظهرًا حتى الساعة 4 مساءً.
رأت إليزابيث أشلي تنتظر في محطة القطار من الساعة 4 مساءً حتى 7 مساءً.
رأت إميلي أشلي تلتقط صورًا بالقرب من برج بيزا المائل من الساعة 7 مساءً إلى 9 مساءً.
تم إغلاق المكتبة بعد الساعة 9 مساءً.
بين أي وقت كان يمكن أن يذهب آشلي إلى المكتبة؟
خيارات:
(أ) من 7 مساءً إلى 9 مساءً
(ب) من 11 صباحًا إلى 12 ظهرًا
(ج) من 12 ظهرًا إلى 4 مساءً
(د) من 7 صباحًا إلى 11 صباحًا",(د)
"اليوم ، ذهبت سارة إلى موقع البناء. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت سارة الساعة 6 صباحًا.
شاهدت نانسي سارة تصلح جهاز الكمبيوتر في المتجر الإلكتروني من الساعة 8 صباحًا حتى 2 ظهرًا.
رأت بيتي سارة تقود سيارتها إلى الحديقة المائية من الساعة 2 مساءً إلى 3 مساءً.
رأت كيمبرلي سارة تشتري الملابس في المركز التجاري من الساعة 3 مساءً حتى 4 مساءً.
رأت إميلي سارة وهي تشتري ملفات تعريف الارتباط في أحد المخابز من الساعة 4 مساءً حتى 6 مساءً.
رأى ديفيد سارة تحضر الفصل في المدرسة من الساعة 6 مساءً حتى 8 مساءً.
تم إغلاق موقع البناء بعد الساعة 8 مساءً.
في أي وقت كانت سارة تذهب إلى موقع البناء؟
خيارات:
(أ) من 3 مساءً إلى 4 مساءً
(ب) من 2 مساءً إلى 3 مساءً
(ج) من 6 صباحًا إلى 8 صباحًا
(د) من الساعة 8 صباحًا حتى 2 ظهرًا",(ج)
"اليوم ، ذهبت ليزلي إلى قاعة الأوركسترا. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت ليزلي في السابعة صباحًا.
رأى ريتشارد ليزلي تمشي في الحديقة من السابعة صباحًا حتى الثامنة صباحًا.
شاهدت ليزلي ليزلي وهي تشتري ملفات تعريف الارتباط في أحد المخابز من الساعة 8 صباحًا حتى 9 صباحًا.
رأى جيسون ليزلي وهي تشتري دراجة من متجر الدراجات من التاسعة صباحًا حتى العاشرة صباحًا.
رأت سامانثا ليزلي تلتقط صورًا بالقرب من برج إيفل من الساعة 10 صباحًا حتى 3 مساءً.
شاهدت ليندا ليزلي تلتقط صورًا بالقرب من برج بيزا المائل من الساعة 6 مساءً حتى 8 مساءً.
تم إغلاق قاعة الأوركسترا بعد الساعة 8 مساءً.
بين أي وقت يمكن أن تذهب ليزلي إلى قاعة الأوركسترا؟
خيارات:
(أ) من 3 مساءً إلى 6 مساءً
(ب) من الساعة 9 صباحًا حتى الساعة 10 صباحًا
(ج) من السابعة صباحًا حتى الثامنة صباحًا
(د) من 10 صباحًا إلى 3 مساءً",(أ)
"اليوم ، ذهبت سارة إلى الاستوديو الفني. بين أي وقت يمكن أن يذهبوا؟
نحن نعرف ذلك:
استيقظت سارة في التاسعة صباحًا.
رأى ريتشارد سارة تشتري دراجة من متجر الدراجات من الساعة 9 صباحًا حتى 12 ظهرًا.
رأت بيتي سارة تنتظر في محطة القطار من الساعة 12 ظهرًا حتى 1 ظهرًا.
رأى مايكل سارة وهي تشتري الملابس في المركز التجاري من الساعة 1 ظهرًا إلى 3 مساءً.
رأت جينيفر سارة تعمل في صالة الألعاب الرياضية من الساعة 3 مساءً حتى 6 مساءً.
رأت هانا أن سارة تشتري هاتفًا من متجر الإلكترونيات من الساعة 6 مساءً حتى 8 مساءً.
تم إغلاق الاستوديو الفني بعد الساعة 10 مساءً.
ما بين الأوقات التي كان من الممكن أن تذهب سارة إلى الاستوديو الفني فيها؟
خيارات:
(أ) من الساعة 9 صباحًا حتى الساعة 12 ظهرًا
(ب) من 3 مساءً إلى 6 مساءً
(ج) من 12 ظهرًا إلى 1 مساءً
(د) من 8 مساءً إلى 10 مساءً",(د)
