aporte,objetivo
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. Ahora agregamos un pingüino a la tabla:
Santiago, 12, 90, 12
Y aquí hay una tabla similar, pero enumerando jirafas:
nombre, edad, altura (cm), peso (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Mujer, 9, 440, 650
¿Cuál es el pingüino más viejo?
Opciones:
(A) Luis
(B) Bernardo
(C) Vicente
(D)Gwen
(E) James",(Y)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. ¿Cuál es el nombre del último pingüino ordenado por orden alfabético?
Opciones:
(A) Luis
(B) Bernardo
(C) Vicente
(D)Gwen
(E) James",(C)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. ¿Cuántos pingüinos tienen más de 5 años?
Opciones:
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",(C)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. Y aquí hay una tabla similar, pero enumerando jirafas:
nombre, edad, altura (cm), peso (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Mujer, 9, 440, 650
¿Cuántos animales tienen más de 5 años?
Opciones:
(A) 5
(B) 6
(C) 7
(D) 8
(E) 9",(A)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. ¿Qué pingüino es mayor que Gwen?
Opciones:
(A) Luis
(B) Bernardo
(C) Vicente
(D)Gwen
(E) James",(C)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. Y aquí hay una tabla similar, pero enumerando jirafas:
nombre, edad, altura (cm), peso (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Mujer, 9, 440, 650
¿Cuál es la edad acumulada de las jirafas?
Opciones:
(A) 26
(B) 29
(C) 41
(D) 55
(E) 67",(A)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. Ahora agregamos un pingüino a la tabla:
Santiago, 12, 90, 12
Y aquí hay una tabla similar, pero enumerando jirafas:
nombre, edad, altura (cm), peso (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Mujer, 9, 440, 650
¿Cómo se llama el pingüino que mide 70 cm de altura?
Opciones:
(A) Luis
(B) Bernardo
(C) Vicente
(D)Gwen
(E) James",(D)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. Y aquí hay una tabla similar, pero enumerando jirafas:
nombre, edad, altura (cm), peso (kg)
Jody, 5, 430, 620
Gladys, 10, 420, 590
Mariano, 2, 310, 410
Mujer, 9, 440, 650
¿Cuál es el nombre de la última jirafa ordenada por orden alfabético?
Opciones:
(A) Jodi
(B) Gladys
(C) mariano
(D) donna
(E) Luisa",(C)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. Ahora agregamos un pingüino a la tabla:
Santiago, 12, 90, 12
¿Cuántos pingüinos hay en la mesa?
Opciones:
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",(Y)
"Aquí hay una tabla donde la primera línea es un encabezado y cada línea subsiguiente es un pingüino: nombre, edad, altura (cm), peso (kg) Louis, 7, 50, 11 Bernard, 5, 80, 13 Vincent, 9, 60, 11 Gwen, 8, 70, 15 Por ejemplo: la edad de Louis es 7, el peso de Gwen es 15 kg, la altura de Bernard es 80 cm. ¿Qué pingüino tiene el nombre de un famoso músico de jazz?
Opciones:
(A) Luis
(B) Bernardo
(C) Vicente
(D)Gwen
(E) James",(A)
