Eingang,Ziel
Sortieren Sie die folgenden Wörter alphabetisch: Liste: Syndrom daraus,Syndrom daraus
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: Nervenkitzel, Stottern, Panik, Versengen, gleicher Punkt, Prod, Geburtshilfe, Malton, Pflicht, Trommelfell, Delmarva, Scheune, Unterschlagung, Feuchtigkeit, Guru, Existenz, Gesamtheit, Grün",Scheune feucht Delmarva Punkt Trommelfell unterschlagen Gesamtheit Greene Guru It&T Malton Geburtshilfe Verantwortung Panik Prod Gleiches Versengen Spucken Unterhalt Nervenkitzel
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: Vegete, Artillerie, Schaden, FDA, Doris, Prosodie, Bainit, unpassend, Affe, Vivian",Artillerie Bainit Doris FDA Schaden unpassender Affe Prosodie vegetieren Vivian
Sortieren Sie die folgenden Wörter alphabetisch: Liste: Sioux Fortescue Purloin Percept Steuermann,Fortescue Steuermann Percept Purloin Sioux
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: gleichgültiger Eisenbahner, Raubkopien",Raubkopien gleichgültiger Zugführer
Sortieren Sie die folgenden Wörter alphabetisch: Liste: Konferenzerscheinung ignorieren Dutton Laiencoupé abergläubisch Westward Turnoff Messenger Copra Floruit Primitives Gerät,"Erscheinung, Konferenz, Kopra, Coupé, Dutton, Floruit, ignorieren, implementieren, Laie, Bote, primitiv, abergläubisch, Abzweigung nach Westen"
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: kovalentes Spinnenkraut, Horowitz, spaltend, spirituell, Cheshire, wohlhabend, Gideon, Quadratur, Julio, Erdnuss, Epsilon, Diagnostiker, Grover, Folklore, Gothic, hervorstechend","Wohlhabender Cheshire, kovalenter Diagnostiker, spaltend, Epsilon, Folklore, Gideon, Gothic, Grover, Horowitz, Julio, Erdnuss, Quadratur, hervorstehender Spinnenwurz, spirituell"
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: euklidisch, Stonehenge, Hobby, wolkig, gewinnend, einladen, sparsam, kämpfen, majestätisch, Zitrusfrüchte, Wogenszene",Zitrusfrüchte wolkig euklidisch Kampf Hobby einladen majestätisch Szene Stonehenge Woge sparsam gewinnend
Sortieren Sie die folgenden Wörter alphabetisch: Liste: Thunderclap Swab Built Poland,Polen Tupfer Donnerschlag gebaut
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: Bedauern, Sternenlicht, Wandtafel, Keimblatt, mehr Peperoni",Keimblatt mehr Peperoni bedauern Starlight-Wandtafel
Sortieren Sie die folgenden Wörter alphabetisch: Liste: Burley Bela Arapaho Bakterien Bock,Arapaho-Bakterien bela Bock Burley
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: lecker, siderisch, thermisch, Yakima, Siena, gorki, sächsisch, schottisch, figural, Hydroxyl, siebzehn, neapolitanisch, Amoklauf, Nervenkampf, Schicksal, Plainfield, Handlanger, Messer zugeteilt","Zugeteiltes Schicksal, figural, gorki, greifen, Hydroxyl, Messer, neapolitanischer Nerv, Plainfield, Amoklauf, sächsisch, schottisch, köstlich, siebzehn, siderisch, Siena, Handlanger, thermisches Yakima"
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: lukrativ, Sie haben Tunnel, Bogenschießen, Braut, Kokette, Polytypie, Barbudo, Radix, Arlen Lockwood, Teem, aufdringlich","Bogenschießen, Arlen Barbudo, Braut, Kokette, Lockwood, lukrativ, beflissen, Polytypie, Radix, Teem, Tunnel, den Sie haben"
Sortieren Sie die folgenden Wörter alphabetisch: Liste: Gentle Boletus Galveston Anilin Eddy Fontainebleau Wile Skandalous Skat Sportsmen,"Anilin-Steinpilz, Wirbel, Fontainebleau, Galveston, sanfter, skandalöser Skat-Sportler, Wile"
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: Hahnenfuß, gewissenhaft, Lagerfeuer, Kontrast, Fegefeuer",Lagerfeuer Kontrast Hahnenfuß Fegefeuer gewissenhaft
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: nackt, Volkszählung, intrinsisch, Fackel, Auszeit, gebrechlich, Demut, hängenbleibend, Erhöhung, patristisch, paregorisch, Gnomon, Motte, traurig, Seekuh, schräg, stressig",bloße Volkszählung Erhöhung Gnomon Demut gebrechlich intrinsisch Seekuh Motte schräg paregorisch patristisch Hängenbleiben traurig traurig stressig Auszeit Fackel
"Sortieren Sie die folgenden Wörter alphabetisch: Liste: Marlborough, pyrotechnisches Stutfohlen, Lebensmittelhändler, Pedal, transitives Plättchen, liefern, Landau, Hotbox, Onkel, Siemens, Wut, hessischer Gneis, Konvoi, Ninebark, Advent, Plat, Stapleton",Advent Zorn Konvoi liefern Stutfohlen Gneis Lebensmittelhändler Hessisch Hotbox Landau Marlborough Ninebark Plat Plättchen Pyrotechnik Siemens Stapleton Transitiver Tret Onkel
