aporte,objetivo
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude están en el mismo equipo en un partido de fútbol. Al comienzo del partido, a cada uno se le asigna una posición: Alice juega de delantera, Bob juega de lateral derecho, Claire juega de lateral izquierdo, Dave juega de calienta bancas, Eve juega de portero, Fred juega de mediocampista central y Gertrude está jugando a ser animadora.
A medida que avanza el juego, ocasionalmente las parejas de jugadores intercambian posiciones. Primero, Eve y Claire intercambian posiciones. Luego, Gertrude y Alice intercambian posiciones. Luego, Fred y Bob intercambian posiciones. Luego, Dave y Fred intercambian posiciones. Luego, Fred y Bob intercambian posiciones. Luego, Bob y Eve intercambian posiciones. Finalmente, Claire y Alice intercambian posiciones. Al final del partido, Gertrude está jugando.
Opciones:
(A) delantero
(B) extremo derecho
(C) extremo izquierdo
(D) calentador de banco
(E) portero
(F) mediocampista central
(G) animadora",(A)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude están jugando. Al comienzo del juego, cada uno sostiene una pelota: Alice tiene una pelota naranja, Bob tiene una pelota amarilla, Claire tiene una pelota marrón, Dave tiene una pelota blanca, Eve tiene una pelota negra, Fred tiene una pelota roja, y Gertrude tiene una bola morada.
A medida que avanza el juego, las parejas de jugadores intercambian bolas. Primero, Claire y Bob intercambian pelotas. Luego, Claire y Dave intercambian pelotas. Luego, Fred y Gertrude intercambian pelotas. Luego, Eve y Claire intercambian pelotas. Luego, Eve y Fred intercambian pelotas. Luego, Alice y Dave intercambian pelotas. Finalmente, Eve y Claire intercambian pelotas. Al final del juego, Eve tiene la
Opciones:
(A) bola naranja
(B) bola amarilla
(C) bola marrón
(D) bola blanca
(E) bola negra
(F) bola roja
(G) bola morada",(Y)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Melissa, Bob baila con Ophelia, Claire baila con Patrick, Dave baila con Jamie, Eve baila con Lola, Fred baila con Helga y Gertrude está bailando con Izzi.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Alice y Fred cambian de pareja. Luego, Gertrude y Eve cambian de pareja. Luego, Gertrude y Alice cambian de pareja. Luego, Bob y Alice cambian de pareja. Luego, Dave y Fred cambian de pareja. Luego, Eve y Alice cambian de pareja. Finalmente, Eve y Claire cambian de pareja. Al final del baile, Gertrudis baila con
Opciones:
(A) Melisa
(B) Ofelia
(C) Patricio
(D) Jaime
(E) Lola
(F)Helga
(G)Izzi",(F)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene un compañero: Alice baila con Ophelia, Bob baila con Melissa, Claire baila con Jamie, Dave baila con Sam, Eve baila con Patrick, Fred baila con Rodrigo y Gertrudis baila con Karl.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Dave y Claire cambian de pareja. Luego, Alice y Eve cambian de pareja. Luego, Eve y Bob cambian de pareja. Luego, Claire y Bob cambian de pareja. Luego, Fred y Eve cambian de pareja. Luego, Gertrude y Dave cambian de pareja. Finalmente, Dave y Alice cambian de pareja. Al final del baile, Dave está bailando con
Opciones:
(A) Ofelia
(B) Melisa
(C) Jaime
(D) Sam
(E) Patricio
(F)Rodrigo
(G) Karl",(Y)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Lolita, Bob obtiene Frankenstein, Claire obtiene Moby Dick, Dave obtiene La Perla, Eve obtiene El perro de los Baskerville, Fred obtiene La Comunidad del Anillo y Gertrude obtiene La odisea.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Dave y Gertrude intercambian libros. Luego, Claire y Bob intercambian libros. Luego, Alice y Dave intercambian libros. Luego, Fred y Claire intercambian libros. Luego, Dave y Fred intercambian libros. Luego, Bob y Claire intercambian libros. Finalmente, Eve y Fred intercambian libros. Al final del semestre, Eve tiene
Opciones:
(A) Lolita
(B)Frankenstein
(C)Moby Dick
(D) La Perla
(E) Sabueso de los Baskerville
(F) La Comunidad del Anillo
(G) La Odisea",(A)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Lola, Bob baila con Melissa, Claire baila con Helga, Dave baila con Karl, Eve baila con Sam, Fred baila con Izzi y Gertrude está bailando con Patrick.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Alice y Eve cambian de pareja. Luego, Dave y Fred cambian de pareja. Luego, Eve y Claire cambian de pareja. Luego, Dave y Gertrude cambian de pareja. Luego, Dave y Bob cambian de pareja. Luego, Alice y Claire cambian de pareja. Finalmente, Eve y Gertrude cambian de pareja. Al final del baile, Bob está bailando con
Opciones:
(A) Lola
(B) Melisa
(C)Helga
(D) Carlos
(E) Sam
(F)Izzi
(G) Patricio",(GRAMO)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Ophelia, Bob baila con Patrick, Claire baila con Karl, Dave baila con Rodrigo, Eve baila con Izzi, Fred baila con Helga y Gertrude está bailando con Jamie.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Claire y Eve cambian de pareja. Luego, Gertrude y Alice cambian de pareja. Luego, Bob y Alice cambian de pareja. Luego, Eve y Gertrude cambian de pareja. Luego, Fred y Claire cambian de pareja. Luego, Fred y Bob cambian de pareja. Finalmente, Dave y Fred cambian de pareja. Al final del baile, Fred está bailando con
Opciones:
(A) Ofelia
(B) Patricio
(C) Carlos
(D)Rodrigo
(E) Izzi
(F)Helga
(G)Jamie",(D)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude están jugando. Al comienzo del juego, cada uno sostiene una pelota: Alice tiene una pelota morada, Bob tiene una pelota verde, Claire tiene una pelota rosa, Dave tiene una pelota roja, Eve tiene una pelota azul, Fred tiene una pelota blanca, y Gertrude tiene una bola negra.
A medida que avanza el juego, las parejas de jugadores intercambian bolas. Primero, Eve y Dave intercambian pelotas. Luego, Eve y Fred intercambian pelotas. Luego, Eve y Dave intercambian pelotas. Luego, Eve y Alice intercambian pelotas. Luego, Bob y Alice intercambian pelotas. Luego, Gertrude y Claire intercambian pelotas. Finalmente, Alice y Dave intercambian pelotas. Al final del juego, Dave tiene la
Opciones:
(A) bola morada
(B) bola verde
(C) bola rosa
(D) bola roja
(E) bola azul
(F) bola blanca
(G) bola negra",(B)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude están realizando un intercambio de regalos de elefante blanco. Al comienzo del evento, cada uno tiene un regalo de un color diferente: Alice tiene un regalo verde, Bob tiene un regalo rojo, Claire tiene un regalo blanco, Dave tiene un regalo azul, Eve tiene un regalo amarillo, Fred tiene una bola negra y Gertrude tiene un regalo morado.
A medida que avanza el evento, parejas de personas intercambian regalos. Primero, Bob y Alice intercambian sus regalos. Luego, Dave y Alice intercambian sus regalos. Luego, Gertrude y Claire intercambian sus regalos. Luego, Dave y Claire intercambian sus regalos. Luego, Alice y Eve intercambian sus regalos. Luego, Gertrude y Claire intercambian sus regalos. Finalmente, Fred y Bob intercambian sus regalos. Al final del evento, Alice tiene la
Opciones:
(A) presente verde
(B) rojo presente
(C) presente blanco
(D) presente azul
(E) amarillo presente
(F) bola negra
(G) presente púrpura",(Y)
"Alice, Bob, Claire, Dave, Eve, Fred y Gertrude son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Melissa, Bob baila con Lola, Claire baila con Patrick, Dave baila con Sam, Eve baila con Izzi, Fred baila con Helga y Gertrudis baila con Rodrigo.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Fred y Gertrude cambian de pareja. Luego, Claire y Fred cambian de pareja. Luego, Dave y Alice cambian de pareja. Luego, Alice y Bob cambian de pareja. Luego, Gertrude y Eve cambian de pareja. Luego, Dave y Gertrude cambian de pareja. Finalmente, Alice y Dave cambian de pareja. Al final del baile, Dave está bailando con
Opciones:
(A) Melisa
(B)Lola
(C) Patricio
(D) Sam
(E) Izzi
(F)Helga
(G)Rodrigo",(B)
