مدخل,هدف
لدي فلوت وبيانو وترومبون وأربعة مواقد وكمان وأكورديون وكلارينيت وطبل ومصباحان وبوق. كم عدد الآلات الموسيقية لدي؟,8
لدي تفاحة ، وثلاث موزات ، وفراولة ، وخوخ ، وثلاثة برتقالات ، وخوخ ، وتوت ، وعنبان ، ونكتارين ، وتوت أسود. كم عدد الفاكهة لدي؟,15
لدي ثلاجة وكرسي وميكروويف. كم عدد الأشياء التي أمتلكها؟,3
لدي ثلاث حبات من التوت الأسود ، واثنتان من الفراولة ، وتفاحة ، وثلاث حبات برتقال ، ونكتارين ، وعنب ، وخوخ ، وموز ، وبرقوق. كم عدد الفاكهة لدي؟,14
لدي أريكة وفرن وجهازي ميكروويف وثلاجة. كم عدد الأشياء التي أمتلكها؟,5
لدي سمكة ودب وضفدع. كم عدد الحيوانات لدي؟,3
لدي سيارة ومحمصة. كم عدد الأشياء التي أمتلكها؟,2
لدي بلاك بيري ، وخوخ ، ونكتارين ، وخوخ ، وتوت ، وبرتقال ، وفراولة ، وموز ، وتفاحتان ، وأربع حبات عنب. كم عدد الفاكهة لدي؟,14
لدي بطاطا ، قرنبيط ، ثوم ، رأسان من الخس ، رأس قرنبيط ، بطاطس ، ساق من الكرفس ، وبصل. كم عدد الخضروات لدي؟,9
لدي موقد وكرسي وطاولتين ومحمصة وثلاجة وثلاثة أسرة وأريكة. كم عدد الأشياء التي أمتلكها؟,10
لدي كرسي وموقد وطاولة ومصباحان وسرير وأريكة ومحمصة وميكروويف وسيارة. كم عدد الأشياء التي أمتلكها؟,10
لدي ثلاث بطاطا ، رأس خس ، بصل ، بطاطس ، ملفوف ، جزر ، رأسان من البروكلي ، وسيقان من الكرفس. كم عدد الخضروات لدي؟,12
لدي بيانو وفلوت وأربعة آلات موسيقية. كم عدد الآلات الموسيقية لدي؟,6
لدي دجاجة ، وضفدع ، وفأر ، وقطة ، وخنازيران ، وأرانبان. كم عدد الحيوانات لدي؟,8
لدي بوق ، وكلارينيت ، وترومبون ، وفلوت ، وخمسة كمان ، وبيانو. كم عدد الآلات الموسيقية لدي؟,11
لدي بطة وخوخ وفراولة وسمكة ودجاجتان ودب وموزة. كم عدد الحيوانات لدي؟,5
لدي ميكروويف وطاولة وثلاجة وموقد وفرن ومحمصة وأريكة وأربع سيارات. كم عدد الأشياء التي أمتلكها؟,11
لدي ثلاث ثلاجات وسرير وخمس مواقد. كم عدد الأشياء التي أمتلكها؟,9
لدي بلاك بيري ، والبرقوق ، والموز. كم عدد الفاكهة لدي؟,3
لدي بيانو وترومبون وكلارينيت وماعز وأكورديون وبوق. كم عدد الآلات الموسيقية لدي؟,5
لدي ثلاجة وكرسي وسرير وفرن وميكروويف وسيارة. كم عدد الأشياء التي أمتلكها؟,6
لدي موقد وسرير ومصباح وثلاثة أجهزة ميكروويف وكرسي ومحمصة وطاولة وسيارتين وثلاجة وفرن. كم عدد الأشياء التي أمتلكها؟,13
لدي فلوت ، واثنين من الكلارينيت ، وبيانو ، وكمان ، وثلاثة أكورديون. كم عدد الآلات الموسيقية لدي؟,8
لدي بطاطا ، قرنبيط ، سرير ، ملفوفان ، ثوم ، فرن ، جزرة ، رأس قرنبيط ، بطاطس ، ساق كرفس ، رأس خس ، ومحمصة. كم عدد الخضروات لدي؟,10
لدي بطاطس ، وبطاطا ، ورأسان من البروكلي ، وقرنبيط. كم عدد الخضروات لدي؟,5
لدي رأسان من البروكلي وتفاحة ورأس خس وبصلان. كم عدد الخضروات لدي؟,5
لدي طبلة وأكورديون وكمان. كم عدد الآلات الموسيقية لدي؟,3
لدي رأس من البروكلي ، وملفوف ، ورأس خس ، وبصل ، وجزر ، وثوم ، وبطاطا. كم عدد الخضروات لدي؟,7
لدي قرنبيط وساق كرفس وملفوف وثوم. كم عدد الخضروات لدي؟,4
لدي بيانو ، وأكورديون ، وثلاثة ترومبون ، وخمسة كلارينيت ، وكمان ، وطبل ، وبوق ، وثلاثة مزامير. كم عدد الآلات الموسيقية لدي؟,16
لديّ برتقالة ، وثلاث فراولة ، وتفاحة ، وثلاثة موزات ، وثلاث حبات من التوت ، وخوخ ، وبلاك بيري ، وعنب ، وبرقوق ، ونكتارين. كم عدد الفاكهة لدي؟,17
لدي ميكروويف ومصباح وأربع سيارات وموقد ومحمصة وسرير. كم عدد الأشياء التي أمتلكها؟,9
لدي أريكتان ومحمصة وكرسيان وأربعة أفران ميكروويف وطاولة ومصباح. كم عدد الأشياء التي أمتلكها؟,11
لديّ برتقالة وتفاحة وبلاك بيري. كم عدد الفاكهة لدي؟,3
لدي فلوت وأكورديون. كم عدد الآلات الموسيقية لدي؟,2
لدي فأر وأرنب وكلب وبطة وماعزان. كم عدد الحيوانات لدي؟,6
لدي سرير وثلاجة ومصباح ومحمصة وأربعة كراسي وطاولة. كم عدد الأشياء التي أمتلكها؟,9
لدي بوق وأكورديون وثلاثة كلارينيت وكمان. كم عدد الآلات الموسيقية لدي؟,6
لدي توت عنب وبرتقال. كم عدد الفاكهة لدي؟,3
لدي ثلاثة برتقالات ، وخنزير ، وضفدع ، وبقرة ، وثلاثة موزات ، ورحيق ، وحلزون. كم عدد الحيوانات لدي؟,4
لديّ موزة ، وأربع حبات من الفراولة ، وتفاحة ، وخوختان ، وخوخ ، وبلاك بيري ، وتوتان. كم عدد الفاكهة لدي؟,12
لدي بيانو وترومبون. كم عدد الآلات الموسيقية لدي؟,2
لدي ترومبون وكمان وكلارينيت وأكورديون وأربعة مزامير وبوق وطبلان وبيانو. كم عدد الآلات الموسيقية لدي؟,12
لدي دب ، وكلب ، وبقرة ، وقطة ، وخنازير ، وحمار ، وسمكة ، وضفدع ، وماعزان. كم عدد الحيوانات لدي؟,11
لدي ثلاجة وفرن وسيارة ومحمصة وميكروويف وطاولة وسرير. كم عدد الأشياء التي أمتلكها؟,7
لدي حمار ودجاجة وخنزير وحلزون. كم عدد الحيوانات لدي؟,4
لدي بوق وأربعة ترومبون وأكورديون وكلارينيت وكمان وطبل. كم عدد الآلات الموسيقية لدي؟,9
لدي جزرة وبصل وساق كرفس وثلاث بطاطا وثوم ورأس بروكلي وبطاطا. كم عدد الخضروات لدي؟,9
لدي فلوت ، وبوق ، وثلاثة أكورديون ، وثلاثة كمان ، وطبل ، وثلاثة كلارينيت ، وترومبون. كم عدد الآلات الموسيقية لدي؟,13
لدي توت أسود ، توت ، خوخ ، رأس بروكلي ، برقوق ، برتقال ، موزتان ، عنب ، ثومان ، نكتارين ، رأس خس ، وتفاحة. كم عدد الفاكهة لدي؟,10
لدي سيقان من الكرفس ، وثومتان ، وبطاطس ، وثلاثة رؤوس من البروكلي ، وجزرة ، وبطاطا. كم عدد الخضروات لدي؟,10
لدي أربعة جزر ، وملفوف ، وبصل ، ورأس من القرنبيط ، وبطاطا ، وساق كرفس ، ورأس خس ، وبطاطس ، وثلاثة قرنبيط. كم عدد الخضروات لدي؟,14
لدي ساق من الكرفس ، وبراميلان ، وبصلتان ، وجزرة ، وأكورديون ، وبطاطا ، وملفوف ، ورأس خس ، وبطاطس ، ورأس من القرنبيط. كم عدد الخضروات لدي؟,9
لدي ضفدع وفأر. كم عدد الحيوانات لدي؟,2
لدي سيارة وثلاثة أرائك ومحمصة وميكروويف وموقد ومصباح وكرسيان وفرن. كم عدد الأشياء التي أمتلكها؟,11
لدي بوق وموقد وترومبون ومزامير وثلاثة كلارينيت. كم عدد الآلات الموسيقية لدي؟,7
لدي فأر وخنزير وأربع أسماك وحمار وأرنب وكلب وثلاث ماعز وبطة وثلاث دجاجات. كم عدد الحيوانات لدي؟,16
لدي أربعة نكتارين ، وثلاثة موزات ، وخوخ ، وفراولة ، وتوت ، وبرقوق ، وتفاحة ، وبرتقالة. كم عدد الفاكهة لدي؟,13
لدي أرنب ، وكلب ، وثعبان ، وضفدع ، وخنزير ، وبقرة ، وفأر ، وقطة ، وبطة ، وماعز. كم عدد الحيوانات لدي؟,11
لدي سريرين وموقد وميكروويف وطاولة وثلاجة ومصباح ومحمصة. كم عدد الأشياء التي أمتلكها؟,8
لدي ثلاثة قرنبيط ، رأس خس ، ملفوف ، جزر ، ثلاث ثوم ، ثلاثة بصل ، ثلاثة رؤوس من البروكلي ، ساق كرفس ، بطاطا وبطاطا. كم عدد الخضروات لدي؟,18
لدي أرنب وضفدع وحلزون. كم عدد الحيوانات لدي؟,3
لدي نكتارين ، وحمصتان ، وبرتقالة ، وأربعة خوخ ، وتفاحة ، وفراولة ، وبرقوق. كم عدد الفاكهة لدي؟,9
لدي ماعز وضفدع وخمسة خنازير ودب. كم عدد الحيوانات لدي؟,8
لدي ثلاث نكتارين ، خوخ ، تفاحة ، فراولة ، ثلاث حبات توت ، موزة ، وبرقوق. كم عدد الفاكهة لدي؟,11
لدي بقرة وثلاثة فئران وكلب وبطة وثعبان. كم عدد الحيوانات لدي؟,8
لدي عنب ، وبرقوق. كم عدد الفاكهة لدي؟,2
لدي أربعة مصابيح وثلاجة وسرير وسيارة ومحمصة وموقد. كم عدد الأشياء التي أمتلكها؟,9
لدي كلارينيت وترومبون. كم عدد الآلات الموسيقية لدي؟,2
لدي بوق وناي وأكورديون وترومبون. كم عدد الآلات الموسيقية لدي؟,4
لدي أربعة برتقالات ، وخوخ ، وبرقوق ، وثلاثة تفاحات ، وثلاثة عنب ، وتوتان ، ونكتارين ، وفراولة ، وبلاك بيري ، وموزة. كم عدد الفاكهة لدي؟,18
لدي كلب وخنزير وحلزون. كم عدد الحيوانات لدي؟,3
لدي محمصان وسرير وبطاطا وبصلتان وكرسي. كم عدد الخضروات لدي؟,3
لدي أفران ميكروويف وثلاجة وكرسي وسيارة وأريكتين ومحمصة وموقد ومصباح وسرير. كم عدد الأشياء التي أمتلكها؟,11
لدي خنزير وبقرة وثلاثة ضفادع وحمار وثعبان ودجاجة وقطة وحلزون وأربعة فئران وثلاثة دببة. كم عدد الحيوانات لدي؟,17
لدي رأس خس وملفوف وخمسة بصل وبطاطس وثلاثة سيقان كرفس وقرنبيط وثوم وبطاطا وأربعة رؤوس من البروكلي. كم عدد الخضروات لدي؟,18
لدي ثوم وملفوف وبصل ورأس بروكلي وبطاطا وبطاطا. كم عدد الخضروات لدي؟,7
لدي أربعة أرائك وسرير وطاولة ومصباح. كم عدد الأشياء التي أمتلكها؟,7
لدي ثلاثة نكتارين ، تفاحة ، برقوق ، فراولة ، عنب ، ثلاثة برتقالات ، توت ، وبلاك بيري. كم عدد الفاكهة لدي؟,12
لدي فرن وكرسي ومحمصان وطاولة وميكروويف ومصباح وأريكة وسريرين وثلاجة. كم عدد الأشياء التي أمتلكها؟,12
لديّ موزة وتوتان وثلاث حبات من العليق وتفاحة وبرتقالة. كم عدد الفاكهة لدي؟,8
لدي ترومبون وأكورديون وأربعة كلارينيت وبوق. كم عدد الآلات الموسيقية لدي؟,7
لدي رأس خس ، وقرنبيط ، وبطاطا ، وملفوفان ، وأربعة رؤوس بروكلي ، وبطاطس ، وثوم ، وجزر ، وساق من الكرفس ، وبصل. كم عدد الخضروات لدي؟,14
لدي رأس من البروكلي ، وجزرة ، وسيقان من الكرفس ، وملفوف ، وبصلتان ، وثومتان ، وقرنبيط ، وبطاطا ، ورأس خس. كم عدد الخضروات لدي؟,12
لدي ترومبون ، وفلوت ، وكمان ، وأكورديون ، وبيانو ، وبوق. كم عدد الآلات الموسيقية لدي؟,6
لدي ثوم ، ملفوف ، ساق كرفس ، خمسة جزر ، رأس خس ، أربعة رؤوس من البروكلي ، بطاطس ، بصل ، وبطاطا. كم عدد الخضروات لدي؟,17
لدي بوق ، وكمان ، وكلارينيت ، وأكورديون ، وبيانو ، وحلزون ، وسمكة ، وترومبون ، وطبل ، وناي. كم عدد الآلات الموسيقية لدي؟,9
لدي حبتان من التوت الأسود ، وتفاحة ، وعنب ، وفراولة ، وخوخ ، وبرتقالتان ، وحبتان من الخوخ ، وموزتان. كم عدد الفاكهة لدي؟,12
لدي مصباح وفرن وأربعة أرائك وكرسي وثلاجة ومحمصة وميكروويف وسرير وسيارة وطاولة. كم عدد الأشياء التي أمتلكها؟,13
لدي قرنبيط وملفوف وثوم ورأس خس وبصل ورأس بروكلي وبطاطس وجزر. كم عدد الخضروات لدي؟,8
لدي خوخ ، وأكورديون ، واثنين من الكلارينيت ، وطبل ، وتوت ، وعنبان ، ونكتارين. كم عدد الفاكهة لدي؟,5
لدي حبة برقوق وتفاح وعنبتين وبرتقالة وأربع حبات توت وفراولة ونكتارين وبلاك بيري وموزة. كم عدد الفاكهة لدي؟,13
لدي فأر وأربعة حلزون ودجاجة وقطة وثلاثة خنازير وثعبان وسمكة وماعز ودب وكلب. كم عدد الحيوانات لدي؟,15
لدي ترومبون وبوق وكلارينيت وطبل وكمان وبيانو وأكورديون وناي. كم عدد الآلات الموسيقية لدي؟,8
لدي ملفوف ، ساق كرفس ، رأس قرنبيط ، بطاطس ، بصل ، قرنبيط ، ثومان ، يام ، وجزران. كم عدد الخضروات لدي؟,11
لدي عنب ، تفاحة ، فراولة ، نكتارين ، موزة ، حبتان من التوت ، وبرقوق. كم عدد الفاكهة لدي؟,8
لدي اثنين من الجزر والثوم والبصل ورأس من القرنبيط. كم عدد الخضروات لدي؟,5
لدي ثلاجتان وطاولة ومحمصة وكرسي وسرير وفرن وأريكة وسيارة وأربعة أفران ميكروويف وموقد. كم عدد الأشياء التي أمتلكها؟,14
لدي خوخ وثلاث قطط وتوت. كم عدد الفاكهة لدي؟,2
لدي بصلة وضفدع وقرنبيط وبطة وثوم. كم عدد الخضروات لدي؟,3
لدي ثلاثة رؤوس من البروكلي ، واثنان من الثوم ، وجزرة ، وملفوف ، وقرنبيط ، وبطاطس ، ورأس خس ، وساق من الكرفس. كم عدد الخضروات لدي؟,11
