Eingang,Ziel
"Heute ist Heiligabend des Jahres 1937. Welches Datum ist morgen im MM/TT/JJJJ?
Optionen:
(A) 11.12.1937
(B) 25.12.1937
(C) 01.04.1938
(D) 12.04.1937
(E) 25.12.2006
(F) 25.07.1937",(B)
"In Großbritannien wird beim Formatieren des Datums normalerweise der Tag vor dem Monat angegeben. Daher ist für sie heute der 01.02.1987. Welches Datum ist vor einem Monat in MM/TT/JJJJ?
Optionen:
(A) 02.12.1986
(B) 01.12.1986
(C) 03.02.1986
(D) 12.02.2032
(E) 02.12.2062
(F) 02.06.1987",(A)
"Jane und John haben am 2. Januar 1958 geheiratet. Heute ist ihr fünfjähriger Hochzeitstag. Welches Datum ist heute in einer Woche im MM/TT/JJJJ?
Optionen:
(A) 16.01.1961
(B) 01.09.1961
(C) 01.09.1963
(D) 03.09.1960
(E) 07.09.1960
(F) 28.02.1961",(B)
"Jane hat für morgen (Dienstag, 09.07.1972) drei Termine mit fünf Leuten vereinbart. Welches Datum ist heute vor einer Woche im MM/TT/JJJJ?
Optionen:
(A) 07.09.1972
(B) 01.12.1972
(C) 01.07.2008
(D) 13.05.1972
(E) 01.07.1972
(F) 12.08.1972",(UND)
"Die heutige Sitzung wird auf morgen, 16.10.1924, 11 Uhr verschoben. Welches Datum ist heute in einer Woche im MM/TT/JJJJ?
Optionen:
(A) 22.10.1944
(B) 22.10.1924
(C) 10.07.1924
(D) 21.10.1924
(E) 22.08.1925
(F) 21.11.1924",(B)
"Jane besucht die Buchhandlung ab Oktober 2009 am 16. jedes Monats. Heute ist es ihr fünfter Besuch in der Buchhandlung. Welches Datum liegt heute vor einem Jahr in MM/TT/JJJJ?
Optionen:
(A) 16.08.2009
(B) 16.02.2009
(C) 16.02.2004
(D) 13.03.2009
(E) 26.01.2009
(F) 15.02.2009",(B)
"Am 9. Mai 2017 kaufte Jane 40 Eier. Sie aß eins pro Tag. Heute sind ihr die Eier ausgegangen. Welches Datum haben wir 24 Stunden später im MM/TT/JJJJ?
Optionen:
(A) 19.06.2017
(B) 17.07.2017
(C) 20.06.2017
(D) 18.06.2017
(E) 15.06.2017
(F) 10.07.2017",(A)
"Morgen ist der 12.11.2019. Welches Datum ist gestern im MM/TT/JJJJ?
Optionen:
(A) 10.11.2076
(B) 10.11.2019
(C) 10.09.2019
(D) 11.06.2019
(E) 11.11.2019
(F) 17.11.2019",(B)
"Jane denkt, heute sei der 18.06.2019, aber John glaubt, heute sei der 19.06.2019. Jane hat recht. Welches Datum ist gestern im MM/TT/JJJJ?
Optionen:
(A) 17.06.2063
(B) 18.05.2019
(C) 20.05.2019
(D) 17.06.2019
(E) 13.05.2019
(F) 06.08.2019",(D)
"Der erste Tag des Jahres 2019 ist ein Dienstag, und heute ist der erste Montag des Jahres 2019. Welches Datum ist von heute an vor einem Jahr in MM/TT/JJJJ?
Optionen:
(A) 01.08.2018
(B) 01.07.2018
(C) 01.02.2018
(D) 01.12.2018
(E) 05.07.2017
(F) 29.10.2017",(B)
"Gestern war der 31.12.1929. Heute konnte nicht der 32.12.1929 sein, da der Dezember nur 31 Tage hat. Welches Datum haben wir heute im MM/TT/JJJJ?
Optionen:
(A) 01.08.1930
(B) 01.06.1930
(C) 01.01.1930
(D) 31.12.1929
(E) 01.10.1930
(F) 27.02.1930",(C)
"Heute ist der 10. April 1985. Janes Termin wird drei Tage später sein. Welches Datum ist heute vor einer Woche im MM/TT/JJJJ?
Optionen:
(A) 13.05.1985
(B) 04.03.1985
(C) 10.03.1986
(D) 01.04.1985
(E) 13.04.1985
(F) 12.04.1986",(B)
"Jane hat ihren Job am 20. März 2020 gekündigt. Seitdem sind 176 Tage vergangen. Welches Datum liegt heute vor einem Jahr in MM/TT/JJJJ?
Optionen:
(A) 20.09.2019
(B) 01.10.2019
(C) 24.10.2019
(D) 12.09.1970
(E) 12.09.2019",(UND)
"Heute ist der Palindrom-Tag des Jahres 2020, da das MMTTJJJJ-Format des Datums rückwärts wie vorwärts dasselbe ist. Welches Datum ist vor einem Monat in MM/TT/JJJJ?
Optionen:
(A) 01.01.2020
(B) 01.02.2020
(C) 10.02.2019
(D) 11.05.2019
(E) 01.02.1931
(F) 01.03.2020",(B)
"Morgen ist der 12.11.2019. Welches Datum ist heute in einer Woche im MM/TT/JJJJ?
Optionen:
(A) 21.08.2019
(B) 18.11.2019
(C) 18.11.2025
(D) 18.11.2011
(E) 18.02.2020
(F) 11.04.2019",(B)
"Jane hat für morgen (Dienstag, 09.07.1972) drei Termine mit fünf Leuten vereinbart. Welches Datum ist morgen im MM/TT/JJJJ?
Optionen:
(A) 07.09.1923
(B) 08.05.1972
(C) 01.09.1972
(D) 07.09.1972
(E) 07.09.2007
(F) 09.04.1972",(D)
"Der 6. Mai 1992 ist für Jane wie gestern, aber das ist tatsächlich zehn Jahre her. Welches Datum haben wir heute im MM/TT/JJJJ?
Optionen:
(A) 05.06.2095
(B) 05.06.1935
(C) 05.06.1912
(D) 08.06.2002
(E) 05.06.2002
(F) 05.06.1964",(UND)
"Jane hat ihren Job am 20. März 2020 gekündigt. Seitdem sind 176 Tage vergangen. Welches Datum ist morgen im MM/TT/JJJJ?
Optionen:
(A) 13.09.2020
(B) 14.08.2020
(C) 13.09.2057
(D) 26.07.2020
(E) 10.04.2020
(F) 13.09.2084",(A)
