مدخل,هدف
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الغصن ثلاثة طيور: قيق أزرق وسمان وصقر. الصقر على يمين القيق الأزرق. القيق الأزرق على يمين السمان.
خيارات:
(أ) القيق الأزرق هو الثاني من اليسار
(ب) السمان هو الثاني من اليسار
(ج) الصقر هو الثاني من اليسار",(أ)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك ثلاث سيارات: دراجة نارية ، وسيارة ليموزين ، وسيارة مكشوفة. الدراجة النارية أحدث من الليموزين. السيارة القابلة للتحويل أحدث من الدراجة النارية.
خيارات:
(أ) الدراجة النارية هي الأقدم
(ب) الليموزين هو الأقدم
(ج) السيارة القابلة للتحويل هي الأقدم",(ب)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على الرف ، ثلاثة كتب: كتاب أزرق ، وكتاب برتقالي ، وكتاب أحمر. الكتاب الأزرق هو أقصى اليمين. الكتاب البرتقالي هو أقصى اليسار.
خيارات:
(أ) الكتاب الأزرق هو الثاني من اليسار
(ب) الكتاب البرتقالي هو الثاني من اليسار
(ج) الكتاب الأحمر هو الثاني من اليسار",(ج)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. على فرع ، هناك ثلاثة طيور: روبن ، وطائر قيق أزرق ، وغراب. روبن على يمين الغراب. روبن على يسار القيق الأزرق.
خيارات:
(أ) روبن هو أقصى اليمين
(ب) القيق الأزرق هو أقصى اليمين
(ج) الغراب هو أقصى اليمين",(ب)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف ثلاثة كتب: كتاب أخضر ، وكتاب أحمر ، وكتاب أزرق. الكتاب الأحمر هو أقصى اليمين. الكتاب الأزرق على يمين الكتاب الأخضر.
خيارات:
(أ) الكتاب الأخضر هو أقصى اليمين
(ب) الكتاب الأحمر هو أقصى اليمين
(ج) الكتاب الأزرق هو أقصى اليمين",(ب)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يبيع كشك الفاكهة ثلاث فواكه: التفاح والخوخ والمانجو. المانجو أقل تكلفة من الخوخ. التفاح أرخص من المانجو.
خيارات:
(أ) التفاح هو ثاني أغلى
(ب) الخوخ هو ثاني أغلى ثمناً
(ج) المانجو هي ثاني أغلى",(ج)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك ثلاث سيارات: جرار وشاحنة وميني فان. الميني فان أحدث من الشاحنة. الجرار أقدم من الشاحنة.
خيارات:
(أ) الجرار هو الأحدث
(ب) الشاحنة هي الأحدث
(C) الميني فان هو الأحدث",(ج)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في بطولة الجولف ، كان هناك ثلاثة لاعبي غولف: حواء وروب وميل. انتهى روب أسفل ميل. انتهى ميل تحت حواء.
خيارات:
(أ) احتلت حواء المركز الأول
(ب) حصل روب على المركز الأول
(C) حصل ميل على المركز الأول",(أ)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف ثلاثة كتب: كتاب برتقالي ، وكتاب أصفر ، وكتاب أزرق. الكتاب الأزرق على يمين الكتاب الأصفر. الكتاب البرتقالي هو الثاني من اليسار.
خيارات:
(أ) الكتاب البرتقالي هو الثاني من اليسار
(ب) الكتاب الأصفر هو الثاني من اليسار
(ج) الكتاب الأزرق هو الثاني من اليسار",(أ)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. في معرض السيارات العتيقة ، هناك ثلاث سيارات: ستايشن واغن ، ميني فان ، وشاحنة. الميني فان أحدث من الشاحنة. عربة المحطة أحدث من الميني فان.
خيارات:
(أ) عربة المحطة هي الأحدث
(ب) الميني فان هو الأحدث
(ج) الشاحنة هي الأحدث",(أ)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الرف ثلاثة كتب: كتاب رمادي ، وكتاب بنفسجي ، وكتاب أحمر. الكتاب الأرجواني على يسار الكتاب الأحمر. الكتاب الرمادي على يسار الكتاب الأرجواني.
خيارات:
(أ) الكتاب الرمادي هو أقصى اليسار
(ب) الكتاب الأرجواني هو أقصى اليسار
(ج) الكتاب الأحمر هو أقصى اليسار",(أ)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يبيع كشك الفاكهة ثلاث فواكه: الخوخ والمانجو والتفاح. الخوخ أغلى من التفاح. المانجو أرخص.
خيارات:
(أ) الخوخ هو ثاني أغلى
(ب) المانجو هي ثاني أغلى ثمناً
(ج) التفاح هو ثاني أغلى ثمناً",(ج)
"تصف كل من الفقرات التالية مجموعة من ثلاثة عناصر مرتبة بترتيب ثابت. البيانات متسقة منطقيًا داخل كل فقرة. يوجد على الفرع ثلاثة طيور: قيق أزرق وصقر وطائر طنان. القيق الأزرق على يمين الصقر. الطائر الطنان على يسار الصقر.
خيارات:
(أ) القيق الأزرق هو الثاني من اليسار
(ب) الصقر هو الثاني من اليسار
(ج) الطائر الطنان هو الثاني من اليسار",(ب)
