Eingang,Ziel
"Frage: Sherrie sagt die Wahrheit. Vernell sagt, Sherrie sage die Wahrheit. Alexis sagt, dass Vernell lügt. Michaela sagt, dass Alexis die Wahrheit sagt. Elanor sagt, dass Michaela die Wahrheit sagt. Sagt Elanor die Wahrheit?",No
"Frage: Kristian lügt. Sherrie sagt, Kristian lüge. Delbert sagt, Sherrie lüge. Jerry sagt, Delbert sage die Wahrheit. Shalonda sagt, dass Jerry die Wahrheit sagt. Sagt Shalonda die Wahrheit?",No
"Frage: Vina sagt die Wahrheit. Helene sagt, Vina lüge. Kandi sagt, Helene sage die Wahrheit. Jamey sagt, Kandi lüge. Ka sagt, dass Jamey lügt. Sagt Ka die Wahrheit?",No
"Frage: Christie sagt die Wahrheit. Ka sagt, Christie sage die Wahrheit. Delbert sagt, Ka lüge. Leda sagt, Delbert sage die Wahrheit. Lorine sagt, Leda sage die Wahrheit. Sagt Lorine die Wahrheit?",No
"Frage: Tamika lügt. Raymond sagt, dass Tamika die Wahrheit sagt. Willian sagt, dass Raymond die Wahrheit sagt. Shaunda sagt, Willian lüge. Elanor sagt, dass Shaunda die Wahrheit sagt. Sagt Elanor die Wahrheit?",Ja
"Frage: Vernell sagt die Wahrheit. Kandi sagt, Vernell sage die Wahrheit. Alexis sagt, Kandi sage die Wahrheit. Sima sagt, dass Alexis lügt. Phoebe sagt, dass Sima die Wahrheit sagt. Sagt Phoebe die Wahrheit?",No
"Frage: Shalonda lügt. Teressa sagt, dass Shalonda die Wahrheit sagt. Tamika sagt, dass Teressa lügt. Lorine sagt, dass Tamika die Wahrheit sagt. Jaymie sagt, Lorine lüge. Sagt Jaymie die Wahrheit?",No
"Frage: Jim lügt. Crista sagt, dass Jim lügt. Vernell sagt, dass Crista die Wahrheit sagt. Bernita sagt, Vernell sage die Wahrheit. Millicent sagt, Bernita sage die Wahrheit. Sagt Millicent die Wahrheit?",Ja
"Frage: Fletcher sagt die Wahrheit. Conception sagt, Fletcher sage die Wahrheit. Bernita sagt, dass Conception die Wahrheit sagt. Jamey sagt, Bernita sage die Wahrheit. Teressa sagt, dass Jamey lügt. Sagt Teressa die Wahrheit?",No
"Frage: Rashida sagt die Wahrheit. Jim sagt, dass Rashida lügt. Alejandro sagt, dass Jim lügt. Tamika sagt, Alejandro sage die Wahrheit. Fidel sagt, Tamika lüge. Sagt Fidel die Wahrheit?",No
"Frage: Jerry lügt. Millicent sagt, Jerry sage die Wahrheit. Sal sagt, dass Millicent die Wahrheit sagt. Amberly sagt, dass Sal die Wahrheit sagt. Shenna sagt, dass Amberly lügt. Sagt Shenna die Wahrheit?",Ja
"Frage: Audrie lügt. Conception sagt, Audrie lüge. Teressa sagt, Conception sage die Wahrheit. Delfina sagt, Teressa lüge. Helene sagt, Delfina sage die Wahrheit. Sagt Helene die Wahrheit?",No
"Frage: Millie sagt die Wahrheit. Millicent sagt, Millie lüge. Phoebe sagt, dass Millicent die Wahrheit sagt. Sherrie sagt, dass Phoebe lügt. Raymond sagt, dass Sherrie die Wahrheit sagt. Sagt Raymond die Wahrheit?",Ja
"Frage: Inga sagt die Wahrheit. Shenna sagt, dass Inga lügt. Rashida sagt, Shenna sage die Wahrheit. Ka sagt, dass Rashida die Wahrheit sagt. Shalonda sagt, dass Ka die Wahrheit sagt. Sagt Shalonda die Wahrheit?",No
"Frage: Amberly lügt. Shenna sagt, dass Amberly die Wahrheit sagt. Willian sagt, dass Shenna die Wahrheit sagt. Raymond sagt, dass Willian lügt. Sal sagt, Raymond lüge. Sagt Sal die Wahrheit?",No
"Frage: Willian lügt. Inga sagt, Willian sage die Wahrheit. Fidel sagt, Inga lüge. Gwenn sagt, Fidel sage die Wahrheit. Crista sagt, Gwenn sagt die Wahrheit. Sagt Crista die Wahrheit?",Ja
