aporte,objetivo
"Alice, Bob y Claire son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Ulises, Bob obtiene Frankenstein y Claire recibe Lolita.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Claire y Bob intercambian libros. Luego, Bob y Alice intercambian libros. Finalmente, Claire y Bob intercambian libros. Al final del semestre, Bob tiene
Opciones:
(A) Ulises
(B)Frankenstein
(C)Lolita",(B)
"Alice, Bob y Claire son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe El perro de los Baskerville, Bob obtiene La Odisea y Claire obtiene Catch-22.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Claire y Alice intercambian libros. Luego, Bob y Claire intercambian libros. Finalmente, Alice y Bob intercambian libros. Al final del semestre, Alice tiene
Opciones:
(A) Sabueso de los Baskerville
(B) La Odisea
(C) Trampa 22",(A)
"Alice, Bob y Claire son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Frankenstein, Bob obtiene Catch-22 y Claire recibe Ulises.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Bob y Alice intercambian libros. Luego, Alice y Claire intercambian libros. Finalmente, Claire y Bob intercambian libros. Al final del semestre, Alice tiene
Opciones:
(A) Frankenstein
(B) Trampa 22
(C) Ulises",(C)
"Alice, Bob y Claire son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Helga, Bob baila con Lola y Claire baila con Ophelia.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Alice y Bob cambian de pareja. Luego, Bob y Claire cambian de pareja. Finalmente, Alice y Bob cambian de pareja. Al final del baile, Alice baila con
Opciones:
(A) Helga
(B)Lola
(C) Ofelia",(C)
"Alice, Bob y Claire son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Frankenstein, Bob obtiene La Odisea y Claire obtiene Lolita.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Alice y Claire intercambian libros. Luego, Bob y Alice intercambian libros. Finalmente, Claire y Bob intercambian libros. Al final del semestre, Bob tiene
Opciones:
(A) Frankenstein
(B) La Odisea
(C)Lolita",(A)
"Alice, Bob y Claire son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe Catch-22, Bob obtiene Moby Dick y Claire obtiene The Great Gatsby.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Claire y Bob intercambian libros. Luego, Claire y Alice intercambian libros. Finalmente, Bob y Claire intercambian libros. Al final del semestre, Alice tiene
Opciones:
(A) Trampa 22
(B)Moby Dick
(C) El gran Gatsby",(B)
"Alice, Bob y Claire son bailarines en un baile en cuadrilla. Al comienzo de una canción, cada uno tiene una pareja: Alice baila con Izzi, Bob baila con Melissa y Claire baila con Lola.
A lo largo de la canción, los bailarines suelen intercambiar parejas. Primero, Claire y Alice cambian de pareja. Luego, Bob y Claire cambian de pareja. Finalmente, Alice y Bob cambian de pareja. Al final del baile, Alice baila con
Opciones:
(A) Izzi
(B) Melisa
(C) Lola",(A)
"Alice, Bob y Claire son amigos y ávidos lectores que ocasionalmente intercambian libros. Al comienzo del semestre, cada uno compra un libro nuevo: Alice recibe El gran Gatsby, Bob obtiene La Odisea y Claire recibe Lolita.
A medida que avanza el semestre, empiezan a negociar con los nuevos libros. Primero, Alice y Bob intercambian libros. Luego, Alice y Claire intercambian libros. Finalmente, Bob y Claire intercambian libros. Al final del semestre, Claire tiene
Opciones:
(A) El gran Gatsby
(B) La Odisea
(C)Lolita",(A)
"Alice, Bob y Claire están jugando. Al comienzo del juego, cada uno sostiene una pelota: Alice tiene una pelota marrón, Bob tiene una pelota roja y Claire tiene una pelota blanca.
A medida que avanza el juego, las parejas de jugadores intercambian bolas. Primero, Claire y Bob intercambian pelotas. Luego, Bob y Alice intercambian pelotas. Finalmente, Claire y Alice intercambian pelotas. Al final del juego, Bob tiene la
Opciones:
(A) bola marrón
(B) bola roja
(C) bola blanca",(A)
"Alice, Bob y Claire están jugando. Al comienzo del juego, cada uno sostiene una pelota: Alice tiene una pelota amarilla, Bob tiene una pelota marrón y Claire tiene una pelota verde.
A medida que avanza el juego, las parejas de jugadores intercambian bolas. Primero, Bob y Claire intercambian pelotas. Luego, Bob y Alice intercambian pelotas. Finalmente, Bob y Claire intercambian pelotas. Al final del juego, Alice tiene la
Opciones:
(A) bola amarilla
(B) bola marrón
(C) bola verde",(C)
