Eingang,Ziel
"Alice, Bob, Claire, Dave und Eve sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Patrick, Bob tanzt mit Sam, Claire tanzt mit Jamie, Dave tanzt mit Lola und Eve tanzt mit Melissa.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Dave und Eve den Partner. Dann wechseln Dave und Alice den Partner. Dann wechseln Eve und Alice den Partner. Dann wechseln Claire und Bob den Partner. Schließlich wechseln Dave und Alice den Partner. Am Ende des Tanzes tanzt Alice mit
Optionen:
(A) Patrick
(B) Sam
(C) Jamie
(D) Lola
(E) Melissa",(A)
"Alice, Bob, Claire, Dave und Eve sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Ophelia, Bob tanzt mit Jamie, Claire tanzt mit Melissa, Dave tanzt mit Rodrigo und Eve tanzt mit Patrick.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Claire und Bob den Partner. Dann wechseln Claire und Eve den Partner. Dann wechseln Claire und Bob den Partner. Dann wechseln Eve und Dave den Partner. Schließlich wechseln Claire und Alice den Partner. Am Ende des Tanzes tanzt Alice mit
Optionen:
(A) Ophelia
(B) Jamie
(C) Melissa
(D) Rodrigo
(E) Patrick",(C)
"Alice, Bob, Claire, Dave und Eve sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Jamie, Bob tanzt mit Lola, Claire tanzt mit Izzi, Dave tanzt mit Rodrigo und Eve tanzt mit Ophelia.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Bob und Eve den Partner. Dann wechseln Alice und Bob den Partner. Dann wechseln Dave und Alice den Partner. Dann wechseln Dave und Claire den Partner. Schließlich wechseln Bob und Claire den Partner. Am Ende des Tanzes tanzt Claire mit
Optionen:
(A) Jamie
(B) Lola
(C) Izzi
(D) Rodrigo
(E) Ophelia",(A)
"Alice, Bob, Claire, Dave und Eve sind Freunde und begeisterte Leser, die gelegentlich Bücher tauschen. Zu Beginn des Semesters kaufen sie jeweils ein neues Buch: Alice bekommt Catch-22, Bob bekommt Hound of the Baskervilles, Claire bekommt Frankenstein, Dave bekommt The Pearl und Eve bekommt The Fellowship of the Ring.
Im Laufe des Semesters beginnen sie mit dem Handel mit den neuen Büchern. Zuerst tauschen Eve und Alice Bücher. Dann tauschen Alice und Claire Bücher. Dann tauschen Alice und Bob Bücher. Dann tauschen Dave und Alice Bücher. Schließlich tauschen Dave und Claire Bücher. Am Ende des Semesters hat Dave
Optionen:
(A) Catch-22
(B) Hund der Baskervilles
(C) Frankenstein
(D) Die Perle
(E) Die Gefährten des Rings",(UND)
"Alice, Bob, Claire, Dave und Eve sind Freunde und begeisterte Leser, die gelegentlich Bücher tauschen. Zu Beginn des Semesters kaufen sie jeweils ein neues Buch: Alice bekommt Moby Dick, Bob bekommt Ulysses, Claire bekommt Die Gefährten, Dave bekommt Lolita und Eve bekommt Catch-22.
Im Laufe des Semesters beginnen sie mit dem Handel mit den neuen Büchern. Zuerst tauschen Claire und Bob Bücher. Dann tauschen Claire und Dave Bücher. Dann tauschen Dave und Alice Bücher. Dann tauschen Dave und Bob Bücher. Schließlich tauschen Eve und Dave Bücher. Am Ende des Semesters hat Claire
Optionen:
(A) Moby Dick
(B) Odysseus
(C) Die Gefährten des Rings
(D) Lolita
(E) Catch-22",(D)
"Alice, Bob, Claire, Dave und Eve spielen in einem Fußballspiel im selben Team. Zu Beginn des Spiels wird ihnen jeweils eine Position zugewiesen: Alice spielt die Torwartin, Bob spielt den linken Mittelfeldspieler, Claire spielt den rechten Flügelspieler, Dave spielt den Stürmer und Eve spielt den mittleren Mittelfeldspieler.
Im Verlauf des Spiels tauschen Spielerpaare gelegentlich ihre Positionen. Zuerst tauschen Alice und Claire ihre Positionen. Dann tauschen Alice und Bob ihre Positionen. Dann tauschen Dave und Bob ihre Positionen. Dann tauschen Bob und Eve ihre Positionen. Schließlich tauschen Dave und Eve ihre Positionen. Am Ende des Spiels spielt Eve
Optionen:
(Ein Torwart
(B) linker Mittelfeldspieler
(C) Rechtsaußen
(D) Stürmer
(E) mittlerer Mittelfeldspieler",(C)
"Alice, Bob, Claire, Dave und Eve sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Helga, Bob tanzt mit Jamie, Claire tanzt mit Ophelia, Dave tanzt mit Karl und Eve tanzt mit Rodrigo.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Eve und Bob den Partner. Dann wechseln Dave und Claire den Partner. Dann wechseln Claire und Bob den Partner. Dann wechseln Dave und Alice den Partner. Schließlich wechseln Claire und Eve den Partner. Am Ende des Tanzes tanzt Claire mit
Optionen:
(A) Helga
(B) Jamie
(C) Ophelia
(D) Karl
(E) Rodrigo",(B)
"Alice, Bob, Claire, Dave und Eve veranstalten einen Geschenkaustausch mit weißen Elefanten. Zu Beginn der Veranstaltung hält jeder ein Geschenk in einer anderen Farbe in der Hand: Alice hat ein grünes Geschenk, Bob hat ein lila Geschenk, Claire hat ein blaues Geschenk, Dave hat einen schwarzen Ball und Eve hat ein weißes Geschenk.
Im Verlauf der Veranstaltung tauschen Paare Geschenke aus. Zuerst tauschen Eve und Bob ihre Geschenke aus. Dann tauschen Claire und Alice ihre Geschenke aus. Dann tauschen Bob und Eve ihre Geschenke aus. Dann tauschen Dave und Claire ihre Geschenke aus. Schließlich tauschen Alice und Eva ihre Geschenke aus. Am Ende der Veranstaltung hat Claire das
Optionen:
(A) grün vorhanden
(B) lila vorhanden
(C) blau vorhanden
(D) schwarzer Ball
(E) weiß vorhanden",(D)
"Alice, Bob, Claire, Dave und Eve sind Freunde und begeisterte Leser, die gelegentlich Bücher tauschen. Zu Beginn des Semesters kaufen sie jeweils ein neues Buch: Alice bekommt „Die Gefährten“, Bob bekommt „Die Odyssee“, Claire bekommt „Frankenstein“, Dave bekommt „Der Hund der Baskervilles“ und Eve bekommt „Ulysses“.
Im Laufe des Semesters beginnen sie mit dem Handel mit den neuen Büchern. Zuerst tauschen Alice und Claire Bücher. Dann tauschen Alice und Eva Bücher. Dann tauschen Dave und Claire Bücher. Dann tauschen Dave und Bob Bücher. Schließlich tauschen Dave und Alice Bücher. Am Ende des Semesters hat Alice
Optionen:
(A) Die Gefährten des Rings
(B) Die Odyssee
(C) Frankenstein
(D) Hund der Baskervilles
(E) Odysseus",(B)
"Alice, Bob, Claire, Dave und Eve spielen in einem Fußballspiel im selben Team. Zu Beginn des Spiels wird ihnen jeweils eine Position zugewiesen: Alice spielt die Bankspielerin, Bob spielt den linken Mittelfeldspieler, Claire spielt den linken Flügelspieler, Dave spielt den mittleren Mittelfeldspieler und Eve spielt die Stürmerin.
Im Verlauf des Spiels tauschen Spielerpaare gelegentlich ihre Positionen. Zuerst tauschen Eve und Dave ihre Positionen. Dann tauschen Dave und Alice ihre Positionen. Dann tauschen Claire und Bob ihre Positionen. Dann tauschen Bob und Eve ihre Positionen. Schließlich tauschen Alice und Dave ihre Positionen. Am Ende des Spiels spielt Eve
Optionen:
(A) Bankwärmer
(B) linker Mittelfeldspieler
(C) linker Flügelspieler
(D) mittlerer Mittelfeldspieler
(E) Stürmer",(C)
"Alice, Bob, Claire, Dave und Eve spielen ein Spiel. Zu Beginn des Spiels hält jeder einen Ball: Alice hat einen roten Ball, Bob hat einen schwarzen Ball, Claire hat einen blauen Ball, Dave hat einen gelben Ball und Eve hat einen braunen Ball.
Im Verlauf des Spiels tauschen Spielerpaare Bälle. Zuerst tauschen Claire und Eve die Bälle. Dann tauschen Alice und Bob die Bälle. Dann tauschen Eve und Dave die Bälle. Dann tauschen Claire und Dave die Bälle. Schließlich tauschen Claire und Alice die Bälle. Am Ende des Spiels hat Claire das
Optionen:
(A) rote Kugel
(B) schwarze Kugel
(C) blaue Kugel
(D) gelber Ball
(E) braune Kugel",(B)
"Alice, Bob, Claire, Dave und Eve spielen ein Spiel. Zu Beginn des Spiels hält jeder einen Ball: Alice hat einen braunen Ball, Bob hat einen schwarzen Ball, Claire hat einen roten Ball, Dave hat einen rosa Ball und Eve hat einen blauen Ball.
Im Verlauf des Spiels tauschen Spielerpaare Bälle. Zuerst tauschen Claire und Bob die Bälle. Dann tauschen Claire und Eve die Bälle. Dann tauschen Bob und Claire die Bälle. Dann tauschen Dave und Claire die Bälle. Schließlich tauschen Alice und Dave die Bälle. Am Ende des Spiels hat Claire das
Optionen:
(A) braune Kugel
(B) schwarze Kugel
(C) rote Kugel
(D) rosa Kugel
(E) blaue Kugel",(D)
"Alice, Bob, Claire, Dave und Eve sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Karl, Bob tanzt mit Jamie, Claire tanzt mit Melissa, Dave tanzt mit Lola und Eve tanzt mit Ophelia.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Bob und Claire den Partner. Dann wechseln Alice und Dave den Partner. Dann wechseln Bob und Alice den Partner. Dann wechseln Claire und Eve den Partner. Schließlich wechseln Eve und Alice den Partner. Am Ende des Tanzes tanzt Claire mit
Optionen:
(A) Karl
(B) Jamie
(C) Melissa
(D) Lola
(E) Ophelia",(UND)
"Alice, Bob, Claire, Dave und Eve spielen in einem Fußballspiel im selben Team. Zu Beginn des Spiels wird ihnen jeweils eine Position zugewiesen: Alice spielt den rechten Flügelspieler, Bob spielt den Bankspieler, Claire spielt den rechten Mittelfeldspieler, Dave spielt den Torwart und Eve spielt die Cheerleaderin.
Im Verlauf des Spiels tauschen Spielerpaare gelegentlich ihre Positionen. Zuerst tauschen Bob und Alice ihre Positionen. Dann tauschen Dave und Claire ihre Positionen. Dann tauschen Alice und Claire ihre Positionen. Dann tauschen Eve und Alice ihre Positionen. Schließlich tauschen Dave und Bob ihre Positionen. Am Ende des Spiels spielt Claire
Optionen:
(A) Rechtsaußen
(B) Bankwärmer
(C) rechter Mittelfeldspieler
(D) Torwart
(E) Cheerleaderin",(B)
"Alice, Bob, Claire, Dave und Eve sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Ophelia, Bob tanzt mit Izzi, Claire tanzt mit Lola, Dave tanzt mit Sam und Eve tanzt mit Melissa.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Claire und Bob den Partner. Dann wechseln Claire und Eve den Partner. Dann wechseln Bob und Dave den Partner. Dann wechseln Claire und Eve den Partner. Schließlich wechseln Alice und Eve den Partner. Am Ende des Tanzes tanzt Dave mit
Optionen:
(A) Ophelia
(B) Izzi
(C) Lola
(D) Sam
(E) Melissa",(C)
