Eingang,Ziel
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude spielen in einem Fußballspiel im selben Team. Zu Beginn des Spiels wird ihnen jeweils eine Position zugewiesen: Alice spielt Stürmerin, Bob spielt Rechtsaußen, Claire spielt Linksaußen, Dave spielt Bankspieler, Eve spielt Torwart, Fred spielt Mittelfeldspielerin und Gertrude spielt Cheerleader.
Im Verlauf des Spiels tauschen Spielerpaare gelegentlich ihre Positionen. Zuerst tauschen Eve und Claire ihre Positionen. Dann tauschen Gertrude und Alice ihre Positionen. Dann tauschen Fred und Bob ihre Positionen. Dann tauschen Dave und Fred ihre Positionen. Dann tauschen Fred und Bob ihre Positionen. Dann tauschen Bob und Eve ihre Positionen. Schließlich tauschen Claire und Alice ihre Positionen. Am Ende des Spiels spielt Gertrude
Optionen:
(A) Stürmer
(B) Rechtsaußen
(C) linker Flügelspieler
(D) Bankwärmer
(E) Torwart
(F) mittlerer Mittelfeldspieler
(G) Cheerleader",(A)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude spielen ein Spiel. Zu Beginn des Spiels hält jeder einen Ball: Alice hat einen orangefarbenen Ball, Bob hat einen gelben Ball, Claire hat einen braunen Ball, Dave hat einen weißen Ball, Eve hat einen schwarzen Ball, Fred hat einen roten Ball, und Gertrude hat eine lila Kugel.
Im Verlauf des Spiels tauschen Spielerpaare Bälle. Zuerst tauschen Claire und Bob die Bälle. Dann tauschen Claire und Dave die Bälle. Dann tauschen Fred und Gertrude die Bälle. Dann tauschen Eve und Claire die Bälle. Dann tauschen Eve und Fred die Bälle. Dann tauschen Alice und Dave die Bälle. Schließlich tauschen Eve und Claire die Bälle. Am Ende des Spiels hat Eve das
Optionen:
(A) orangefarbene Kugel
(B) gelber Ball
(C) braune Kugel
(D) weiße Kugel
(E) schwarzer Ball
(F) roter Ball
(G) lila Kugel",(UND)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Melissa, Bob tanzt mit Ophelia, Claire tanzt mit Patrick, Dave tanzt mit Jamie, Eve tanzt mit Lola, Fred tanzt mit Helga und Gertrude tanzt mit Izzi.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Alice und Fred den Partner. Dann wechseln Gertrude und Eve den Partner. Dann wechseln Gertrude und Alice den Partner. Dann wechseln Bob und Alice den Partner. Dann wechseln Dave und Fred den Partner. Dann wechseln Eve und Alice den Partner. Schließlich wechseln Eve und Claire den Partner. Am Ende des Tanzes tanzt Gertrude mit
Optionen:
(A) Melissa
(B) Ophelia
(C) Patrick
(D) Jamie
(E) Lola
(F) Helga
(G) Izzi",(F)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Ophelia, Bob tanzt mit Melissa, Claire tanzt mit Jamie, Dave tanzt mit Sam, Eve tanzt mit Patrick, Fred tanzt mit Rodrigo und Gertrude tanzt mit Karl.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zunächst wechseln Dave und Claire den Partner. Dann wechseln Alice und Eve den Partner. Dann wechseln Eve und Bob den Partner. Dann wechseln Claire und Bob den Partner. Dann wechseln Fred und Eve den Partner. Dann wechseln Gertrude und Dave den Partner. Schließlich wechseln Dave und Alice den Partner. Am Ende des Tanzes tanzt Dave mit
Optionen:
(A) Ophelia
(B) Melissa
(C) Jamie
(D) Sam
(E) Patrick
(F) Rodrigo
(G) Karl",(UND)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude sind Freunde und begeisterte Leser, die gelegentlich Bücher tauschen. Zu Beginn des Semesters kaufen sie jeweils ein neues Buch: Alice bekommt „Lolita“, Bob bekommt „Frankenstein“, Claire bekommt „Moby Dick“, Dave bekommt „Die Perle“, Eve bekommt „Der Hund der Baskervilles“, Fred bekommt „Die Gefährten“ und Gertrude bekommt Die Odyssee.
Im Laufe des Semesters beginnen sie mit dem Handel mit den neuen Büchern. Zuerst tauschen Dave und Gertrude Bücher. Dann tauschen Claire und Bob Bücher. Dann tauschen Alice und Dave Bücher. Dann tauschen Fred und Claire Bücher. Dann tauschen Dave und Fred Bücher. Dann tauschen Bob und Claire Bücher. Schließlich tauschen Eve und Fred Bücher. Am Ende des Semesters hat Eve
Optionen:
(A) Lolita
(B) Frankenstein
(C) Moby Dick
(D) Die Perle
(E) Hund der Baskervilles
(F) Die Gefährten des Rings
(G) Die Odyssee",(A)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Lola, Bob tanzt mit Melissa, Claire tanzt mit Helga, Dave tanzt mit Karl, Eve tanzt mit Sam, Fred tanzt mit Izzi und Gertrude tanzt mit Patrick.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Alice und Eve den Partner. Dann wechseln Dave und Fred den Partner. Dann wechseln Eve und Claire den Partner. Dann wechseln Dave und Gertrude den Partner. Dann wechseln Dave und Bob den Partner. Dann wechseln Alice und Claire den Partner. Schließlich wechseln Eve und Gertrude den Partner. Am Ende des Tanzes tanzt Bob mit
Optionen:
(A) Lola
(B) Melissa
(C) Helga
(D) Karl
(E) Sam
(F) Izzi
(G) Patrick",(G)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Ophelia, Bob tanzt mit Patrick, Claire tanzt mit Karl, Dave tanzt mit Rodrigo, Eve tanzt mit Izzi, Fred tanzt mit Helga und Gertrude tanzt mit Jamie.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zuerst wechseln Claire und Eve den Partner. Dann wechseln Gertrude und Alice den Partner. Dann wechseln Bob und Alice den Partner. Dann wechseln Eve und Gertrude den Partner. Dann wechseln Fred und Claire den Partner. Dann wechseln Fred und Bob den Partner. Schließlich wechseln Dave und Fred den Partner. Am Ende des Tanzes tanzt Fred mit
Optionen:
(A) Ophelia
(B) Patrick
(C) Karl
(D) Rodrigo
(E) Izzi
(F) Helga
(G) Jamie",(D)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude spielen ein Spiel. Zu Beginn des Spiels hält jeder einen Ball: Alice hat einen lila Ball, Bob hat einen grünen Ball, Claire hat einen rosa Ball, Dave hat einen roten Ball, Eve hat einen blauen Ball, Fred hat einen weißen Ball, und Gertrude hat einen schwarzen Ball.
Im Verlauf des Spiels tauschen Spielerpaare Bälle. Zuerst tauschen Eve und Dave die Bälle. Dann tauschen Eve und Fred die Bälle. Dann tauschen Eve und Dave die Bälle. Dann tauschen Eve und Alice die Bälle. Dann tauschen Bob und Alice die Bälle. Dann tauschen Gertrude und Claire die Bälle. Schließlich tauschen Alice und Dave die Bälle. Am Ende des Spiels hat Dave die
Optionen:
(A) lila Kugel
(B) grüner Ball
(C) rosa Kugel
(D) rote Kugel
(E) blaue Kugel
(F) weiße Kugel
(G) schwarze Kugel",(B)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude veranstalten einen Geschenkaustausch mit weißen Elefanten. Zu Beginn der Veranstaltung hält jeder ein Geschenk in einer anderen Farbe in der Hand: Alice hat ein grünes Geschenk, Bob hat ein rotes Geschenk, Claire hat ein weißes Geschenk, Dave hat ein blaues Geschenk, Eve hat ein gelbes Geschenk, Fred hat eine schwarze Kugel und Gertrude hat ein lila Geschenk.
Im Verlauf der Veranstaltung tauschen Paare Geschenke aus. Zuerst tauschen Bob und Alice ihre Geschenke aus. Dann tauschen Dave und Alice ihre Geschenke aus. Dann tauschen Gertrude und Claire ihre Geschenke aus. Dann tauschen Dave und Claire ihre Geschenke aus. Dann tauschen Alice und Eva ihre Geschenke aus. Dann tauschen Gertrude und Claire ihre Geschenke aus. Schließlich tauschen Fred und Bob ihre Geschenke aus. Am Ende der Veranstaltung hat Alice die
Optionen:
(A) grün vorhanden
(B) rot vorhanden
(C) weiß vorhanden
(D) blau vorhanden
(E) gelb vorhanden
(F) schwarzer Ball
(G) lila vorhanden",(UND)
"Alice, Bob, Claire, Dave, Eve, Fred und Gertrude sind Tänzer bei einem Square Dance. Zu Beginn eines Liedes haben sie jeweils einen Partner: Alice tanzt mit Melissa, Bob tanzt mit Lola, Claire tanzt mit Patrick, Dave tanzt mit Sam, Eve tanzt mit Izzi, Fred tanzt mit Helga und Gertrude tanzt mit Rodrigo.
Während des Liedes tauschen die Tänzer oft ihre Partner. Zunächst wechseln Fred und Gertrude den Partner. Dann wechseln Claire und Fred den Partner. Dann wechseln Dave und Alice den Partner. Dann wechseln Alice und Bob den Partner. Dann wechseln Gertrude und Eve den Partner. Dann wechseln Dave und Gertrude den Partner. Schließlich wechseln Alice und Dave den Partner. Am Ende des Tanzes tanzt Dave mit
Optionen:
(A) Melissa
(B) Lola
(C) Patrick
(D) Sam
(E) Izzi
(F) Helga
(G) Rodrigo",(B)
