input,target
"Find a movie similar to Batman, The Mask, The Fugitive, Pretty Woman:
Options:
(A) The Front Page
(B) Maelstrom
(C) The Lion King
(D) Lamerica",(C)
"Find a movie similar to The Sixth Sense, The Matrix, Forrest Gump, The Shawshank Redemption:
Options:
(A) Street Fighter II The Animated Movie
(B) The Sheltering Sky
(C) The Boy Who Could Fly
(D) Terminator 2 Judgment Day",(D)
"Find a movie similar to Schindler's List, Braveheart, The Silence of the Lambs, Tombstone:
Options:
(A) Orlando
(B) Guilty of Romance
(C) Forrest Gump
(D) All the Real Girls",(C)
"Find a movie similar to Terminator 2 Judgment Day, The Fugitive, The Shawshank Redemption, Dead Man Walking:
Options:
(A) Walk
(B) Don't Run
(C) Shaun the Sheep Movie
(D) Rocky IV
(E) Braveheart",(E)
"Find a movie similar to Braveheart, The Mask, The Fugitive, Batman:
Options:
(A) Club Dread
(B) George Washington
(C) Schindler's List
(D) Once Upon a Time in America",(C)
"Find a movie similar to Heat, The Fugitive, Forrest Gump, The Silence of the Lambs:
Options:
(A) Death Race 2
(B) Cannonball Run II
(C) Independence Day
(D) Slumber Party Massacre II",(C)
"Find a movie similar to Raiders of the Lost Ark, The Shawshank Redemption, Inception, Pulp Fiction:
Options:
(A) Beyond the Poseidon Adventure
(B) The Chorus
(C) Forrest Gump
(D) Scouts Guide to the Zombie Apocalypse",(C)
"Find a movie similar to Schindler's List, Pulp Fiction, Braveheart, The Usual Suspects:
Options:
(A) 12 Angry Men
(B) Mo' Better Blues
(C) Mindhunters
(D) The Shawshank Redemption",(D)
"Find a movie similar to Jurassic Park, The Silence of the Lambs, Schindler's List, Braveheart:
Options:
(A) A Hard Day's Night
(B) Showtime
(C) Forrest Gump
(D) Eddie the Eagle",(C)
"Find a movie similar to The Lord of the Rings The Two Towers, The Lord of the Rings The Fellowship of the Ring, Star Wars Episode IV - A New Hope, The Matrix:
Options:
(A) The Return
(B) The Hidden Fortress
(C) Schindler's List
(D) The End of the Affair",(C)
"Find a movie similar to Forrest Gump, Pulp Fiction, The Fugitive, Dances with Wolves:
Options:
(A) Dragonheart 3 The Sorcerer's Curse
(B) Chi-Raq
(C) Stargate
(D) Tae Guk Gi The Brotherhood of War",(C)
"Find a movie similar to Forrest Gump, The Fugitive, The Shawshank Redemption, Pulp Fiction:
Options:
(A) Anchors Aweigh
(B) Looney Tunes Back in Action
(C) Porky's Revenge
(D) Dances with Wolves",(D)
"Find a movie similar to Forrest Gump, The Silence of the Lambs, Mission Impossible, Jurassic Park:
Options:
(A) Joe Somebody
(B) Dogfight
(C) Independence Day
(D) Twin Peaks Fire Walk with Me",(C)
"Find a movie similar to The Shawshank Redemption, The Usual Suspects, Pulp Fiction, Fargo:
Options:
(A) Damage
(B) Pie in the Sky
(C) The Fugitive
(D) A Plasticine Crow",(C)
"Find a movie similar to The Fugitive, Pulp Fiction, The Usual Suspects, Terminator 2 Judgment Day:
Options:
(A) The Amazing Panda Adventure
(B) Sweeney Todd
(C) Welcome to Sarajevo
(D) Seven",(D)
"Find a movie similar to Forrest Gump, The Silence of the Lambs, Seven, Fargo:
Options:
(A) Gandhi
(B) Schindler's List
(C) Dogfight
(D) Repo Man",(B)
"Find a movie similar to Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:
Options:
(A) Goon Last of the Enforcers
(B) A Very Harold & Kumar 3D Christmas
(C) The Fugitive
(D) A Separation",(C)
"Find a movie similar to The Lion King, The Fugitive, Schindler's List, The Shawshank Redemption:
Options:
(A) The Art of the Steal
(B) Pulp Fiction
(C) Battlestar Galactica The Plan
(D) Breakin' All the Rules",(B)
"Find a movie similar to Pulp Fiction, The Shawshank Redemption, Schindler's List, Dances with Wolves:
Options:
(A) Easter Parade
(B) Captain America The First Avenger
(C) Braveheart
(D) Manic",(C)
"Find a movie similar to Beauty and the Beast, Independence Day, Forrest Gump, Jurassic Park:
Options:
(A) The Bag Man
(B) The Silence of the Lambs
(C) Extreme Measures
(D) Kicking Off",(B)
"Find a movie similar to The Shawshank Redemption, Forrest Gump, Dances with Wolves, Mr Holland's Opus:
Options:
(A) PK
(B) The Great Gatsby
(C) Philadelphia
(D) Casper Meets Wendy",(C)
"Find a movie similar to Inception, Pulp Fiction, Forrest Gump, Raiders of the Lost Ark:
Options:
(A) Who's Afraid of Virginia Woolf
(B) Fantastic Mr Fox
(C) Clash of the Titans
(D) Independence Day",(D)
"Find a movie similar to Star Wars Episode VII - The Force Awakens, Inside Out, Pulp Fiction, Raiders of the Lost Ark:
Options:
(A) Ernest Rides Again
(B) Forrest Gump
(C) The Proposal
(D) Everything You Always Wanted to Know About Sex  But Were Afraid to Ask",(B)
"Find a movie similar to Spider-Man, Spider-Man 2, The Matrix, Independence Day:
Options:
(A) Jurassic World Fallen Kingdom
(B) The Fifth Element
(C) Across the Universe
(D) Insomnia",(B)
"Find a movie similar to Star Wars Episode V - The Empire Strikes Back, Groundhog Day, Mission Impossible, Star Wars Episode IV - A New Hope:
Options:
(A) View from the Top
(B) The Doors
(C) Raiders of the Lost Ark
(D) Quick Change",(C)
"Find a movie similar to Army of Darkness, Go, The Sixth Sense, Alien:
Options:
(A) Cool Hand Luke
(B) Children of the Corn III
(C) Ice Guardians
(D) Cinema Paradiso",(A)
"Find a movie similar to Apollo 13, Jurassic Park, Die Hard With a Vengeance, Forrest Gump:
Options:
(A) Killer Movie
(B) Stealth
(C) The Last Man on Earth
(D) True Lies",(D)
"Find a movie similar to Pulp Fiction, The Usual Suspects, Schindler's List, Fargo:
Options:
(A) Stoked The Rise and Fall of Gator
(B) Surviving the Game
(C) Look Who's Talking
(D) The Shawshank Redemption",(D)
"Find a movie similar to Toy Story, The Mask, Batman, The Lion King:
Options:
(A) Exit Wounds
(B) Punch-Drunk Love
(C) Seeking Justice
(D) Pretty Woman",(D)
"Find a movie similar to The Shawshank Redemption, Pulp Fiction, Schindler's List, Braveheart:
Options:
(A) The Bank Job
(B) Robot Carnival
(C) Dances with Wolves
(D) The Family Stone",(C)
"Find a movie similar to Independence Day, The Silence of the Lambs, Indiana Jones and the Temple of Doom, Fargo:
Options:
(A) Care Bears Movie II A New Generation
(B) Noises Off
(C) The Fugitive
(D) Lights Out",(C)
"Find a movie similar to Batman, Pulp Fiction, Apollo 13, Schindler's List:
Options:
(A) The Last Kiss
(B) Europa
(C) Braveheart
(D) Rise of the Planet of the Apes",(C)
"Find a movie similar to The Fugitive, Braveheart, Schindler's List, The Lion King:
Options:
(A) Mad City
(B) The Scorpion King
(C) The Shawshank Redemption
(D) City of Men",(C)
"Find a movie similar to Braveheart, Dances with Wolves, Pulp Fiction, Schindler's List:
Options:
(A) Tickling Giants
(B) Shadow of the Vampire
(C) The Usual Suspects
(D) On the Town",(C)
