input,target
"Ho un flauto, un pianoforte, un trombone, quattro fornelli, un violino, una fisarmonica, un clarinetto, un tamburo, due lampade e una tromba. Quanti strumenti musicali ho?",8
"Ho una mela, tre banane, una fragola, una pesca, tre arance, una prugna, un lampone, due chicchi d'uva, una nettarina e una mora. Quanti frutti ho?",15
"Ho un frigorifero, una sedia e un forno a microonde. Quanti oggetti ho?",3
"Ho tre more, due fragole, una mela, tre arance, una nettarina, un'uva, una pesca, una banana e una susina. Quanti frutti ho?",14
"Ho un divano, un forno, due microonde e un frigorifero. Quanti oggetti ho?",5
"Ho un pesce, un orso e una rana. Quanti animali ho?",3
Ho una macchina e un tostapane. Quanti oggetti ho?,2
"Ho una mora, una pesca, una nettarina, una prugna, un lampone, un'arancia, una fragola, una banana, due mele e quattro chicchi d'uva. Quanti frutti ho?",14
"Ho un igname, un cavolfiore, un aglio, due teste di lattuga, una testa di broccoli, una patata, un gambo di sedano e una cipolla. Quante verdure ho?",9
"Ho un fornello, una sedia, due tavoli, un tostapane, un frigorifero, tre letti e un divano. Quanti oggetti ho?",10
"Ho una sedia, un fornello, un tavolo, due lampade, un letto, un divano, un tostapane, un forno a microonde e un'auto. Quanti oggetti ho?",10
"Ho tre patate dolci, una testa di lattuga, una cipolla, una patata, un cavolo, una carota, due teste di broccoli e due gambi di sedano. Quante verdure ho?",12
"Ho un pianoforte, un flauto e quattro tromboni. Quanti strumenti musicali ho?",6
"Ho un pollo, una rana, un topo, un gatto, due maiali e due conigli. Quanti animali ho?",8
"Ho una tromba, un clarinetto, due tromboni, un flauto, cinque violini e un pianoforte. Quanti strumenti musicali ho?",11
"Ho un'anatra, una pesca, una fragola, un pesce, due galline, un orso e una banana. Quanti animali ho?",5
"Ho un microonde, un tavolo, un frigorifero, un fornello, un forno, un tostapane, un divano e quattro macchine. Quanti oggetti ho?",11
"Ho tre frigoriferi, un letto e cinque fornelli. Quanti oggetti ho?",9
"Ho una mora, una prugna e una banana. Quanti frutti ho?",3
"Ho un pianoforte, un trombone, un clarinetto, una capra, una fisarmonica e una tromba. Quanti strumenti musicali ho?",5
"Ho un frigorifero, una sedia, un letto, un forno, un microonde e un'auto. Quanti oggetti ho?",6
"Ho un fornello, un letto, una lampada, tre microonde, una sedia, un tostapane, un tavolo, due automobili, un frigorifero e un forno. Quanti oggetti ho?",13
"Ho un flauto, due clarinetti, un pianoforte, un violino e tre fisarmoniche. Quanti strumenti musicali ho?",8
"Ho un igname, un cavolfiore, un letto, due cavoli, un aglio, un forno, una carota, una testa di broccoli, una patata, un gambo di sedano, una testa di lattuga e un tostapane. Quante verdure ho?",10
"Ho una patata, un igname, due teste di broccoli e un cavolfiore. Quante verdure ho?",5
"Ho due teste di broccoli, una mela, una testa di lattuga e due cipolle. Quante verdure ho?",5
"Ho un tamburo, una fisarmonica e un violino. Quanti strumenti musicali ho?",3
"Ho una testa di broccoli, un cavolo, una testa di lattuga, una cipolla, una carota, un aglio e una patata. Quante verdure ho?",7
"Ho un cavolfiore, un gambo di sedano, un cavolo e un aglio. Quante verdure ho?",4
"Ho un pianoforte, una fisarmonica, tre tromboni, cinque clarinetti, un violino, un tamburo, una tromba e tre flauti. Quanti strumenti musicali ho?",16
"Ho un'arancia, tre fragole, una mela, tre banane, tre lamponi, una pesca, una mora, un'uva, una susina e due nettarine. Quanti frutti ho?",17
"Ho un forno a microonde, una lampada, quattro macchine, un fornello, un tostapane e un letto. Quanti oggetti ho?",9
"Ho due divani, un tostapane, due sedie, quattro forni a microonde, un tavolo e una lampada. Quanti oggetti ho?",11
"Ho un'arancia, una mela e una mora. Quanti frutti ho?",3
Ho un flauto e una fisarmonica. Quanti strumenti musicali ho?,2
"Ho un topo, un coniglio, un cane, un'anatra e due capre. Quanti animali ho?",6
"Ho un letto, un frigorifero, una lampada, un tostapane, quattro sedie e un tavolo. Quanti oggetti ho?",9
"Ho una tromba, una fisarmonica, tre clarinetti e un violino. Quanti strumenti musicali ho?",6
"Ho un lampone, un chicco d'uva e un'arancia. Quanti frutti ho?",3
"Ho tre arance, un maiale, una rana, una mucca, tre banane, una nettarina e una lumaca. Quanti animali ho?",4
"Ho una banana, quattro fragole, una mela, due pesche, una prugna, una mora e due lamponi. Quanti frutti ho?",12
Ho un pianoforte e un trombone. Quanti strumenti musicali ho?,2
"Ho un trombone, un violino, un clarinetto, una fisarmonica, quattro flauti, una tromba, due tamburi e un pianoforte. Quanti strumenti musicali ho?",12
"Ho un orso, un cane, una mucca, un gatto, due maiali, un asino, un pesce, una rana e due capre. Quanti animali ho?",11
"Ho un frigorifero, un forno, una macchina, un tostapane, un forno a microonde, un tavolo e un letto. Quanti oggetti ho?",7
"Ho un asino, un pollo, un maiale e una lumaca. Quanti animali ho?",4
"Ho una tromba, quattro tromboni, una fisarmonica, un clarinetto, un violino e un tamburo. Quanti strumenti musicali ho?",9
"Ho una carota, una cipolla, un gambo di sedano, tre patate dolci, un aglio, una testa di broccoli e una patata. Quante verdure ho?",9
"Ho un flauto, una tromba, tre fisarmoniche, tre violini, un tamburo, tre clarinetti e un trombone. Quanti strumenti musicali ho?",13
"Ho una mora, un lampone, una pesca, una testa di broccoli, una prugna, un'arancia, due banane, un'uva, due agli, una nettarina, una testa di lattuga e una mela. Quanti frutti ho?",10
"Ho due gambi di sedano, due agli, una patata, tre teste di broccoli, una carota e una patata. Quante verdure ho?",10
"Ho quattro carote, un cavolo, una cipolla, una testa di broccoli, un igname, un gambo di sedano, una testa di lattuga, una patata e tre cavolfiori. Quante verdure ho?",14
"Ho un gambo di sedano, due tamburi, due cipolle, una carota, una fisarmonica, un igname, un cavolo, una testa di lattuga, una patata e una testa di broccoli. Quante verdure ho?",9
Ho una rana e un topo. Quanti animali ho?,2
"Ho una macchina, tre divani, un tostapane, un forno a microonde, un fornello, una lampada, due sedie e un forno. Quanti oggetti ho?",11
"Ho una tromba, un fornello, un trombone, due flauti e tre clarinetti. Quanti strumenti musicali ho?",7
"Ho un topo, un maiale, quattro pesci, un asino, un coniglio, un cane, tre capre, un'anatra e tre galline. Quanti animali ho?",16
"Ho quattro nettarine, tre banane, una pesca, una fragola, un lampone, una prugna, una mela e un'arancia. Quanti frutti ho?",13
"Ho un coniglio, un cane, due serpenti, una rana, un maiale, una mucca, un topo, un gatto, un'anatra e una capra. Quanti animali ho?",11
"Ho due letti, un fornello, un forno a microonde, un tavolo, un frigorifero, una lampada e un tostapane. Quanti oggetti ho?",8
"Ho tre cavolfiori, una testa di lattuga, un cavolo, una carota, tre agli, tre cipolle, tre teste di broccoli, un gambo di sedano, una patata e una patata. Quante verdure ho?",18
"Ho un coniglio, una rana e una lumaca. Quanti animali ho?",3
"Ho una nettarina, due tostapane, un'arancia, quattro pesche, una mela, una fragola e una prugna. Quanti frutti ho?",9
"Ho una capra, una rana, cinque maiali e un orso. Quanti animali ho?",8
