aporte,objetivo
"En el suelo, hay un juguete para gatos malva, dos juguetes para gatos morados, tres juguetes para gatos grises, dos cuadernos malva, tres cuadernos grises, tres juguetes para gatos color burdeos y un cuaderno morado. Si quito todos los cuadernos del suelo, ¿cuántos objetos grises quedan sobre él?
Opciones:
(A) cero
(Hueso
(C) dos
(D) tres
(E) cuatro
(F) cinco
(G) seis
(H) siete
(yo) ocho
(J) nueve
(K) diez
(L) once
(M) doce
(N) trece
(O) catorce
(P) quince
(Q) dieciséis",(D)
"Sobre el escritorio, ves un conjunto de cosas dispuestas en fila: una taza gris, una taza morada y un osito de peluche azul. ¿Cuál es el color de lo que está directamente a la derecha de la taza?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(Q)
"En la mesita de noche, ves un conjunto de artículos dispuestos en fila: un plato dorado, una pelota antiestrés plateada, una libreta fucsia, una pulsera malva, una jarra verde y un fidget spinner amarillo. ¿Cuál es el color del artículo directamente a la izquierda de la jarra?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(I)
"Sobre la mesa ves varios objetos dispuestos en fila: un osito de peluche fucsia, una jarra roja, un rompecabezas dorado, una pulsera burdeos y una libreta verde. ¿Cuántos elementos no magenta ves a la derecha del elemento rojo?
Opciones:
(A) cero
(Hueso
(C) dos
(D) tres
(E) cuatro
(F) cinco
(G) seis",(D)
"Sobre el escritorio ves un montón de cosas dispuestas en fila: un plato malva, una jarra naranja, unas gafas de sol color burdeos, un bolígrafo verde y una pelota antiestrés violeta. ¿Cuál es el color de lo que está directamente a la izquierda del color burdeos?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(B)
"En el suelo, ves una pulsera verde, un juguete para gato morado, un par de gafas de sol marrones, un fidget spinner negro, una correa roja para perro y un bolígrafo naranja. ¿Cuántos objetos no son ni negros ni azules?
Opciones:
(A) cero
(Hueso
(C) dos
(D) tres
(E) cuatro
(F) cinco
(G) seis",(F)
"En el suelo, ves varias cosas dispuestas en fila: un crayón azul, una pelota antiestrés violeta y una correa de perro color burdeos. ¿Cuál es el color de lo que está más a la derecha?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(L)
"En el suelo veo un sobre turquesa, un plato gris, un lápiz plateado y una taza verde azulado. ¿De qué color es el sobre?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(K)
"Sobre la mesa hay un crayón rojo, un cuaderno rosa, una jarra amarilla y una taza magenta. ¿La taza es gris?
Opciones:
(A) sí
(B) no",(B)
"En el suelo ves un montón de cosas dispuestas en fila: un sobre azul, una taza naranja y un bolígrafo gris. ¿Cuál es el color de la cosa más alejada de la cosa gris?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(Y)
"En el escritorio, ves un conjunto de objetos dispuestos en fila: una pelota antiestrés azul, un juguete para gatos morado y un rompecabezas rojo. ¿Cuál es el color del objeto más alejado del objeto rojo?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(Y)
"Sobre la mesa, ves varios objetos dispuestos en fila: un bolígrafo dorado, una taza malva, un sobre verde azulado, un llavero rojo y un fidget spinner turquesa. ¿Cuál es el color del objeto directamente a la izquierda del objeto verde azulado?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(I)
"En el suelo, ves varias cosas dispuestas en fila: una correa de perro naranja, una taza burdeos, un llavero azul y una libreta violeta. ¿Cuál es el color de lo que está directamente a la izquierda del objeto azul?
Opciones:
(Un rojo
(B) naranja
(C) amarillo
(D) verde
(E) azul
(F) marrón
(G) magenta
(H) fucsia
(yo) malva
(J) verde azulado
(K) turquesa
(L) borgoña
(M) plata
(N) oro
(O) negro
(P) gris
(Q) morado
(R) rosa",(L)
"En el escritorio, ves tres tazas magenta, tres fidget spinners rojos, tres llaveros rojos y dos tazas magenta. Si quito todos los objetos rojos del escritorio, ¿cuántas tazas quedan encima?
Opciones:
(A) cero
(Hueso
(C) dos
(D) tres
(E) cuatro
(F) cinco
(G) seis
(H) siete
(yo) ocho
(J) nueve
(K) diez
(L) once
(M) doce
(N) trece
(O) catorce
(P) quince
(Q) dieciséis",(D)
