aporte,objetivo
"¿Es verosímil la siguiente frase? ""Elias Lindholm tocó el timbre"".",no
"¿Es verosímil la siguiente frase? ""John Carlson anotó en el tercer tiempo"".",Sí
"¿Es verosímil la siguiente frase? ""Marcelo llegó al final de un pase en profundidad"".",Sí
"¿Es verosímil la siguiente frase? ""Deshaun Watson fue convocado para la portería en las Finales de la Conferencia Este"".",no
"¿Es verosímil la siguiente frase? ""Mookie Betts patinó detrás de la red"".",no
"¿Es verosímil la siguiente frase? ""John Tavares se ganó un viaje al área de penaltis en la Copa Stanley.""",Sí
"¿Es verosímil la siguiente frase? ""David Silva hizo un saque de banda"".",Sí
"¿Es verosímil la siguiente frase? ""Bryce Harper se desvaneció el hombro hacia atrás"".",no
"¿Es verosímil la siguiente frase? ""Carles Puyol le hizo un maradona al defensa.""",Sí
"¿Es verosímil la siguiente frase? ""Robin Lehner lanzó el impulso de desesperación"".",no
"¿Es verosímil la siguiente frase? ""Carson Wentz se lanzó al hielo"".",no
"¿Es verosímil la siguiente frase? ""Kwadwo Asamoah fue sancionado en la jugada"".",no
"¿Es verosímil la siguiente frase? ""Jack Flaherty caminó hasta la primera base en la Serie de Campeonato de la Liga Nacional"".",Sí
"¿Es verosímil la siguiente frase? ""Jayson Tatum le disparó al defensor"".",no
"¿Es verosímil la siguiente frase? ""Dougie Hamilton tocó el timbre"".",no
"¿Es verosímil la siguiente frase? ""Frederik Andersen cruzó la línea azul en la Copa Stanley.""",Sí
"¿Es verosímil la siguiente frase? ""Freddie Freeman vio pasar el lanzamiento"".",Sí
"¿Es verosímil la siguiente frase? ""Adam Thielen marcó en el tiempo añadido"".",no
"¿Es verosímil la siguiente frase? ""Tom Brady convirtió el primer intento"".",Sí
"¿Es verosímil la siguiente frase? ""Giorgio Chiellini cometió una mano en la Copa FA"".",Sí
"¿Es verosímil la siguiente frase? ""Tyreek Hill atrapó el pase de pantalla"".",Sí
"¿Es verosímil la siguiente frase? ""Frederik Andersen sacó un tres"".",no
"¿Es verosímil la siguiente frase? ""Adam Thielen se embasó"".",no
"¿Es verosímil la siguiente frase? ""Gerard Piqué marcó un tiro de esquina"".",Sí
"¿Es verosímil la siguiente frase? ""Kailer Yamamoto realizó una entrada deslizante en la Copa de Europa.""",no
"¿Es verosímil la siguiente frase? ""Corbin Burnes se ganó una patada indirecta"".",no
"¿Es verosímil la siguiente frase? ""LaMelo Ball lanzó el tiro de media cancha en las Finales de la Conferencia Oeste.""",Sí
"¿Es verosímil la siguiente frase? ""Jonas Valanciunas tocó el timbre.""",Sí
"¿Es verosímil la siguiente frase? ""Zach LaVine disparó el disco"".",no
"¿Es verosímil la siguiente frase? ""Nazem Kadri tomó la delantera en el Campeonato de la NBA"".",no
"¿Es verosímil la siguiente frase? ""Delon Wright lo intentó en cuarta oportunidad"".",no
"¿Es verosímil la siguiente frase? ""Malcolm Brogdon acertó el tiro"".",Sí
"¿Es verosímil la siguiente frase? ""Michael Conforto cometió una infracción de tres segundos"".",no
"¿Es verosímil la siguiente frase? ""Jakub Vrana conectó un jonrón de despedida"".",no
"¿Es verosímil la siguiente frase? ""Tom Wilson anotó un penal"".",no
"¿Es verosímil la siguiente frase? ""Aleksander Barkov pasó el disco"".",Sí
"¿Es verosímil la siguiente frase? ""Malik Beasley cometió una infracción de tres segundos"".",Sí
"¿Es verosímil la siguiente frase? ""Draymond Green lanzó un touchdown"".",no
"¿Es verosímil la siguiente frase? ""T.Y. Hilton lanzó un touchdown en la ronda divisional de la AFC"".",Sí
"¿Es verosímil la siguiente frase? ""Robert Woods convirtió el primer intento"".",Sí
"¿Es verosímil la siguiente frase? ""Julian Edelman perdió el balón"".",Sí
"¿Es verosímil la siguiente frase? ""Neymar disparó de revés en la Copa Stanley"".",no
"¿Es verosímil la siguiente frase? ""Jonathan Marchessault anotó en el juego de poder en la Copa Stanley"".",Sí
"¿Es verosímil la siguiente frase? ""Fred VanVleet marcó un tiro libre en la final de la Liga de Campeones"".",no
"¿Es verosímil la siguiente frase? ""Santi Cazorla pidió la pantalla"".",no
"¿Es verosímil la siguiente frase? ""Edinson Cavani atrapó el pase de pantalla"".",no
"¿Es verosímil la siguiente frase? ""DJ Chark captó el desvanecimiento del hombro trasero en la ronda divisional de la NFC"".",Sí
"¿Es verosímil la siguiente frase? ""Petr Cech bloqueó el triple.""",no
"¿Es verosímil la siguiente frase? ""Michael Porter Jr. pidió la pantalla"".",Sí
"¿Es verosímil la siguiente frase? ""Robert Lewandowski lanzó un touchdown"".",no
"¿Es verosímil la siguiente frase? ""Philip Rivers lanzó un Ave María"".",Sí
"¿Es verosímil la siguiente frase? ""Drew Brees lo intentó en cuarta oportunidad"".",Sí
"¿Es verosímil la siguiente frase? ""Kevin Durant conectó un jonrón de despedida"".",no
"¿Es verosímil la siguiente frase? ""Santi Cazorla se sacó la tarjeta roja en la final de la Champions.""",Sí
"¿Es verosímil la siguiente frase? ""Ryan Tannehill anotó un triple"".",no
"¿Es verosímil la siguiente frase? ""Gleyber Torres consiguió un hit"".",Sí
"¿Es verosímil la siguiente frase? ""Kawhi Leonard hizo un tiro en salto"".",Sí
"¿Es verosímil la siguiente frase? ""Brandin Cooks lo intentó en cuarta oportunidad"".",Sí
"¿Es verosímil la siguiente frase? ""Clint Capela entró en la zona de anotación"".",no
"¿Es verosímil la siguiente frase? ""Javier Zanetti vio pasar la cancha en la Serie de Campeonato de la Liga Nacional.""",no
"¿Es verosímil la siguiente frase? ""Wayne Rooney lanzó un touchdown en la Superbowl"".",no
"¿Es verosímil la siguiente frase? ""Tyler Boyd acertó el pase pantalla en la ronda divisional de la NFC"".",Sí
"¿Es verosímil la siguiente frase? ""Marouane Fellaini marcó en la prórroga.""",Sí
"¿Es verosímil la siguiente frase? ""Joao Moutinho quedó eliminado en tercera"".",no
"¿Es verosímil la siguiente frase? ""Vincent Kompany cometió una infracción de tres segundos"".",no
"¿Es verosímil la siguiente frase? ""Tuukka Rask acabó con el juego de poder"".",Sí
"¿Es verosímil la siguiente frase? ""Juan Soto disparó desde más allá del arco.""",no
"¿Es verosímil la siguiente frase? ""Jordan Binnington anotó en el tercer tiempo"".",Sí
"¿Es verosímil la siguiente frase? ""Malcolm Brogdon entró en el área restringida en las Finales de la Conferencia Este"".",Sí
"¿Es verosímil la siguiente frase? ""Didier Drogba entró en la zona de anotación"".",no
"¿Es verosímil la siguiente frase? ""Mike Hoffman lanzó el tiro de media cancha en las Finales de la Conferencia Oeste.""",no
"¿Es verosímil la siguiente frase? ""Pedro se ponchó al costado"".",no
"¿Es verosímil la siguiente frase? ""Fernando Tatis Jr. se ganó una tarjeta roja"".",no
"¿Es verosímil la siguiente frase? ""Evander Kane realizó el pase inclinado en la ronda divisional de la AFC"".",no
"¿Es verosímil la siguiente frase? ""Igor Shesterkin lanzó un Ave María"".",no
"¿Es verosímil la siguiente frase? ""Gerrit Cole cometió una mano en la Copa de Europa.""",no
"¿Es verosímil la siguiente frase? ""Philip Rivers entró en el área restringida"".",no
"¿Es verosímil la siguiente frase? ""Norman Powell cometió una falta de bloqueo"".",Sí
"¿Es verosímil la siguiente frase? ""Nazem Kadri estaba en casa.""",no
"¿Es verosímil la siguiente frase? ""Sterling Shepard convirtió el primer intento"".",Sí
"¿Es verosímil la siguiente frase? ""Mario Gómez anotó una bandeja inversa"".",no
"¿Es verosímil la siguiente frase? ""Andrés Iniesta realizó un toma y daca"".",Sí
"¿Es verosímil la siguiente frase? ""Drew Brees fue castigado en la jugada"".",Sí
"¿Es verosímil la siguiente frase? ""Ramires marcó un gol de cabeza"".",Sí
"¿Es verosímil la siguiente frase? ""Luis Robert quedó eliminado en segunda"".",Sí
"¿Es verosímil la siguiente frase? ""Matthew Stafford lanzó un Ave María"".",Sí
"¿Es verosímil la siguiente frase? ""T.Y. Hilton dibujó una bandera en la obra"".",Sí
"¿Es verosímil la siguiente frase? ""Courtland Sutton anotó un triple"".",no
"¿Es verosímil la siguiente frase? ""Mark Stone pasó tiempo en el área de penalti en la Copa Stanley"".",Sí
"¿Es verosímil la siguiente frase? ""Dejounte Murray dio un paso lateral tres"".",Sí
"¿Es verosímil la siguiente frase? ""Mike Trout eurose acercó a la canasta"".",no
"¿Es verosímil la siguiente frase? ""Josh Allen acertó el pase de pantalla"".",Sí
"¿Es verosímil la siguiente frase? ""Yaya Touré marcó un tiro libre"".",Sí
"¿Es verosímil la siguiente frase? ""Sean Couturier maradona al defensor"".",no
"¿Es verosímil la siguiente frase? ""Mitchell Marner le disparó al defensor"".",no
"¿Es verosímil la siguiente frase? ""Calvin Ridley patinó detrás de la red"".",no
"¿Es verosímil la siguiente frase? ""Walker Buehler se ganó el pase al área de penalti.""",no
"¿Es verosímil la siguiente frase? ""Carlos Tevez patinó hacia atrás.""",no
"¿Es verosímil la siguiente frase? ""Ben Simmons fue llamado para la portería"".",Sí
"¿Es verosímil la siguiente frase? ""Marvin Jones perdió el control del disco"".",no
"¿Es verosímil la siguiente frase? ""Brad Hand tomó la ruta del volante"".",no
"¿Es verosímil la siguiente frase? ""Aleksander Barkov bloqueó el triple.""",no
"¿Es verosímil la siguiente frase? ""Josh Allen atrapó el pase de pantalla"".",Sí
"¿Es verosímil la siguiente frase? ""Connor McDavid lanzó un touchdown en la ronda divisional de la NFC"".",no
"¿Es verosímil la siguiente frase? ""Amari Cooper marcó un penal"".",no
"¿Es verosímil la siguiente frase? ""Mario Balotelli disparó con la zurda en la final de la Liga de Campeones.""",Sí
"¿Es verosímil la siguiente frase? ""Willian acabó con el juego de poder"".",no
"¿Es verosímil la siguiente frase? ""Kendrick Nunn se hizo cargo"".",Sí
"¿Es verosímil la siguiente frase? ""Cooper Kupp marcó en el tercer tiempo de la Copa Stanley.""",no
"¿Es verosímil la siguiente frase? ""Sean Couturier pasó el disco en la Copa Stanley"".",Sí
"¿Es verosímil la siguiente frase? ""Sterling Shepard conectó un jonrón de despedida"".",no
¿Es verosímil la siguiente frase? “A Jesús Luzardo lo llamaron a acuchillar”.,no
"¿Es verosímil la siguiente frase? ""Keenan Allen dibujó una bandera en la jugada del campeonato de la NFC"".",Sí
"¿Es verosímil la siguiente frase? ""Jamal Murray recibió base por bolas con la cuarta bola"".",no
"¿Es verosímil la siguiente frase? ""Toni Kroos hizo un toma y daca"".",Sí
"¿Es verosímil la siguiente frase? ""Mitchell Trubisky atrapó el pase de pantalla"".",Sí
"¿Es verosímil la siguiente frase? ""Sergio Busquets se embasó"".",no
"¿Es verosímil la siguiente frase? ""Domantas Sabonis ganó cinco yardas en el campeonato de la AFC.""",no
"¿Es verosímil la siguiente frase? ""De'Aaron Fox anotó una patada de bicicleta"".",no
"¿Es verosímil la siguiente frase? ""James Harden disparó desde fuera del dieciocho"".",no
"¿Es verosímil la siguiente frase? ""Patrick Kane dio un revés en la Copa Stanley"".",Sí
"¿Es verosímil la siguiente frase? ""Malcolm Brogdon subió a la canasta en el Campeonato de la NBA"".",Sí
"¿Es verosímil la siguiente frase? ""James Karinchak cruzó la línea azul"".",no
"¿Es verosímil la siguiente frase? ""Joe Burrow ganó cinco yardas"".",Sí
"¿Es verosímil la siguiente frase? ""Steven Stamkos hizo un pase inclinado"".",no
"¿Es verosímil la siguiente frase? ""John Carlson entró en la zona de ataque en la Copa Stanley"".",Sí
"¿Es verosímil la siguiente frase? ""Patrice Bergeron convirtió el primer intento"".",no
"¿Es verosímil la siguiente frase? ""Luke Voit estaba fuera al principio"".",Sí
"¿Es verosímil la siguiente frase? ""Timo Meier le disparó al defensa en la Copa FA.""",no
"¿Es verosímil la siguiente frase? ""Max Scherzer estaba a salvo al principio.""",Sí
"¿Es verosímil la siguiente frase? ""Eden Hazard tocó el timbre"".",no
"¿Es verosímil la siguiente frase? ""Neal Pionk disparó desde la línea de seis yardas"".",no
"¿Es verosímil la siguiente frase? ""Nick Castellanos tomó la ruta del volante"".",no
"¿Es verosímil la siguiente frase? ""Tom Brady estaba a salvo al principio"".",no
"¿Es verosímil la siguiente frase? ""Sergio Ramos no pegó más que a la red"".",no
"¿Es verosímil la siguiente frase? ""Khyri Thomas cambió de dirección en el backfield en el campeonato de la NFC"".",no
"¿Es verosímil la siguiente frase? ""Leon Draisaitl roleteó a segunda base en la Serie de Campeonato de la Liga Nacional.""",no
"¿Es verosímil la siguiente frase? ""Bastian Schweinsteiger marcó en el tiempo añadido.""",Sí
"¿Es verosímil la siguiente frase? ""Aaron Nola convirtió el primer intento"".",no
"¿Es verosímil la siguiente frase? ""Ketel Marte entró en la zona de anotación"".",no
"¿Es verosímil la siguiente frase? ""Travis Konecny ​​le hizo un maradona al defensor"".",no
"¿Es verosímil la siguiente frase? ""Pierre-Luc Dubois patinó hacia atrás"".",Sí
"¿Es verosímil la siguiente frase? ""Ryan O'Reilly disparó un tiro"".",Sí
"¿Es verosímil la siguiente frase? ""Miro Heiskanen se ganó el pase al área de penalti.""",Sí
"¿Es verosímil la siguiente frase? ""Ángel Di María marcó en la prórroga"".",Sí
"¿Es verosímil la siguiente frase? ""Sam Darnold anotó en el juego de poder en la Copa Stanley"".",no
"¿Es verosímil la siguiente frase? ""Gleyber Torres anotó un tiro de bicicleta"".",no
"¿Es verosímil la siguiente frase? ""Tyler Glasnow anotó un penal"".",no
"¿Es verosímil la siguiente frase? ""DeVante Parker fue llamado por glaseado"".",no
"¿Es verosímil la siguiente frase? ""Jayson Tatum fue llamado para la portería"".",Sí
"¿Es verosímil la siguiente frase? ""Carson Wentz atrapó el pase de pantalla"".",Sí
"¿Es verosímil la siguiente frase? ""Bryce Harper perdió el balón"".",no
"¿Es verosímil la siguiente frase? ""Keenan Allen tocó el timbre en las Finales de la Conferencia Oeste"".",no
"¿Es verosímil la siguiente frase? ""Marcell Ozuna anotó un touchdown.""",no
"¿Es verosímil la siguiente frase? ""Brandon Woodruff puso la pantalla dura en las Finales de la Conferencia Este"".",no
"¿Es verosímil la siguiente frase? ""Jonas Valanciunas tocó el timbre.""",Sí
"¿Es verosímil la siguiente frase? ""Nerlens Noël estaba en casa.""",no
"¿Es verosímil la siguiente frase? ""Paulinho se ganó un tiro indirecto en la Copa FA.""",Sí
"¿Es verosímil la siguiente frase? ""Klaas Jan Huntelaar disparó el disco"".",no
"¿Es verosímil la siguiente frase? ""David Pastrnak patinó hacia atrás"".",Sí
"¿Es verosímil la siguiente frase? ""Joe Burrow captó el desvanecimiento del hombro trasero en la Superbowl"".",Sí
"¿Es verosímil la siguiente frase? ""Sergio Agüero maradona fue el defensor"".",Sí
"¿Es verosímil la siguiente frase? ""Gerrit Cole puso la pantalla dura"".",no
"¿Es verosímil la siguiente frase? ""CJ McCollum disparó desde la yarda seis"".",no
