输入,目标
下面这句话可信吗？ “埃利亚斯·林德霍尔姆击中了压哨球。”,no
下面这句话可信吗？ “约翰·卡尔森在第三节进球了。”,yes
下面这句话可信吗？ “马塞洛接到直塞球。”,yes
下面这句话可信吗？ “德肖恩·沃森在东部决赛中被要求负责进球。”,no
下面这句话可信吗？ “穆基·贝茨在网后滑行。”,no
下面这句话可信吗？ “约翰·塔瓦雷斯在斯坦利杯中赢得了进入禁区的机会。”,yes
下面这句话可信吗？ “大卫·席尔瓦掷球入界。”,yes
下面这句话可信吗？ “布莱斯·哈珀击中了后肩小右曲球。”,no
下面这句话可信吗？ “卡尔斯·普约尔对后卫做了马拉多纳式的攻击。”,yes
下面这句话可信吗？ “罗宾·雷纳发起了绝望的行动。”,no
下面这句话可信吗？ “卡森·华兹开始滑冰。”,no
下面这句话可信吗？ “夸德沃·阿萨莫阿在这场比赛中受到了标记。”,no
下面这句话可信吗？ “杰克·弗莱厄蒂在全国联盟冠军系列赛中走上一垒。”,yes
下面这句话可信吗？ “杰森·塔图姆用肉豆蔻攻击了防守者。”,no
下面这句话可信吗？ “道吉·汉密尔顿击中了压哨球。”,no
下面这句话可信吗？ “弗雷德里克·安德森在斯坦利杯上越过了蓝线。”,yes
下面这句话可信吗？ “弗雷迪·弗里曼看着球场经过。”,yes
下面这句话可信吗？ “亚当·蒂伦在补时阶段进球了。”,no
下面这句话可信吗？ “汤姆·布雷迪（Tom Brady）将第一球击倒。”,yes
下面这句话可信吗？ “乔治·基耶利尼在足总杯中犯了手球。”,yes
下面这句话可信吗？ “泰里克·希尔接住了掩护传球。”,yes
下面这句话可信吗？ “弗雷德里克·安德森拿了三分。”,no
下面这句话可信吗？ “亚当·蒂伦上垒了。”,no
下面这句话可信吗？ “杰拉德·皮克开出角球。”,yes
下面这句话可信吗？ “山本凯勒在欧洲杯上完成了一次滑铲。”,no
下面这句话可信吗？ “科尔宾·伯恩斯赢得了间接踢球。”,no
下面这句话可信吗？ “拉梅洛·鲍尔在西部决赛中投出了半场投篮。”,yes
下面这句话可信吗？ “乔纳斯·瓦兰丘纳斯压哨了。”,yes
下面这句话可信吗？ “扎克·拉文射门了冰球。”,no
下面这句话可信吗？ “纳泽姆·卡德里 (Nazem Kadri) 执掌 NBA 总冠军。”,no
下面这句话可信吗？ “德隆赖特在第四次进攻中奋力争取。”,no
下面这句话可信吗？ “马尔科姆·布罗格登将球投进了球门。”,yes
下面这句话可信吗？ “迈克尔·康福尔托犯下了三秒违例。”,no
下面这句话可信吗？ “雅库布·弗拉纳击出了一记离场本垒打。”,no
下面这句话可信吗？ “汤姆·威尔逊罚进了点球。”,no
下面这句话可信吗？ “亚历山大·巴科夫传球了。”,yes
下面这句话可信吗？ “马利克·比斯利犯了三秒违例。”,yes
下面这句话可信吗？ “德雷蒙德·格林触地得分。”,no
下面这句话可信吗？ “T.Y. 希尔顿在亚足联分区赛中触地得分。”,yes
下面这句话可信吗？ “罗伯特·伍兹将第一个球打下来。”,yes
下面这句话可信吗？ “朱利安·埃德尔曼掉球了。”,yes
下面这句话可信吗？ “内马尔在斯坦利杯上反手击球。”,no
下面这句话可信吗？ “乔纳森·马歇索在斯坦利杯的强力比赛中得分。”,yes
下面这句话可信吗？ “弗雷德·范弗利特在欧冠决赛中攻入任意球。”,no
下面这句话可信吗？ “桑蒂·卡索拉喊出了屏幕。”,no
下面这句话可信吗？ “爱丁森·卡瓦尼接住了掩护传球。”,no
下面这句话可信吗？ “DJ Chark 在 NFC 分区赛中遭遇了后肩右倾。”,yes
下面这句话可信吗？ “切赫投进了三分球。”,no
下面这句话可信吗？ “小迈克尔·波特呼叫屏幕。”,yes
下面这句话可信吗？ “罗伯特·莱万多夫斯基触地得分。”,no
下面这句话可信吗？ “菲利普·里弗斯发起了冰雹玛丽。”,yes
下面这句话可信吗？ “德鲁·布里斯在第四次进攻中奋力争取。”,yes
下面这句话可信吗？ “凯文·杜兰特打出了一个离场本垒打。”,no
下面这句话可信吗？ “桑蒂·卡索拉在欧冠决赛中吃到了红牌。”,yes
下面这句话可信吗？ “瑞恩·坦尼希尔击中三垒安打。”,no
下面这句话可信吗？ “格莱伯·托雷斯安打安打。”,yes
下面这句话可信吗？ “科怀·伦纳德完成转身跳投。”,yes
下面这句话可信吗？ “布兰丁·库克斯在第四次进攻中获胜。”,yes
下面这句话可信吗？ “克林特·卡佩拉进入了达阵区。”,no
下面这句话可信吗？ “哈维尔·萨内蒂在国家联盟冠军系列赛中观看了球场的情况。”,no
下面这句话可信吗？ “韦恩·鲁尼在超级碗中触地得分。”,no
下面这句话可信吗？ “泰勒·博伊德在 NFC 分区赛中完成了掩护传球。”,yes
下面这句话可信吗？ “马鲁万·费莱尼在加时赛中进球。”,yes
下面这句话可信吗？ “若昂·穆蒂尼奥排名第三。”,no
下面这句话可信吗？ “文森特·孔帕尼犯下了三秒违例。”,no
下面这句话可信吗？ “图卡·拉斯克杀死了强力游戏。”,yes
下面这句话可信吗？ “胡安·索托在三分线外投篮。”,no
下面这句话可信吗？ “乔丹·宾宁顿在第三节得分。”,yes
下面这句话可信吗？ “东部决赛中马尔科姆·布罗格登冲入禁区。”,yes
下面这句话可信吗？ “迪丽热巴进入达阵区。”,no
下面这句话可信吗？ “迈克·霍夫曼在西部决赛中投出了半场投篮。”,no
下面这句话可信吗？ “佩德罗从边线出击。”,no
下面这句话可信吗？ “小费尔南多·塔蒂斯吃到了一张红牌。”,no
下面这句话可信吗？ “埃万德·凯恩在亚足联分区赛中打出了斜传。”,no
下面这句话可信吗？ “伊戈尔·谢斯特金发起了冰雹玛丽。”,no
下面这句话可信吗？ “格里特·科尔在欧洲杯上犯了手球。”,no
下面这句话可信吗？ “菲利普·里弗斯开车驶入禁区。”,no
下面这句话可信吗？ “诺曼·鲍威尔犯了阻挡犯规。”,yes
下面这句话可信吗？ “纳齐姆·卡德里外出在家。”,no
下面这句话可信吗？ “斯特林·谢泼德（Sterling Shepard）将第一个击倒。”,yes
下面这句话可信吗？ “马里奥·戈麦斯反向上篮得分。”,no
下面这句话可信吗？ “安德烈斯·伊涅斯塔完成了一次让步。”,yes
下面这句话可信吗？ “德鲁·布里斯在这场比赛中受到了标记。”,yes
下面这句话可信吗？ “拉米雷斯头球破门。”,yes
下面这句话可信吗？ “路易斯·罗伯特排名第二。”,yes
下面这句话可信吗？ “马修斯塔福德发起了冰雹玛丽。”,yes
下面这句话可信吗？ “T.Y. 希尔顿在这部戏上画了一面旗帜。”,yes
下面这句话可信吗？ “考特兰·萨顿击中三垒安打。”,no
下面这句话可信吗？ “马克·斯通在斯坦利杯的禁区内度过了一段时光。”,yes
下面这句话可信吗？ “德章泰·穆雷闪避三分。”,yes
下面这句话可信吗？ “迈克·特劳特欧洲步上篮。”,no
下面这句话可信吗？ “约什·艾伦进行掩护传球。”,yes
下面这句话可信吗？ “亚亚·图雷打进任意球。”,yes
下面这句话可信吗？ “肖恩·库图里尔·马拉多纳击倒了后卫。”,no
下面这句话可信吗？ “米切尔·马纳用肉豆蔻攻击了防守者。”,no
下面这句话可信吗？ “卡尔文·里德利在网后滑行。”,no
下面这句话可信吗？ “沃克·布勒赢得了一次进入禁区的机会。”,no
下面这句话可信吗？ “卡洛斯·特维斯向后滑行。”,no
下面这句话可信吗？ “本·西蒙斯被叫去守门。”,yes
下面这句话可信吗？ “马文·琼斯失去了对冰球的控制。”,no
下面这句话可信吗？ “布拉德·汉德开始了车轮路线。”,no
下面这句话可信吗？ “亚历山大·巴科夫投进了三分球。”,no
下面这句话可信吗？ “乔什·艾伦接住了掩护传球。”,yes
下面这句话可信吗？ “康纳·麦克戴维在 NFC 分区赛中触地得分。”,no
下面这句话可信吗？ “阿马里·库珀罚进了点球。”,no
下面这句话可信吗？ “马里奥·巴洛特利在欧冠决赛中左脚射门。”,yes
下面这句话可信吗？ “威廉杀死了权力游戏。”,no
下面这句话可信吗？ “肯德里克·纳恩承担了责任。”,yes
下面这句话可信吗？ “库珀·库普在斯坦利杯第三节进球。”,no
下面这句话可信吗？ “肖恩·库图里尔在斯坦利杯上传球。”,yes
下面这句话可信吗？ “斯特林·谢泼德打出了一记离场本垒打。”,no
下面这句话可信吗？ “耶稣卢扎多被传唤砍伤。”,no
下面这句话可信吗？ “基南·艾伦在 NFC 锦标赛的比赛中画了一面旗帜。”,yes
下面这句话可信吗？ “贾马尔·穆雷在第四球上走了。”,no
下面这句话可信吗？ “托尼·克罗斯进行了一次让步。”,yes
下面这句话可信吗？ “米切尔·特鲁比斯基接住了掩护传球。”,yes
下面这句话可信吗？ “塞尔吉奥·布斯克茨上垒了。”,no
下面这句话可信吗？ “多曼塔斯·萨博尼斯在亚冠联赛中推进了 5 码。”,no
下面这句话可信吗？ “达伦·福克斯踢出了一脚自行车球。”,no
下面这句话可信吗？ “詹姆斯·哈登在 18 号洞外投篮。”,no
下面这句话可信吗？ “帕特里克·凯恩在斯坦利杯上反手击球。”,yes
下面这句话可信吗？ “马尔科姆·布罗格登在 NBA 锦标赛中用欧洲步上篮。”,yes
下面这句话可信吗？ “詹姆斯·卡林查克越过了蓝线。”,no
下面这句话可信吗？ “乔·伯罗前进了五码。”,yes
下面这句话可信吗？ “史蒂文·斯塔姆科斯斜传球。”,no
下面这句话可信吗？ “约翰·卡尔森在斯坦利杯上进入了进攻区。”,yes
下面这句话可信吗？ “帕特里斯·伯杰龙（Patrice Bergeron）将第一个击倒。”,no
下面这句话可信吗？ “卢克·沃伊特一开始就缺席了。”,yes
下面这句话可信吗？ “蒂莫·迈尔在足总杯上用肉豆蔻攻击了这名后卫。”,no
下面这句话可信吗？ “马克斯·谢尔泽一开始是安全的。”,yes
下面这句话可信吗？ “伊登·阿扎尔击中了压哨球。”,no
下面这句话可信吗？ “尼尔·皮昂克从六码线投篮。”,no
下面这句话可信吗？ “尼克·卡斯特拉诺斯（Nick Castellanos）踏上了车轮路线。”,no
下面这句话可信吗？ “汤姆·布雷迪一开始是安全的。”,no
下面这句话可信吗？ “塞尔吉奥·拉莫斯只击中了网。”,no
下面这句话可信吗？ “凯里·托马斯在 NFC 锦标赛中改变了后场的方向。”,no
下面这句话可信吗？ “莱昂·德莱赛特尔在国家联盟冠军系列赛中二垒滚地球。”,no
下面这句话可信吗？ “巴斯蒂安·施魏因斯泰格在补时阶段进球了。”,yes
下面这句话可信吗？ “亚伦·诺拉（Aaron Nola）将第一球击倒。”,no
下面这句话可信吗？ “科特尔·马尔特进入了达阵区。”,no
下面这句话可信吗？ “特拉维斯·科尼尼对后卫做了马拉多纳式的攻击。”,no
下面这句话可信吗？ “皮埃尔-吕克·杜波依斯向后滑行。”,yes
下面这句话可信吗？ “瑞安·奥莱利手腕投篮。”,yes
下面这句话可信吗？ “米罗·海斯卡宁赢得了一次进入禁区的机会。”,yes
下面这句话可信吗？ “安吉尔·迪马利亚在加时赛进球了。”,yes
下面这句话可信吗？ “萨姆·达诺德在斯坦利杯的强力比赛中得分。”,no
下面这句话可信吗？ “格莱伯·托雷斯踢出了自行车踢球。”,no
下面这句话可信吗？ “泰勒·格​​拉斯诺罚进了点球。”,no
下面这句话可信吗？ “德万特·帕克被要求上场。”,no
下面这句话可信吗？ “杰森·塔图姆被要求负责进球。”,yes
下面这句话可信吗？ “卡森·温茨接住了掩护传球。”,yes
下面这句话可信吗？ “布莱斯·哈珀掉球了。”,no
下面这句话可信吗？ “基南·艾伦在西部决赛中压哨绝杀。”,no
下面这句话可信吗？ “马塞尔·奥祖纳达阵得分。”,no
下面这句话可信吗？ “布兰登·伍德拉夫在东部决赛中设置了硬屏。”,no
下面这句话可信吗？ “乔纳斯·瓦兰丘纳斯压哨了。”,yes
下面这句话可信吗？ “纳伦斯·诺埃尔外出在家。”,no
下面这句话可信吗？ “保利尼奥在足总杯中赢得了间接踢球。”,yes
下面这句话可信吗？ “克拉斯·扬·亨特拉尔射门。”,no
下面这句话可信吗？ “大卫·帕斯特纳克向后滑行。”,yes
下面这句话可信吗？ “乔·布罗在超级碗比赛中遭遇了后肩右曲球。”,yes
下面这句话可信吗？ “塞尔吉奥·阿奎罗·马拉多纳击倒了后卫。”,yes
下面这句话可信吗？ “格里特·科尔设置了硬屏。”,no
下面这句话可信吗？ “CJ 麦科勒姆从六码线投篮。”,no
下面这句话可信吗？ “凯尔·塔克左脚射门。”,no
下面这句话可信吗？ “雅库布·弗拉纳向后滑行。”,yes
下面这句话可信吗？ “德肖恩·沃森在这场比赛中受到了标记。”,yes
下面这句话可信吗？ “泰勒·格​​拉斯诺看着球场经过。”,yes
下面这句话可信吗？ “胡安·索托拿下第四球。”,yes
下面这句话可信吗？ “安东尼·戴维斯压哨了。”,yes
下面这句话可信吗？ “卡里斯·勒韦尔反向上篮得分。”,yes
下面这句话可信吗？ “安德烈·斯维奇尼科夫拿下了第四球。”,no
下面这句话可信吗？ “特雷杨进入了达阵区。”,no
下面这句话可信吗？ “内森·麦金农在东部决赛中投进了三分球。”,no
下面这句话可信吗？ “A.J.格林在第三节得分。”,no
下面这句话可信吗？ “埃利亚斯·林德霍尔姆拍下了这张照片。”,no
下面这句话可信吗？ “弗雷德·范弗利特传球了。”,no
下面这句话可信吗？ “弗雷德里克·安德森（Frederik Andersen）将第一个向下转换。”,no
下面这句话可信吗？ “哈维尔·马斯切拉诺左脚射门。”,yes
下面这句话可信吗？ “迈克·特劳特击出了一记离场本垒打。”,yes
下面这句话可信吗？ “皮特·阿隆索在世界职业棒球大赛中打出了三垒安打。”,yes
下面这句话可信吗？ “安东尼·里佐在斯坦利杯上向后滑行。”,no
下面这句话可信吗？ “弗朗西斯科·林多在第四球上行走。”,yes
下面这句话可信吗？ “克拉斯·扬·亨特拉尔轻松上篮得分。”,no
下面这句话可信吗？ “史蒂芬·迪格斯斜传球。”,yes
下面这句话可信吗？ “迭戈·弗兰对后卫做了马拉多纳式的攻击。”,yes
下面这句话可信吗？ “乔治·斯普林格犯了阻挡犯规。”,no
下面这句话可信吗？ “阿尔扬·罗本在斯坦利杯上越过了蓝线。”,no
下面这句话可信吗？ “米切尔·罗宾逊空投了这一球。”,yes
下面这句话可信吗？ “加布里埃尔·兰德斯科格发起了绝望的行动。”,no
下面这句话可信吗？ “文森特·孔帕尼踢了一个自行车球。”,yes
下面这句话可信吗？ “马修·巴尔扎尔呼叫屏幕。”,no
下面这句话可信吗？ “山本凯勒遭遇了后肩褪色。”,no
下面这句话可信吗？ “帕特里斯·伯杰龙反手击球。”,yes
下面这句话可信吗？ “科林·塞克斯顿击中了压哨球。”,yes
下面这句话可信吗？ “斯蒂芬·埃尔·沙拉维用左脚射门。”,yes
下面这句话可信吗？ “尼克·福尔斯失去了对冰球的控制。”,no
下面这句话可信吗？ “瑞安·纽金特-霍普金斯杀死了强力游戏。”,yes
下面这句话可信吗？ “凯尔·康纳在西部决赛中用欧洲步上篮。”,no
下面这句话可信吗？ “卢卡·莫德里奇在足总杯上表现出色。”,yes
下面这句话可信吗？ “丹尼·阿尔维斯拍下了这张照片。”,no
下面这句话可信吗？ “拉塞尔·威斯布鲁克在强力进攻中得分。”,no
下面这句话可信吗？ “马克·斯通命中三垒安打。”,no
下面这句话可信吗？ “特沃·特拉瓦宁射门。”,yes
下面这句话可信吗？ “约翰·布朗在 NFC 锦标赛中第四次落后时奋力拼搏。”,yes
下面这句话可信吗？ “夸德沃·阿萨莫阿在东部决赛中打破了进攻时间。”,no
下面这句话可信吗？ “凯尔·塔克踏上一垒。”,yes
下面这句话可信吗？ “在冠军联赛半决赛中，内马尔对后卫做出了马拉多纳式的动作。”,yes
下面这句话可信吗？ “穆基·贝茨（Mookie Betts）闪避三分。”,no
下面这句话可信吗？ “桑尼·格雷第二名出局。”,yes
下面这句话可信吗？ “胡安·索托做了一个双步跨步。”,no
下面这句话可信吗？ “胡安·马塔在欧冠决赛中踢进了自行车球。”,yes
下面这句话可信吗？ “迪伦·拉金（Dylan Larkin）在第四球上行走。”,no
下面这句话可信吗？ “布兰登·洛左脚射门。”,no
下面这句话可信吗？ “卡里斯·勒韦尔反向扣篮得分。”,yes
下面这句话可信吗？ “伊曼纽尔·桑德斯受到了打击。”,no
下面这句话可信吗？ “罗伯特·伍兹杀死了权力游戏。”,no
下面这句话可信吗？ “乔纳森·马歇索打了五个洞。”,yes
下面这句话可信吗？ “特里斯坦·贾里扣篮了。”,no
下面这句话可信吗？ “韦恩·鲁尼看着球场经过。”,no
下面这句话可信吗？ “迈克尔·托马斯拍下了这张照片。”,yes
下面这句话可信吗？ “德肖恩·沃森开出角球。”,no
下面这句话可信吗？ “穆基·贝茨在强力进攻中得分。”,no
下面这句话可信吗？ “图卡·拉斯克打出了二垒安打。”,no
下面这句话可信吗？ “托尼·克罗斯在欧冠半决赛中投进了一个球。”,yes
下面这句话可信吗？ “迈克·威廉姆斯在超级碗比赛中掉球了。”,yes
下面这句话可信吗？ “艾伦·罗宾逊推进了五码。”,yes
下面这句话可信吗？ “马里奥·戈麦斯反向上篮得分。”,no
下面这句话可信吗？ “胡安·马塔接住了掩护传球。”,no
下面这句话可信吗？ “贾米森·克劳德在比赛中画了一面旗帜。”,yes
下面这句话可信吗？ “迈克·威廉姆斯在足总杯中踢进了一个自行车球。”,no
下面这句话可信吗？ “切赫一开始是安全的。”,no
下面这句话可信吗？ “杰森·塔图姆在 NBA 锦标赛中完成了三分闪避。”,yes
下面这句话可信吗？ “托马斯·穆勒命中三垒安打。”,no
下面这句话可信吗？ “詹姆斯·卡林查克（James Karinchak）完成了完整的计数。”,yes
下面这句话可信吗？ “杰里·朱迪杀死了权力游戏。”,no
下面这句话可信吗？ “斯蒂芬·库里反向上篮得分。”,yes
下面这句话可信吗？ “米卡尔·布里奇斯完成了风车扣篮。”,yes
下面这句话可信吗？ “瑞恩·菲茨帕特里克达阵得分。”,yes
下面这句话可信吗？ “杰伦·布朗犯下了三秒违例。”,yes
下面这句话可信吗？ “前田健太接住了掩护传球。”,no
下面这句话可信吗？ “克里斯·戈德温在斯坦利杯上越过了蓝线。”,no
下面这句话可信吗？ “贾斯汀·赫伯特·马拉多纳击倒了后卫。”,no
下面这句话可信吗？ “布莱克·斯内尔打出一垒安打。”,yes
下面这句话可信吗？ “达柳斯·斯雷顿在亚足联锦标赛上跑出了界。”,yes
下面这句话可信吗？ “尼克拉斯·巴克斯特罗姆赢得了一次进入禁区的机会。”,yes
下面这句话可信吗？ “佩佩率先破门。”,no
下面这句话可信吗？ “前田健太在美国联盟冠军系列赛中投了一垒。”,yes
下面这句话可信吗？ “瑞恩·奥莱利 (Ryan O'Reilly) 踏上了车轮路线。”,no
下面这句话可信吗？ “马塞尔·奥祖纳（Marcell Ozuna）击出双打。”,yes
