aporte,objetivo
"Hoy Susan fue a la cafetería. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Susan se despertó a las 7 am.
Linda vio a Susan conduciendo hacia el parque acuático de 7 a. m. a 11 a. m.
John vio a Susan comprando ropa en el centro comercial de 11 a. m. a 12 p. m.
Jessica vio a Susan tomando fotos cerca de la Torre Eiffel de 12:00 a 13:00 horas.
Steven vio a Susan comprando el almuerzo en la tienda de delicatessen de 13:00 a 14:00 horas.
Thomas vio a Susan leyendo en la biblioteca de 2:00 p. m. a 6:00 p. m.
La cafetería cerró pasadas las nueve de la noche.
¿Entre qué horas pudo haber ido Susan a la cafetería?
Opciones:
(A) 18:00 a 21:00 horas
(D) 7 a.m. a 11 a.m.
(C) 13:00 a 14:00 horas
(D) 14:00 a 18:00 horas",(A)
"Hoy Emily fue al campo de fútbol. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Emily se despertó a las 10 a.m.
Linda vio a Emily esperando en la estación de tren de 10 a. m. a 12 p. m.
Ashley vio a Emily arreglando su computadora en la tienda de electrónica de 12:00 a 13:00 horas.
John vio a Emily caminando hacia la Estatua de la Libertad de 13:00 a 14:00 horas.
El campo de fútbol fue cerrado pasadas las 20:00 horas.
¿Entre qué horas podría haber ido Emily al campo de fútbol?
Opciones:
(A) 12:00 a 13:00 horas
(B) 10 a 12 horas
(C) 14:00 a 20:00 horas
(D) 13:00 a 14:00 horas",(C)
"Hoy Susan fue al restaurante. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Susan se despertó a las 11 de la mañana.
Lisa vio a Susan tomando fotografías cerca de la Torre Inclinada de Pisa de 11 a. m. a 1 p. m.
William vio a Susan comprando galletas en una panadería de 13:00 a 15:00 horas.
Jennifer vio a Susan trabajando en la oficina de 3 a 6 de la tarde.
Jason vio a Susan caminando hacia la Estatua de la Libertad de 6:00 p.m. a 7:00 p.m.
Ashley vio a Susan esperando en el aeropuerto de 7 p. m. a 9 p. m.
El restaurante estaba cerrado después de las 22:00 horas.
¿Entre qué horas pudo haber ido Susan al restaurante?
Opciones:
(A) 18:00 a 19:00 horas
(D) 21:00 a 22:00 horas
(C) 11:00 a 13:00 horas
(D) 19:00 a 21:00 horas",(B)
"Hoy James fue a la playa. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
James se despertó a las 5 a.m.
Sean vio a James caminando hacia la Estatua de la Libertad de 5 a. m. a 6 a. m.
Michael vio a James conduciendo hacia el parque acuático de 6 am a 7 am.
Anthony vio a James leyendo en la biblioteca de 7 am a 3 pm.
William vio a James tomando un café en la cafetería de 4 p. m. a 9 p. m.
La playa estaba cerrada después de las 21:00 horas.
¿Entre qué horas pudo haber ido James a la playa?
Opciones:
(A) 7 am a 3 pm
(B) 5 a. m. a 6 a. m.
(C) 16:00 a 21:00 horas
(D) 15:00 a 16:00 horas",(D)
"Hoy Jason fue al cine. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Jason se despertó a las 10 a.m.
Linda vio a Jason tomando un café en la cafetería de 10 a. m. a 3 p. m.
Jennifer vio a Jason caminando hacia la Estatua de la Libertad de 6 p. m. a 7 p. m.
Sean vio a Jason comprando un teléfono en la tienda de electrónica de 7 p. m. a 10 p. m.
El cine cerró después de las 10 de la noche.
¿Entre qué horarios podría haber ido Jason al cine?
Opciones:
(A) 15:00 a 18:00 horas
(D) 10 a. m. a 3 p. m.
(C) 19 a 22 horas
(D) 6:00 p. m. a 7:00 p. m.",(A)
"Hoy Elizabeth fue al parque de diversiones. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Isabel se despertó a las 6 de la mañana.
Sarah vio a Elizabeth tomando fotos cerca de la Torre Inclinada de Pisa de 8 a 9 de la mañana.
Jessica vio a Elizabeth haciendo ejercicio en el gimnasio de 9 a. m. a 3 p. m.
Betty vio a Elizabeth viendo una película en el cine de 3:00 p. m. a 7:00 p. m.
James vio a Elizabeth haciendo estiramientos en un estudio de yoga de 7 p. m. a 8 p. m.
El parque de atracciones cerró pasadas las 20:00 horas.
¿Entre qué horas pudo haber ido Elizabeth al parque de diversiones?
Opciones:
(A) 8 a.m. a 9 a.m.
(B) 6 am a 8 am
(C) 15:00 a 19:00 horas
(D) 19:00 a 20:00 horas",(B)
"Hoy Ashley fue a la librería. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Ashley se despertó a las 7 am.
Leslie vio a Ashley comprando una bicicleta en la tienda de bicicletas de 11 a. m. a 12 p. m.
Susan vio a Ashley haciendo ejercicio en el gimnasio de 12:00 a 16:00 horas.
Elizabeth vio a Ashley esperando en la estación de tren de 4 p. m. a 7 p. m.
Emily vio a Ashley tomando fotos cerca de la Torre Inclinada de Pisa de 7 p. m. a 9 p. m.
La librería cerró pasadas las nueve de la noche.
¿Entre qué horas podría haber ido Ashley a la librería?
Opciones:
(A) 19 a 21 horas
(B) 11 a 12 horas
(C) 12:00 a 16:00 horas
(D) 7 a. m. a 11 a. m.",(D)
"Hoy, Sarah fue al sitio de construcción. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Sara se despertó a las 6 de la mañana.
Nancy vio a Sarah arreglando su computadora en la tienda de electrónica de 8 am a 2 pm.
Betty vio a Sarah conduciendo hacia el parque acuático de 2:00 p. m. a 3:00 p. m.
Kimberly vio a Sarah comprando ropa en el centro comercial de 3 a 4 de la tarde.
Emily vio a Sarah comprando galletas en una panadería de 4 p. m. a 6 p. m.
David vio a Sarah asistiendo a clases en la escuela de 6:00 p. m. a 8:00 p. m.
La obra se cerró pasadas las 20:00 horas.
¿Entre qué horas pudo haber ido Sarah al sitio de construcción?
Opciones:
(A) 15:00 a 16:00 horas
(D) 14:00 a 15:00 horas
(C) 6 am a 8 am
(D) 8 am a 2 pm",(C)
"Hoy Leslie fue a la sala de la orquesta. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Leslie se despertó a las 7 am.
Richard vio a Leslie caminando por el jardín de 7 a. m. a 8 a. m.
Leslie vio a Leslie comprando galletas en una panadería de 8 a. m. a 9 a. m.
Jason vio a Leslie comprando una bicicleta en la tienda de bicicletas de 9 a. m. a 10 a. m.
Samantha vio a Leslie tomando fotos cerca de la Torre Eiffel de 10 a. m. a 3 p. m.
Linda vio a Leslie tomando fotos cerca de la Torre Inclinada de Pisa de 6:00 p. m. a 8:00 p. m.
La sala de orquesta cerró después de las 20.00 horas.
¿Entre qué horas podría haber ido Leslie a la sala de la orquesta?
Opciones:
(A) 15:00 a 18:00 horas
(B) 9 a.m. a 10 a.m.
(C) 7 am a 8 am
(D) 10 a.m. a 3 p.m.",(A)
"Hoy Sarah fue al estudio de arte. ¿Entre qué tiempos podrían haber pasado?
Lo sabemos:
Sara se despertó a las 9 de la mañana.
Richard vio a Sarah comprando una bicicleta en la tienda de bicicletas de 9 a. m. a 12 p. m.
Betty vio a Sarah esperando en la estación de tren de 12:00 a 13:00 horas.
Michael vio a Sarah comprando ropa en el centro comercial de 13:00 a 15:00 horas.
Jennifer vio a Sarah haciendo ejercicio en el gimnasio de 3 p. m. a 6 p. m.
Hannah vio a Sarah comprando un teléfono en la tienda de electrónica de 6:00 p. m. a 8:00 p. m.
El estudio de arte cerró después de las 22:00 horas.
¿Entre qué horas podría haber ido Sarah al estudio de arte?
Opciones:
(A) 9 a 12 horas
(D) 15:00 a 18:00 horas
(C) 12:00 a 13:00 horas
(D) 20:00 a 22:00 horas",(D)
