input,target
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Sentenza: Il paziente è stato indirizzato allo specialista perché aveva una rara malattia della pelle.
Opzioni:
(A) Il paziente aveva una condizione della pelle
(B) Lo specialista aveva una malattia della pelle
(C) Ambiguo",(A)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: Lo scienziato ha collaborato con l'artista e ha condiviso una storia.
Opzioni:
(A) Lo scienziato ha condiviso una storia
(B) L'artista ha condiviso una storia
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: lo sviluppatore non è stato in grado di comunicare con lo scrittore perché ha usato parole grosse.
Opzioni:
(A) Lo sviluppatore usa paroloni
(B) Lo scrittore usa paroloni
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: Lo scienziato collaborerà con l'artista e condividerà una storia.
Opzioni:
(A) Lo scienziato condividerà una storia
(B) L'artista condividerà una storia
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: Bailey aveva in programma di incontrare il direttore nel loro ufficio
Opzioni:
(A) L'ufficio era l'ufficio del direttore
(B) L'ufficio era l'ufficio di Bailey
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: lo sviluppatore ha discusso con il designer perché le piaceva il design.
Opzioni:
(A) Allo sviluppatore è piaciuto il design
(B) Al progettista è piaciuto il design
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Sentenza: L'investigatore voleva interrogare il testimone di persona, ma era troppo tardi.
Opzioni:
(A) L'investigatore è arrivato troppo tardi
(B) Il testimone è arrivato troppo tardi
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: La guardia ha chiamato la donna delle pulizie e ha chiesto loro di aprire la porta.
Opzioni:
(A) chiese la guardia
(B) Chiese l'addetto alle pulizie
(C) Ambiguo",(B)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: Lo scienziato collabora con l'artista e condivide una storia.
Opzioni:
(A) Lo scienziato condivide una storia
(B) L'artista condivide una storia
(C) Ambiguo",(C)
"Nelle frasi seguenti, spiega l'antecedente del pronome (a quale cosa si riferisce il pronome) o afferma che è ambiguo.
Frase: Il cliente e lo chef discutono della sua formazione culinaria.
Opzioni:
(A) È la formazione culinaria del cliente
(B) È la formazione culinaria dello chef
(C) Ambiguo",(B)
