输入,目标
问：雪莉说的是实话。弗内尔说雪莉说的是实话。亚历克西斯说维尔内尔撒谎。米凯拉说亚历克西斯说的是实话。埃拉诺说米凯拉说的是实话。埃拉诺说的是实话吗？,No
问题：克里斯蒂安撒谎。雪莉说克里斯蒂安撒谎。德尔伯特说雪莉撒谎。杰瑞说德尔伯特说的是实话。莎朗达说杰瑞说的是实话。莎朗达说的是实话吗？,No
问：维娜说的是实话。海伦说维娜撒谎。坎迪说海伦说的是实话。杰米说坎迪撒谎。卡说杰米撒谎。卡说的是实话吗？,No
问：克里斯蒂说的是实话。卡说克里斯蒂说的是实话。德尔伯特说卡撒谎。勒达说德尔伯特说的是实话。洛琳说丽达说的是实话。洛琳说的是实话吗？,No
问题：塔米卡撒谎了。雷蒙德说塔米卡说的是实话。威廉说雷蒙德说的是实话。尚达说威廉撒谎。埃拉诺说珊达说的是实话。埃拉诺说的是实话吗？,Yes
问：维尔内尔说的是实话。坎迪说维尔内尔说的是实话。亚历克西斯说坎迪说的是实话。司马说亚历克西斯撒谎。菲比说司马说的是实话。菲比说的是实话吗？,No
问题：莎朗达撒谎了。特蕾莎说莎朗达说的是实话。塔米卡说特蕾莎撒谎。洛琳说塔米卡说的是实话。杰米说洛琳撒谎。杰米说的是实话吗？,No
问题：吉姆撒谎了。克里斯塔说吉姆撒谎了。弗内尔说克里斯塔说的是实话。伯尼塔说维尔内尔说的是实话。米利森特说伯尼塔说的是实话。米利森特说的是实话吗？,Yes
问：弗莱彻说的是实话。康塞申说弗莱彻说的是实话。伯尼塔说《受孕》说的是实话。杰米说伯尼塔说的是实话。特蕾莎说杰米撒谎。特蕾莎说的是实话吗？,No
问：拉什达说的是实话。吉姆说拉希达撒谎。亚历杭德罗说吉姆撒谎。塔米卡说亚历杭德罗说的是实话。菲德尔说塔米卡撒谎。菲德尔说的是实话吗？,No
问题：杰瑞撒谎了。米利森特说杰瑞说的是实话。萨尔说米利森特说的是实话。安伯莉说萨尔说的是实话。申娜说安伯莉撒谎。沉娜说的是实话吗？,Yes
问题：奥黛丽撒谎了。康塞申说奥黛丽撒谎了。特蕾莎说《受孕》说的是实话。德尔菲娜说特蕾莎撒谎。海伦说德尔菲娜说的是实话。海伦说的是实话吗？,No
问：米莉说的是实话。米莉森特说米莉撒谎。菲比说米利森特说的是实话。雪莉说菲比撒谎。雷蒙德说雪莉说的是实话。雷蒙德说的是实话吗？,Yes
问：英加说的是实话。申娜说英加撒谎。拉希达说申娜说的是实话。卡说拉什达说的是实话。莎朗达说卡说的是实话。莎朗达说的是实话吗？,No
问题：安伯莉撒谎。申娜说安伯莉说的是实话。威廉说申娜说的是实话。雷蒙德说威廉撒谎。萨尔说雷蒙德撒谎。萨尔说的是实话吗？,No
问题：威廉撒谎了。英加说威廉说的是实话。菲德尔说英加撒谎。格温说菲德尔说的是实话。克里斯塔说格温说的是实话。克里斯塔说的是实话吗？,Yes
问题：Ka撒谎。克里斯蒂说卡说的是实话。杰瑞说克里斯蒂撒谎。克里斯塔说杰瑞撒谎。约兰说克里斯塔说的是实话。约兰说的是实话吗？,No
问题：Ka撒谎。安德烈说卡说的是实话。奥德里说安德烈撒谎。安特万说奥黛丽说的是实话。米莉说安特万说的是实话。米莉说的是实话吗？,Yes
问：莎朗达说的是实话。亚历克西斯说莎隆达说的是实话。克里斯蒂说亚历克西斯撒谎。英加说克里斯蒂说的是实话。克里斯塔说英加说的是实话。克里斯塔说的是实话吗？,No
问：菲德尔撒谎了。萨尔说菲德尔说的是实话。奥斯瓦尔多说萨尔撒谎。亚历克西斯说奥斯瓦尔多撒谎。米莉说亚历克西斯说的是实话。米莉说的是实话吗？,No
问：雷蒙德说的是实话。萨尔说雷蒙德撒谎。亚历克西斯说萨尔撒谎。海伦说亚历克西斯撒谎。埃拉诺说海伦撒谎。埃拉诺说的是实话吗？,Yes
问：Ryan说的是实话。萨尔说瑞安说的是实话。勒达说萨尔说的是实话。拉希达说勒达说的是实话。亚历杭德罗说拉什达说的是实话。亚历杭德罗说的是实话吗？,Yes
问：司马说谎。米莉说司马说的是实话。杰瑞说米莉说的是实话。维娜说杰瑞撒谎。梅贝尔说维娜说的是实话。梅贝尔说的是实话吗？,Yes
问：菲比说的是实话。克里斯蒂说菲比说的是实话。弗莱彻说克里斯蒂说的是实话。安伯莉说弗莱彻撒谎。雷蒙德说安伯莉说的是实话。雷蒙德说的是实话吗？,No
问：德尔菲娜说的是实话。弗莱彻说德尔菲娜撒谎。安伯莉说弗莱彻撒谎。奥黛丽说安伯莉说的是实话。洛琳说奥黛丽说的是实话。洛琳说的是实话吗？,Yes
问题：安伯莉说的是实话。杰米说安伯莉说的是实话。莎朗达说杰米撒谎。安特万说莎隆达说的是实话。亚历杭德罗说安万撒谎。亚历杭德罗说的是实话吗？,Yes
问：勒达说的是实话。亚历克西斯说丽达撒谎。萨尔说亚历克西斯撒谎。菲比说萨尔说的是实话。格温说菲比说的是实话。格温说的是实话吗？,Yes
