مدخل,هدف
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
يتم إعداد الجهاز بطريقة تؤدي إلى حدوث قصر في الدائرة إذا لامس كل من السلك الأسود والسلك الأحمر البطارية في نفس الوقت. لن يحدث قصر في الدائرة الكهربائية إذا لامس أحد هذه الأسلاك البطارية. تم تعيين السلك الأسود على أنه السلك الذي من المفترض أن يلمس البطارية ، بينما من المفترض أن يظل السلك الأحمر في جزء آخر من الجهاز. في أحد الأيام ، ينتهي كل من السلك الأسود والسلك الأحمر بلمس البطارية في نفس الوقت. هناك ماس كهربائى. هل تسبب السلك الأسود في حدوث ماس كهربائي؟
خيارات:
- نعم
- لا",No
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
منذ زمن بعيد ، عندما كان جون يبلغ من العمر 17 عامًا فقط ، حصل على وظيفة في شركة تصنيع كبيرة. بدأ العمل في خط تجميع للحصول على الحد الأدنى للأجور ، ولكن بعد بضع سنوات في الشركة ، تم اختياره بين وظيفتي مدير مباشر. يمكنه البقاء في قسم الأعمال الخشبية ، حيث كان يعمل حاليًا. أو يمكنه الانتقال إلى قسم البلاستيك. لم يكن جون متأكدًا مما يجب فعله لأنه كان يحب العمل في قسم الأعمال الخشبية ، لكنه اعتقد أيضًا أنه قد يكون من المفيد تجربة شيء مختلف. قرر أخيرًا التحول إلى قسم البلاستيك وتجربة شيء جديد. على مدار الثلاثين عامًا الماضية ، عمل جون كمشرف على خط الإنتاج في قسم البلاستيك. بعد السنة الأولى هناك ، تم نقل قسم البلاستيك إلى مبنى آخر به مساحة أكبر. لسوء الحظ ، تعرض جون خلال السنوات العديدة التي عمل فيها هناك لمادة الأسبستوس ، وهي مادة مسرطنة للغاية. كان معظم قسم البلاستيك آمنًا تمامًا ، لكن الجزء الصغير الذي عمل جون فيه تعرض لألياف الأسبستوس. والآن ، على الرغم من أن جون لم يدخن أبدًا سيجارة في حياته ويعيش بطريقة أخرى أسلوب حياة صحي ، إلا أنه يعاني من حالة متقدمة للغاية وغير قابلة للشفاء من سرطان الرئة في سن الخمسين. : هذا ، باستثناء الألم ، كان سرطان جون غير قابل للعلاج وكان متأكدًا تمامًا من وفاته قريبًا جدًا (قدر الأطباء بما لا يزيد عن شهرين). بالأمس ، بينما كان جون في المستشفى من أجل موعد طبي روتيني ، أعطته ممرضة جديدة عن طريق الخطأ الدواء الخطأ. كان جون مصابًا بالحساسية تجاه العقار ، وتعرض على الفور لصدمة وتعرض لسكتة قلبية (نوبة قلبية). حاول الأطباء إنعاشه لكنه توفي بعد دقائق من إعطائه الدواء. هل تسببت وظيفة جون في وفاته المبكرة؟
خيارات:
- نعم
- لا",No
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
منذ زمن بعيد ، عندما كان جون يبلغ من العمر 17 عامًا فقط ، حصل على وظيفة في شركة تصنيع كبيرة. بدأ العمل في خط تجميع للحصول على الحد الأدنى للأجور ، ولكن بعد بضع سنوات في الشركة ، تم اختياره بين وظيفتي مدير مباشر. يمكنه البقاء في قسم الأعمال الخشبية ، حيث كان يعمل حاليًا. أو يمكنه الانتقال إلى قسم البلاستيك. لم يكن جون متأكدًا مما يجب فعله لأنه كان يحب العمل في قسم الأعمال الخشبية ، لكنه اعتقد أيضًا أنه قد يكون من المفيد تجربة شيء مختلف. قرر أخيرًا التحول إلى قسم البلاستيك وتجربة شيء جديد. على مدار الثلاثين عامًا الماضية ، عمل جون كمشرف على خط الإنتاج في قسم البلاستيك. بعد السنة الأولى هناك ، تم نقل قسم البلاستيك إلى مبنى آخر به مساحة أكبر. لسوء الحظ ، تعرض جون خلال السنوات العديدة التي عمل فيها هناك لمادة الأسبستوس ، وهي مادة مسرطنة للغاية. كان معظم قسم البلاستيك آمنًا تمامًا ، لكن الجزء الصغير الذي عمل جون فيه تعرض لألياف الأسبستوس. والآن ، على الرغم من أن جون لم يدخن أبدًا سيجارة في حياته ويعيش بطريقة أخرى أسلوب حياة صحي ، إلا أنه يعاني من حالة متقدمة للغاية وغير قابلة للشفاء من سرطان الرئة في سن الخمسين. : هذا ، باستثناء الألم ، كان سرطان جون غير قابل للعلاج وكان متأكدًا تمامًا من وفاته قريبًا جدًا (قدر الأطباء بما لا يزيد عن شهرين). بالأمس ، بينما كان جون في المستشفى من أجل موعد طبي روتيني ، أعطته ممرضة جديدة عن طريق الخطأ الدواء الخطأ. كان جون مصابًا بالحساسية تجاه العقار ، وتعرض على الفور لصدمة وتعرض لسكتة قلبية (نوبة قلبية). حاول الأطباء إنعاشه لكنه توفي بعد دقائق من إعطائه الدواء. هل تسبب سوء إدارة الدواء في وفاة جون المبكرة؟
خيارات:
- نعم
- لا",نعم
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
السيد والاس له تأثير كبير في مسرح الجريمة المنظمة. على الرغم من أنه يحظى باحترام الكثيرين ، إلا أن هناك أيضًا عددًا من الأشخاص الذين سيستفيدون من وفاته. اليوم ، كان يتناول الغداء مع أحد شركائه ، السيد فنسنت. في مرحلة ما خلال اجتماعهم ، غادر السيد والاس الطاولة للذهاب إلى المرحاض. أثناء رحيله ، تمكن السيد فنسنت من إلقاء جرعة قاتلة من السم في المارتيني الخاص به. من المعروف أن السم يستغرق ساعة واحدة (أعط أو خذ 10 دقائق ، اعتمادًا على وزن جسم الضحية) للقتل ولن يلاحظه أحد خلال النصف ساعة الأولى بعد تناوله. عندما عاد السيد والاس إلى المائدة ، أنهى غدائه ثم شرب باقي المارتيني. اختتم الرجلان اجتماعهما بعد بضع دقائق. دفع السيد والاس الفاتورة وغادر كلاهما المطعم في اتجاهات مختلفة. عقد السيد والاس اجتماع عمل مهم آخر على بعد حوالي 15 دقيقة في منطقة نائية من الريف. في جزء منعزل من الطريق ، لاحظ أن شاحنة صغيرة كانت قد انسحبت من جانب الطريق تتبعه فجأة. تسارعت الشاحنة وبدأت في الاصطدام بسيارته من الخلف. أدرك السيد والاس أن السائق كان السيد بروس ، وهو مساعد لأحد منافسي السيد والاس. حاول الهروب من الشاحنة ولكن لم يكن هناك وقت. اصطدمت الشاحنة بسيارته بلا هوادة ودفعتها من جانبها حيث سقطت في واد وانفجرت. تم اكتشاف بقايا جثة السيد والاس في وقت لاحق من ذلك اليوم. وكشف تقرير رئيس المحققين في وقت لاحق أن السيد والاس أصيب بحروق قاتلة في انفجار السيارة. كما أشار التقرير ، مع ذلك ، إلى أنه تم العثور على جرعة قاتلة من السم في دم السيد والاس. هل تسببت حياة الجريمة في وفاة السيد والاس؟
خيارات:
- نعم
- لا",No
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
اشترى والدا كلير لها جهاز كمبيوتر قديم. تستخدمه كلير في العمل المدرسي ، لكن شقيقها دانيال يقوم أحيانًا بتسجيل الدخول لممارسة الألعاب. أخبرت كلير دانيال ، ""من فضلك لا تسجل الدخول إلى جهاز الكمبيوتر الخاص بي. إذا قام كلانا بتسجيل الدخول في نفس الوقت ، فسوف يتعطل"". ذات يوم ، سجّلت كلير ودانيال الدخول إلى الكمبيوتر في نفس الوقت. الكمبيوتر تحطم. في وقت لاحق من ذلك اليوم ، تتحدث والدة كلير مع مصلح الكمبيوتر. يقول المصلح ، ""أرى أن دانيال قد تم تسجيل دخوله ، لكن هذا الكمبيوتر سيتعطل فقط إذا تم تسجيل دخول شخصين في نفس الوقت. لذلك ، ما زلت لا أرى سبب تعطل الكمبيوتر."" هل تسبب دانيال في تحطم الكمبيوتر؟
خيارات:
- نعم
- لا",نعم
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
تعمل سوزي وبيلي على مشروع مهم جدًا لأمن أمتنا. يقول المدير لسوزي: ""تأكد أنك هنا في التاسعة صباحًا بالضبط. من الضروري للغاية أن تصل في ذلك الوقت."" ثم قال لبيلي: ""تأكد من أنك لن تأتي على الإطلاق صباح الغد. من الضروري للغاية ألا تحضر في ذلك الوقت."" يصل كل من بيلي وسوزي الساعة 9 صباحًا. كما يحدث ، كان هناك كاشف حركة مثبت في الغرفة التي وصلوا إليها. تم إعداد كاشف الحركة ليتم تشغيله إذا ظهر شخص واحد على الأقل في الغرفة في نفس الوقت. لذلك انطلق كاشف الحركة. هل تسبب بيلي في توقف كاشف الحركة؟
خيارات:
- نعم
- لا",نعم
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
يجلس الرئيس التنفيذي لشركة في مكتبه عندما يأتي نائب الرئيس للبحث والتطوير ويقول ، ""نحن نفكر في بدء برنامج جديد. سيساعدنا ذلك على زيادة الأرباح ، ولكنه سيضر أيضًا بالبيئة. يرد الرئيس التنفيذي بأنه لا يهتم بإلحاق الضرر بالبيئة ويريد فقط جني أكبر قدر ممكن من الأرباح. يتم تنفيذ البرنامج وتحقيق الأرباح وتضرر البيئة. هل أضر الرئيس التنفيذي عمدًا بالبيئة؟
خيارات:
- نعم
- لا",نعم
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
يريد جيك بشدة الفوز في مسابقة البندقية. إنه يعلم أنه سيفوز بالمسابقة فقط إذا أصاب الهدف. يرفع البندقية ، ويسلط الضوء على عين الثور ، ويضغط على الزناد. لكن جيك ليس جيدًا في استخدام بندقيته. تنزلق يده على فوهة البندقية ، وتنفجر الطلقة ... ومع ذلك ، تسقط الرصاصة مباشرة على عين الثور. جيك يفوز بالمسابقة. هل أصاب جيك عين الثور عمدًا؟
خيارات:
- نعم
- لا",No
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
تخيل أن هناك رجلاً في الغابة يشارك في مسابقة صيد. بعد قضاء ساعات في انتظار أيل يعبر طريقه ، يرى الصياد فجأة أكبر غزال رآه على الإطلاق. إذا كان بإمكانه قتل هذا الغزلان فقط ، فمن المؤكد أنه سيفوز بالمنافسة. لذلك ، يضع الصياد الغزلان في بصره - لكن في اللحظة الأخيرة ، لاحظ وجود مجموعة من مراقبي الطيور على الجانب الآخر من الغزلان. يدرك الصياد أنه إذا أطلق النار على الغزلان ، فإن الرصاصة ستصيب بالتأكيد أحد مراقبي الطيور أيضًا. لكنه لا يهتم على الإطلاق بمراقبي الطيور - إنه يريد فقط الفوز بالمنافسة. لذلك ، يطلق النار ويقتل الغزلان. وكما هو متوقع ، فإن الرصاصة تصيب أحد مراقبي الطيور أيضًا. هل أطلق الرجل النار عمدًا على مراقب الطيور؟
خيارات:
- نعم
- لا",نعم
"كيف يمكن للشخص العادي أن يجيب على كل من الأسئلة التالية حول السببية؟
جيم وكارول وبوب ونانسي باحثون في منطقة نائية ولديهم إمداد محدود من الكهرباء. نظرًا لمحدودية الإمداد بالكهرباء ، لا يتم تشغيلها إلا في المساء من الساعة 8 إلى 9 مساءً ، وعليهم تقييد من يمكنه استخدام الطاقة في أيام معينة. إذا قام شخصان بتشغيل مصابيحهم في نفس الوقت ، فسوف يفشل القاطع. لن يفشل القاطع إذا قام عدد أقل من الأشخاص بتشغيل مصابيحهم في نفس الوقت. ليس من المفترض أن يستخدم جيم مصباحه أيام الخميس. قد يستخدم كل من كارول وبوب ونانسي مصابيحهم أيام الخميس. هذا الخميس ، يشعل جيم مصباحه الساعة 8 مساءً. بعد ذلك فقط ، قامت كارول أيضًا بتشغيل مصباحها. نظرًا لأن شخصين قاموا بتشغيل مصابيحهم في نفس الوقت ، فقد فشل قاطع الدائرة. هل قام جيم بتشغيل مصباحه في الساعة 8 مساءً تسبب في تعطل قاطع الدائرة؟
خيارات:
- نعم
- لا",نعم
